DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS
1,0.25,-34.4007754625,-123.66945224,-2.187025537,-46.417004,-110.1297,-22.81686625,-23.619642,14.75903658325,0.0550968611,64.5899925,0.1033044875,1.370787125,389.609277715,0.7805011228,-12.68175575
1,0.75,-43.27031229,-130.576933195,-2.704497430375,-46.476874375,-108.8336625,-22.87071975,-23.711722,14.8456254815,0.053349145475,64.57161275,0.10013294,1.3881114,389.5082332,0.7938378574,-12.809822
1,1.25,-43.943092943,-125.2409274375,-2.57288792655,-44.572113,-109.82242,-22.806534,-23.7773625,14.308802528,0.0432089145,64.5636275,0.0990781345,1.31550535,389.56661409,0.84453588775,-12.7982435
1,1.75,-41.152706544,-134.3246699325,-3.32629465675,-44.322782,-112.106155,-23.1586325,-23.7323675,15.298773487,0.038882902025,64.5361855,0.08468876875,1.014386125,389.54180714,0.80365389105,-12.94652475
1,2.25,-33.296641594,-134.992744375,-3.133364954,-43.936119125,-112.0865025,-23.099392,-23.706974,13.5638813375,0.039474892375,64.5494765,0.094486173,1.01926002,389.50294765,0.794548707375,-13.175731
1,2.75,-40.865525945,-150.68642913,-2.4867171364,-44.3400785,-111.459135,-23.140516,-23.6260215,13.5200959185,0.043594981125,64.539466,0.095286622,0.967896485,389.49358163,0.73235197965,-13.28742725
1,3.25,-48.6150920745,-127.8518682475,-2.252804935175,-43.74023275,-110.370965,-22.621831,-23.858094,11.7386871625,0.0614426703,64.509403,0.13992792,1.3107957,389.50647803,0.7539575965,-13.33602325
1,3.75,-50.740060608,-127.09696076,-2.233243174825,-42.8305395,-112.5483375,-23.156185,-23.904604,13.0109427085,0.044502872,64.517218,0.120671325,1.27329275,389.445376625,0.80632709325,-13.43144775
1,4.25,-47.626611852,-125.66558085,-3.399552155875,-41.31536825,-113.2013625,-23.309678,-23.94673725,13.8625898095,0.03343207615,64.4766125,0.10213037,1.2542943,389.46043483,0.818068305975,-13.551672
1,4.75,-53.1024802075,-126.885970675,-2.93676889075,-42.707633,-112.576905,-23.43509975,-24.032066,13.163429247,0.013746446925,64.457004,0.1131230325,1.160434275,389.3933444975,0.797769749625,-13.63989125
1,5.25,-59.66405477,-130.8232801125,-2.6779463337,-43.1883465,-111.93729,-23.551157,-24.074455,12.17089059625,0.0306213026,64.468501,0.095658761,1.0685243,389.493515315,0.77106389585,-13.739872
1,5.75,-54.2872156735,-131.55853459,-2.6893301934,-42.6363265,-111.093675,-23.13735825,-24.123025,12.663801728,0.03188270535,64.485652,0.1322154025,1.29200875,389.4517162225,0.681286730975,-13.90377975
1,6.25,-51.4314829725,-117.9808311,-2.693573821175,-43.285037,-110.167495,-23.307837,-24.3870885,11.243544368,0.0207062568,64.463631,0.1046187425,1.2933029,389.36127142,0.70325518825,-13.9835985
1,6.75,-39.4062362775,-131.490258225,-3.634111752375,-42.7547135,-109.9321475,-23.717604,-24.422534,10.95128717625,0.01645497745,64.5171275,0.1031570675,1.2374428,389.3113642125,0.69532389455,-14.0326025
1,7.25,-45.14050753425,-133.51374617,-2.7233331844,-43.8051745,-105.3582375,-23.65546825,-24.322938,11.639220138,0.024710725875,64.4854645,0.09138671125,1.642129925,389.522601785,0.703887106,-14.090235
1,7.75,-41.222498555,-116.1354215,-2.3291192129,-39.323731875,-91.723257,-23.115936,-24.214709,12.63358763375,0.0324343686,64.49888925,0.1025423855,1.4417455,389.56447155,0.7588949397,-14.18523825
