DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,7.25,404.899991975,4.48999875,1986.509357725,-1.781705475,-5.366186075,-33.7573214,-42.231794025,1.5515805,0.223856825,0.039921175,-0.203764425,0.205038325,0.0500486,100.6545,64.652,0.1094,0.070073,2.50923815,0.1043954,0.3898875,6.4814625,7.5708375,8.28375,9.548375,-82.598517275,0.714286,0,-1.724138,0.198807,252.148567525,312.982490525
1,7.75,402.78951185,4.690292375,1975.73320995,-3.839545175,-45.6431151,-32.824507025,-38.19420925,-0.1488712,0.2610599,0.043673725,-0.20986765,0.171446925,0.052793825,100.677375,61.99375,0.1892,0.055764375,2.2898452,0.0837341,0.7838125,6.435275,7.5493875,8.27375,9.553125,-56.431570475,5.586309425,0.246914,1.795977,0.594764275,251.614137075,313.272779625
1,8.25,404.61770955,4.61121915,1970.677261,0.11069725,-12.905668625,-29.8761152,-23.907596675,-9.804014375,0.189067525,0.062727925,-0.2259514,0.18602005,0.0776135,100.66085,59.0425,1.2139,0.0538285,2.2560167,0.10992345,2.1367875,6.2967875,7.522925,8.2155,9.553125,-21.95754055,19.27083305,0.9845676,8.168103275,1.124917275,251.37425145,315.493874175
1,8.75,405.905114775,4.752731075,1964.66683345,-5.8711318,-7.047950625,-26.25971265,-11.6500024,10.043461125,0.2426111,0.063537125,-0.2947674,0.231783625,0.10649695,100.68455,58.522,2.204,0.05461835,3.0892186,0.135131725,3.879025,6.1993,7.48765,8.1725,9.55125,8.3566669,45.81547625,2.08641935,17.38146505,2.10072925,250.6063106,319.9542996
1,9.25,404.249104975,5.136925,1954.7246674,-3.5649678,-16.3239897,-19.7374304,-36.422769,-1.25964275,0.2691557,0.067818725,-0.2215307,0.216489475,0.11876,100.71945,58.086,2.469125,0.05963205,4.5374189,0.135976,4.7588,6.130425,7.45705,8.1625,9.5505,14.78397515,68.3154765,2.9506173,25.3735634,3.0284953,252.2417242,325.72405645
1,9.75,406.16883535,5.56327955,1956.60745815,-2.214812425,-23.3636832,-15.62234015,-20.5772869,7.834627525,0.34178605,0.068103675,-0.328059025,0.2812699,0.136464425,100.7951,55.3525,2.909,0.06008615,5.586516275,0.1333021,5.778675,6.391625,7.42375,8.15195,9.54975,23.9176403,74.11309545,3.41975295,27.9777301,2.70709065,253.1734338,332.22599905
1,10.25,403.340322125,5.2131771,1942.74797895,-2.3439828,-2.727458375,-14.26520745,-17.64950795,10.493915775,0.272006125,0.07528175,-0.28308795,0.300924625,0.1334772,100.8033,55.281,3.0995,0.081183125,6.948383075,0.127399,6.1764875,6.3716875,7.4017,8.146425,9.529,29.7264865,96.12500015,3.694444725,35.114942375,3.50231965,253.69730845,338.8556911
1,10.75,400.08278945,5.55257525,1947.614481,-2.9991176,-14.114752,-11.639357425,-10.42585135,12.8707842,0.4399133,0.07189705,-0.2863554,0.337409775,0.14012125,100.798425,55.37875,3.4322,0.09574475,8.073686725,0.118664375,6.566875,6.4429,7.41875,8.155025,9.567375,39.594459025,116.690475825,4.31481515,44.4504309,4.23790555,258.5298261,343.32026965
1,11.25,398.495274,5.5125005,1931.262412925,-2.96230825,-36.40595145,-9.38761905,-3.7889145,13.3690372,0.5680034,0.081436525,-0.35650585,0.29679295,0.146144425,100.7535,55.5355,3.6814,0.10700555,8.6806468,0.14008445,7.0567,6.5435375,7.427375,8.16455,9.5825,43.032499225,137.645833275,5.6141972,55.41487085,4.436713525,263.0966286,346.1867404
1,11.75,398.3376646,5.6514871,1930.589885075,-2.938645,-25.673030025,-7.6649847,-5.94661255,13.7648485,0.444337125,0.082260575,-0.3649495,0.31318405,0.128613775,100.680225,49.7295,4.2122,0.1082762,9.309795025,0.157274,7.087525,6.7606875,7.435425,8.154825,9.582375,32.7916202,124.7976191,5.12962945,46.9863504,3.835321375,260.946088875,344.36284635
1,12.25,398.6430031,6.257139375,1928.31956925,-4.736846625,-31.0723081,-6.4914053,-44.651150125,3.699390375,0.46475145,0.091978625,-0.33771725,0.329150075,0.13029925,100.612825,47.1585,4.8169,0.119077,9.610406925,0.150460125,7.44375,6.780175,7.429925,8.12595,9.59725,33.72175185,113.041666725,4.688271575,42.11386455,4.16500965,262.174232075,348.883175675
1,12.75,398.4101441,5.887054475,1927.51564,-3.51447725,-11.17923695,-5.68214,-5.715094825,3.522797125,0.47091875,0.10011155,-0.3462837,0.37442315,0.1052847,100.55135,46.7035,5.2967,0.1399844,10.075113125,0.123294975,7.72475,6.83345,7.47715,8.096575,9.592375,37.72971795,131.443452475,5.28703705,48.469827125,4.17163655,261.12040675,349.8008529
1,13.25,398.2009084,6.2116292,1929.2700372,-1.180567775,1.152611875,-4.669725075,-8.62739365,10.741855475,0.6251383,0.06970925,-0.31060835,0.36846605,0.15529105,100.5081,45.74875,5.5026,0.2937175,10.879759325,0.13394645,8.254075,6.9016375,7.5995875,8.067525,9.601875,38.2918226,115.4613098,4.913580625,41.9234913,3.6381711,260.92253445,350.691034275
1,13.75,398.463861675,5.871149325,1930.920295625,-1.712424725,-28.5931032,-3.65234205,-10.49261345,9.966352825,0.70750775,0.093291375,-0.3688926,0.36245855,0.13457125,100.460775,42.85725,5.602,0.41889735,11.190872525,0.131284825,8.26595,6.967075,7.67325,8.0458,9.6035,26.6236467,100.422619,3.6728398,36.43678135,3.36978165,262.20091125,351.01527905
1,14.25,397.61999165,6.3639386,1933.63796575,-2.7234069,-4.2780073,-3.0219863,-9.62824,9.54359235,0.400548325,0.091544825,-0.3278745,0.30819085,0.136562475,100.4503,42.70625,5.7052,0.51963775,11.58064895,0.11699415,8.2931,7.0486875,7.6982,8.018625,9.611625,18.278749625,81.866071525,3.57407415,30.014368175,2.849569,263.36429065,351.4832683
1,14.75,398.219121175,5.53435235,1940.7974056,-1.9711452,-22.08286225,-2.492760225,-26.8912595,9.33868515,0.4708146,0.068613175,-0.3480364,0.2598435,0.12801485,100.493525,42.2175,5.7554,0.47405325,12.04220435,0.11468715,8.2913625,7.160975,7.730825,8.009125,9.61175,9.473592425,55.877976225,2.7129626,19.883261225,2.77998655,266.337778525,352.2198389
1,15.25,397.469664375,6.409669375,1939.565551425,-1.043556,-7.3733695,-2.0007236,-12.81479335,6.15943,0.4836961,0.065493175,-0.327855875,0.27124285,0.08958395,100.531325,41.931,5.7269,0.57028475,13.254652325,0.1081875,8.121575,7.3186875,7.7448125,7.999125,9.61175,4.482360675,35.58333325,1.848765575,12.140805,2.047714075,266.247664825,352.62538895
1,15.75,397.5987046,6.4344836,1937.1081624,-0.585651875,0.539250975000001,-4.4610358,-18.56781235,4.121053375,0.2849829,0.05274725,-0.3639052,0.21649795,0.0593579,100.57385,42.4545,5.9891,0.5715684,13.269758875,0.1042967,8.084375,7.4218125,7.771325,7.999275,9.59225,5.616328825,35.75595205,1.848765575,13.505746925,1.986415275,266.257244425,351.743046925
1,16.25,397.06835575,6.5795367,1944.176565,-0.71283265,0.44488625,-5.49273865,-30.5810639,8.32408975,0.6685633,0.054225275,-0.32544905,0.176989175,0.058183425,100.5761,42.536,6.0437,0.54421095,13.1837345,0.090921375,8.236,7.5388125,7.7957125,8.0091,9.612125,-35.032926025,20.589285625,0.864198,7.53951105,1.5838301,265.851431575,350.9677596
1,16.75,398.3563922,5.3410894,1958.04091555,-1.0646092,1.7506976,-8.0871304,-20.8658652,1.1720647,0.39849345,0.026758,-0.281414725,0.1514157,0.031793275,100.553275,48.63,5.8228,0.544746625,12.58340845,0.09514115,6.722225,7.654775,7.8218875,8.038375,9.646625,-69.9925421,8.0654761,0.37037,1.49604915,0.46056955,264.88154635,343.668861425
1,17.25,398.81601065,6.90046195,1963.8479306,-1.42993485,-38.298303675,-9.588340125,-45.74571425,-8.37482925,0.3799676,0.026226175,-0.2974461,0.1642957,0.032769925,100.51735,51.47,5.7826,0.520616625,11.452903625,0.11000725,4.525225,7.785,7.8576875,8.097225,9.64225,-89.26302145,0.7113098,0,-4.022989,0.064612275,264.799534475,335.565518375
1,17.75,400.6428675,5.62930325,1964.352745,-0.00172087499999994,3.1396456,-11.77873445,-46.5338164,-0.789383875,0.264065025,0.034784675,-0.3720751,0.143629025,0.0362031,100.50585,55.265,5.5168,0.478989625,10.669450425,0.1148037,3.9074875,7.8066625,7.88445,8.0975,9.6125,-93.9566244,0,0,-5.1077589,0.06295555,263.2938751,333.880534775
1,18.25,405.0280184,6.8259597,1975.60689565,-1.535939,-41.05472535,-19.252872225,-40.8136552,-6.16297965,0.1967863,0.040708325,-0.359810125,0.169368975,0.0438543,100.47945,60.1,5.1025,0.454897875,10.280575525,0.1206477,3.077075,7.813775,7.909275,8.04875,9.5975,-92.95814655,0,0,-5.034123925,0.066269,262.202497825,331.228469775
1,18.75,403.975433525,6.195719025,1964.8907178,-2.67317025,-69.636472275,-21.9964299,-35.161828875,-2.718832275,0.2922546,0.03129055,-0.388980875,0.13669725,0.03050025,100.506,63.61375,5.0729,0.429833375,9.884261025,0.11553405,2.660375,7.8255,7.9244625,8.0195,9.582875,-92.10370205,0,0,-4.96048895,0.066269,261.36968305,328.411606275
1,19.25,402.57720345,6.7437638,1964.116248,-2.206635625,-26.4396549,-25.22754765,-37.968217425,-8.802489625,0.2045591,0.035658425,-0.2574847,0.1481559,0.040403825,100.50905,63.57125,4.6146,0.387447875,8.48138445,0.13486095,2.472825,7.7996,7.9642625,8.02925,9.563375,-91.32531855,0,0,-4.888648975,0.066269,260.5024466,326.612447975
1,19.75,404.0188939,6.5436678,1975.0226816,-2.067196,-28.87930055,-28.331870575,-41.799693225,-3.130901875,0.142416475,0.036786825,-0.2368588,0.1961842,0.040290075,100.51835,64.22125,4.5908,0.333297,8.08801595,0.10625265,2.424,7.7270375,7.9849,8.0395,9.54875,-91.595339275,0,0,-4.599496975,0.26176255,259.901873425,325.585423975
1,20.25,404.07838315,6.3623203,1963.6050742,-0.6664567,-80.4579246,-30.488172925,-42.3404335,-4.78383,0.183213075,0.035797725,-0.35510355,0.143615375,0.0378321,100.562325,68.1475,4.3531,0.300005125,8.18255555,0.1341367,2.136175,7.6706875,8.023325,8.06875,9.5345,-90.427403525,0,0,-4.6785199,0.064612275,259.2480294,325.2473109
1,20.75,404.634912125,6.21313975,1956.005583,-1.671619,-66.2397553,-31.9754786,-27.263725,-2.613539425,0.2439924,0.0323559,-0.390422475,0.18097125,0.040426425,100.56415,67.31375,4.2988,0.268600625,7.986014225,0.13198275,2.15835,7.6125,8.0677375,8.09775,9.524875,-90.457492775,0,0,-4.527657975,0.130881275,258.2280265,324.818148225
