DOY2,HR2,FC_1_1_1,SC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,PA_1_1_1,NEE_1_1_1
1,0.5,-3.56,-0.3,0.026,-11.52,-71.5325,376.885,376.66925,377.536,376.9155,-20.168,-20.998,-22.223,-22.898,50.98,52.68,55.69,59.11,-7.192,-5.366,-4.74,-3.876,-6.642,-5.68625,-4.9345,-3.8335,-2.9155,-1.816,-1.84625,-0.408,-1.9,0,-81.6325,160.51,214.79,0.802,0.62125,0.43,95.80675,-3.77
1,1.5,-3.16,-0.3,0.02265,-17.165,-71.72,377.10125,377.2085,377.093,377.25,-20.039,-20.73125,-22.073,-22.94375,51.98,54.71,55.59,59.31,-7.262,-5.431,-4.839,-3.926,-6.939,-5.7725,-4.889,-3.964,-2.974,-1.82,-1.8285,-0.41,-1.83,0,-82.4,159.59,215.25,0.82,0.68,0.46,95.82375,-3.18
1,2.5,-3.3035,-0.4,0.030375,-11.105,-76.1325,377.97,378.1325,378.085,378.403,-20.068,-20.722,-22.055,-22.997,53.2,54.94,57.33,61.19,-7.386,-5.596,-5,-4.023,-7.088,-5.8425,-4.9815,-3.98375,-3.0435,-1.824,-1.8125,-0.418,-1.7,0,-80.6825,157.56,215.58,0.912,0.696,0.629,95.85675,-3.115
1,3.5,-4.137,-0.3,0.028,-12.2625,-75.375,378.256,378.4185,378.319,378.6555,-20.559,-21.42975,-22.013,-23.078,54.28,56.88,57.37,62.42,-7.41,-5.661,-5.079,-4.112,-7.266,-5.95875,-4.984,-4.06025,-3.028,-1.836,-1.793,-0.416,-1.9,0,-80.46,156.59,214.29,0.8735,0.7,0.61175,95.81675,-4.84
1,4.5,-4.884,-0.3,0.02995,-12.78,-68.3875,377.905,378.125,378.145,378.2515,-20.673,-21.64875,-23.324,-23.306,56.27,57.64,59.02,63.27,-7.504,-5.749,-5.168,-4.18,-7.264,-6.03875,-5.092,-4.14675,-3.027,-1.85,-1.773,-0.424,-1.8,0,-80.5325,157.87,212.26,0.819,0.68075,0.54175,95.83075,-5.155
1,5.5,-3.9465,-0.3,0.0254,-15.3125,-61.525,377.172,377.505,377.905,377.257,-21.261,-21.9605,-22.737,-23.494,57.64,58.51,60.34,63.55,-7.589,-5.92,-5.27,-4.236,-7.245,-6.05625,-5.2515,-4.178,-3.09975,-1.866,-1.79625,-0.422,-1.9,0,-79.46,158.92,210.72,0.861,0.7015,0.55725,95.81025,-4.19
1,6.5,-3.126,-0.3,0.035,-15.105,-61.325,377.576,378.05025,377.97225,378.114,-21.572,-22.595,-22.902,-23.218,56.6,58.44,60.37,63.57,-7.8,-6.103,-5.366,-4.3,-7.285,-6.1425,-5.392,-4.2445,-3.201,-1.882,-1.81575,-0.422,-2,0,-78.23,159.44,208.63,0.83075,0.74,0.57175,95.80675,-3.37
1,7.5,-4.29,-0.3,0.03085,-12.325,-63.05,377.825,378.105,378.05975,378.197,-21.692,-22.68,-23.72,-23.964,56.3,59.38,60.78,65.47,-7.799,-6.206,-5.446,-4.363,-7.356,-6.11625,-5.2805,-4.3395,-3.2555,-1.888,-1.853,-0.422,0,0,-77.9,158.04,208.04,0.841,0.694,0.57725,95.8035,-5.5475
1,8.5,-2.8615,-0.4,0.041,-18.835,-54.175,377.35,377.349,377.40825,377.5085,-21.296,-21.66275,-22.33975,-21.684,56.36,58.25,60.075,64.11,-7.669,-6.112,-5.433,-4.403,-7.338,-6.23625,-5.3515,-4.4065,-3.31,-1.92,-1.88975,-0.42,12.32,2.0675,-47.4125,158.64,216.08,0.79,0.6615,0.49725,95.77,-3.28075
1,9.5,-3.03475,-0.6,0.066,-29.6,-65.68,376.556,376.598,376.476,376.837,-19.423,-19.926,-19.57175,-18.08,52.0675,52.21,53.405,55.97,-6.882,-6.06,-5.346,-4.393,-6.879,-6.13375,-5.3045,-4.352,-3.3455,-1.946,-1.93075,-0.42,37.59,7.2675,-9.025,159.24,229.98,1.07125,0.91,0.7635,95.8595,-3.43
