DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,0.25,403.478364,3.285725,-9.823042,-10.87211525,97.0705615,96.97613375,0,1.189847,0.076845,-0.06587475,-13.307734,-0.380738,0.0699685,0.257296,0.251807,0.071756,0.082511,0.014635,0.1791225,-0.0776265
1,0.75,403.67392675,3.295884,-9.621221,-10.80193525,97.04161825,96.09279125,0,1.237962,0.071329,-0.06097525,-14.640696,-0.7013695,0.03632275,0.298651,0.229225,0.071156,0.083271,0.01541775,0.1717995,-0.05545425
1,1.25,403.7610735,3.2206565,-10.105595,-10.98557825,97.01528925,94.87843575,0,1.093885,0.061055,-0.060733,-13.729992,-0.6796295,0.0766145,0.3037535,0.245034,0.066493,0.078089,0.01558825,0.184419,-0.05578275
1,1.75,403.8264175,3.31043125,-10.1249325,-11.215091,96.973397,95.776937,0,1.2724505,0.0884135,-0.0660455,-14.72481425,-0.1040765,0.073253,0.28728825,0.251211,0.08093925,0.0887705,0.0151975,0.16156175,-0.06959625
1,2.25,403.84320075,3.412901,-10.1038795,-11.44045275,97.031113,96.50621275,0,1.076159,0.06000425,-0.0738,-12.131374,-1.084062,0.04174675,0.23848525,0.242704,0.069552,0.09252,0.015081,0.133875,-0.064192
1,2.75,403.620959,3.204509,-10.3462685,-11.305983,97.0264775,97.53234675,0,1.070189,0.0616515,-0.078909,-12.988032,-0.55541675,-0.1143545,0.264565,0.2205755,0.068975,0.085985,0.0158895,0.13912675,-0.0282825
1,3.25,402.995192,3.19331725,-10.4299855,-11.07398375,96.9888225,96.94657925,0,1.25558475,0.07648625,-0.0786355,-15.07069375,-0.47581025,0.005081,0.291088,0.228899,0.0775415,0.08126325,0.012659,0.146383,0
1,3.75,402.967912,3.20560825,-10.3536855,-11.040061,96.7430145,94.87233,0,1.0774655,0.071691,-0.085454,-15.8806715,-0.84432,-0.007066,0.3140965,0.277054,0.074305,0.078147,0.0116825,0.173703,-0.00782825
1,4.25,403.164319,3.3554705,-10.2934865,-10.763861,96.904076,95.50161125,0,1.13190125,0.0745625,-0.08703325,-14.7718015,-0.5035025,0.008267,0.3402875,0.256158,0.0626985,0.073312,0.01261,0.152231,-0.0125505
1,4.75,403.811791,3.179338,-10.534485,-11.0567075,96.94724,97.657787,0,1.098288,0.076242,-0.077426,-16.784139,-0.330492,0.079268,0.338491,0.251259,0.0713,0.072187,0.0118925,0.14579,-0.00547975
1,5.25,403.484134,3.142923,-10.808427,-11.163216,97.01309725,96.872763,0,1.008807,0.06947,-0.078912,-13.439325,-0.7806415,0.03596975,0.328936,0.235799,0.062064,0.073953,0.01151075,0.112623,-0.00977275
1,5.75,404.866987,3.156208,-10.759128,-11.309891,97.019659,98.2758805,0,1.162668,0.07485,-0.078818,-14.5699845,-0.839964,0.0343015,0.342107,0.237817,0.070866,0.077563,0.0127065,0.12464425,-0.051616
1,6.25,404.4108765,3.309852,-10.275148,-10.47116475,97.024396,98.063387,0,1.0560555,0.0715385,-0.08221,-13.3271645,-0.194576,0.052229,0.293601,0.2746505,0.077011,0.074389,0.0122675,0.127311,-0.01618725
1,6.75,402.89749925,3.31914975,-10.536836,-10.758933,96.778312,98.73053025,0,1.008089,0.072313,-0.0775,-13.6504915,-0.84581625,0.0895995,0.318995,0.252822,0.077162,0.07379,0.0115105,0.121298,-0.097525
1,7.25,403.468277,3.19149025,-11.01281775,-10.9913285,97.0068275,98.2107605,0,1.1525795,0.088895,-0.06998625,-9.81823525,-1.08866225,-0.029428,0.30600975,0.267733,0.095552,0.07621125,0.011402,0.141545,0
1,7.75,402.781708,3.297274,-10.005578,-10.2460985,96.958425,98.317543,0,1.007294,0.07999,-0.08218025,-11.03159875,-1.090799,0.091248,0.3469635,0.2740525,0.0655805,0.07658175,0.0137645,0.181583,0.2473235
1,8.25,402.50187075,3.222319,-10.284203,-10.4143055,97.039558,98.68829525,0,1.200228,0.07877,-0.075945,-10.77464625,-0.224904,0.099134,0.341281,0.265149,0.079572,0.075226,0.01407125,0.1870305,5.69573225
