DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,CH4,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,0.8469425,21.017,-1.116,-24.785725,0,10.71,12.07,56.181,2.086535,0.06858305,1.100348164,0.07405,-0.103668225,15.9889,430.58,15.225,2108.68,0.321645,0.0573776,101.288,256.314938154139,227.440883190883,-5.66310491812919,-6.50910256410256,-1.57252623688156
1,0.75,1.108198,8.58725,-1.859,-20.99875,0,10.74,12.02,52.799,2.94879,0.07704005,1.2407281095,0.06655,-0.0942237,15.6868,429.344,15.7734,2122.575,0.287727,0.120997,101.288,240.903901046622,231.07905982906,-5.90392672442056,-3.43404977375566,1.15435532233883
1,1.25,0.7509535,18.14925,-3.1035,-23.42925,0,10.31,11.955,55.951,1.9765275,0.07538315,1.006012374,0.0665,-0.138527,15.8675,421.771,15.110675,2142.96,0.27854,0.103534,101.288,239.934348239772,231.972222222222,-5.09771817711055,-3.08309200603318,1.18071214392804
1,1.75,0.746851,7.4055,-2.1534525,-23.213675,0,10.2,11.9025,54.178,1.9882625,0.0746,1.059681017,0.08485,-0.099604,16.0549,420.439,14.88935,2234.71,0.287303,0.0880219,101.288,239.745004757374,230.559829059829,-5.96146896009012,-3.06861236802413,0.927578710644678
1,2.25,0.815391,19.36875,-1.457,-24.5515,0,10.42,11.8475,53.13825,1.83447,0.07735,1.1028119195,0.0597,-0.12612725,15.5037,419.919,14.805075,2135.43,0.256476,0.105122,101.288,240.555661274976,230.918091168091,-5.79455145730302,-3.16853695324284,1.23318590704648
1,2.75,0.9831165,21.583,-1.81375,-19.58195,0,10.54555,11.7925,49.365,2.81103,0.078075,1.1652850625,0.0678,-0.078591375,15.2598,420.047,13.7858,2130.73,0.3359735,0.08443025,101.288,240.090390104662,229.290598290598,-4.81847923323405,-2.47190422322775,1.28363380809596
1,3.25,0.778989,2.4075,-1.12,-20.65,0,10.40475,11.8,50.101,2.87815,0.0817,1.23182,0.0899421955,-0.114239,15.3889,420.328,14.446275,2158.61,0.243622,0.068526,101.288,241.745004757374,229.309116809117,-5.40873931812371,-3.17036199095023,1.09491754122939
1,3.75,0.6555385,-4.48725,-2.22592,-20.6065,0,10.3858,11.74,50.194,4.00535,0.0866,1.310274158,0.1159662935,-0.0910439,14.9158,420.506,14.1897,2182.045,0.21165,0.0504211,101.288,242.406279733587,228.829772079772,-5.37536601721763,-3.05564102564103,0.847953523238381
1,4.25,0.751671,10.21125,-5.2788075,-24.0033,0,10.43315,11.6075,48.468,3.48185,0.06380645,1.179711012,0.0725,-0.0700584,15.104,420.46,13.5798,2195.3825,0.243772,0.0527823,101.288,247.474785918173,224.669515669516,-5.197579920447,-3.08884615384615,1.3595952023988
1,4.75,0.76130775,18.3185,-3.333,-22.7125,0,10.5798,11.5025,48.49775,3.07377,0.07405,1.014658209,0.08015,-0.0568659,15.1718,420.409,13.1178,2218.7325,0.189956,0.0344733,101.288,248.888677450048,224.939458689459,-4.85590778140343,-3.31407239819004,1.1062143928036
