DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,0.25,-0.0689,-26.17195,-1.23495,-0.4544,1.52334,0.08545,18.3241,16.8265,99.8936,79.099675,0.239395,388.6465,12.887925,0.3571775,0.313101,0.107643,0.21095,0.00255,0.1197,0
1,0.75,-0.083525,-27.815575,-1.4,-0.355275,1.5171175,0.09185,17.84575,16.447925,99.9,82.56525,0,388.29,13.7251,0.344075,0.28483325,0.11882525,0.20509975,0.00275,0.114225,0
1,1.25,-0.07635,-26.1826,-1.3970775,-0.40025,1.51195,0.11611075,17.675825,16.163475,99.8988,86.1073,0,387.518,13.62945,0.36610375,0.33135225,0.14807025,0.207575,0.0026,0.1306,0
1,1.75,-0.081575,-21.984175,-1.84205,-0.32765,1.3812,0.10632275,17.6731,16.05565,99.81745,89.2705,0,387.331,13.7416,0.363694,0.329838,0.13128775,0.1961415,0.00255,0.07875,0
1,2.25,-0.0709,-21.0659,-0.755925,-0.2656,1.33958,0.101561,17.3555,15.4955,99.7938,90.45875,0,388.9785,13.4439,0.3575,0.337541,0.122192,0.1897,0.00275,0.1008,0
1,2.75,-0.0904,-22.2277,-1.4296,-0.3875,1.50037,0.0984,16.8243,15.1839,99.725325,93.756075,0,389.24825,13.309425,0.340017,0.290119,0.120095,0.179498,0.00265,0.09,0
1,3.25,-0.0703,-19.037925,-1.856175,-0.34115,1.520425,0.092775,16.472025,14.9429,99.76795,95.7768,0,387.25125,12.63585,0.34957525,0.2913405,0.1140215,0.1816595,0.0023,0.0845,0
1,3.75,-0.0618,-19.97995,-1.617175,-0.172625,1.50588,0.09385,16.3056,14.861425,99.79215,95.2143,0,386.676,13.04165,0.35907925,0.28975175,0.10965,0.170175,0.00205,0.05495,0
1,4.25,-0.06155,-19.4519,-2.1037975,-0.2509,1.337035,0.0872,16.165825,14.7624,99.774975,95.0043,0,386.17575,13.04915,0.30763925,0.26805475,0.10593275,0.1713765,0.002,0.0589,0
1,4.75,-0.0569,-18.1202,-2.011715,-0.3488,1.44201,0.0892,15.72195,14.4201,99.8,96.7434,0,386.0385,12.89115,0.336989,0.31,0.107321,0.182918,0.00265,0.0923,0
1,5.25,-0.0667,-17.945375,-1.92422,-0.25635,1.353,0.0811,15.55,14.3021,99.77545,97.633075,0,384.66425,12.90515,0.355779,0.299,0.0992,0.171076,0.002575,0.0743,0
1,5.75,-0.0696,-19.12235,-2.2015,-0.27,1.348185,0.1062145,15.54235,13.9868,99.788,97.63735,0,384.7225,12.7385,0.3574,0.312978,0.1181,0.1639455,0.0031,0.073125,0
1,6.25,-0.0674,-20.735675,-1.1301,-0.195825,1.4632,0.104505,15.395,13.9016,99.799375,99.34835,0,384.40325,12.4203,0.348285,0.3351,0.132892,0.1647,0.002325,0.0747,0
1,6.75,-0.079725,-12.39,0.25725,-0.379368,1.4451675,0.1186,15.713975,14.0359,99.8065,97.797475,0,384.1045,13.1441,0.4172035,0.34217475,0.15805,0.19203425,0.00245,0.12665,14.4375
1,7.25,-0.1166415,-8.371095,1.665425,-0.906668,1.76974,0.146375,16.6531,14.992825,99.87675,92.6461,0,386.075,13.872,0.49076175,0.399825,0.213076,0.180343,0.0014,0.1456,130.125
1,7.75,-0.1559185,-0.5076415,3.9061375,-4.03754,1.94261,0.1655,17.4501,16.03875,99.89775,84.6188,0,390.649,13.54795,0.5920075,0.5131,0.2476735,0.227,0.002,0.206175,230.0625
1,8.25,-0.19718825,9.224525,7.4776,-7.4504525,2.30021,0.20809025,18.36455,16.8832,99.9043,79.2744,0.6378,389.94125,13.4378,0.6630475,0.585048,0.281075,0.26378825,0.001525,0.30515,367.75
1,8.75,-0.201158,15.1018,9.4132,-9.8707,2.5190175,0.2349,19.30775,17.815925,99.9317,75.21735,1.67234,389.878,13.749175,0.7797245,0.6441,0.29609625,0.307952,0.00165,0.393675,584
1,9.25,-0.245047,30.1616,10.902325,-12.4443,2.6873075,0.23693925,20.031725,18.592275,99.92735,72.0284,2.18743,388.65125,13.707075,0.78208425,0.7188115,0.3001215,0.332975,0.00175,0.3727,768.5
1,9.75,-0.245,33.73335,14.24365,-15.56515,2.598075,0.24305,20.70215,19.25355,99.9182,69.729375,2.4464,387.61525,13.608375,0.8491565,0.7628035,0.3142175,0.392368,0.0018,0.4377,927.4
1,10.25,-0.24821075,41.635725,15.59715,-17.095625,2.5893575,0.26830075,21.447925,19.8492,99.90015,64.5203,2.9516775,387.074,13.1846,0.8699735,0.79521775,0.3360475,0.39768475,0.001975,0.5211,1041.5
1,10.75,-0.2513315,51.624,44.67775,-18.58225,2.86117,0.275668,22.1346,20.40775,99.9,61.52305,3.75429,386.684,13.02155,0.8895695,0.824573,0.349315,0.4300805,0.002,0.5683,1101.75
1,11.25,-0.24481675,59.66715,29.84445,-20.5829,2.8683975,0.28839875,22.660275,21.12395,99.9,59.1261,4.92235,386.06,13.66055,0.9189,0.90115,0.36729275,0.46920675,0.0024,0.6343,1218
1,11.75,-0.23118425,69.2749,38.1944,-20.9421,2.91815,0.2776785,23.0209,21.357875,99.89895,56.72395,5.84125,386.053,13.15515,0.98941525,0.912516,0.37527075,0.49034,0.0023,0.7034,1342
1,12.25,-0.23975925,76.5594,65.591,-21.71955,2.936675,0.300437,23.43875,21.684,99.89255,55.261175,6.540555,385.3365,12.71425,1.012495,0.94330925,0.38822125,0.4955615,0.0021,0.702,1565.75
1,12.75,-0.230501,75.2288,77.4236,-21.173975,2.6774375,0.285985,23.8028,22.19755,99.8778,53.0804,7.1398275,384.6,12.8515,1.0624825,0.96585,0.37495,0.54969675,0.0023,0.7478,1503
1,13.25,-0.22724475,74.664175,134.396,-21.02475,2.7824725,0.2746845,24.408025,22.56955,99.82365,52.307075,8.078445,384.03825,12.9656,1.04672,1.037925,0.366902,0.5373965,0.0024,0.8179,1640.0625
1,13.75,-0.241886,79.2769,82.76405,-20.62375,2.8848375,0.29276575,24.5302,22.97735,99.8,51.4245,9.176435,383.72325,12.699,1.0724675,1.0258775,0.385125,0.53175375,0.0021,0.7505,1689
1,14.25,-0.2533775,70.42855,78.365625,-20.677475,2.702375,0.2815065,24.7155,23.5367,99.79955,49.4266,9.71783,383.8495,13.10375,1.096515,1.037425,0.3866545,0.542641,0.002075,0.741375,1616
1,14.75,-0.23555,57.421575,113.214,-17.698175,2.876525,0.284825,25.222825,23.731425,99.7524,47.03805,10.4974,383.9295,12.7991,1.0667525,0.99100125,0.37290175,0.46803975,0.002,0.7645,1574.5
1,15.25,-0.24132725,49.2905,84.8748,-17.2254,2.751835,0.29295,25.284425,23.9248,99.703175,47.709,11.3733,383.231,12.4567,1.033275,0.998175,0.36073675,0.442875,0.0019,0.7407,1513.1875
1,15.75,-0.2481135,42.96095,19.0362,-16.2194,2.80545,0.2653815,25.535425,24.18125,99.700075,47.171275,11.6641,383.9525,11.8009,1.011005,0.92515325,0.3667495,0.40134075,0.0016,0.731775,1468.375
1,16.25,-0.23175,27.689875,36.522375,-13.5086,2.847665,0.26094425,25.7138,24.35515,99.7,45.8192,12.06315,384.348,12.0915,1.005747,0.9001505,0.35494775,0.33386375,0.0014,0.67175,1227.5
1,16.75,-0.22529,20.919975,44.040475,-11.23325,2.50618,0.23833925,25.63905,24.171,99.6998,45.78415,11.9165,384.371,12.201375,0.955046,0.8633485,0.333862,0.32265,0.0012,0.6235,1052.5
1,17.25,-0.2159,13.02335,8.283425,-9.193005,2.512085,0.2439865,25.64105,24.3682,99.6326,46.2933,12.1906,384.4935,11.673475,0.899808,0.782,0.3133525,0.267355,0.001025,0.59625,824
