DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
1,0.25,-0.293441,-23.85365,0.0377425,-0.19091925,1.17373,0.08635,-6.239225,405.508,3.028835,0.3096435,0.2791755,0.1082035,0.105243,-8.625005,97.730775,-19.0282,-10.7992,-9.9223675,0.812442,0.69538475,-0.027575
1,0.75,-0.31466,-25.1763,-0.383519,0.122537,1.176415,0.102101,-6.249,405.316,3.04403,0.3346595,0.3205075,0.1122105,0.130263,-8.8107175,97.724775,-19.79385,-10.8042,-10.497625,0.80789825,0.69842975,-0.026575
1,1.25,-0.2483245,-31.41805,0.178136,-0.293449,0.974112,0.14711175,-6.1239575,404.34825,2.974755,0.3925415,0.299407,0.17009725,0.112998,-8.437,97.697175,-19.486,-10.796975,-10.503625,0.79787275,0.70229975,-0.027775
1,1.75,-0.2621065,-30.805225,0.128052,0.038375,1.2074475,0.14852075,-6.0116,404.93625,3.03921,0.406578,0.35077675,0.20266925,0.11277875,-7.57799,97.663375,-16.86995,-10.7944,-10.490775,0.78512825,0.6969595,-0.027925
1,2.25,-0.2583325,-29.76405,-0.211787,-0.05685,1.155615,0.1555865,-6.0215,404.861,3.0414,0.395586,0.31778225,0.20434625,0.095625,-7.94933,97.6813,-20.8923,-10.7995,-10.55,0.774655,0.675547,-0.0352
1,2.75,-0.2763915,-25.598375,-0.15591875,-0.192692,1.0601575,0.167996,-6.036115,405.1845,3.145075,0.39621875,0.30822825,0.17747825,0.12416525,-8.49221,97.6958,-17.8976,-10.7721,-10.8212,0.767171,0.657255,-0.0302
1,3.25,-0.30413675,-26.44665,-0.693293,-0.113147,0.9919525,0.148783,-6.1195425,404.4,3.11191,0.38706075,0.367026,0.2014295,0.1132285,-8.20677,97.6903,-25.3058,-10.7851,-10.805,0.757688,0.655568,-0.0281
1,3.75,-0.2665855,-24.59715,0.22134675,-0.542881,1.0002735,0.1320575,-6.078945,405.532,2.9355175,0.329771,0.3153795,0.169803,0.113229,-8.69626,97.6449,-22.5128,-10.7869,-10.7911,0.746944,0.6711,-0.0333
1,4.25,-0.2746515,-26.3,0.276262,-0.397454,1.08272,0.1577135,-5.96261,405.21775,3.03523,0.40732,0.376265,0.178484,0.111294,-8.82877,97.6138,-19.77,-10.9468,-10.7746,0.744102,0.675017,-0.0326
1,4.75,-0.2344925,-23.60175,-0.100247,-0.134571,1.0953215,0.144283,-5.89037,405.57,2.9888925,0.4076055,0.3488685,0.2074335,0.098305,-8.94805,97.6095,-17.8214,-11.0631,-10.7532,0.740203,0.666885,-0.0306
1,5.25,-0.2056485,-25.652425,-0.05374275,-0.3921045,1.16266,0.13608,-6.13433,405.33075,3.002535,0.4374535,0.353361,0.17547,0.101716,-8.677465,97.5661,-16.761875,-11.040525,-10.964825,0.73076825,0.6372795,-0.0316
1,5.75,-0.231527,-29.03805,-0.418033,-0.2743965,1.10798,0.1249765,-6.17952,405.42475,2.94698,0.362708,0.296989,0.158463,0.1113325,-9.170825,97.53025,-19.563725,-10.998175,-10.90145,0.74460475,0.6545545,-0.0314
