DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,417.12205,0.956275,409.339975,1.51085,1994.29915,417.02595,0.8217,409.0344,1.4541,2042.7057,417.1354,0.9246,409.10325,1.4052,2029.2502,417.290925,0.979425,410.0518,1.6861,1996.570725,1.1379,-8.1104,0.0522,411.6953,1.414,-0.44115,-0.191175,-0.6585,-5.0291,-3.9708,0.0362,-61.9572,-11.6904,0.1546,0.6495,0.58,0.12,-11.348475,-11.9351,-11.6213,-12.617,-13.4088,94.3014,32.3175,0.209375,-8.8855,-9.386,-10.2035,0,-5,0.5,-1.292,199,263.12,-95.678,196.7575,260.5925,-0.05,-0.43,-0.2,-0.448,-0.13,-0.51,-0.27,-0.39775,-3.39755,-1.504125,1.260375,3.2513,4.37445,-2.80155,-0.95085,1.6434,2.72845,4.713,-2.831725,-0.894925,1.29595,2.977125,3.91055,-3.5568,-1.6512,0.8174,2.5168,3.6514,-3.216925,-0.94845,1.770425,3.1155,4.263825,-38.160025,-37.1725,-34.6216
1,0.75,417.7074,0.67925,409.196875,1.177775,1985.3372,417.686,0.6575,409.444,1.1107,2039.654525,417.829,0.7048,409.93725,1.3496,2028.9154,418.092075,0.964125,409.158,1.75325,1990.35975,0.90755,-8.30995,0.038025,411.541775,1.4074,-1.410525,-0.67665,-1.876225,-5.564125,-4.376775,0.035275,-52.94475,-7.56185,0.20115,0.57125,0.46975,0.1,-11.62275,-11.7157,-11.92235,-12.92125,-13.6118,94.2576,32.6335,0.05205,-9.289,-9.62775,-10.3505,0,-4.986,0.5,-1.348,199.84,262.24,-95.356,199.0375,259.78,-0.04,-0.44,-0.2,-0.44,-0.12,-0.51,-0.26,-0.4055,-3.36705,-1.58145,1.21455,3.2502,4.3709,-2.9186,-1.0439,1.63995,2.726,4.7229,-2.837975,-0.998475,1.22615,2.97365,3.91245,-3.5242,-1.861,0.7847,2.506,3.649,-3.153075,-1.129625,1.755925,3.115275,4.257825,-37.9895,-34.95525,-35.71995
1,1.25,417.1917,0.857725,409.22985,1.165625,1982.378,417.0033,0.779325,410.181975,1.278325,2037.76715,417.3735,0.863075,409.27115,1.300125,2030.3475,417.712525,0.901425,409.68875,1.1788,1996.216,1.12505,-8.542975,0.054825,411.2202,1.3935,-0.13025,-0.2081,-0.178425,-6.900875,-1.9367,0.03865,-44.546,-6.241875,0.20355,0.79425,0.58,0.1,-11.592175,-11.6603,-11.8356,-13.070125,-13.677,94.2946,34.022,0.10985,-9.06575,-9.52225,-9.755,0,-4.90325,0.5,-1.3865,202.245,263.5375,-95.22025,203.2675,262.215,-0.04775,-0.44,-0.2,-0.44,-0.13,-0.51,-0.27,-0.38775,-3.437225,-1.60455,1.1685,3.247875,4.36735,-2.96965,-1.12085,1.5993,2.72445,4.733,-2.87725,-1.127275,1.1673,2.967275,3.9223,-3.6624,-1.88,0.7515,2.4942,3.6456,-3.154575,-1.162525,1.741425,3.1155,4.25005,-37.95875,-35.505875,-36.28275
1,1.75,416.97,0.866925,409.73425,1.3363,2001.13885,417.3546,0.793475,409.4164,1.62775,2050.6055,417.1294,0.85975,409.363875,1.3022,2033.54025,417.2094,0.8792,410.7848,1.326425,1999.8075,0.836,-8.834,0.066,410.9962,1.3956,-0.0517,-0.2713,-0.0401,-3.515425,-3.1413,0.038,-51.257,-7.7747,0.172,0.68,0.48,0.11,-12.368,-11.840575,-12.3992,-13.204,-13.4914,94.301475,34.2155,0.089,-9.12725,-9.472,-9.62325,0,-5.0085,0.4,-1.031,199.4375,264.7725,-94.687,198.56,263.735,-0.04,-0.44,-0.2,-0.45,-0.12,-0.51,-0.26425,-0.38775,-3.5857,-1.6904,1.12565,3.245875,4.363575,-3.09345,-1.19415,1.5843,2.72145,4.7316,-2.978675,-1.243425,1.1379,2.9599,3.931375,-3.9614,-1.9328,0.7151,2.4832,3.6424,-3.211225,-1.225675,1.727925,3.114725,4.243275,-37.82925,-37.29375,-36.8882
1,2.25,415.80455,0.877,409.2424,1.453,2009.0203,413.1228,0.79375,408.786,1.32825,2051.407775,415.1909,0.86,409.3932,1.3036,2037.81045,416.05795,0.889,409.522375,1.68855,2013.266,0.9105,-9.1236,0.060525,410.9805,1.406,-0.025975,-0.20715,-0.05625,-3.819325,-4.150225,0.038,-50.0347,-6.4527,0.171175,0.70275,0.51,0.10225,-12.414525,-12.0357,-12.47045,-13.311525,-13.6706,94.3116,35.114,0.0446,-9.3455,-9.526,-10.24,0,-5.04325,0.4225,-1.18425,199.295,262.585,-95.953,200.495,260.78,-0.04,-0.44,-0.2,-0.44775,-0.12,-0.51,-0.27,-0.38,-3.7892,-1.7826,1.08035,3.242875,4.35925,-3.20295,-1.27045,1.57965,2.71945,4.7276,-3.44525,-1.3445,1.109825,2.95035,3.9389,-4.5498,-2.0074,0.67705,2.4826,3.6392,-3.606075,-1.265325,1.7162,3.1155,4.2355,-37.5011,-36.929075,-36.476625
1,2.75,416.03855,0.86665,408.7475,1.20225,2026.2998,415.3736,0.8118,409.8447,1.14335,2058.1927,415.34015,0.866875,408.68675,1.3096,2030.543375,416.13735,0.90305,408.92475,1.41275,2027.944475,0.7842,-9.15885,0.0491,411.0759,1.375375,-0.201675,-0.449,-0.2984,-7.04295,-3.30675,0.03955,-57.6995,-9.121475,0.193825,0.69125,0.529,0.12,-12.764475,-11.850075,-12.850925,-13.572375,-13.8348,94.2826,35.95,0.16445,-9.86975,-9.44325,-10.693,0,-5.07775,0.4,-1.178,199.0125,260.3,-95.7425,198.9375,258.74,-0.05,-0.43,-0.2,-0.4555,-0.12,-0.51,-0.27,-0.39,-4.010575,-1.849525,1.037375,3.2402,4.354925,-3.29335,-1.346,1.56725,2.71745,4.7218,-3.828575,-1.417975,1.08485,2.940525,3.9462,-5.00845,-2.1076,0.6864,2.482525,3.63935,-4.061325,-1.3206,1.71355,3.1155,4.22695,-37.338025,-36.8025,-36.37855
1,3.25,418.3115,0.8378,409.8402,1.241,2030.7636,417.8035,0.7975,411.106075,1.2811,2060.885625,418.5367,0.88425,409.5196,1.28225,2043.679725,418.9255,0.9131,410.24975,1.25715,2033.79215,1.02125,-9.25725,0.0485,409.500425,1.3715,-0.1105,-0.3946,-0.28515,-3.7935,-4.1733,0.0335,-66.407875,-8.61515,0.1995,0.78125,0.587,0.13225,-12.9562,-11.707375,-13.2331,-13.872975,-14.0472,94.23245,36.858,-0.0336,-10.49975,-9.8405,-10.952,0,-5.06875,0.5,-1.118,197.805,259.62,-96.21175,201.335,259.76,-0.05,-0.44,-0.2,-0.46,-0.12,-0.51,-0.26425,-0.4055,-4.279,-1.8487,0.99585,3.237525,4.3506,-3.3172,-1.41745,1.5518,2.7149,4.7158,-4.1083,-1.429125,1.0601,2.929525,3.951175,-5.2208,-2.334575,0.68505,2.4813,3.637125,-4.246425,-1.319975,1.714,3.11505,4.219175,-37.25795,-35.756425,-36.0739
1,3.75,416.593525,0.79915,409.447175,1.286225,2035.5728,413.5999,0.80385,407.6831,1.6814,2059.548625,413.60955,0.83725,407.379,1.28665,2050.055,415.787075,0.8523,411.70425,1.3494,2042.6161,0.9956,-9.427,0.0516,409.8726,1.405375,-0.12375,-0.37905,-1.02245,-15.034275,-3.6173,0.042,-55.555,-8.3083,0.1674,0.82275,0.568,0.11,-12.4128,-11.769475,-12.7991,-13.7791,-14.0392,94.2344,37.207,-0.06165,-10.55575,-9.57525,-10.997,0,-5.1585,0.4,-1.35025,200.145,261.1625,-95.782,202.8675,257.725,-0.05,-0.44,-0.2,-0.45,-0.13,-0.51,-0.27,-0.38,-4.459825,-1.77605,0.95455,3.234625,4.345275,-3.4301,-1.46955,1.53885,2.7129,4.7096,-4.3627,-1.4184,1.0348,2.91825,3.95615,-5.2346,-2.543025,0.658225,2.4814,3.633125,-4.2405,-1.4743,1.713675,3.1146,4.210625,-36.8013,-37.52805,-34.9872
1,4.25,415.0343,0.749675,408.0153,1.3715,2033.5126,413.2115,0.7286,407.311375,1.6386,2049.391575,415.9045,0.7745,410.0986,1.1512,2049.2784,416.9466,0.821525,409.0224,1.7164,2035.729775,0.90885,-9.433,0.0461,409.387875,1.39575,-0.324275,-0.362625,-0.64715,-5.5932,-2.0848,0.040275,-52.3145,-6.58505,0.185025,0.79975,0.5895,0.11,-12.452825,-12.0136,-12.652875,-13.194625,-13.6678,94.233,36.8405,0.0742,-10.5815,-9.28575,-11.11375,0,-5.0475,0.4225,-1.07425,200.85,261.7875,-95.411,204.515,257.395,-0.05,-0.44,-0.2,-0.45,-0.13,-0.51,-0.27,-0.38,-4.3918,-1.736425,0.914675,3.2315,4.3487,-3.573925,-1.523125,1.52875,2.7109,4.7026,-4.50085,-1.576675,1.00595,2.904525,3.959575,-5.290075,-2.779375,0.635175,2.480175,3.6309,-4.2581,-1.64285,1.711675,3.114925,4.202075,-36.1873,-38.4637,-34.343625
1,4.75,416.3645,0.7595,409.45305,1.152,2033.21925,413.9448,0.6605,410.392,1.08785,2051.5534,415.8325,0.7713,407.344325,1.1985,2049.68175,416.5453,0.827025,407.9298,1.1595,2041.316,1.045275,-9.407125,0.06325,409.455,1.3974,-0.3397,-0.2354,-0.441,-5.9536,-2.375,0.043325,-62.091025,-7.410125,0.205975,0.7955,0.627,0.11225,-12.780425,-12.44715,-13.05755,-13.7983,-14.001,94.2378,36.7895,0.1773,-9.892,-9.6905,-11.12425,0,-5.12275,0.4225,-1.083,199.2025,262.0175,-96.411,202.6125,256.595,-0.05,-0.44,-0.2,-0.45,-0.13,-0.51,-0.27,-0.4,-4.3985,-1.91555,0.8771,3.227925,4.35135,-3.651325,-1.59775,1.51975,2.709275,4.691975,-4.556075,-1.75695,0.97155,2.8908,3.962225,-5.3065,-2.9904,0.612275,2.479725,3.627675,-4.280225,-1.773475,1.71045,3.11525,4.195625,-34.91305,-34.666625,-33.3572
1,5.25,414.391225,0.750175,410.9455,1.07505,2027.4177,414.78685,0.6902,411.5572,1.206,2045.428675,416.1133,0.7842,410.30665,0.9817,2047.58455,415.4499,0.84475,411.666875,1.0518,2033.71255,0.92695,-9.611125,0.044825,410.972125,1.41795,-0.128175,-0.240475,-0.37825,-6.903225,-2.503475,0.040275,-60.7103,-6.80935,0.19595,0.81125,0.65625,0.14,-12.90385,-12.677175,-13.316625,-14.09865,-14.1704,94.307,38.435,0.06665,-10.314,-10.24375,-10.74075,0,-5.01325,0.4,-0.96325,199.035,261.2125,-95.82775,202.9125,256.5525,-0.05,-0.44,-0.2,-0.45775,-0.12,-0.51,-0.27,-0.39,-4.423625,-2.11595,0.838075,3.224125,4.353225,-3.66205,-1.685775,1.50905,2.708275,4.68395,-4.551725,-1.91235,0.933825,2.875075,3.963325,-5.199175,-3.1802,0.586325,2.47905,3.624675,-4.315925,-1.897925,1.710875,3.115025,4.192275,-34.584975,-38.64035,-33.0524
1,5.75,415.2567,0.574525,409.885,1.2793,2034.609025,412.80525,0.69845,409.63545,1.673075,2052.82605,411.6371,0.8002,409.8659,1.199375,2039.2574,412.6153,0.85385,411.9731,1.30575,2036.818,1.061,-9.75025,0.05975,411.3962,1.403125,-0.110725,-0.252025,-0.1901,-5.8338,-4.46955,0.04125,-82.11755,-6.60575,0.21175,0.70825,0.67925,0.142,-12.849675,-12.870025,-13.26465,-14.0298,-14.225675,94.2978,40.147,0.18065,-10.40875,-10.2565,-10.4135,0,-4.99775,0.4,-0.92875,198.8675,261.02,-95.42275,203.745,257.68,-0.05,-0.44,-0.2,-0.44775,-0.12,-0.51,-0.27,-0.41775,-4.3813,-2.2928,0.7965,3.2201,4.3529,-3.603825,-1.7783,1.49665,2.707275,4.67675,-4.483025,-2.039475,0.896875,2.858625,3.964425,-5.026175,-3.309525,0.558275,2.4786,3.62245,-4.2225,-2.015875,1.71095,3.114575,4.1887,-33.03,-38.62405,-32.3866
