DOY2,HR2,CO2,FC,CH4,FCH4,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,RH_2_2_1,RH_2_3_1,TA_2_2_1,TA_2_3_1,TAU,T_SONIC,USTAR,WS,VPD,U_SIGMA,V_SIGMA,W_SIGMA,SW_IN,SW_OUT,TS_1_1_1,TS_1_3_1,NEE
1,0.25,445.497,0.533498,2099.43,-1.21,-5.1409,6.048425,9.7551,302.579818333333,346.567255,-46.208715,102.029,88.7493951666667,94.4490761666667,7.77323703333334,7.5456511,-0.0274,10.304,0.158925,1.91446,4.51928,0.397042818849554,0.383666521865018,0.186279360101972,0,0,13.9254366666667,12.3184655,0.567825
1,0.75,445.434,0.497846,2106.315,-0.958,-5.73687,6.065505,11.51,305.130078333333,345.474228333333,-44.2565883333334,102.028,87.8220296666667,94.478117,7.90743963333333,7.64073231666667,-0.0293,10.019,0.150432,1.8478,4.406415,0.442127809575467,0.38638840562315,0.178885438199983,0,0,13.9377655,12.3317831666667,0.521429
1,1.25,446.141,0.533482,2107.995,-0.3635,-4.41232,6.216015,9.32411,310.148608333334,344.779431666667,-40.9428466666666,102.0115,88.6240013333334,93.9400273333333,7.61158311666667,7.47600288333333,-0.0239,10.0355,0.140727,1.87607,4.385805,0.423884298564929,0.364442739565704,0.154433688515852,0,0,13.943234,12.3482498333333,0.513599
1,1.75,445.723,0.733099,2108.555,-0.217,-5.40279,6.22199,11.37135,310.343606666667,345.674746666667,-38.3406133333334,102.011,87.8174206666667,94.081401,7.62513216666667,7.50217393333333,-0.0315,9.99400000000003,0.158229,1.94046,4.41893,0.422498520707469,0.415497292409951,0.179722007556114,0,0,13.9915866666667,12.3580266666667,0.81336
1,2.25,445.8035,0.5432065,2103.995,-1.675,-5.06191,6.10496,9.81622,313.822093333333,346.09175,-36.2447500000001,102.038,86.70943,94.2073673333333,7.31068056666667,7.36100126666667,-0.0276,9.59200000000001,0.1569585,1.98038,4.36207,0.494858129306901,0.419577760289336,0.174211981967779,0,0,13.9763,12.3686106666667,0.763847
1,2.75,446.759,0.7709545,2107.065,-0.791,-5.84692,5.84633,9.774555,307.255106896552,345.548933333333,-38.1572300000001,102.014,86.5960023333334,93.8526376666667,7.0235756,7.35814576666667,-0.03265,9.23750000000001,0.1639875,1.931855,4.48075,0.443369992350125,0.409168599041253,0.167180863004199,0,0,13.9621190909091,12.3692703333333,0.9226075
1,3.25,446.378,0.537093,2104.84,-0.751,-5.79502,5.94301,10.22695,306.991823333333,345.634853333333,-40.2793299999999,102.013,86.6570226666667,93.6009666666667,6.77125936666667,7.09770216666667,-0.0335,9.05250000000004,0.162403,2.00556,4.39829,0.477311668454442,0.39227039124027,0.194156510019684,0,0,14.0743556666667,12.396865,0.578371
1,3.75,446.567,0.580358,2103.365,-1.065,-4.80109,6.30668,10.56155,307.187406666667,344.991626666667,-39.5322066666668,102.016,87.139385,94.1971141666667,6.71076753333333,7.04827665,-0.0323,9.27300000000002,0.1627505,2.107295,4.22882,0.476357633282086,0.424489426241549,0.205304615564287,0,0,14.1087703333333,12.3763335,0.575789
1,4.25,446.183,0.657004,2105.955,-0.948,-5.42921,6.024685,10.4283,309.701731666666,345.283603333334,-37.2264450000001,102.007,87.0177028333333,93.6116658333333,6.59214171666667,6.91842835,-0.0392,9.11900000000003,0.174593,2.23138,4.338105,0.456487677818361,0.428959205519592,0.204694894904587,0,0,14.1164738333333,12.2711031666666,0.631444
1,4.75,446.258,0.466767,2111.74,-1.16,-4.21164,5.694705,9.89471,312.97076,343.83433,-34.2538933333333,102.0465,86.5665813333333,93.735636,6.68742826666667,7.08553953333333,-0.0344,9.45400000000001,0.163962,2.08175,4.360015,0.500388848796613,0.401089765513906,0.207605394920267,0,0,14.20129,12.2412926666667,0.506254
