DOY2,HR2,G,PPFD_IN,TS_1_2_1,TS_1_1_1
1,0.25,-7.443,0,-2.1495,-2.7455
1,0.75,-7.4755,0,-2.1555,-2.756
1,1.25,-7.48,0,-2.162,-2.766
1,1.75,-7.506,0,-2.17,-2.7775
1,2.25,-7.797,0,-2.1775,-2.7855
1,2.75,-7.702,0,-2.1845,-2.7915
1,3.25,-7.5385,0,-2.192,-2.799
1,3.75,-7.5125,0,-2.199,-2.806
1,4.25,-7.5045,0,-2.2065,-2.8145
1,4.75,-7.508,0,-2.214,-2.8205
1,5.25,-7.5405,0,-2.221,-2.8285
1,5.75,-7.913,0,-2.229,-2.8355
1,6.25,-7.991,0,-2.2355,-2.843
1,6.75,-7.9665,0,-2.243,-2.851
1,7.25,-7.944,0,-2.251,-2.857
1,7.75,-7.9215,5.216,-2.2565,-2.852
1,8.25,-7.6595,39.984,-2.2645,-2.8475
1,8.75,-7.662,93.295,-2.2735,-2.846
1,9.25,-7.695,153.27,-2.2825,-2.844
1,9.75,-7.849,218.75,-2.293,-2.8425
1,10.25,-7.7575,285.1,-2.302,-2.84
1,10.75,-7.6405,355.216,-2.3105,-2.8365
1,11.25,-7.2925,397.227,-2.316,-2.834
1,11.75,-7.083,501.532,-2.3205,-2.828
1,12.25,-5.9975,547.31,-2.3235,-2.8215
1,12.75,-5.5095,510.514,-2.329,-2.8125
1,13.25,-5.086,499.504,-2.326,-2.8005
1,13.75,-4.9535,487.335,-2.317,-2.7875
1,14.25,-4.8395,394.04,-2.3085,-2.774
1,14.75,-4.785,343.337,-2.303,-2.7635
1,15.25,-4.918,243.378,-2.2955,-2.7525
1,15.75,-5.0425,151.242,-2.2925,-2.7465
1,16.25,-5.5275,55.34,-2.2885,-2.7385
1,16.75,-5.96,10.431,-2.286,-2.734
1,17.25,-6.183,0.58,-2.285,-2.7315
1,17.75,-6.35,0,-2.2855,-2.729
1,18.25,-6.5085,0,-2.288,-2.73
1,18.75,-6.642,0,-2.2895,-2.731
1,19.25,-6.776,0,-2.291,-2.7365
1,19.75,-6.91,0,-2.2935,-2.7405
1,20.25,-6.9115,0,-2.2955,-2.745
1,20.75,-6.832,0,-2.299,-2.751
1,21.25,-6.8505,0,-2.3025,-2.756
1,21.75,-6.8895,0,-2.309,-2.7645
1,22.25,-6.835,0,-2.314,-2.773
1,22.75,-6.7325,0,-2.319,-2.772
1,23.25,-6.633,0,-2.325,-2.773
1,23.75,-6.662,0,-2.332,-2.7745
2,0.25,-2.7635,0,-2.796,-2.58
2,0.75,-2.813,0,-2.786,-2.575
2,1.25,-2.8525,0,-2.7775,-2.572
2,1.75,-2.86,0,-2.7665,-2.577
2,2.25,-2.9025,0,-2.7565,-2.5815
2,2.75,-2.95,0,-2.7475,-2.5855
2,3.25,-2.9855,0,-2.7385,-2.5905
