DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,7.75,391.007625,0.04449385725,2.02877,1991.45,-0.250051975,1.4261025,-39.11725,-0.919862,1.77524,0.120168,-0.0837258,0.55438001175,0.486006046,0.11775454825,100.9235,59.49805,-23.71,1.3234125,-19.28475,0.29938325775,-52.73,-0.1055,-0.09475,-2.16925,-0.0745,172.375,212.8,-0.96025,-3.1555,-1.70475,-2.1365,-55.7425725,-25.3575
1,8.25,390.90375,0.024140381,2.305785,2030.49,0.138638,7.75396,-19.2883,-1.41378,2.31389,0.129823,-0.089214,0.469568951,0.435103436,0.092895156,100.985,59.81375,-23.005,1.20015,-17.691,0.248969677,-53.7375,-0.107,-0.10025,-2.09125,-0.10325,172.7,212.45,-0.95225,-3.15375,-1.70675,-2.13,-55.7836225,-25.4875
1,8.75,391.254,0.024420934,2.12724,2022.125,-0.215614,8.09619,-19.083325,-5.76991,1.26805,0.155309,-0.14274,0.766795931,0.490972504,0.130707689,101.044,53.5059,-23.1275,1.2763925,-17.788,0.163938708,-53.58,-0.102,-0.09425,-2.14,-0.132,172.6,212.55,-0.95125,-3.149,-1.70875,-2.21,-55.83395,-25.47
1,9.25,391.26825,0.033105136,1.9768325,2023.56,0.17120175,5.4615925,-22.464025,-2.89465,2.23039,0.10525,-0.194601,0.623266396,0.427222425,0.130706159,101.064,53.4628,-23.265,1.20402,-19.071,0.14004892,-57.7375,-0.102,-0.096,-2.104,0.2085,171,211.4,-0.963,-3.14575,-1.71675,-2.31475,-55.891685,-25.995
1,9.75,391.18675,0.037765328,1.398895,2023.5375,0.232963,7.7506925,-36.554725,-8.962945,1.58102,0.151878,-0.105560725,0.472806514,0.564985841,0.109603832,101.074,41.7263,-22.5675,1.12568,-17.648,0.222058326,-58.18,-0.10025,-0.09325,-2.1965,6.432,168.5,212.125,-0.95375,-3.14775,-1.7165,-2.43925,-55.87701,-26.345
1,10.25,391.1156,0.02232845975,1.54153,1984.7275,0.28378,-1.2721695,-24.931175,-2.162495,1.76827,0.1823595,-0.09105985,0.52244742325,0.4939979525,0.129128773,101.07875,44.7578,-23.0375,1.086295,-17.864,0.18424361075,-57.74,-0.07725,-0.07,-2.03275,16.085,168.3,211.725,-0.94325,-3.142,-1.71325,-2.49475,-55.870315,-26.4
1,10.75,391.04445,0.0426491995,1.5418905,1986.0725,0.0869697,0.402456,-19.328875,1.180705,2.34841,0.1564944,-0.1697965,0.38280620675,0.42114631625,0.12297733775,101.08375,44.79425,-23.36,0.9674415,-18.3855,0.203741236,-57.54,0.3555,0.3565,-1.5185,0.58525,167.75,212.3,-0.948,-3.0375,-1.707,-2.2135,-55.0003,-25.835
1,11.25,390.9733,0.0376571490833333,1.72032,1992.7,-1.3864385,0.01683025,-16.3765,-0.0481325,2.2324375,0.149723266666667,-0.17994925,0.403205638333333,0.466836037083333,0.12908978925,101.088333333333,44.03855,-23.87,1.047175,-19.4864166666667,0.2091239945,-54.9125,3.1435,3.3395,0.1685,2.0755,168.35,211.85,-0.94375,-3.0345,-1.711,-2.0565,-54.980265,-26.03
1,11.75,390.90215,0.0326650986666667,1.82846,1991.585,0.3522605,-4.5251925,-15.230375,1.20683,2.116465,0.142952133333333,-0.224849,0.423605069916667,0.512525757916667,0.13520224075,101.092916666667,45.080875,-23.9325,1.0746025,-20.5873333333333,0.214506753,-53.6625,11.3,12.0475,3.8565,6.9445,168.9,211.4,-0.94725,-3.48175,-1.79575,-2.5135,-57.77055,-25.8025
1,12.25,390.831,0.02767304825,1.4018135,1995.3825,-0.591252,1.1746965,-14.1668,-1.228685,2.0004925,0.136181,-0.0818899,0.4440045015,0.55821547875,0.14131469225,101.0975,43.8695,-23.755,1.08711,-21.68825,0.2198895115,-56.665,24.6175,24.2725,11.0175,12.08,170.875,212.825,-0.94575,-3.47075,-1.796,-2.66625,-57.8011675,-25.445
1,12.75,390.801,0.0333588985,1.466122,2000.23,0.226337,1.70938,-35.1354,-2.9160015,1.8575025,0.08681145,-0.0466214,0.54494200625,0.355117695,0.09049102825,101.118,45.42185,-23.6025,1.0728675,-21.37825,0.2082039625,-53.74,38.6175,41.1375,19.015,22.58,171.175,213.35,-0.9485,-3.458,-1.78225,-2.66575,-57.8562675,-25.2225
1,13.25,391.992,0.036507151,1.94192425,2014.98,-0.26226315,0.0342937,-37.0518,-8.02137,1.4159875,0.115320525,-0.0496632,0.459290352,0.41616111975,0.0760934915,101.20875,45.38165,-23.275,1.17405,-21.008,0.1908128215,-52.895,47.99,53.345,25.1975,28.53,170,215.075,-0.949,-3.44575,-1.7845,-2.74225,-57.9475125,-24.6375
