DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,0.0474,0.30329966,-9.0966386705,0,-15.105,-4.914,68.155,0.1848,89.7,0.308,-18.54,0,0.6148285,-4.539,2.1265,-5.017,-8.69,-7.494,-4.6315,-6.836,-6.13575,398.9
1,0.75,0.0821,0.328756,-13.19974134,0,-15.15,-4.803,68.32,0.19206,89.7,0.276,-17.675,0,0.32454,-4.536,2.075,-4.841,-8.65,-7.373,-4.59,-6.703,-6.0275,398.6
1,1.25,0.0644,0.232421504,-8.42155,0,-15.23,-4.911,68.14,0.18873251,89.7,0.287,-15.49,0,0.359176,-4.547,2.08,-5.072,-8.77,-7.485,-4.731,-6.9075,-6.1915,398.7
1,1.75,0.109321786,0.390428627,-9.751977037,0,-15.65,-4.93,68.26,0.20325478,89.7,0.351,-14.9,0,0.336316,-4.553,2.23,-5.149,-8.8,-7.548,-4.809,-7.032,-6.1815,398.6
1,2.25,0.0498,0.557698808,-5.193674874,0,-15.4,-4.891,68.07,0.18678,89.7,0.26,-15.215,0,0.386376,-4.522,2.29,-5.186,-8.86,-7.579,-4.852,-7.1305,-6.1395,398.75
1,2.75,0.039,0.346722,-7.572527982,0,-15.27,-4.908,68.65,0.17614,89.7,0.291,-18.31,0,0.325127,-4.542,1.977,-5.23,-8.92,-7.606,-4.891,-7.1015,-6.186,398.75
1,3.25,0.0798,0.357529,-12.12621768,0,-15.18,-4.893,68.4,0.18720378,89.7,0.269,-17.64,0,0.386601,-4.582,2.141,-5.259,-8.9,-7.603,-4.831,-7.1105,-6.162,398.6
1,3.75,0.03545,0.51132,-9.143993968,0,-15.12,-4.878,68.83,0.179046931,89.7,0.29,-17.33,0,0.334298,-4.609,2.237,-5.23,-8.89,-7.604,-4.827,-7.0755,-6.221,398.75
1,4.25,0.005734946,0.421919283,-8.2367697195,0,-14.76,-4.919,68.56,0.189192806,89.7,0.304,-17.705,0,0.36325,-4.532,2.19,-5.223,-8.88,-7.601,-4.732,-7.159,-6.118,398.7
1,4.75,0.0689,0.5495280875,-8.0332228805,0,-15.51,-4.89,68.43,0.189117129,89.7,0.265,-14.825,0,0.34417,-4.552,2.348,-5.237,-8.85,-7.61,-4.724,-7.046,-6.1255,398.65
1,5.25,0.0325,0.631707838,-8.3992146145,0,-15.75,-4.926,68.45,0.190541752,89.7,0.25,-13.69,0,0.370186,-4.501,2.025,-5.242,-8.78,-7.554,-4.777,-7.064,-6.1295,398.9
1,5.75,0.05715,0.5843342985,-7.441505,0,-15.48,-4.944,68.33,0.19483,89.7,0.264,-13.135,0,0.331949,-4.574,2.009,-5.192,-8.73,-7.573,-4.8,-7.0865,-6.135,398.7
1,6.25,0.0438,0.527733958,-8.748865626,0,-15.64,-4.921,68.73,0.18252,89.6,0.256,-14.88,0,0.357734,-4.582,2.139,-5.196,-8.78,-7.578,-4.851,-7.12,-6.1395,398.8
1,6.75,0.0233,0.3997194385,-8.7153365435,0,-15.46,-4.914,68.68,0.164845,89.6,0.237,-14.3,0,0.334335,-4.615,2.031,-5.176,-8.75,-7.601,-4.863,-7.089,-6.144,398.7
1,7.25,0.0211,0.3636755,-6.327518714,0,-15.69,-4.951,68.47,0.165988982,89.6,0.258,-13.89,0,0.369382,-4.591,2.029,-5.176,-8.73,-7.614,-4.899,-7.015,-6.1535,398.7
1,7.75,0.0299,0.7220236915,-7.469179298,0,-15.7,-4.987,68.13,0.1809320315,89.6,0.273,-14.01,0,0.322495,-4.645,1.996,-5.189,-8.7,-7.6,-4.903,-6.9935,-6.1825,398.1
1,8.25,0.027,0.1259743675,-10.1021,0,-15.81,-4.93,68.36,0.18513655,89.6,0.267,-14.5,0,0.556946,-4.594,1.968,-5.274,-8.7,-7.635,-4.91,-7.088,-6.1915,398.6
1,8.75,0.0278,0.361791,-11.52726781,0,-15.18,-4.918,68.39,0.175555625,89.6,0.343,-16.64,0,0.520121,-4.541,2.094,-5.237,-8.66,-7.67,-4.906,-7.068,-6.182,398.5
1,9.25,0.0345,0.47695487,-5.0967494155,0,-15.35,-4.944,68.23,0.1515552595,89.6,0.307,-17.42,0,0.563257,-4.514,2.133,-5.235,-8.74,-7.679,-4.896,-7.107,-6.1805,398.6
1,9.75,0.02825,0.506310247,-3.142836911,0,-15.38,-4.956,68.09,0.160275839,89.6,0.371,-19.31,0,0.6339,-4.439,2.116,-5.186,-8.67,-7.684,-4.882,-7.015,-6.195,398.4
1,10.25,0.0351,0.671887632,-7.822169524,0,-15.69,-4.937,67.81,0.180376658,89.6,0.621,-17.175,0,1.2099,-4.45,2.065,-5.218,-8.69,-7.689,-4.866,-6.968,-6.218,398.4
1,10.75,0.00155,0.481805627,-6.054404863,0,-15.4,-4.931,67.71,0.178756704,89.6,1.208,-17.71,0.485207,2.53187,-4.457,2.088,-5.167,-8.68,-7.687,-4.842,-6.9665,-6.1885,398.4
1,11.25,0.012725,0.47143,-5.50567,1.234,-15.25,-4.881,67.89,0.16266,89.6,2.323,-17.53,3.00629,5.60439,-4.44,1.96,-5.208,-8.73,-7.639,-4.819,-7.0015,-6.194,398.3
1,11.75,0.012195,0.1519508385,-7.283671389,3.183,-15.43,-4.884,67.79,0.19851041,89.6,3.739,-18.71,7.21573,10.6995,-4.484,1.888,-5.237,-8.76,-7.63,-4.788,-7.0075,-6.1665,398.5
1,12.25,0,0.331722,-11.061820435,5.2,-15.01,-4.855,68.07,0.200282414,89.6,5.416,-15.66,11.4657,15.2445,-4.476,2.004,-5.276,-8.74,-7.624,-4.745,-6.994,-6.122,398.3
1,12.75,0.038441972,0.5832598035,-14.09477465,6.433,-14.49,-4.891,67.96,0.164014,89.6,6.541,-18.86,14.711065405,18.7484,-4.455,1.988,-5.261,-8.73,-7.621,-4.779,-7.006,-6.126,398.3
1,13.25,0.0387,0.357552,-13.88812456,7.358,-15.16,-4.8645,68.2,0.1796426185,89.6,6.9185,-18.97,15.4740773,19.1742,-4.436,2.1425,-5.277,-8.74,-7.624,-4.8215,-7.067,-6.11175,398.7
1,13.75,0.0341,0.779528,-12.78802945,6.099,-14.91,-4.803,68.325,0.20041327,89.6,6.342,-21.24,13.6398,17.19295,-4.429,1.897,-5.284,-8.7,-7.6025,-4.809,-7.084,-6.1325,399.85
1,14.25,0.00956,0.2722024815,-16.92988347,4.343,-14.985,-4.798,67.84,0.18044008,89.6,4.8355,-20.52,9.58864,12.43255,-4.4715,2.032,-5.2545,-8.62,-7.5745,-4.7825,-7.0725,-6.0825,398.6
1,14.75,0.05368267,0.2127635,-11.91114321,2.1135,-15.015,-4.8105,68.02,0.2048383345,89.6,3.2385,-21.31,5.00215,7.76438,-4.449,2.1125,-5.264,-8.615,-7.5025,-4.7465,-7.079,-6.068,399
1,15.25,0.01361,0.4880202725,-8.6833221085,0.426,-14.73,-4.851,67.86,0.20788,89.6,1.581,-21.81,1.59649,3.52179,-4.543,2.128,-5.298,-8.78,-7.431,-4.795,-7.1095,-6.076,399.65
1,15.75,0.04305,0.4400522105,-15.97548975,0,-15.21,-4.867,68.18,0.193979482,89.6,0.928,-24.77,0.168262,1.57158,-4.59,2.183,-5.283,-8.79,-7.41,-4.741,-7.093,-6.037,399.7
1,16.25,0.00705,0.43725,-7.48563,0,-15.55,-4.869,68.4,0.187091092,89.6,0.478,-20.64,0,0.805564,-4.636,2.078,-5.31,-8.8,-7.5,-4.785,-7.109,-6.052,399.6
1,16.75,0,0.7391933245,-6.538134714,0,-15.42,-4.889,68.2,0.183598,89.6,0.366,-14.89,0,0.393008,-4.689,1.974,-5.33,-8.8,-7.552,-4.762,-7.1285,-6.076,399.4
1,17.25,0,0.8227575315,-10.00256142,0,-15.65,-4.902,68.97,0.19099,89.6,0.308,-19.405,0,0.38157,-4.672,2.008,-5.329,-8.84,-7.566,-4.733,-7.142,-6.084,399.8
1,17.75,0.004935,0.4861269915,-6.754196367,0,-15.81,-4.911,68.36,0.1720148065,89.6,0.295,-19.65,0,0.333716,-4.693,2.122,-5.326,-8.78,-7.581,-4.741,-7.1665,-6.078,399.1
