DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,0.5393,0.077255,-1.9658,-2.67733,-3.1,-2.002405,415.18463,4.92627,90.25929,-2.12246,0.29479,-1.18207,-2.4795,-2.239,87.93,0,0,0,267.86667,301.97,-35.57,-0.103,0.386,1.17,1.859,2.9025,4.3695,0.09,0.39,0.420655,0.099155,1.06
1,0.75,0.47,0.161,-2.18108,-3.15614,-3.1,-2.00243,415.80647,4.87096,90.25,-2.330185,0.297975,-1.23708,-2.519,-2.253,87.652,0,0,0,264.46667,302.3,-37.96,-0.1315,0.37,1.147,1.8315,2.895,4.3705,0.1,0.39887,0.435,0.100975,1.0375279935
1,1.25,0.44,0.09408,-1.75,-3.190415,-3.122365,-2.002455,416.2,4.89257,90.247785,-2.35153,0.29,-1.28841,-2.71,-2.4175,87.9245,0,0,0,268.7,302.2,-35.463335,-0.131,0.3035,1.119,1.8205,2.9015,4.3685,0.09,0.41,0.43722,0.10197,1.026
1,1.75,0.45,0.16,-1.6075,-3.191775,-3.430005,-2.002385,415.81765,4.9,90.269,-2.33706,0.30029,-1.36819,-2.595,-2.279,88.9,0,0,0,269.07,302.1,-32.76,-0.14,0.295,1.096,1.821,2.905,4.3825,0.1,0.42,0.47,0.1,0.97
1,2.25,0.4082,0.173,-1.797045,-3.192,-3.62449,-2.0024,416.5,4.9,90.26106,-2.3452480345,0.307065,-1.4472,-2.474665,-2.3,89.1333,0,0,0,271.7,302.53,-32.08333,-0.16,0.28,1.0725,1.82,2.89,4.383,0.1,0.432191165,0.434475,0.10268,1.012
1,2.75,0.43,0.19686,-1.54,-3.173465,-4.10167,-2.0026,416.686215,4.9,90.27599,-2.29,0.314597565,-1.5629,-2.649,-2.27,89.784,0,0,0,273.4667,302,-31.64,-0.1875,0.2285,1.025,1.7845,2.882,4.377,0.099491089,0.435163684,0.46553,0.10656,1.04
1,3.25,0.39,0.28,-1.70398,-3.19264,-4.10157,-2.00266,416.5701,4.9,90.286,-2.409185972,0.31,-1.709195,-2.59,-2.371,89.243,0,0,0,273.36667,301.516665,-30.275,-0.2045,0.213,1.01,1.7845,2.8805,4.3715,0.094645,0.43,0.442715,0.104415,1.04
1,3.75,0.48,0.0525,-1.558,-3.192,-3.99852,-2.0027,416.6,4.9152,90.2855,-2.63003,0.2834,-1.600485,-2.6545,-2.49,89.46667,0,0,0,271.448335,301.43,-31.55667,-0.197,0.198,1.0285,1.765,2.873,4.361,0.098,0.455,0.44831,0.09547,0.997961403
1,4.25,0.43,0.33903,-1.6195,-3.194235,-4.1,-2.0027,416.106465,4.93249,90.29535,-2.51032,0.28149,-1.54208,-2.71,-2.372,89.665,0,0,0,275.616665,301.24835,-29.97,-0.227,0.1815,0.997,1.7395,2.8765,4.362,0.1,0.435,0.490385,0.1,0.992124465
1,4.75,0.361,0.247845,-1.6305,-3.194235,-4.1,-2.002655,416.02737,5,90.2774,-2.87586,0.3,-1.65798,-2.73,-2.2927,89.65,0,0,0,273.365,301.50165,-28.836665,-0.244,0.1945,0.98,1.735,2.9,4.372,0.08836,0.43421,0.43,0.097865,0.977
1,5.25,0.355,0.2392,-1.33,-3.19525,-4.101805,-2.0027,415.54996,5.00076,90.26,-2.75,0.29213,-1.58733,-2.8255,-2.56,89.96667,0,0,0,275.55,300.815,-28.973335,-0.27,0.162,0.953,1.7145,2.881,4.358,0.1,0.41,0.46,0.102635,1.029693641
1,5.75,0.41,0.29592,-1.47482,-3.2,-4.10528,-2.00262,416.218505,4.93115,90.247,-2.80615,0.28585,-1.64226,-2.839335,-2.6237,89.93333,0,0,0,272.53,301.07,-29.03,-0.33,0.13,0.907,1.7155,2.8705,4.3595,0.09977,0.39732,0.44,0.10025,1.02
1,6.25,0.34,0.27,-1.4251,-3.2,-4.37524,-2.0027,416.8,5.01121,90.2515,-2.74,0.29,-1.5658,-2.84,-2.63,89.916665,0,0,0,272.37,300.26667,-30.06,-0.378,0.118,0.907,1.732,2.88,4.36,0.11,0.42716,0.43373,0.10726,0.99
1,6.75,0.295,0.21938,-1.346,-3.1976,-4.189345,-2.002715,416.94484,5,90.25214,-3.01,0.28,-1.6378,-3.06267,-2.51,89.599985,0,0,0,275.87,300.7,-27.87,-0.413,0.1005,0.884,1.726,2.8865,4.3605,0.1067,0.42212,0.48,0.10915,1.021065161
1,7.25,0.225,0.04497,-1.2075,-3.2,-4.4781,-2.00262,417,5,90.26674,-2.995,0.27,-1.76527,-3.07565,-2.623,89.67,0,0,0,273.366665,300.206665,-28.275,-0.414,0.117,0.88,1.714,2.885,4.36,0.1,0.40793,0.48,0.11,0.988210593
1,7.75,0.1625,0.324055,-1.043,-3.2,-4.105365,-2.002735,417,4.970255,90.27755,-3.331756514,0.29,-1.76339,-3.125,-2.7565,89.683335,11.591,0,0,266.53333,299.5,-27.21667,-0.4145,0.096,0.87,1.68,2.877,4.35,0.0936832245,0.41,0.43575,0.103865,0.9802191995
1,8.25,0.16,0.35388,-1.2725,-3.2,-4.10317,-2.00275,416.50324,5.010925,90.29,-2.844569611,0.3238,-1.0563,-2.9235,-2.53,87.85,60.406,29.55667,11.83,263.9,299.918335,-5.27,-0.418,0.099,0.849,1.64,2.823,4.306,0.091,0.43,0.45,0.10211,0.9
1,8.75,0.11,1.23859,-0.119,-3.2,-3.1,-2.002655,415.55,5.1998394815,90.32475,-1.94397,0.412635,-0.45803,-2.616,-1.728,84.734,161.775,85.168335,25.15333,273.33333,304.13333,26.29,-0.3605,5e-04,0.766,1.4485,2.721,4.2405,0.1,0.42795,0.467411614,0.13,0.7905
1,9.25,0.08,4.07611,4.55,-3.19095,-3.1,-2.002235,414.4,5.5,90.317125,-0.99,0.41,1.0949,-1.55,-0.61,80.80715,243,119.638335,29.84667,268.75,309.7333,59.23,-0.1835,0.107,0.778,1.472,2.7415,4.215,0.133213069,0.420226308,0.4247,0.169845,0.7045
1,9.75,0.05,10.49374,15.0545,-2.4827,-3.07633,-2.00208,410.9,5.6,90.36486,0.957445,0.36729,2.35809,-0.73,1,75.90333,334.73,174.8,38.575,272.85,313.73,97.20333,-0.03,0.202,0.78,1.444,2.71,4.23,0.160351488,0.45655,0.46266,0.229146589,0.7315
1,10.25,-0.401,13.64075978,31.5855,-2.1279,-2.11965,-2.00188,408.9,5.50202,90.332625,1.911785,0.364260738,3.17688,0.148,1.64,71.57,423.75,223.26667,43.17,280.298335,318.685,136.508335,0.274,0.44,0.8145,1.496,2.76,4.27,0.19576,0.57123,0.50658,0.28707,0.8748361875
1,10.75,-0.49,15.21529,44.937657235,-2.1277,-2.1,-2.00168,407.86486,5.6,90.2973,2.47,0.391426867,3.9579,0.865165,2.38,67.83,512.47,271.5667,47.475,276.73,322.03333,161.5,0.497,0.541,0.891,1.504,2.767,4.296,0.219365,0.55521,0.57116,0.33,0.97815
1,11.25,-0.653,15.3865,54.97914918,-2.1,-2.0508,-2.0013,408.05736,5.8,90.27,2.96,0.389487756,4.84735,1.506165,3.032,64.044,571.43,294.33,51.252,279.83,325.9,176.24,0.8425,0.714,0.956,1.5575,2.8005,4.317,0.23282,0.62836,0.61956,0.3532,1.024432789
1,11.75,-0.5156585,15.68655,54.55,-2.1,-2,-2.00099,406.61992,5.77948,90.2348,3.63,0.3825971835,4.80786,2.27,3.74,61.157,633.555,336.785,54.975,283.86835,328.948335,194.505,1.166,0.87,1.03,1.59,2.844,4.413,0.25,0.6271,0.6800624145,0.3682,1.0735
1,12.25,-0.4972,16.83,61.6085,-1.66605,-1.973515,-2.00066,406.3,5.7,90.19491,4.16761,0.36028,5.84936,2.874,4.21,60.13,601.17835,307.95,55.855,278.73,331.485,194.898335,1.639,1.0285,1.09,1.6275,2.875,4.4125,0.26,0.7021,0.71996,0.37309,1.124
1,12.75,-0.53555,17.83543,59.35708352,-1.08216,-1.41752,-2.000035,405.68414,5.8,90.16,4.55,0.362792001,6.38333,3.3358,4.565,59.57,602.546,304.1,55.4185,282.36667,332.816665,191.39,1.8975,1.163,1.11,1.609,2.8575,4.4205,0.2723271085,0.74,0.72,0.38484,1.21
1,13.25,-0.4853065,16.52,59.85,-1.063795,-1.02525,-2,405.45,5.713215,90.14052,5.015,0.35,6.87856,3.64983,4.99,58.3685,577.46,291.47,54.24,283.485,333.6667,180.16667,2.253,1.3295,1.153,1.603,2.83,4.4205,0.27,0.76972,0.715605,0.38,1.258686827
1,13.75,-0.46,13.62,51.5842,-1.06337,-1.025,-2,404.9,5.7,90.11637,5.25367,0.31303,7.270115,3.943,5.04865,57.9715,529.47,268.06,51.678,283.43335,334.8667,167.09,1.885,1.3,1.216,1.64,2.849,4.425,0.29,0.74604,0.76,0.38343,1.295
1,14.25,-0.42105,12.91745,36.721,-1.06327,-1,-2,404.9,5.7,90.139745,5.494975,0.289585,7.36704,4.02,5.167,58.017,463.985,240,43.63,281.46667,334.635,132.348335,2.12,1.457,1.3695,1.733,2.905,4.48,0.29,0.73,0.69287,0.37339,1.278896586
1,14.75,-0.263687,11.0011,23.7401,-1.063,-1.0251,-1.9679,404.302015,5.7,90.147415,5.62,0.258465,7.1076,4.2803,5.34,57.3767,384.8,196.06667,39.173335,283.3,334.6,99.4,2.404,1.55,1.381,1.78,2.952,4.48,0.27334,0.70955,0.71,0.36104,1.345
1,15.25,-0.12,6.97,11.94995,-1.063225,-1.02532,-1.367195,404.45,5.632027147,90.153,5.533465,0.2135,6.82427,4.2527,5.234,57.04667,270.2595,140.36667,32.97,279.453335,332.6,65.078335,2.203,1.647,1.412,1.8305,2.936,4.51,0.26789,0.6798286435,0.7129189875,0.32897,1.28
1,15.75,-0.04,3.95,0.475,-1.063345,-2,-1.100525,404.55,5.67217,90.153,5.25975,0.19,6.17632,4.16917,5.108,59.165665,166.50165,90.201665,24.614835,278.033335,330.77,23.7,1.8695,1.6,1.459,1.8665,2.937,4.4985,0.244,0.67,0.62,0.30401,1.24
1,16.25,0.058,1.97,-4.6468,-1.063555,-2,-1.000705,405.3,5.6,90.19512,5.01,0.23,5.126505,4.0213,4.88735,61.31,83,41.91,11.486,273.3,328.048335,-10.72115,1.5175,1.3205,1.518,1.922,2.9635,4.4905,0.20748,0.5873,0.54199,0.241,1.218583441
