DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,0.25,-22.92518,4.460197,0.9249141,-0.5374126,-0.562833,0.0087119675,388.3735,13.84342,91.75624,1.218117,2.116787,0.2151449,342.3779,381.45385,89.7866,-46.88475,-0.587763,1.13501,-12.4753,-19.72969,-17.46516,-0.057368055,22.5455,13.71247,102.7911,0.53081485,0.40384085,0.2724544,0.254479535,1.51808483,0.1997809
1,0.75,-20.89797,3.813138,1.415841,-0.37159105,-0.26896905,0.015262315,389.36395,13.67292,91.804,1.181811,2.017724,0.19572315,342.01045,380.7829,89.18035,-44.86795,-0.398901,1.2060415,-13.0297,-20.48927,-18.318455,-0.047348325,22.566865,13.537785,102.75755,0.4860501,0.38588495,0.26724355,0.24752485,1.5076605,0.19497335
1,1.25,-26.1475,6.248012,1.140825,-0.0912943,-0.102078,0.01234309,389.68385,13.5475,92.45545,1.1406,2.2312075,0.2251705,339.6123,379.82985,89.755505,-43.22868,-0.4149259,1.143437,-11.3603,-18.01621,-16.772175,-0.063572365,22.58631,13.148015,102.72935,0.5729413,0.4377843425,0.28970615,0.2560066,1.332513,0.1986657
1,1.75,-25.45414,4.2093785,1.105922,-0.20807715,0.001648973,-0.038839465,389.33725,13.21031,92.634385,1.1284225,2.3883185,0.2448729,342.61255,378.596,89.83259,-41.81955,-0.4092028,1.167215,-13.6122,-19.92306,-18.934455,-0.07579503,22.555795,12.96776,102.72615,0.656862999,0.5244734,0.3334958,0.2506516755,1.0446835,0.1722065
1,2.25,-22.279545,6.39268,1.1116345,-0.1026196,-0.2976008,0.01834134,389.5373,12.947915,91.75364,1.151612,2.342239,0.2443918,342.9138,379.0738,90.31542,-40.63802,-0.59463205,1.15849,-14.30965,-21.29502,-19.958355,-0.07544364,22.38528,13.01653,102.719,0.6184540005,0.48526345,0.303449337,0.231041953,0.9431935,0.1695278
1,2.75,-23.320295,5.183263,1.246395,-0.37932935,-0.4646682,0.02826089,390.3109,12.803415,93.01262,0.98312535,2.1593995,0.2378156,344.6988,377.3332,91.05002,-43.2564,-0.3307961,1.14735,-14.863915,-22.2588,-20.34263,-0.06936221,22.232575,12.84129,102.7137,0.58325745,0.4447710475,0.29361985,0.24098395,1.248077414,0.1492803
1,3.25,-29.22498,3.909362,1.215524,-0.20741085,-0.133535,0.02441357,390.3587,13.38014,94.763425,0.8400838,2.16587,0.2170236,346.41295,376.6885,92.457345,-43.4812,-0.35168555,1.1867785,-14.845375,-22.216255,-20.64879,-0.057963005,21.740745,12.741075,102.70765,0.55311835,0.4684862275,0.277757114,0.241957194,1.068004004,0.1676383
1,3.75,-29.045095,3.66175,1.159473,-0.19021,-0.1518838,-0.0125666,390.126,13.611525,95.770275,0.7567313,2.14339,0.21583185,346.88375,377.16875,93.08482,-41.219505,-0.5116465,1.288813,-15.0142,-23.004465,-20.704125,-0.05847265,22.161405,13.0935,102.7227,0.61087165,0.4358677,0.275305877,0.25469425,1.381662,0.1836714
1,4.25,-25.647775,5.3787765,1.157241,-0.22105245,-0.2624649,0.009175287,390.5802,13.774015,96.07667,0.7308168,2.270738,0.2291701,346.70555,379.6906,93.423945,-38.467755,-0.3971844,1.2280145,-14.8005,-23.25682,-20.665095,-0.065349785,21.93285,13.43135,102.7219,0.60887985,0.4407102,0.30314105,0.2319636,1.063207,0.14698345
1,4.75,-27.889745,5.183823,1.316066,-0.05897591,-0.085838785,0.0002106373,390.3643,13.79083,95.95097,0.71948295,2.3038955,0.22730015,345.07535,380.7118,93.776955,-40.209735,-0.44726155,1.1976145,-15.29965,-23.53139,-20.91438,-0.064183535,21.95023,13.3555,102.7158,0.5797841,0.44133845,0.29844745,0.2397680475,0.998075727,0.1410258
