DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_1_2_1,TS_2_2_1,TS_3_2_1,TS_1_3_1,TS_2_3_1,TS_3_3_1,TS_1_4_1,TS_2_4_1,TS_3_4_1,TS_1_5_1,TS_2_5_1,TS_3_5_1,TS_1_6_1,TS_2_6_1,TS_3_6_1,G_1_1_1,G_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,434.467128,6.941045,2079.386416,-0.24899675,-1.129361,-9.020481,-0.449616,0.799596,0.063441,-0.0367285,0.33949,0.060235,13.874257,0.1948185,101.58,81.9,6.1125,0.58586,6.329,5.98425,6.07075,6.611,6.39575,6.63725,7.5675,7.2445,7.42075,8.355,8.0775,8.2025,9.08,8.9475,9.375,10.1775,10.0975,10.405,-27.76016275,-22.95023125,-68.55769225,-93.709942,-0.531915,0.15537,0,-0.15537,-3.7697465,0.487805,257.10540675,340.76719775
1,0.75,434.5970345,6.74183825,2087.874891,-0.264125,2.1176595,-11.4910775,-0.98971425,0.792528,0.072635,-0.040536,0.324452,0.058439,13.434523,0.17108425,101.57,83.4,5.60175,0.59551875,6.3485,6.068,6.1825,6.59425,6.4375,6.6505,7.473,7.05175,7.2745,8.2725,8.035,8.195,9.07,8.9,9.38,10.1975,10.1075,10.44,-28.195122,-22.714947,-68.8653845,-93.518519,-0.531915,0.15537,0,-0.15537,-3.685974,0.487805,255.697249,339.0661
1,1.25,432.92597725,6.68407475,2098.547797,-0.4026465,1.70366325,-12.80834825,-0.055217,0.899778,0.071575,-0.04256325,0.321325,0.06208,13.422689,0.185224,101.58,81.8,5.561,0.533129,6.1715,5.968,6.3355,6.636,6.3975,6.549,7.3615,6.989,7.1695,8.18,7.993,8.12,9.045,8.905,9.4,10.215,10.11,10.44,-27.182927,-23.018025,-67.36538425,-92.879227,-0.531915,0.15537,0,-0.15537,-3.781714,0.379404,254.78691,339.7844305
1,1.75,430.806075,6.50407,2097.9481715,-0.6537985,-4.6452575,-10.0119125,-0.9734535,0.766518,0.066768,-0.040229,0.360569,0.060227,13.284218,0.189629,101.61,82.6,5.322,0.4915,6.287,6.0915,5.9525,6.579,6.3475,6.5805,7.259,6.8165,7.0115,8.115,7.9475,8.1,9.025,8.88,9.44,10.22,10.105,10.42,-25.81300775,-22.1048015,-67.28846125,-91.6894,-0.531915,0.15537,0,-0.15537,-3.685974,0.433604,254.155482,339.522966
1,2.25,430.575386,6.62791,2096.94212875,-0.0677815,0.03764625,-14.097594,-0.264764,0.674213,0.075672,-0.0357035,0.330506,0.062251,13.122747,0.200232,101.61,82,5.17,0.534244,6.4275,6.213,6.30425,6.61975,6.47225,6.574,7.08375,6.76325,7.04275,8.1025,7.9365,7.91375,8.9525,8.8375,9.3875,10.185,10.0875,10.405,-22.50813,-20.06300825,-67.230769,-91.1717635,-0.531915,0.15537,0,-0.15537,-3.685974,0.55555525,254.587249,339.500653
1,2.75,435.783873,6.6581965,2097.709999,-0.23579725,-1.473169,-17.56574975,-0.063908,0.780682,0.074316,-0.043887,0.334407,0.068885,13.024321,0.192493,101.6,80.7,4.903,0.519754,6.41075,6.041,6.37925,6.64175,6.569,6.5005,7.10125,6.83025,7.02775,8.065,7.825,7.74375,8.92,8.8275,9.3725,10.185,10.08,10.3975,-21.01625975,-19.632318,-66.4230765,-88.605446,-0.531915,0.15537,0,-0.15537,-3.757779,0.596206,254.75480625,339.02960725
1,3.25,433.275475,6.499663,2118.3906255,0.21157175,-4.73766525,-12.8931495,-0.141646,0.784453,0.075898,-0.0353695,0.351711,0.06245,12.655848,0.200916,101.61,81.7,4.898,0.49021,6.282,5.841,6.145,6.621,6.478,6.565,6.995,6.914,6.841,7.826,7.636,7.607,8.91,8.81,9.285,10.19,10.06,10.39,-20.97561,-20.497687,-65.788462,-89.57861875,-0.531915,0.15537,0,-0.15537,-3.6979415,0.6233065,254.003467,337.907844
1,3.75,434.77776275,6.2565825,2132.367037,0.10276025,-1.37318,-13.362357,0.193703,0.831376,0.07900925,-0.04158675,0.34143325,0.06804425,12.34152575,0.224478,101.6,82.125,4.468,0.48064525,6.15525,5.903,5.92775,6.63025,6.251,6.51225,7.09425,6.85375,6.85025,7.7405,7.56975,7.55475,8.8925,8.7525,9.26,10.165,10.0475,10.3775,-20.211382,-19.5724995,-64.78846175,-90.046188,-0.531915,0.15537,0,-0.15537,-3.709909,0.542005,252.47276,337.59308025
1,4.25,433.18794975,6.54265525,2115.18937625,0.318819,-2.649143,-16.121126,0.6637065,0.829685,0.0805635,-0.04403325,0.346927,0.070618,12.14742825,0.18609475,101.6125,81.325,4.47375,0.467976,6.2715,5.98025,6.05175,6.5795,6.3495,6.51975,7.11,6.8475,6.921,7.71175,7.535,7.55825,8.8825,8.7475,9.26,10.175,10.0575,10.39,-18.626016,-18.20067,-65.423077,-85.15632,-0.531915,0,0,-0.15537,-3.662039,0.542005,251.385238,338.0088545
1,4.75,433.2729045,6.451911,2148.72275575,0.5212425,1.5617715,-13.241715,0.47082025,0.837694,0.07697725,-0.0344355,0.30563225,0.069648,12.0390485,0.193455,101.6,82.575,4.298,0.4586485,6.2995,6.13875,6.334,6.5415,6.402,6.5375,7.04425,6.86925,6.92625,7.67325,7.435,7.4275,8.87,8.74,9.235,10.1575,10.0675,10.3725,-17.813008,-17.052161,-66.13461525,-89.041355,-0.531915,0.15537,0,-0.31074,-3.685974,0.650407,252.567879,337.5212745
