DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,410.62277,7.20296575,2065.2649645,0.438256,4.797232,-21.45307025,-1.003236,0.641961,0.0739665,-0.0936755,0.27042975,0.0977875,9.0605055,0.18893275,101.63,84.77,4.09,0.553437,8.696667,8.9025,8.78,9.33,10.025,-69.94718325,0,0
1,0.75,411.179405,6.827953,2052.34727025,0.160305,1.137381,-16.9439555,-1.34164725,0.592179,0.076182,-0.090608,0.27174,0.087748,8.882444,0.187236,101.605,85.5,4.14,0.517317,8.64833325,8.88,8.776667,9.34,10.03,-68.9612675,0,0
1,1.25,411.53037,6.709417,2069.161241,0.35302675,3.429762,-17.413443,-0.692958,0.553269,0.080444,-0.081904,0.28494225,0.09112775,8.718907,0.174738,101.605,85.6,3.66575,0.49967225,8.6716665,8.895,8.80874975,9.36,10.03875,-67.491334,0,0
1,1.75,411.60479975,6.708528,2068.589338,-0.043243,0.3715665,-18.949805,-0.97911,0.598339,0.080615,-0.0783475,0.288862,0.09491425,8.740325,0.1834995,101.635,85.8575,3.6555,0.479899,8.6133335,8.91,8.83,9.3675,10.03,-70.352113,0,0
1,2.25,411.1005655,6.716846,2092.0317875,0.13041,2.504231,-16.607059,-0.505689,0.5493555,0.08024575,-0.077524,0.27964875,0.09281425,8.58397975,0.17966,101.65,86.29,3.626,0.4769425,8.6066665,8.895,8.85375,9.3775,10.03,-68.5131945,0,0
1,2.75,411.82473,6.660732,2064.2066985,0.29128425,2.434866,-15.061981,-0.369875,0.57362925,0.0862525,-0.0828975,0.289219,0.103222,8.48494125,0.17959075,101.665,87.76,3.4395,0.441996,8.6033335,8.855,8.8425,9.36375,10.04,-67.6232395,0,0
1,3.25,411.9054615,6.52622575,2055.897852,0.35102075,3.5665225,-16.725502,-1.256204,0.591036,0.07936025,-0.08759125,0.2771265,0.09325925,8.3479685,0.17982725,101.625,87.7725,3.35775,0.43244625,8.565,8.815,8.8391665,9.38,10.045,-68.3531775,0,0
1,3.75,410.0103235,6.60911775,2056.09053575,0.29839225,5.36714,-14.1228745,-0.316719,0.5614945,0.07842875,-0.0899995,0.279619,0.0876005,8.2546445,0.181275,101.62,88.45,3.4815,0.416871,8.5425,8.8125,8.81125,9.38,10.03625,-66.77816925,0,0
1,4.25,409.815926,6.696484,2054.443357,0.3614575,4.2901265,-12.538437,-0.274152,0.5514435,0.073909,-0.0802475,0.27990425,0.08835225,8.2107,0.1726035,101.61,88.7,3.3315,0.4106035,8.525,8.8,8.81625,9.38,10.0325,-67.957746,0,0
1,4.75,411.689069,6.58853175,2072.59423275,0.18148975,2.36881725,-16.055576,-0.5190135,0.5642845,0.08356625,-0.075353,0.27137825,0.087608,8.14153125,0.1730805,101.6025,89.125,3.255,0.39945975,8.523333,8.77,8.81,9.385,10.03,-66.478873,0,0
1,5.25,414.44438525,6.6159945,2081.803095,0.121058,0.4894195,-14.7361135,-0.4472585,0.6133885,0.07531,-0.0660835,0.26374,0.091444,7.98159225,0.154979,101.61,89.21,3.31075,0.38112275,8.506667,8.77,8.813333,9.38,10.035,-65.774648,0,0
1,5.75,409.436651,6.641352,2087.58126275,0.09182275,4.017398,-14.41132,-0.0208895,0.619762,0.078898,-0.06564875,0.2669435,0.099832,7.660877,0.17344675,101.61,89.1325,3.029,0.39077,8.51,8.76,8.8066665,9.385,10.0225,-65.639371,0,0
1,6.25,410.537573,6.61353,2037.224859,0.135549,5.32810625,-12.48410175,-0.779822,0.5653695,0.0857445,-0.058908,0.27013,0.096974,7.4547445,0.1665325,101.62,88.975,2.676,0.3702175,8.4633335,8.765,8.8183335,9.38,10.025,-68.60915475,0,0
1,6.75,411.323228,6.29583,2082.60212425,0.072418,4.0592955,-11.800735,-0.2956445,0.6016875,0.08803175,-0.066081,0.290469,0.0999575,7.0705655,0.174466,101.67,89.25,2.655,0.3700015,8.4466665,8.745,8.8216665,9.3625,10.0225,-67.13028175,0,0
1,7.25,411.4328395,6.4221455,2080.6176725,0.319624,5.3289655,-13.00725875,-0.3181995,0.62891,0.080875,-0.073884,0.28775375,0.10305875,7.013928,0.176879,101.7,89.175,2.42,0.360849,8.39,8.73,8.83,9.35,10.03,-63.06338025,4.88614775,0.18797
