DOY2,HR2,T_BOLE_1_1_1,T_BOLE_2_1_1,G_1_2_1,G_2_2_1,G_3_2_1,G_4_2_1,NEE,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1
1,0.25,-17.7585,-17.675,-2.61625,-1.9841,-2.4996,-2.22415,0.02852445,-2.422955,0.2275555,0.01844875,0.02889671,-0.04762775,-8.24551,-0.428239,-11.48845,0.001228199,0.006681025,229.742,247.223,0,0,0.04071175,-16.344,-16.149,-17.001,-17.1395,84.88455,84.3912,82.6897,2.2659,-5.04325,-4.7144,-4.37115,-3.97995,-2.73725,-0.505055,-4.5048,-4.30395,-3.9851,-3.65915,-2.423,-0.21938
1,0.75,-17.6265,-17.5275,-2.5867,-2.0116,-2.48955,-2.21915,0.06779535,-2.465875,0.2489265,0.06810715,-0.0193503,-0.0717973,-6.004645,-0.2666665,-12.46605,0.0272457,-0.04226975,231.35,246.02,0,0,0.0172717,-16.324,-16.347,-17.171,-17.157,85.0645,84.3314,82.9561,2.21475,-5.03705,-4.71295,-4.372,-3.9829,-2.739,-0.50818,-4.50525,-4.3113,-3.98965,-3.66665,-2.41885,-0.20766
1,1.25,-17.6045,-17.6495,-2.58585,-2.01285,-2.4993,-2.2144,0.076815125,-2.537285,0.261883,0.077618725,-0.139804,-0.0197356,-6.947125,-0.163843,-9.25305,0.0652117,-0.04338465,230.011,245.239,0,0,0.0271412,-16.14,-16.266,-17.4265,-17.4865,85.186,84.6896,83.2369,2.3144,-5.0333,-4.71185,-4.37165,-3.9837,-2.7413,-0.510215,-4.50515,-4.3217,-3.98225,-3.6783,-2.4204,-0.203535
1,1.75,-17.278,-17.165,-2.59065,-2.01485,-2.51285,-2.2084,0.0858349,-2.51684,0.282927,0.0871303,0.0299951,0.05646815,-5.82179,0.244888,-9.30472,0.116172,-0.0477782,229.6175,244.434,0,0,0.03012475,-15.997,-16.384,-17.362,-17.523,85.31645,84.7216,83.3759,2.31925,-5.0096,-4.6692,-4.3562,-3.973,-2.7175,-0.48104,-4.4967,-4.2994,-3.9813,-3.6317,-2.4118,-0.1899
1,2.25,-17.098,-17.057,-2.59495,-2.0166,-2.50515,-2.20055,0.0585071,-2.53512,0.286085,0.0512494,0.22569,-0.002808455,-7.79313,-0.10713425,-7.9787,0.1509455,-0.02874295,232.6515,244.8275,0,0,0.01973905,-16.319,-16.447,-17.2675,-17.315,85.05495,84.8224,83.6168,2.3637,-5.0066,-4.6738,-4.3525,-3.9725,-2.7181,-0.48327,-4.5084,-4.3094,-3.9796,-3.6326,-2.4067,-0.19089
1,2.75,-17.03,-17.022,-2.6089,-2.0166,-2.49955,-2.1919,0.100253,-2.58297,0.332982,0.103993,0.178313,-0.01693195,-8.21571,-0.0922286,-10.2132,0.1358345,-0.0300435,229.533,245.5135,0,0,0.03801015,-16.288,-16.6145,-17.2995,-17.4325,85.0719,85.4045,83.8009,2.3793,-5.0053,-4.6796,-4.3522,-3.9717,-2.7198,-0.48317,-4.5046,-4.3242,-3.9821,-3.6581,-2.3731,-0.20113
1,3.25,-17.035,-16.884,-2.6322,-2.01705,-2.49785,-2.1908,0.08995685,-2.57553,0.277593,0.06991695,0.3103805,-0.07525225,-7.701585,-0.5143995,-8.034075,0.124601,-0.02860725,230.8595,246.9625,0,0,0.0246738,-15.885,-16.19,-17.326,-17.242,85.42525,85.26,83.56645,2.32435,-5.0095,-4.6845,-4.3508,-3.9715,-2.7234,-0.48652,-4.4967,-4.3382,-3.9909,-3.6945,-2.3778,-0.2246
1,3.75,-16.8535,-16.7705,-2.6091,-2.01965,-2.49785,-2.1924,0.0886206,-2.534665,0.275924,0.0615358,-0.0128994,-0.098122,-9.53315,-0.6026505,-5.779425,0.08055265,-0.0621331,233.173,247.4245,0,0,0.0222064,-15.932,-16.2255,-17.2105,-17.3595,85.1085,84.8753,83.33375,2.3291,-5.0282,-4.68285,-4.3468,-3.95185,-2.71925,-0.47049,-4.4739,-4.3071,-3.9842,-3.7111,-2.36665,-0.19055
1,4.25,-16.9525,-16.952,-2.6049,-2.0265,-2.5005,-2.19325,0.0873206,-2.508965,0.2730795,0.0608992,0.256837,-0.108834,-6.988385,-0.5526,-6.33602,0.06189825,-0.04646075,232.2435,247.3455,0,0,0.0151704,-15.932,-16.23,-17.464,-17.5395,85.26845,85.048,83.49175,2.37405,-5.03195,-4.6841,-4.34595,-3.95255,-2.7199,-0.471305,-4.46285,-4.30505,-3.9871,-3.72615,-2.36375,-0.194925
1,4.75,-17.005,-17.0145,-2.60855,-2.0288,-2.49785,-2.1947,0.0923118,-2.468495,0.247356,0.0675592,-0.01732455,-0.10099565,-9.074945,-0.776002,-6.76463,0.05580975,-0.0305832,227.355,247.01,0,0,0.0208556,-15.8625,-16.1495,-17.7735,-17.6585,85.346,84.7215,83.45195,2.275,-5.02575,-4.6856,-4.3451,-3.95325,-2.7215,-0.471195,-4.45595,-4.30765,-3.9857,-3.71565,-2.36755,-0.191245
