DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,H,LE,SH,SLE,PA,RH_1_1_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,TS_1_1_1,TS_2_2_1,TS_1_3_1,TS_1_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,TS_6_4_1,TS_6_5_1,TS_6_6_1,TS_6_7_1,TS_6_8_1,TS_6_9_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,RH_1_2_1,TA_1_2_1,NEE
1,0.25,393.72475,0.370265,4.228485,-0.3229185,-12.2094736666667,-14.9022946666667,-12.2475703333333,-46.6245,0.0240105,-6.719405,-4.336995,101.325,71.399181,68.9834006666667,70.4310346666667,85.7641916666667,9.17725,0.0213532,6.2360073,5.6683406,4.4537551,3.1515268,0.925908754415395,263.560403333333,337.858713333333,-82.8747168833334,0.00340832646666667,0.00230723773333333,2.28068956666667,-4.340515025,0,0,12.421704,13.348247,12.2582863333333,13.0526106666667,12.475,13.6,14.475,12.0416666666667,12.725,13.75,8.86099966666666,11.5081658333333,12.809195,13.3982108333333,13.77218,14.002845,14.22868,14.5335775,15.08099,9.9214465,11.1533491666667,11.9959975,12.458155,12.8862583333333,13.2075825,13.42561,13.8490225,14.4038233333333,-0.3647225,0.449902622129269,0.1606685,0.389773920316409,0.196885084223124,1.771235,41.36105,6.18750000000004,0.96153275
1,0.75,394.1505,0.373778,4.1841875,-0.40256925,-12.5961053333333,-15.377331,-12.672122,-42.037425,0.6429015,-5.91364,-4.197405,101.3005,70.6650603333333,69.703443,70.953274,85.6743666666667,9.17100000000002,0.02242645,6.06231313333333,5.42066303333333,4.47792493333333,3.09880223333333,0.802822620545333,262.77022,337.5435,-82.9645734083333,0.0034927077,0.00246616656666667,2.34989556666667,-4.38031689166667,0,0,12.4040433333333,13.2869096666667,12.2345673333333,13.0597953333333,12.4,13.6,14.475,12.0166666666667,12.725,13.75,8.92166116666667,11.4781908333334,12.809195,13.384565,13.7938316666667,13.9968675,14.22868,14.5455875,15.0789675,9.96678491666668,11.1942716666667,11.97895,12.440965,12.8862583333333,13.2153425,13.4275658333333,13.8450991666667,14.4018275,-0.333579,0.457657636916845,0.153703,0.382319164490728,0.196828031482146,1.743795,42.1744,5.81100000000004,1.037205
1,1.25,393.49225,0.5197955,4.1806575,-0.26767525,-12.9786343333333,-15.836175,-12.930891,-43.7483,0.667941,-6.00259,-3.526225,101.28275,70.823535,69.2762333333333,71.2608233333333,85.922901,8.93275000000001,0.02035205,5.95695266666667,5.0168771,4.46851233333333,2.74585483333333,0.869360406963519,261.233476666667,336.269773333333,-83.3378379083333,0.00347154566666667,0.00225441856666667,2.32709583333333,-4.381914075,0,0,12.35042,13.2229146666667,12.2026283333333,13.017783,12.3916666666667,13.6,14.475,11.975,12.725,13.75,8.7825845,11.4987825,12.7899416666667,13.37286,13.813515,13.9909225,14.21676,14.5455875,15.0830125,9.99944716666668,11.2296783333333,11.9581291666667,12.423775,12.8785475,13.22117,13.4314775,13.8372525,14.4018275,-0.32785725,0.468776291090542,0.1733825,0.396317756181275,0.225309699930295,1.84353,42.9473,5.63850000000001,1.237665
1,1.75,393.547,0.4650315,4.127005,-0.33342925,-13.1388426666667,-16.2196786666667,-13.0748243333333,-43.11615,2.485645,-6.092045,-5.617165,101.265,70.604328,68.6103106666667,69.631802,84.4477846666667,8.86900000000003,0.02014505,5.9348917,4.95040176666667,4.19843086666667,2.4576814,0.728289032752531,261.755646666667,335.74063,-82.1669070150002,0.00349295623333333,0.00227564853333333,2.26154966666667,-4.2041523,0,0,12.2888033333333,13.1820216666667,12.1708526666667,13.008388,12.375,13.625,14.475,11.9083333333333,12.6916666666667,13.75,8.77733566666667,11.4819275,12.76107,13.3670225,13.813515,13.99685,14.2247041666666,14.5455875,15.085035,9.94309325,11.2240925,11.9429975,12.4008775,12.8631275,13.22117,13.4353975,13.8372525,14.4018275,-0.3673375,0.44390271554863,0.1780915,0.438732428527018,0.213411468444661,1.803105,43.77585,5.43500000000003,1.14025
1,2.25,393.90025,0.507614,3.8834325,-0.2981295,-13.3056831666667,-16.5868978333333,-13.1619083333333,-44.8744,2.01687,-6.99644,-5.73586,101.224,71.93565525,69.2371358333333,69.8143506666667,85.7080775,8.56,0.0184759,5.599083975,4.745247025,3.894655775,2.23147294166667,0.637659118614853,262.428886666666,335.210075,-82.2002960999999,0.00371507991666667,0.0021908915,2.34530770833333,-4.28906981666667,0,0,12.3021358333333,13.1766381666667,12.1455809166666,13.0026689166667,12.325,13.65,14.475,11.9,12.625,13.75,8.83605383333333,11.504405,12.7457025,13.337825,13.80761,13.99685,14.2167525,14.5515925,15.085035,9.84504558333333,11.2371641666667,11.9222075,12.38371,12.8438525,13.22117,13.4373575,13.8332891666667,14.4018275,-0.370229,0.461356694976891,0.173387,0.41662933166065,0.218136425202211,1.76703,41.3187,5.21700000000004,1.2702725
1,2.75,394.826,0.2466255,3.8429,-0.3190215,-13.4872929166667,-16.713176,-13.2472004166667,-42.0859,2.158085,-6.851805,-4.4186325,101.20025,72.8792175,69.3089703333333,70.3418236666666,83.9736020833333,8.10875000000001,0.017964525,5.519943425,4.51266623333333,3.53476965833333,2.51724295,0.591753103750865,262.00047,334.143164166666,-82.8555542999999,0.00339773716666667,0.00228618193333333,2.41165334166667,-4.30667885,0,0,12.28992225,13.1450155833333,12.1197255,12.9724869166667,12.2666666666667,13.575,14.475,11.9,12.625,13.75,8.80754808333334,11.4613308333334,12.7149725,13.31445,13.813515,13.99685,14.2207241666667,14.5475833333333,15.0830125,9.7253515,11.2241225,11.8674325,12.3665425,12.832295,13.22117,13.4373575,13.8313075,14.3998258333333,-0.34916,0.461431640382144,0.17643175,0.393425153955597,0.231329032480361,1.716915,43.4257,4.95375000000001,1.201275
1,3.25,395.203,0.3625865,3.79831,-0.3506915,-13.5100179166666,-16.87756925,-13.495757,-43.2511,1.48407,-6.5583425,-6.185205,101.219,72.5228865833333,69.7766635,70.9461531666667,82.9836811666667,7.79300000000001,0.0206169,5.2673456,4.46722609166667,3.507346,2.402646375,0.581781021646878,260.447765,333.378175833333,-83.5297906,0.00336588154166667,0.002275589375,2.34241593333333,-4.3837698,0,0,12.26783225,13.1261845,12.0989326666667,12.9422353333333,12.1916666666667,13.575,14.4916666666667,11.9166666666667,12.7,13.7333333333333,8.65988116666667,11.3491116666666,12.6708125,13.2872133333333,13.8095783333333,13.98501,14.22271,14.5475833333333,15.0830125,9.6186265,11.2035816666667,11.82594,12.3665425,12.820745,13.2192216666667,13.4353975,13.8313075,14.3958225,-0.39659,0.486483298788355,0.161209,0.420359370063283,0.224915984314143,1.75418,43.7329,4.80700000000002,1.21377
1,3.75,394.96625,0.640655,3.56045,-0.46402475,-13.597563,-16.90645225,-13.6412034166667,-43.341925,2.67476,-6.8357875,-6.44772,101.203,72.8115384166667,69.7104443333333,71.1208505833333,82.9457225,7.62675,0.020821175,4.91635619166666,4.184550225,3.45086544166667,2.34357665,0.573082554859438,259.727511666667,333.5391175,-82.0483591333332,0.00327578248333334,0.00229401609166666,2.42718671666667,-4.29603623333333,0,0,12.2305855833334,13.0950115,12.0577566666667,12.91474275,12.2083333333333,13.575,14.5,11.925,12.7,13.725,8.49136566666667,11.3023975,12.628585,13.261935,13.80761,14.0047433333333,14.23463,14.5495791666667,15.0830125,9.539217,11.1849425,11.791995,12.3741625,12.80342,13.20367,13.4314775,13.8313075,14.3958225,-0.368627,0.499831489233704,0.1787095,0.439724593747232,0.242702785370448,1.8389775,42.7395,4.68725000000001,1.325205
1,4.25,395.2645,0.66501325,3.579165,-0.32829,-13.76863625,-17.083406,-13.8342975,-44.7648,1.50607,-7.360295,-5.42222,101.2145,71.96252625,69.85572875,70.5230199166666,83.1123859166667,7.495,0.0186339,4.83736715,4.01013238333333,3.35035253333333,2.23086525833333,0.590441890959557,259.078038333333,332.110841666667,-81.2785089166667,0.003180529225,0.002360207675,2.368112275,-4.21087678333333,0,0,12.1905050833333,13.0485104166667,12.0404813333333,12.8981385,12.15,13.575,14.5,11.95,12.7,13.725,8.31446025,11.3023975,12.60748,13.23275,13.8115416666667,14.02058,14.24059,14.551575,15.0830125,9.63302566666667,11.1458625,11.7863425,12.3703325,12.79572,13.1978425,13.4314775,13.8490225,14.3958225,-0.4116105,0.457838032106104,0.180889,0.425506319657803,0.229052491441891,1.765185,40.473925,4.60450000000003,1.17039
1,4.75,395.66975,0.70636,3.663515,-0.289926,-13.9387999166667,-17.2844571666667,-14.0857758333333,-45.33705,1.196525,-6.972115,-5.75258,101.23825,75.1283280833333,71.7914006666667,72.3117399166667,83.3508604166667,7.25800000000003,0.019346375,4.62057174166667,3.64382103333334,2.868284775,1.98003880833333,0.544941559414531,258.032704166667,329.242015833334,-83.0131383166667,0.00313817676666667,0.002175027925,2.40660833333333,-4.36934251666666,0,0,12.1549065833333,13.01449125,11.99491625,12.88919925,12.0833333333333,13.575,14.5,11.95,12.675,13.725,8.21203566666667,11.2296841666667,12.588305,13.20944,13.8135075,14.026525,14.258485,14.551575,15.0870575,9.52469583333333,11.10122,11.81461,12.3646058333333,12.7745375,13.1920125,13.42561,13.8490225,14.3958225,-0.369823,0.511045816000199,0.2046045,0.455145042168242,0.265146772756675,1.8380225,39.856025,4.21050000000002,1.21973
