DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN
1,0.25,13.8288260745081,-9.77443759725943,1.69279112429017,-6.51212625,-16.56994,-5.828597,-6.52969775,84.2707093607073,1.79133706424587,66.16672,0.9816475,18.6799,405.450743590107,3.67349629320056,-5.74039,0.017381
1,0.75,12.0445641696102,-7.64907485043093,1.63131033618134,-6.3998525,-15.63148,-6.024016,-6.561312,84.3723497215692,1.67038271889911,66.143605,0.976166325,18.949005,406.134051778881,3.74631179277276,-5.789246,0.0162596666666666
1,1.25,12.0060213609037,-8.60828609240573,1.85826808674255,-7.007540375,-15.00413,-5.995719,-6.48075225,84.193421677247,1.7075235307618,66.1430725,0.96586085,19.1801575,405.562625322129,3.8442643822412,-5.82072,0.0168603333333333
1,1.75,12.8175372445349,-6.6168303388226,1.99739486072269,-6.3004,-14.23073,-5.854131,-6.557477,84.6441584292878,1.7361625078396,66.1511475,0.9812584,19.00251,406.031756016266,3.82518703801339,-5.873484,0.0162620833333334
1,2.25,12.1170355819467,-4.6892720754894,1.6242769492595,-5.96759403917801,-12.898645,-5.84981175,-6.3945305,84.9772179211969,1.65873366654998,66.1507,0.9745351,19.22677,405.817441364073,3.81058733011472,-5.8862055,0.0162958333333333
1,2.75,12.5428530015637,-8.89986320221524,1.7113477508615,-6.065548,-14.88849,-6.02249325,-6.47882425,84.9298837311237,1.78522938847538,66.1546275,0.9763797,18.970625,405.321328377563,3.77716756310636,-5.979402,0.0172030833333333
1,3.25,13.6160600643003,-8.70041452198172,1.67175568336984,-5.29423375,-14.76242,-6.07776475,-6.540517,84.8823674373634,1.67502928255767,66.1485425,0.96076045,19.207805,405.683994223844,3.8040212343965,-5.9073675,0.0183066666666667
1,3.75,14.4796025310649,-7.30625837372564,1.90656840689046,-5.20440513496558,-13.0361,-5.884723,-6.624475,85.0641644143234,1.63563525108516,66.12181,0.9759106,18.94501,405.257579266742,3.84424001402061,-6.005204,0.0170538333333333
1,4.25,13.8105842505784,-6.15451050803272,1.65832831050306,-5.63228514384661,-14.01291,-5.7592155,-6.415146,85.0800130402535,1.6461070556159,66.1188925,0.9828186,19.07177,405.641548011821,3.84436030713201,-6.0038565,0.01848975
1,4.75,13.4338073455949,-8.30641171208607,1.94136433726876,-5.371642125,-12.80001,-5.74797425,-6.53895375,83.9937752055785,1.59404610634091,66.1253625,0.98834835,18.96436,405.718368383035,3.82598137448122,-6.045162,0.0177548333333333
