DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,1.79762107738833,-0.0145546167936541,-1.58363630629045,-0.0898583466653857,0.194812549184122,-36.3215430736278,-0.280502267186063,0.810649158054389,417.208282263864,8.11553252185465,423.136520948433,7.83611240540573,421.366486513385,424.289885366474,7.81986708003327,421.628828701639,425.800803266993,7.91702761775353,421.308298113595,428.032089575414,7.85440360262137,421.656940552448,444.949833347603,7.69034785775917,441.780708963576,1.62855255925398,5.60237653518391,0.33873116357715,1.41,1.14,0.5,0.165,4.6223,4.302,4.4957,4.31305,3.6817,3.227,97.42897,93.14,0.6092,4.54,5.16,5.405,5.44,0.9,-1.35,1.6,0.305,336.2,334.7,344.5,337.1,0.09,0.29,0.46,0.08,-0.72,0.06,0.02,-0.02,0.09,5.154,5.784,5.705,6.3415,6.784,7.122,7.682,9.3425,4.976,4.856,5.447,5.8575,5.739,6.618,7.259,8.356,4.99,5.709,5.5185,5.888,6.199,6.4615,6.62,7.716,8.385,4.822,5.452,5.515,5.916,5.787,6.148,6.697,7.203,8.183,4.923,5.398,6.1605,6.231,7.02,7.536,8.0085,8.664,-1.942,-1.29,-1.6465,-1.28
1,0.75,1.48039567036744,0.0146604336701065,4.68755471852171,-0.293825786644349,0.201057238335155,-33.0809236093264,0.0484660383827781,0.793849171929789,417.397540661053,8.11811873781485,422.859279894912,7.6502020515399,421.162383402066,424.38701238586,7.67256341390894,420.337607782001,426.193496545049,7.75596252598169,420.122606049713,427.276493078878,7.74577070407878,421.898849211334,443.946884251294,7.70443501864117,437.797633423771,1.57281497435262,5.30456583296908,0.294650715679993,1.33,1.09,0.56,0.18,4.4365,4.104,4.328,4.2496,3.7751,3.2927,97.40859,93.64,0.5162,4.69,5.105,5.33,5.335,0.8,-1.14,1.6,0.305,336.05,333.5,344.6,336.05,0.09,0.29,0.47,0.08,-0.72,0.055,0.02,-0.02,0.09,5.0795,5.764,5.7075,6.3415,6.7755,7.1245,7.679,9.341,4.921,4.8215,5.419,5.849,5.7365,6.6165,7.2585,8.3615,4.9305,5.633,5.5055,5.884,6.1995,6.4605,6.617,7.716,8.384,4.813,5.3915,5.507,5.922,5.7795,6.148,6.696,7.206,8.1795,4.8865,5.3805,6.165,6.231,7.0195,7.537,8.008,8.6605,-2.578,-2.788,-1.715,-1.29
1,1.25,1.55615390220406,-0.0114627020622245,2.43310752018357,-0.639407462832436,0.206204543147433,-30.788612763907,-0.131878828340738,0.81142287333738,416.785379116913,8.06842315467798,423.208574091712,7.58544193944337,420.998488369637,424.542589987706,7.51595495367004,421.7670394235,425.557405433623,7.64499956852205,422.167106231317,428.619209547583,7.60416991414134,421.580948369963,441.768609518891,7.67380542422866,441.812731518202,1.55701804038764,5.0893263497008,0.348301811864781,1.42,1.165,0.54,0.2,4.2039,4.121,4.1752,4.0318,3.8122,3.2623,97.43726,93.58,0.5313,4.72,5.06,5.27,5.4,0.8,-1.18,1.6,0.41,334.7,333.6,344.4,335.9,0.1,0.28,0.47,0.08,-0.72,0.05,0.02,-0.02,0.09,5.054,5.753,5.702,6.335,6.763,7.1265,7.677,9.3415,4.864,4.749,5.414,5.844,5.7355,6.613,7.2585,8.368,4.923,5.558,5.486,5.872,6.2085,6.4595,6.612,7.722,8.384,4.798,5.323,5.464,5.929,5.767,6.141,6.69,7.206,8.181,4.823,5.337,6.161,6.229,7.021,7.536,8.007,8.663,-2.253,-2.417,-1.6855,-0.54
1,1.75,1.85382845438025,0.145109757923681,3.51796259840868,-0.102385955549401,0.183792310472512,-36.3105747984309,0.489253131422304,0.855644947234963,417.160525265629,8.16076021850495,422.88735152093,7.56481052025802,420.224427360714,424.051644567967,7.58177110760015,420.092198700326,425.987878125992,7.61474234915599,420.199022612528,428.25155956166,7.83563578165393,423.06278753571,438.238194360203,7.64490583139228,441.78127234674,1.53337475086948,5.40620813346663,0.3540220245478,1.41,1.185,0.59,0.19,4.3304,4.2035,4.3824,4.0894,3.7782,3.2604,97.43787,93.31,0.5694,4.78,5.07,5.35,5.35,0.8,-1.145,1.6,0.42,335,333.2,342.9,335.6,0.09,0.28,0.47,0.08,-0.72,0.05,0.02,-0.02,0.09,5.044,5.685,5.692,6.324,6.765,7.127,7.675,9.3405,4.873,4.722,5.429,5.839,5.7365,6.613,7.2575,8.361,4.934,5.489,5.474,5.874,6.2165,6.459,6.613,7.721,8.384,4.796,5.31,5.489,5.939,5.77,6.142,6.689,7.206,8.18,4.813,5.27,6.162,6.229,7.018,7.536,8.007,8.662,-2.2635,-2.435,-1.729,-0.51
1,2.25,1.76917020349026,0.093370694583442,5.40763819255734,0.40935125428158,0.195995855095974,-33.8384513272708,0.117608308655437,0.785810928059485,417.614085849985,8.33579544666691,423.439553924695,7.79069709002106,420.307012301735,423.842769125946,7.81732533594595,420.931738241722,425.337263795906,7.81286256093092,421.738730367857,428.011299760206,7.76574892730217,423.679662570492,438.998063907115,7.61789788464459,428.18891766203,1.61262944620662,5.03933547708291,0.316871786147729,1.35,1.13,0.555,0.19,4.3684,4.048,4.2577,4.0895,3.5256,3.2602,97.43469,93.41,0.5432,4.945,5.07,5.4,5.23,0.9,-1.17,1.6,0.37,334.9,332.9,342.5,335.5,0.09,0.28,0.46,0.08,-0.72,0.05,0.02,-0.02,0.1,5.037,5.618,5.683,6.319,6.767,7.129,7.673,9.3405,4.832,4.696,5.443,5.834,5.7335,6.613,7.2565,8.361,4.891,5.473,5.463,5.876,6.224,6.459,6.611,7.721,8.383,4.787,5.275,5.502,5.936,5.772,6.142,6.69,7.203,8.179,4.821,5.221,6.163,6.228,7.02,7.535,8.007,8.661,-2.492,-2.786,-1.811,0
1,2.75,1.71229552038636,0.0163463631882722,5.32363906441541,0.264586866691277,0.201723341172699,-20.6562007332534,-0.327909000991278,0.785612637213938,417.710740538857,8.21344441670078,422.948512307802,7.75555005494384,421.281733179772,424.54487383518,7.69551155454002,421.812374472656,425.703739348146,7.74259899273033,422.034769947728,428.774529253071,7.63928415909795,423.175000769231,440.025046985205,7.68022423214262,440.484667430921,1.56796918284881,4.89598128619735,0.304529882101672,1.49,1.27,0.605,0.2,4.3565,4.131,4.1898,4.157,3.7262,3.3212,97.4523,93.3,0.5807,4.93,5.04,5.37,5.2,0.8,-1.24,1.5,0.38,334.5,333.4,342.7,335.6,0.09,0.28,0.47,0.08,-0.72,0.05,0.02,-0.02,0.1,5.028,5.622,5.674,6.309,6.773,7.1305,7.669,9.3395,4.806,4.67,5.462,5.829,5.7315,6.613,7.256,8.366,4.89,5.466,5.454,5.883,6.2315,6.458,6.611,7.72,8.384,4.706,5.233,5.535,5.927,5.775,6.142,6.69,7.203,8.1795,4.78,5.185,6.163,6.227,7.024,7.535,8.007,8.66,-2.6685,-2.762,-1.9725,-0.16
1,3.25,1.68679974991441,0.108164619757001,1.91994906267017,0.805954648954077,0.191707377711241,-21.6673144913361,-0.206719270840418,0.795704757434872,417.195894848064,8.02148511827026,422.988482662268,7.71039053585057,420.87802442446,425.713076098396,7.65131581178355,420.480533546753,426.588389372342,7.74853304806412,421.880684417722,429.356112130285,7.69037390278757,423.841370044608,444.369985964493,7.63869815543936,440.121319567657,1.67209612519788,5.05498429409653,0.343561934295595,1.35,1.17,0.555,0.19,4.4027,4.003,4.3153,4.2108,3.7248,3.2258,97.44634,93.62,0.5542,4.865,5.11,5.39,5.16,0.8,-1.24,1.6,0.33,335.8,333.5,343.3,335.3,0.09,0.28,0.46,0.08,-0.72,0.06,0.02,-0.02,0.09,4.936,5.579,5.664,6.301,6.771,7.132,7.67,9.3395,4.798,4.651,5.492,5.822,5.7285,6.613,7.2555,8.369,4.82,5.419,5.452,5.894,6.2395,6.4575,6.611,7.719,8.385,4.701,5.152,5.543,5.917,5.78,6.142,6.691,7.203,8.18,4.69,5.137,6.165,6.23,7.028,7.535,8.007,8.659,-2.105,-1.9745,-1.71,-0.6
1,3.75,1.95844942493548,-0.0686859572607183,2.05739839650905,0.191160112773265,0.197794637081608,-23.6011582094193,-0.0141265085757473,0.883724551015775,417.264054729084,8.36998124945227,423.316686573807,7.66609512498539,421.119357377953,425.464704162343,7.59412429020037,421.09324062069,426.190633020397,7.79103695571164,422.006704727376,428.394843422205,7.69928151494811,421.956326748663,441.841913207924,7.63512958132593,439.553204578231,1.67914263319816,4.71274566419867,0.326318798536749,1.475,1.225,0.64,0.2,4.14315,3.801,4.191,4.15745,3.76485,3.2231,97.410945,93.55,0.5184,4.88,5.06,5.3,5.13,0.9,-1.27,1.6,0.25,334.35,334.25,343.4,335.55,0.095,0.285,0.46,0.08,-0.72,0.065,0.02,-0.02,0.095,4.929,5.5935,5.665,6.307,6.7745,7.134,7.668,9.3385,4.785,4.62,5.518,5.8175,5.73,6.6185,7.2555,8.36,4.8455,5.388,5.471,5.8955,6.2465,6.4575,6.6165,7.7195,8.391,4.745,5.1415,5.5775,5.9135,5.7955,6.15,6.695,7.203,8.1855,4.6505,5.1335,6.189,6.238,7.026,7.534,8.008,8.6615,-2.418,-2.687,-1.989,-0.96
1,4.25,1.79375904706774,-0.0611833113600727,1.09235230749917,0.0386015969026883,0.204638869782623,-24.243794038835,-0.309431017998957,0.819081289196018,417.234273799222,8.25164774750861,423.074998561623,7.62603212956161,420.978661313167,424.64207768067,7.63273608112688,420.072296522013,425.519132098737,7.74674876512158,420.835165245989,427.988771115878,7.80694717912491,422.798567074074,441.504348163666,7.7775464689307,442.888421812081,1.56741667560148,4.68563104786343,0.376838564968118,1.37,1.12,0.575,0.18,4.234,3.843,4.0949,3.9379,3.6929,3.2434,97.41869,93.43,0.5528,4.88,5.2,5.2,5.25,0.9,-1.28,1.6,0.39,335.8,334.6,344.4,335.9,0.09,0.29,0.46,0.08,-0.72,0.07,0.02,-0.02,0.09,4.906,5.546,5.647,6.297,6.776,7.1265,7.629,9.3385,4.778,4.594,5.52,5.808,5.732,6.614,7.255,8.35,4.752,5.388,5.455,5.884,6.2545,6.455,6.611,7.717,8.385,4.706,5.137,5.586,5.897,5.79,6.142,6.692,7.2,8.18,4.522,5.071,6.186,6.239,7.021,7.532,8.007,8.658,-2.584,-3.1615,-2.111,-1.31
1,4.75,1.66789981818704,0.0109173667221611,-1.27146838599709,-0.00679163580111876,0.203960438326472,-21.8988615267066,-0.995386527238803,0.865030777943088,417.494895785202,8.20329682891159,423.771650365938,7.60430287750525,420.5784442625,424.392622739426,7.62334086943386,420.357901473118,428.154243363732,7.59646178962676,420.870404621107,429.803433341365,7.57967603817383,423.170669444263,442.766426961684,7.59185032514486,432.567157105683,1.41879810657402,4.67675599068951,0.34634758212943,1.24,1.045,0.58,0.17,4.1648,3.78,4.0303,3.9792,3.7474,3.1425,97.42006,93.37,0.5543,4.83,5.03,5.2,5.29,0.9,-1.29,1.6,0.25,334.8,334.6,343.9,335.9,0.09,0.28,0.46,0.08,-0.72,0.07,0.02,-0.02,0.09,4.903,5.54,5.639,6.285,6.778,7.1275,7.6265,9.338,4.754,4.604,5.539,5.809,5.732,6.613,7.255,8.349,4.742,5.351,5.433,5.885,6.261,6.454,6.611,7.717,8.3905,4.71,5.129,5.584,5.895,5.795,6.142,6.693,7.2,8.18,4.509,5.01,6.1835,6.239,7.022,7.535,8.006,8.6575,-2.684,-3.215,-2.09,-1.27
