DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF
1,0.25,439.030808,9.173621,2318.09656,0.908503,3.662916,-13.1652525,-4.033144,3.9667805,1.579016,0.15074,-0.0179175,0.423207,0.16383,102.018,91.35,7.74,0.8754115,15.264479,0.165234,10.6,10.826667,11.383333,11.383333,11.383333,-46.0939675,0,0,-2.811861,0.854701,298.302172,347.264276,-0.363196
1,0.75,438.918337,9.0827045,2316.3656335,0.785597,0.499032,-12.696158,-2.032776,2.469907,1.59704,0.140767,-0.01412,0.376148,0.151115,102.014,91.7,7.643,0.864979,15.031144,0.176988,10.483333,10.74,11.326667,11.326667,11.326667,-43.8220795,0,0,-2.709611,0.732601,299.919851,346.704478,-0.363196
1,1.25,436.400392,9.100468,2380.068503,0.658936,0.6489805,-13.239634,-2.7374095,4.193416,1.666284,0.13143,-0.0141285,0.405381,0.151085,102.004,92.3,7.4585,0.84457,14.822558,0.16869,10.366667,10.666667,11.303333,11.303333,11.303333,-44.0342055,0,0,-2.607362,0.732601,296.586641,346.559556,-0.363196
1,1.75,438.50592,9.0582865,2411.4138545,0.721636,3.167082,-13.362743,-2.3293125,2.8393375,1.565027,0.138642,-0.0148375,0.3987405,0.1579645,102.024,92.7,7.337,0.715209,14.661188,0.186722,10.253333,10.63,11.243333,11.243333,11.243333,-40.311328,0,0,-2.607362,0.671551,300.034735,345.533779,-0.363196
1,2.25,438.766584,9.078921,2408.087271,0.8434095,3.916185,-14.086329,-2.078908,4.0553545,1.394883,0.1389095,-0.0150955,0.3898025,0.141055,102.0465,93.6,7.256,0.715209,14.534678,0.1714845,10.136667,10.56,11.17,11.17,11.17,-34.803357,0,0,-2.556237,0.732601,301.128779,344.9217165,-0.363196
1,2.75,436.900683,8.850705,2444.054287,0.7408405,3.7115025,-13.961469,-1.70873,2.239238,1.427,0.1352365,-0.0099835,0.3804205,0.1371855,102.048,92.9,7.048,0.667887,14.332559,0.19211,9.993333,10.543333,11.113333,11.113333,11.113333,-36.4674795,0,0,-2.607362,0.732601,300.516237,344.754216,-0.363196
1,3.25,434.9858515,8.7304985,2481.674061,0.886377,4.6189045,-13.37873,-2.5592105,3.277924,1.453913,0.1251385,-0.012007,0.3936875,0.1510785,102.0265,93.3,6.876,0.67488,14.442103,0.188716,9.89,10.436667,11.006667,11.006667,11.006667,-34.7861185,0,0,-2.453988,0.671551,303.456303,343.621007,-0.363196
1,3.75,438.583173,8.604006,2479.985964,0.811301,3.81687,-13.9882375,-1.362426,2.7738935,1.567897,0.138879,-0.019277,0.3881375,0.153146,102.0165,94,6.769,0.588938,14.364599,0.172047,9.74,10.366667,10.936667,10.936667,10.936667,-33.6969815,0,0,-2.300613,0.732601,304.331433,343.106411,-0.363196
1,4.25,436.660492,8.53653,2454.2113215,0.708496,4.532109,-14.371856,-1.9347675,2.594762,1.520133,0.145767,-0.017331,0.4024125,0.1594455,102.0185,94.2,6.59,0.558667,13.8939245,0.173515,9.603333,10.26,10.9,10.9,10.9,-28.472927,0,0,-2.2239265,0.610501,308.427549,343.159323,-0.363196
1,4.75,440.467537,8.235242,2395.859767,0.851883,4.942976,-13.905547,-1.917129,3.960375,1.7115405,0.137176,-0.01391,0.419694,0.153629,102.023,94.8,6.142,0.483931,13.89625,0.1640745,9.523333,10.203333,10.866667,10.866667,10.866667,-27.265773,0,0,-2.3773005,0.641026,307.9137395,342.026224,-0.363196
1,5.25,439.3830255,8.320026,2404.90124,0.9560575,3.972399,-13.254781,-2.0863135,4.536804,1.7104225,0.13368,-0.0163975,0.37765,0.16309,102.019,95.2,6.057,0.385584,13.7220805,0.1777335,9.516667,10.143333,10.836667,10.836667,10.836667,-28.537664,0,0,-2.453988,0.641026,305.5267075,341.968142,-0.363196
1,5.75,439.26472,8.480975,2455.9993815,0.8797895,3.028725,-13.24626,-1.705178,4.3028155,1.549061,0.1478845,-0.016887,0.3778365,0.154009,102.037,95.6,6.026,0.401299,13.853766,0.172931,9.496667,10.106667,10.813333,10.813333,10.813333,-24.707504,0,0,-2.3261755,0.641026,309.158305,341.73226,-0.363196
1,6.25,438.905758,8.587856,2475.084043,1.1065045,7.624401,-12.830665,-1.089505,3.8887665,1.5748775,0.1394485,-0.017182,0.3995205,0.154547,102.04,95.1,5.919,0.5349,13.531366,0.1865715,9.446667,10.033333,10.76,10.76,10.76,-24.3223545,0,0,-2.300613,0.610501,311.8463335,342.053241,-0.363196
1,6.75,438.544422,8.441356,2428.476005,0.658528,3.004395,-13.446833,-1.2137485,2.53938,1.609935,0.144786,-0.0189415,0.3906415,0.140534,102.058,95.4,5.98,0.42615,13.540041,0.183692,9.3,9.976667,10.65,10.65,10.65,-22.877375,0,0,-1.9683025,0.610501,312.220969,342.205512,-0.242131
1,7.25,436.8048735,8.6297665,2455.38356,1.0369325,4.894813,-13.33562,-0.944935,4.862194,1.6476245,0.142791,-0.0154155,0.4403655,0.1557985,102.085,96.3,5.891,0.355914,13.264207,0.174796,9.14,9.91,10.543333,10.543333,10.543333,-18.806577,5.418719,0.358852,0.869121,0.824176,316.093323,342.1948085,4.842615
