DOY2,HR2,CO2_1_1_1,FC_1_1_1,G_1_1_A,H_1_1_1,LE_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TAU_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,WS_1_1_1,T_CANOPY_1_1_1
9,20.25,453.565,10.325272,-2.93750000000001,11.726,17.931,81.1105,97.4025,17.9405,12.4185,18.979,0,0,-0.0395000000000002,342.90425,382.976,-19.836,18.52875,18.1055,18.0465,16.801,13.5205,12.63025,0.0538550000000001,0.50523605,0.7023932015,2.712863,13.8205
9,20.75,462.615,14.9907325,-3.15325,16.89375,32.784,81.1115,97.4835,17.3845,11.75675,18.71075,0.000249999999999915,0,-0.12,328.746,380.782,-23.85775,17.93025,17.92225,17.92375,16.49175,13.5505,12.63025,0.047558075,0.582034775,0.798328965,2.63714075,13.099
9,21.25,465.355,12.372335,-4.51725,-2.57275,28.376,81.103,97.6025,16.32075,11.07425,17.723,0.01,0,-0.13975,326.49375,377.2035,-33.2342500000001,17.73275,17.6305,17.59275,16.19225,13.58025,12.63025,0.0226291,0.543657025,0.68949037075,2.87658725,12.5725
9,21.75,466.9125,9.853157,-5.11,20.815,28.3725,81.11375,97.558,15.4,10.65525,16.87625,0,0,-0.19875,330.70175,374.842,-30.39825,17.33225,17.2325,17.20875,15.89325,13.61,12.62025,0.03047938,0.5852346,0.69796826325,2.749116,12.191
9,22.25,468.305,9.45336,-5.76775,23.018,24.672,81.1145,97.5645,14.984,9.925,16.37475,0.0102499999999999,0,-0.118000000000001,323.4805,369.057,-29.54275,17.1935,16.37125,16.668,15.6925,13.63,12.62025,0.0317166699999999,0.5959458,0.7925737425,2.537202,11.1285
9,22.75,468.475,13.4205675,-6.43575,11.955,63.2097500000001,81.113,97.7615,14.70025,9.6605,15.8005,0.0202499999999999,0,-0.0490000000000037,319.416,367.33,-26.2792500000001,16.67125,16.443,16.62375,15.51075,13.64025,12.62025,0.01990432,0.64849315,0.775678649499999,3.703099,10.973
9,23.25,469.79,12.23637,-7.23925000000001,-3.13,48.11125,81.1145,97.837,14.83575,9.54275,15.938,0.02,0,-0.0285000000000039,316.2025,369.259,-31.5535000000002,15.973,15.973,15.93625,15.291,13.66,12.62025,0.02196356,0.783863125,1.00174662425,3.1770575,10.98275
9,23.75,466.7375,15.95278,-7.41,23.449,30.762,81.11525,97.8715,14.64775,9.70775,15.76475,0,0,0.36125,316.706,370.03125,-27.1455,15.882,15.80125,15.85425,15.05275,13.67025,12.62025,0.04589521,0.71431685,0.8648913865,2.9144845,10.967
10,0.25,446.17,9.768772,-5.07975,0.28799999999999,12.32,81.3695,97.4205,12.67825,9.0165,13.40975,0.03,0,-0.14225,331.5125,356.7605,-1.23699999999998,10.98425,11.13725,10.8015,10.39225,10.2295,10.44725,0.022175168,0.73330665,0.9632754975,3.20984275,9.0635
10,0.75,445.9625,10.74764,-5.2275,1.12774999999998,20.0625,81.354,97.577,12.4205,8.6125,13.23,0.03825,0,-0.2035,326.86,364.92375,-1.76949999999999,10.36025,11.0095,10.51575,10.234,10.23125,10.44725,0.0303671899999999,0.6545664,0.89945029,3.327923,10.29425
