DOY2,HR2,TAU,H,LE,FC,CO2,H2O,T_SONIC,PA,VPD,WS,USTAR,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,PPFD_IN,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-0.4733173558,-86.0036729893518,-6.71732752205722,-12.07106438,375.953225,3.6957228633565,3.32589374266735,100.8474,0.198428217216182,0.3920232,0.0200585626534222,4.5475,8.02805,8.75425,-45.01975,-64.762,0,51.025,2.9636,-2.89775,-0.471075,231.97125,314.49725
1,0.75,-0.28656197765,-89.0723400435132,-9.62445567280501,-0.367339375,415.311475,2.45656723888135,2.90250000000004,100.85305,0.233359492198604,0.2474274,0.0227548395935352,4.36375,7.916325,8.7595,-47.56525,-63.362,0,50.40375,2.11445,-3.028375,-0.172525,230.0855,313.2015
1,1.25,-0.3454997695,-79.0794198609221,-14.6805200964066,0.457636693708739,377.229270224878,2.22238180863691,3.17139924886491,100.797164918402,0.100314655,0.594881125,0.0238312125,4.20015,7.80545,8.75475,-52.27375,-63.362,0,50.7315,2.538675,-2.932625,-0.501275,228.619,314.02425
1,1.75,-0.440817125,-110.67086,-4.90693939273443,0.74506275,417.404111982333,0.6449584,2.70712500000001,100.834372503472,0.185826585592874,0.45452825,0.0229086375,4.0443,7.6969,8.76475,-54.03325,-63.362,0,49.25525,2.299275,-2.7073,-0.394825,228.10725,311.5535
1,2.25,-0.5355963715,-89.6634397096852,-13.73988,-0.473128,417.9914,0.9557298,2.33602378935252,100.837128942708,0.155153195771981,0.342040601999062,0.0206716625,3.8781,7.6159,8.76425,-57.389,-63.44975,0,50.91925,2.07905,-3.0297,-0.4714,227.37625,309.965
1,2.75,-0.53258720375,-92.6475593035206,-4.43476715069243,-1.58540698664334,408.28085,1.06912320535138,2.82700000000004,100.840159593749,0.0416170639111825,0.365414514647292,0.0258488375,3.703875,7.510675,8.76425,-54.1495,-63.362,0,50.16425,2.37635,-2.4766,0.030675,226.97275,310.61825
1,3.25,-0.530557501125,-98.5777903355571,-10.2992389488131,-6.37448627216962,351.528,0.497333952165178,2.55175000000003,100.881613204861,0.0955245824205781,0.373423877018443,0.0193181924499039,3.560875,7.3973,8.7685,-45.89775,-63.3,0,50.28325,1.892325,-2.523825,0.052675,226.38875,311.07725
1,3.75,-0.4320408795,-100.868014281521,-13.1721537667141,-6.39143338854705,413.99875,0.742871085295857,1.90540000000002,100.903418175,0.108861909221453,0.172129834005586,0.0301089533496327,3.371,7.2846,8.7685,-46.394,-63.3,0,51.34875,1.422525,-2.77955,0.024825,226.6255,310.32825
1,4.25,-0.34305381035,-93.2671935869972,-21.290239916445,-6.63253677516056,413.521825,1.2193662626947,1.695125,100.9132314,0.0267187753001297,0.251445030582465,0.02562942,3.1735,7.17795,8.768,-44.08725,-63.30775,0,52.5925,0.963575,-2.4769,-0.268875,225.857,309.5435
1,4.75,-0.38950585,-100.11649,-11.569395,0.370106440926965,414.9077,1.40955603643264,1.70171581028806,100.93490436597,0.0531908346334561,0.234469356722545,0.0212736697194344,2.990625,7.07725,8.77275,-43.59975,-63.3,0,51.81225,1.0898,-2.722425,-0.584925,225.385,307
1,5.25,-0.3970705,-97.1478771629685,-9.07493562513983,0.542398581969149,414.902,1.16070430977394,1.50195000000003,100.95440668125,0,0.267031319162424,0.02587313,2.844375,6.9796,8.77275,-43.5885,-63.3,0,53.742,0.7733,-2.712675,-0.3074,229.53575,304.947
1,5.75,-0.3131934301,-81.20251,-14.6003742139232,-0.17973559199759,415.2855,0.64938235,1.1444114491613,100.9662,0.0551159028929863,0.4025762,0.0294453882489385,2.7565,6.885425,8.77225,-43.5885,-63.3,0,53.845,0.890875,-2.842825,0.0772,227.956,304.977
1,6.25,-0.277589627175,-81.8840819967657,-7.646794475285,-5.70510106735355,414.62645,0.519114444387439,1.08476764530535,100.995231438542,0.00334293389987689,0.421164970043695,0.0253937603948663,2.679,6.795925,8.77225,-43.48775,-63.30775,0,54.8235,0.321425,-2.999575,0.05155,230.40375,305.41725
1,6.75,-0.32716895,-85.731265,-10.8982100784154,-1.89493570879484,415.686075,0.744726193552608,0.356228434880515,101.046666603125,0.0151972,0.421524477108153,0.0261862975,2.601625,6.71285,8.77225,-43.48,-63.31,0,55.156,0.4273,-2.70095,-0.28825,228.15275,305.59475
1,7.25,-0.34643255,-91.475375,-6.30273081233674,0.0201341016161243,415.8737,1.22257354274845,0.653051603189558,101.074966416666,0.131688199470128,0.4160431,0.02900897,2.528875,6.623425,8.777,-43.48775,-63.31775,31.35525255,55.892,0.721025,-0.1849,0.0182,227.08725,305.598
1,7.75,-0.3110806592,-77.3873620253849,-26.2053352648648,0.044121875,418.108959569908,0.436359599180558,0.919300000000002,101.075648888541,0.00787552430433603,0.364129975,0.0296353911296846,2.451375,6.54275,8.777,-42.572,-60.439,55.841296,52.5165,0.7719,3.604325,0.315425,227.23725,307.82075
1,8.25,-0.40595,-68.113925,1.83282125,0.120652125,419.755250595039,1.19083346464072,1.84175000000003,101.029776730208,0.0400571654593523,0.354041252188025,0.0440347140551898,2.37375,6.48135,8.767,-39.43775,-43.15475,55.841296,50.48925,1.868625,10.5625,1.05495,221.2705,316.55575
