DOY2,HR2,TA,USTAR,WS,FC,H,LE,CO2,H2O,PA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,RH,TS
1,0.25,-1.639333367,0.237,1.765,0.075,-6.1950002,0.926,418.91360905,5.228733212,95.758708955,-26.25999967,-1.515666667,0.738333347,278,304.20001,74.913335335,2.695
1,0.75,-1.679,0.252,1.6025,0.0825,-6.483,0.714,419.71720895,5.0830484495,95.77812958,-24.639999,-1.399,0.795333333,280.0333367,303.6666567,75.763333665,2.665
1,1.25,-1.741,0.22499999,1.60099995,0.063,-6.3850002,1.923,419.9545947,5.088947656,95.79732513,-22.756666,-1.26733334,0.744666647,277.6333333,303.70001,75.1699995,2.6516666665
1,1.75,-1.913833367,0.2705,1.709,0.037,-6.1325,2.645,420.6334207,5.1385989925,95.84241104,-21.383333,-1.1459999985,0.803000005,278.149995,303.04999665,75.869999,2.65
1,2.25,-2.0509999835,0.251,1.624,0.13699999,-5.14999985,1.04,421.0275532,5.282883342,95.838508605,-22.345000165,-1.22,0.706666675,278.66666165,302.80000165,75.998334,2.6475
1,2.75,-2.0929999,0.268500005,1.3985,-0.0485,-4.90699995,3.88150005,418.98958565,5.401707622,95.85575867,-23.236667,-1.360666667,0.66299999,279.4666633,303.89999,75.753335335,2.6366666665
1,3.25,-2.133333367,0.237999995,1.54,0.12,-4.94999995,2.145,419.4352669,5.414192842,95.84959412,-22.17333333,-1.212666667,0.685,278.5,303.7,76.029998835,2.6341666665
1,3.75,-2.301249983,0.238999995,1.667,0.059,-5.1079998,3.244,418.8372719,5.387873566,95.83197784,-21.026667,-1.285666667,0.586666663,277.3333433,303,76.3666685,2.605
1,4.25,-2.4323334,0.25,1.577,0.1565,-5.31949995,2.517,419.177984,5.440631553,95.83652496,-21.19999967,-1.285,0.643333333,281.70001,303.39999,77.471665665,2.5716666665
1,4.75,-2.333666717,0.273,1.784,0.1585,-7.7870002,1.9365,419.5934659,5.254313379,95.83307648,-20.35000033,-1.20500003,0.653,280.36667,302.6999933,78.235001665,2.55
