DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_2_1,TA_1_3_1,RH_1_2_1,RH_1_3_1
1,0.25,0.45292,-6.24285,2.7356,0.5325,0.447,-11.881,-0.089165,0.782,0.75833,82.371,98.216,412.69,-19.2055,0.0134235,-0.68086,0.34731,267.9355,293.16,3.2451,0.034419,1.1125,1.37085,2.24585,2.7,4.84165,6.5333,-4.1868,-2.71235,90.15,90.3
1,0.75,0.426,-6.22505,2.7191,0.48913,0.39602,-12.762,-0.128,0.809,0.75833,82.304,98.215,412.73,-18.995,0.013938,-0.65768,0.37107,269.15,292.8605,3.283,0.038071,1.1167,1.3833,2.2667,2.7,4.8667,6.5667,-4.128,-2.926,90,90.3165
1,1.25,0.43661,-6.33335,2.7896,0.438,0.373,-12.398,0.059,0.802,0.75,82.8855,98.2065,412.86,-18.7835,0.0130595,-0.668,0.36,269.1665,292.995,3.269,0.0566087705,1.1167,1.3833,2.2583,2.7,4.8833,6.566666,-4.0875,-3.061,90.183,90.55
1,1.75,0.437,-6.401,2.742,0.562295,0.447,-11.998,0.151,0.807,0.759,83.028,98.208,412.94,-17.845,0.013,-0.63776,0.345015,268.099,292.4865,3.2438,0.054592,1.1083,1.3833,2.2667,2.7,4.867,6.5667,-4.3535,-3.05085,90.533,90.6835
1,2.25,0.43329,-6.42835,2.7197,0.536,0.42097,-12.1685,-0.017,0.804,0.75833,83.2665,98.2235,412.94,-17.8375,0.013739,-0.646845,0.33579,269.346,291.815,3.253,0.063243,1.1,1.3833,2.25,2.7,4.8667,6.5667,-4.41715,-3.01115,91.05,90.3665
1,2.75,0.444065,-6.5889036665,2.685,0.54245,0.43806,-12.679,-0.0305885,0.815,0.742,83.4075,98.228,412.93,-17.943,0.01345,-0.647,0.35671,267.28,290.052,3.218,0.10763,1.1167,1.3833,2.2583,2.7,4.8833,6.55835,-4.52315,-2.93115,91.899833335,90.5335
1,3.25,0.44426,-6.5141073335,2.675,0.50434,0.4025,-11.638,-0.13897,0.814,0.75,83.533,98.232,412.67,-17.254,0.0130645,-0.632,0.31129,267.23,290.95,3.224,0.0723669375,1.1083,1.3917,2.25,2.7,4.8667,6.5667,-4.52065,-2.908,91.9835,90.6165
1,3.75,0.44477,-6.5683,2.6479,0.526185,0.422,-11.7205,-0.021,0.809,0.75,83.477238335,98.224,412.72,-17.2135,0.013,-0.64605,0.31047,268.1675,291.009,3.226,0.043635,1.1083,1.3917,2.25,2.7,4.867,6.566666,-4.6021833335,-2.96935,91.4,90.1665
1,4.25,0.44381,-6.47025,2.675,0.52152,0.43424,-12.078,-0.11058,0.806,0.75,83.534358335,98.21,412.88,-18.143,0.01337,-0.65658,0.32399,266.72,291.35,3.22535,0.0752205,1.1083,1.3833,2.2583,2.7,4.8667,6.5667,-4.8681833335,-3.0022,91.317,90.25
1,4.75,0.445155,-6.367,2.6708,0.475169974,0.42807,-11.919,-0.055097,0.807,0.75,83.500156665,98.189,412.8,-16.82,0.013975,-0.618,0.29966,267.53,290.02,3.242001112,0.06922,1.1,1.3833,2.2667,2.7,4.85,6.5667,-4.97665,-2.98235,91.417,90.65
1,5.25,0.422805,-6.514,2.5885,0.517,0.44751,-11.104,-0.099269,0.798,0.75,84.1075,98.194,412.645,-17.391,0.014,-0.607,0.352345,268.764,291.27,3.2505,0.05885,1.1083,1.3833,2.2417,2.7,4.8667,6.55,-4.8786833335,-3.0875,91.6,90.8
1,5.75,0.422931445,-6.516,2.6095,0.522,0.401,-11.513,-0.0643015,0.804,0.75,84.384803335,98.171,412.685,-17.442,0.014,-0.61135,0.35022,268.55,290.617,3.25415,0.07004,1.1167,1.3833,2.25,2.7,4.85,6.5667,-4.8000166665,-2.93865,91.55,90.85
1,6.25,0.420465,-6.514,2.5789,0.56636,0.44763,-11.449,-0.076717,0.795,0.759,84.409,98.18752667,412.905,-17.343,0.013717,-0.629905,0.316855,270.725,290.43,3.28095,0.099906,1.1083,1.3833,2.2583,2.7,4.8667,6.55,-4.6246833335,-2.93685,91.566833335,90.733
1,6.75,0.432,-6.602206667,2.5906,0.5264,0.409365,-11.504,-0.104715765,0.809,0.75,84.4515,98.182,412.88,-16.8865,0.013865,-0.575,0.309,268.91,290.465,3.2918,0.093638,1.1167,1.3917,2.2583,2.7,4.8667,6.55,-4.8220166665,-2.9107,92.1835,90.667
1,7.25,0.40633,-6.6523,2.5795,0.55152,0.43333,-10.677,-0.0355045,0.813,0.759,84.503,98.183,412.98,-17.406,0.0141365,-0.661,0.30204,269.23,290.1055,3.27995,0.10238,1.1,1.375,2.2667,2.7,4.85,6.5667,-4.8273166665,-2.8425,91.9165,90.4835
1,7.75,0.398,-6.7536,2.6162,0.534765,0.43728,-10.537,0.044757,0.81,0.758,84.6395,98.186,413.005,-17.294,0.174797443,-0.499075,0.35381,268.7,290.615,3.2739,0.0816500825,1.1083,1.3833,2.2417,2.7,4.8667,6.55,-4.68115,-2.86215,91.566666665,90.6
1,8.25,0.394045,-6.71195,2.4969774885,0.567865,0.43595,-10.704,-0.080893,0.798,0.75,84.814,98.196,413.02,-14.518,6.963939279,2.98515,1.339,267,289.32,3.28605,0.0773015,1.1083,1.3917,2.2583,2.7,4.866667,6.566666,-4.5418166665,-2.65885,91.183,89.4665
1,8.75,0.3948481965,-6.7398,2.5199,0.581555,0.4735,-9.57995,-0.05,0.801,0.75,84.286,98.192,413.15,-3.26235,36.0315,19.2165,5.0961,267.97,289.79,3.2765,0.0207075,1.1,1.3833,2.25,2.7,4.85,6.55,-4.5745,-2.6817,90.6665,89.067
1,9.25,0.42708,-6.5538,2.568,0.51839,0.56542,-2.7695,0.371,0.788,0.742,83.9275,98.216,413.27,13.87,83.996,45.964,10.8725,267.84,290.471,3.2743,-0.10775,1.1083,1.3833,2.2417,2.7,4.85,6.55,-4.45435,-2.558,89.7665,88.4665
1,9.75,0.469,-6.50375,2.551,0.49398,0.62216,6.7105,1.0556,0.778,0.75,82.97,98.21906333,413.38,37.296,144.28321395,77.244,17.172,267.42,291.85,3.3237,-0.215245,1.125,1.3833,2.25,2.7,4.866667,6.533333,-4.34165,-2.3735,88.933166665,87.5335
1,10.25,0.52991,-6.19,2.63855,0.515735,0.70978,20.588,1.48365,0.771,0.75,82.386,98.24354,413.35,58.8425,202.53,107.837,23.7065,269.275,293.03,3.331,-0.2885,1.1083,1.375,2.25,2.7,4.85,6.55,-3.9755,-2.222,87.8165,87.9165
1,10.75,0.55637,-5.88875,2.7239,0.50013,0.69904,32.6115,2.78325,0.769,0.75,81.219,98.236,413.17,84.137,266.1515,141.076,30.248,269.28,294.62,3.3879,-0.295635,1.1167,1.3833,2.2417,2.7,4.85,6.55,-3.43515,-1.9022,86.1165,88.85
1,11.25,0.58742,-5.5983,2.734,0.473020781,0.63604,47.154,3.9421,0.759,0.746,79.7095,98.239,412.83,101.47,310.515,166.0045,34.9705,269.644,295.39,3.399,-0.27602,1.1167,1.38335,2.2625,2.7,4.85,6.558333,-3.0472,-1.7532,85.7335,87.067
1,11.75,0.617195,-5.286,2.91705,0.54103,0.732345,61.841,5.373,0.761,0.746,78.2405,98.215,412.68,119.265,360.065,189.789,39.5715,269.7045,297.98,3.434,-0.321115,1.10415,1.375,2.2375,2.7,4.85,6.55,-2.86015,-1.5957,83.216833335,86.7
1,12.25,0.633,-5.08615,2.925,0.5015,0.62426,67.8555,5.795296697,0.764,0.75,77.012,98.204,412.34,123.64,371.986,198.115,42.1695,267.9,299.345,3.3516,-0.27409,1.1083,1.3833,2.25,2.7,4.8667,6.55,-2.8999833335,-1.499,83.1835,86.4165
1,12.75,0.635,-5.02495,2.923,0.541815,0.641,72.9885,5.644,0.763,0.746,75.531,98.164,412.32,127.41,381.01713875,197.825,41.959,267.863,300.08,3.3534,-0.2422,1.1125,1.387483375,2.24165,2.7,4.85,6.558333,-2.77785,-1.32085,82.3,85.3335
1,13.25,0.64953182,-4.7946,3.021,0.43622,0.56287,69.5,5.82635,0.781,0.742,74.2285,98.125,412.26,125.1,380.43,197.43,40.397,267.3355,300.8,3.36,-0.226425,1.1,1.38335,2.2417,2.7,4.85835,6.55,-2.735,-1.2877,81.995,85.633
1,13.75,0.67145,-4.7345,2.9768,0.507,0.618105,67.593,6.20445,0.781,0.742,73.63,98.096,411.96,113.3,343.575,181.11,38.548,268.525,301.1575,3.307,-0.16877,1.10415,1.3833,2.24585,2.7,4.85833325,6.55,-2.70665,-1.23715,82.633333335,85.833
1,14.25,0.646,-4.61255,3.096,0.54336,0.6145,59.07,5.2,0.784,0.754,73.033,98.11,411.975,98.7985,312.27,161.37,33.967,270.465,301.7605,3.3005,-0.12080935,1.1,1.3833,2.2375,2.7,4.84165,6.55,-2.74485,-1.2195,83.100166665,85.3335
1,14.75,0.67235,-4.6596,3.06325,0.590995,0.60112,51.61,4.8191,0.799,0.746,73.0115,98.106,412.035,78.245,262.73406665,137.405,28.951,270.77,301.93,3.28995,-0.084604937,1.1,1.3833,2.24165,2.7,4.85,6.55,-2.883,-1.1103,83.35,84.4835
1,15.25,0.643,-4.813,3.0909,0.57217,0.56027,38.065,3.7444,0.812,0.746,73.194,98.118,411.94,56.6275,205.875,108.23,23.55,269.695,300.675,3.269,-0.017412454,1.0917,1.37915,2.25,2.7,4.85,6.55,-3.02015,-1.269685,83.316833335,86.1
1,15.75,0.621,-4.8468,2.944,0.57,0.506405,25.338,2.8722,0.8,0.746,74.2355,98.158,412.06,35.152,148.805,79.213,18.642,269.46,299.71,3.265,0.06054,1.1,1.37915,2.237516625,2.7,4.84165,6.54165,-2.95415,-1.1335,83.483333335,86.7835
1,16.25,0.58821,-5.00535,2.82925,0.541,0.448195,12.0875,1.5653776605,0.807,0.75,74.914,98.171,412.04,12.425,94.654,51.5625,11.673,268.31,298.146,3.27,0.12702,1.0917,1.3708,2.24165,2.7,4.84165,6.5333,-3.15235,-1.1888,85.050166665,86.75
