DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,LE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1
1,0.25,14.2456589466613,-6.8515720828883,0.704754094469297,0.567450022612199,1.80010673807014,0.519252683380751,-2.69965310886007,3.59498004540918,0.898047898327746,11.40625,9.73999999999998,-9.16079,-10.749625,-8.61196,-10.343825,104.10926525,88.8375,0.5137175,-8.85,-10.025,-6.83275,2.7475,0.0132499999999996,4.2,0.41,261.3375,267.1225,270.7125,277.59,0.197,0.79,0.83,0.10575,0.07,1.225,0.05,-3.96115,-3.43,-3.0403,-0.570325000000001,-0.20555,-0.801675,-1.09025,-1.882675,-5.0483,-4.40835,-2.0691,-1.686325,-1.2055,-1.574,-3.21565,-2.8499,-3.532025,-3.3753,-0.1017,-0.1921,-0.421525,-0.999475,-1.58005,-6.23535000000001,-7.460875,-4.003675,-2.8835,-2.396925,-1.9986,-1.61895,-2.0729,-7.850075,-7.3722,-6.50135,-4.994525,-4.678325,-2.505625,-1.72265,-1.799975,-2.13315,-1.00715,18.96225,2.10770576032383,0.835996389215953,2.27970428146586,0.814217167321815,2.3355674494288,0.811671929401112,2.26967351638751,0.864256335203316,2.07460167276937,429.577739959587,441.497949754463,429.194329647884,432.836484252495,428.988980717724,441.448109584772,429.008782981628,436.142016227264,430.884186270835,2204.24489969472,2123.07417107412,2135.52139613335,2281.68303858019
1,0.75,14.1786832883414,-6.83066591311116,0.963609060627917,0.567431901514013,0.010377896027312,0.49109221016304,-1.35765434314956,0.545059501606363,0.970144785922494,11.882,9.657,-9.6742,-11.12055,-8.1938175,-10.58599,104.14005625,88.927,0.5063975,-7.88,-9.92575000000002,-6.8255,2.8475,0.107499999999999,4.2475,0.39425,266.58,269.11,271.8575,278.195,0.2,0.79,0.83,0.1,0.07,0.984249999999998,0.05,-3.9763,-3.4419,-3.0493,-0.574375000000001,-0.2065,-0.801675,-1.09025,-1.882675,-5.05155,-4.412525,-2.073375,-1.688325,-1.2055,-1.574,-3.228125,-2.857225,-3.53975,-3.3823,-0.101725,-0.19215,-0.421525,-0.999,-1.58005,-6.25210000000001,-7.457775,-4.0182,-2.8952,-2.406975,-2.0056,-1.62195,-2.0749,-7.84895,-7.372075,-6.507875,-4.9987,-4.6755,-2.5042,-1.72185,-1.7999,-1.584625,-0.853950000000001,18.7885,2.03141080875511,0.830919222191279,2.23053102538111,0.811035469166576,2.26710482876287,0.814664137778154,2.25807929202669,0.860580133719126,2.03375551791791,428.989799828269,441.616782670966,429.997024132052,432.698844403952,428.755823580517,434.960013880833,428.977292782912,435.297754524621,430.049821243127,2131.9652248272,2206.0524580012,2134.5590720701,2331.8773324422
1,1.25,13.6982075468976,-6.74848763069161,1.00498027686254,0.585515912216543,1.59678614842654,0.499335049248971,2.36167210292501,5.88974604140475,1.04279498572787,11.96475,9.43324999999999,-10.2628,-11.57935,-7.10944,-11.034635,104.1529635,88.65,0.49175,-7.77,-10.095,-6.83825,2.6475,-0.0272500000000005,4.1475,0.385,265.64,268.675,272.3975,277.665,0.2,0.79,0.83,0.0957499999999999,0.07,0.897999999999997,0.05,-3.989025,-3.45375,-3.058575,-0.578425000000001,-0.20745,-0.8022,-1.090775,-1.8832,-5.054325,-4.4157,-2.077375,-1.69065,-1.2055,-1.574,-3.2406,-2.86245,-3.54385,-3.3854,-0.1027,-0.191625,-0.421525,-0.999,-1.58,-6.27085,-7.4549,-4.0322,-2.9076,-2.416975,-2.013125,-1.625475,-2.076425,-7.848925,-7.372425,-6.514875,-5.004825,-4.6835,-2.50965,-1.7243,-1.80145,-1.5491,-0.8245,18.53,1.96374629287171,0.830005783162161,2.11835416722781,0.821436529706444,2.22444684884832,0.817396893347971,2.15461128857465,0.8419509325929,1.92525930548173,428.465549253239,441.753291381273,428.623968011045,432.715397437572,430.957240654979,435.588013915466,429.031081067412,435.423728858717,429.865927175228,2172.41191799844,2152.1225087225,2158.26058553481,2353.23048647751
1,1.75,13.535920866624,-6.59193362155194,1.37048593356023,0.587449178165325,1.13547381178389,0.484816526094967,3.68978722678272,2.0271144053362,1.01320072762634,11.20625,10.1725,-10.561175,-12.032675,-6.45872,-11.5009175,104.14568725,88.2975,0.5304125,-8.36,-10.3715,-6.85525,3,-0.08,4.4475,0.28,261.0125,265.8925,272.4525,276.81,0.21,0.79,0.82,0.1,0.0667499999999998,0.884749999999997,0.05,-4.00175,-3.4656,-3.0683,-0.582475000000001,-0.207975,-0.8022,-1.09025,-1.88215,-5.057625,-4.418875,-2.08165,-1.692975,-1.2055,-1.574,-3.25145,-2.867675,-3.5513,-3.3924,-0.1037,-0.191625,-0.422,-0.998525,-1.58,-6.28912500000001,-7.45125,-4.046675,-2.9196,-2.4275,-2.020125,-1.62895,-2.0779,-7.84995,-7.37335,-6.522875,-5.009975,-4.6915,-2.51465,-1.72785,-1.803,-2.1937,-0.8071,19.13,1.91423676679636,0.832624199562172,2.56906447258453,4.68649123306278,2.46252439654107,0.807885580734305,2.46357241514867,0.837029146963185,2.23912403686426,428.359720796115,441.602473701124,429.551464115933,432.487591960803,429.61734199949,435.034683163991,430.000940191358,435.601126330753,429.555777493389,2127.00559889031,2154.76525721728,2156.76096738918,2183.66056799917
1,2.25,13.1141366016055,-6.58197350673643,0.502817515199122,0.488622965375693,1.31127860371757,0.577956115728157,13.2486177719574,3.02863349868106,1.11961056832767,10.923,10.04725,-10.5757975,-12.5185,-6.0974,-11.97128,104.1264865,87.95375,0.569095,-8.87,-10.64525,-6.87725,2.9475,-0.13575,4.4475,0.3485,266.275,264.53,271.2625,276.2175,0.20675,0.78475,0.83,0.0957499999999999,0.07,1.0745,0.05,-4.01595,-3.477975,-3.0773,-0.586525000000001,-0.207975,-0.8022,-1.09125,-1.882675,-5.06235,-4.42305,-2.08565,-1.695975,-1.2055,-1.574,-3.254425,-2.872375,-3.563375,-3.404475,-0.1047,-0.19215,-0.421525,-0.998525,-1.5805,-6.30640000000001,-7.44915,-4.0612,-2.9313,-2.438025,-2.02765,-1.632,-2.079425,-7.851975,-7.37585,-6.53135,-5.015125,-4.710275,-2.519,-1.7303,-1.8039,-2.4373,-0.811575,19.1455,1.85553329306551,0.836656818635158,2.53311293038013,0.829159568333768,2.44577131164435,0.827650075479833,2.5539926294609,0.85371193575561,2.13053575784363,427.81784434482,434.979715633427,428.854653407378,433.571857968717,428.727878525662,435.3317454192,429.569367856744,435.663440044718,429.898171571462,2121.65704140125,2149.34514731135,2141.10035274811,2179.35802259099
1,2.75,13.2130054553643,-6.63583733722316,0.701799959791336,0.574380272862616,0.948747889413221,0.5692188060543,15.8795940940177,1.99340208874893,1.1810042117479,10.616,9.88424999999999,-11.0877,-13.0374,-5.75623,-12.4078675,104.10300025,87.474,0.623060000000001,-9.49,-10.77875,-6.89975,2.5,-0.12525,4,0.42,267.29,263.6,270.14,275.035,0.2135,0.79,0.83,0.10575,0.07,0.885000000000002,0.05,-4.031575,-3.490875,-3.0863,-0.590575000000001,-0.2085,-0.802675,-1.091775,-1.882675,-5.069975,-4.428225,-2.089925,-1.6983,-1.2055,-1.574,-3.2564,-2.877075,-3.56865,-3.4083,-0.104725,-0.19215,-0.421525,-0.998525,-1.580525,-6.322675,-7.44605,-4.075675,-2.9437,-2.449025,-2.03465,-1.635,-2.08095,-7.85195,-7.377825,-6.5394,-5.021275,-4.718225,-2.524,-1.7333,-1.8049,-1.530875,-0.7965,20.155,1.81567212294883,0.851606285338944,1.97954977733605,0.832121333351944,2.00002358569437,0.830144736859078,2.01585643110907,0.863366487771151,1.69099996598394,427.504476406439,441.670835117445,428.435835792229,432.868871555691,429.091697707359,435.295504521683,429.041803799638,435.871777422921,429.756040357763,2121.41359710048,2128.03211552589,2141.32246862861,2160.35861796273
1,3.25,13.7265863605039,-6.68797211038014,0.613186184221815,2.79861684607633,1.08182239399321,0.599322725108189,23.5218653893918,4.06234713889701,0.951689366851567,10.801,9.48774999999998,-10.7738825,-13.480475,-5.52234250000001,-10.63281,104.09083375,87.38675,0.6441275,-10.12,-10.6305,-6.9165,2.7475,-0.0405000000000001,4.2475,0.4595,260.1075,262.185,269.4375,273.9475,0.20675,0.79,0.85,0.1,0.07,0.892249999999995,0.05,-4.046725,-3.503775,-3.0953,-0.594625000000001,-0.208975,-0.802675,-1.091775,-1.8832,-5.0795,-4.432925,-2.093925,-1.7003,-1.2055,-1.574,-3.259375,-2.8813,-3.575375,-3.4153,-0.104725,-0.19315,-0.422,-0.998525,-1.580525,-6.33785,-7.44395,-4.08915,-2.9554,-2.459025,-2.042175,-1.639,-2.08295,-7.85245,-7.379225,-6.5474,-5.0274,-4.726175,-2.529,-1.73575,-1.80645,-2.18885,-1.141,20.7155,1.81054104508522,2.13871514408402,1.81149998826962,4.69354130168525,1.85333058674498,2.0780600183266,1.75184833359018,2.29693440893155,1.65592864467301,427.371873849582,441.773354496695,428.436933286076,432.818166556236,428.473316930142,435.182374341097,428.113714823414,435.929021706688,429.45779385752,2071.94441814153,2071.67829000287,2084.63580600062,2143.13770355791
1,3.75,13.9015305449,-6.54162326883102,0.68082067549981,0.480332198996489,-0.0334204427115226,0.614906341618312,10.4211767942521,1.65281065258841,0.970396816348275,11.015,9.71,-10.680305,-13.32765,-5.501775,-12.7805875,104.072843,87.5795,0.553620000000001,-9.65275,-10.6405,-6.9315,2.7,-2.27595720048157e-15,4.2,0.402499999999999,257.885,261.735,268.84,274.845,0.2065,0.79,0.81975,0.1,0.07,1.236,0.05,-4.0668,-3.5183,-3.1156,-0.604300000000002,-0.21,-0.80285,-1.0915,-1.88315,-5.0923,-4.44875,-2.1034,-1.7033,-1.2055,-1.574,-3.26525,-2.89145,-3.5926,-3.431,-0.1055,-0.1891,-0.422,-0.99855,-1.58055,-6.37445000000001,-7.4424,-4.12175000000001,-2.982175,-2.48165000000001,-2.05785,-1.646,-2.0869,-7.8608,-7.38485,-6.56325,-5.032575,-4.74475000000001,-2.540475,-1.742125,-1.80945,-1.53795,-0.945,20.198,1.79530955156302,2.1939240500565,2.06509901249055,5.03526114171138,1.96996468895007,2.12105742706282,1.95103152125152,2.24820434442958,1.85020897886829,427.400697236683,441.903889594625,428.527591039602,432.921858148319,427.869629104421,435.664898024451,428.563414204771,436.278727805816,428.681713809328,2109.09504685754,2125.75169428566,2128.38493226798,2181.5197038188
1,4.25,13.0182696172567,-6.55456413589048,0.700145303615021,0.351563634845535,3.05974377998617,0.613681215972141,23.867572850804,0.809915951749572,1.01625080956301,10.7,9.69949999999998,-10.6269625,-13.294175,-5.6688,-12.718,104.050505,87.7585,0.52862,-9.75,-10.759,-6.92475,3,-0.0222500000000016,4.4475,0.449,258.1475,260.4325,268.5025,274.6175,0.20675,0.8,0.82,0.10575,0.07,1.25375,0.05,-4.073125,-3.527525,-3.1133,-0.603200000000001,-0.210025,-0.803725,-1.0923,-1.8842,-5.094375,-4.442325,-2.1022,-1.705625,-1.205,-1.574,-3.264375,-2.891175,-3.588825,-3.428025,-0.10575,-0.18905,-0.422,-0.998525,-1.580525,-6.37015,-7.438425,-4.1181,-2.9798,-2.480075,-2.0567,-1.645525,-2.08595,-7.853925,-7.3816,-6.56015,-5.0387,-4.7416,-2.5389,-1.74175,-1.8089,-1.5525,-0.820750000000001,19.124,1.82100809214768,2.51985294203993,2.36248235296541,5.05655049625487,2.10405006073107,2.25317799000218,2.46432155041457,2.32603750445921,1.90578952132595,427.344384957016,441.842026391844,428.383421003228,432.920688196806,428.395867741298,435.589224943661,428.815462420762,436.737530679194,429.017674823651,2101.80453411277,2161.69214846983,2190.95381038223,2224.9541150168
1,4.75,12.1979585612096,-6.77170361486562,0.666329178737439,0.334631926726519,2.72458559510604,0.690537976767552,16.3993907501655,2.02429650033754,1.36704595204388,11.221,9.675,-10.6564575,-13.3065,-5.5767,-12.758925,104.03540575,88.08025,0.501935,-9.85550000000005,-10.902,-6.92,3,0.095,4.4,0.635,258.3,259.35,268.15,274.1,0.214,0.79,0.831249999999999,0.1,0.07,1.44625,0.05,-4.0795,-3.5375,-3.111,-0.602,-0.2095,-0.803,-1.092,-1.8835,-5.095,-4.4365,-2.1005,-1.7048,-1.205,-1.57395,-3.265,-2.8905,-3.58875,-3.4275,-0.105,-0.1895,-0.422,-0.9985,-1.5805,-6.3665,-7.43525,-4.114,-2.97805,-2.478,-2.055,-1.645,-2.0855,-7.855,-7.3825,-6.5565,-5.034,-4.7385,-2.538275,-1.741375,-1.808775,-1.565,-0.790300000000001,20.295,1.80097600760367,0.848319753476619,2.05565619077903,0.79030861970297,2.00874208246558,0.738289717702041,2.02677040527242,0.82646063717067,1.8967207847299,427.97766754937,441.933052760719,429.503370620392,432.889308534776,428.640824002045,435.487966818867,428.719363853379,436.718742242122,429.424026971997,2137.83593788754,2112.43777994386,2124.39658482463,2219.28911337495
