DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,G_1,G_2,TS_1,TS_2
1,0.25,-0.2433885,-42.1499,-15.081164,-6.1572215,0.5550975,0.0445,-17.02885,398.32985,0.590692525,0.1758885,0.1694035,0.0504,0.030645,-3.741320875,-0.2342078475,182.1737075,230.7904775,-19.19725,55.10475,-15.9495,-15.06575,-0.471425,-0.621225
1,0.75,-0.249054,-40.2342,-7.026299,-3.65529375,0.624122,0.06055,-17.4776,398.2685,0.613946975,0.1967235,0.1858225,0.0528,0.02215,-3.604976125,-0.1347241425,174.431695,228.961205,-19.316,54.8655,-17.65975,-16.032,-0.47235,-0.64435
1,1.25,-0.214437475,-42.18975,-3.94204,-11.05948,0.310127125,0.0451375,-17.91835,398.138,0.60024135,0.244194825,0.188300625,0.05582,0.02585,-3.75913185,-0.22683057,169.2312125,227.1882925,-19.49625,56.3665,-18.6665,-16.71275,-0.534375,-0.6838
1,1.75,-0.23865505,-40.172065,-9.796078,-7.06360875,0.57142885,0.054745,-18.2209,397.9482,0.544356025,0.27232645,0.18298025,0.07247,0.03109,-3.44947765,-0.2555505925,165.1709025,228.42091,-19.5975,57.0585,-18.76225,-17.7885,-0.545825,-0.705075
1,2.25,-0.253362,-43.83515,-7.661104,-1.2058675,0.6020335,0.07065,-15.9226225,398.862125,0.350200425,0.2353535,0.2122595,0.04785,0.032,-3.406178,-0.178805765,164.13191,225.71333,-19.4445,55.4115,-18.357,-17.766,-0.573825,-0.73955
1,2.75,-0.223557,-32.74185,-2.007567,-15.4012875,0.296827,0.0552,-14.851995,350.8316,0.824144125,0.227897,0.1635665,0.052,0.03256,-3.528459425,-0.1788200475,162.2458325,223.8706025,-19.48,56.11775,-18.01525,-17.23,-0.553125,-0.725675
1,3.25,-0.304277275,-37.8149625,-3.679117,-14.09902,0.377093825,0.0689325,-15.12226,399.27645,0.43942165,0.160936775,0.18283875,0.06086,0.0296175,-3.43415445,-0.1875284475,167.7404225,224.5279175,-19.854,57.45025,-17.70925,-16.62775,-0.619475,-0.75995
1,3.75,-0.202363,-29.4561,-4.170752,-3.52783125,0.647933125,0.0535,-15.263855,400.4675,0.7337823,0.2256295,0.193403,0.0525,0.02785,-3.4961691,-0.07734709125,168.1881725,223.5351075,-20.276,59.0745,-17.57525,-16.11425,-0.599425,-0.76715
1,4.25,-0.233016625,-40.478075,-19.334493,-21.0005,0.553522925,0.04621,-15.37865,400.8855,0.56719,0.16501795,0.1560618,0.05098,0.0292775,-3.8888665,-0.1465239475,173.269415,223.892965,-20.55475,59.9185,-17.71,-16.014,-0.6469,-0.7929
1,4.75,-0.215417375,-31.32857,-10.13483,-4.46801125,0.2759542,0.054545,-15.17187,400.923875,0.62865175,0.181389375,0.20394005,0.0547725,0.0305575,-4.1120828,-0.15174675,171.7949725,225.4025475,-20.82075,60.60375,-17.94925,-15.9415,-0.61805,-0.8026
1,5.25,-0.294897225,-42.1636,-55.53034,-9.8778685,0.4203824,0.0592,-14.931075,399.5335,0.4495896,0.190150875,0.1550297,0.0519,0.03225,-3.608631,-0.09487589275,172.315165,226.7733175,-21.01825,61.02725,-17.80675,-15.8485,-0.625625,-0.833525
