DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,6.75,401.2775,401.7425,401.87,402.19,401.86,402.935,405.24,406.515,0.5735,0.11675,-0.1215,-17,-27.3175,31.13,-1.26,1.52,0.51,0.213,0.097,-0.963,1.705,241.645,296.0575,-25.2,0.0285,0,70.22,-3.025,73.99,2.655,-3.955,76.06,2.34,-4.665,80.455,1.97,10.41,1.6475,-3.8,-2.515,-2.5075,-0.764,-0.11725
1,7.25,399.69,399.94,399.9775,400.125,400.03,400.89,401.8025,403.225,0.5975,0.0405,-0.0945,-16.82,-30.1275,33.595,-1.26,3.58,0.54075,0.12,0.097,6.675,6.29,237.7775,295.6575,-23.065,9.3,1.33,70.23,-3.13,73.2225,2.64,-3.9925,75.1175,2.295,-4.625,79.845,1.985,10.3475,1.63,-3.8,-2.5575,-2.5425,-0.7665,-0.11725
1,7.75,401.1625,401.7125,401.88,402.335,401.8075,402.7375,405.3,406.46,0.531,0,-0.108,-4.145,-13.73,38.44,-1.26,7.2925,0.91525,0.0545,0.10225,64.21,30.31,240.2875,295.55,1.81,79.9,14,70.25,-3.075,72.765,2.7175,-3.8775,75.02,2.2925,-4.57,80.43,1.99,10.345,1.645,-3.8,-2.6175,-2.5725,-0.765,-0.118
1,8.25,399.605,399.795,399.77,399.955,399.9175,400.4825,401.935,403.15,0.565,0.00825,-0.117,22.49,11.26,43.585,-1.26,8.9125,0.995,0.013,0.097,150.07,44.835,240.4175,297.465,42.9725,232.33,28.18,70.27,-2.565,72.24,2.87,-3.5125,74.615,2.565,-4.1925,80.1675,2.1175,10.32,1.6375,-3.7,-2.6125,-2.4875,-0.766,-0.118
1,8.75,401.0575,401.4575,401.5725,401.685,401.6475,402.645,404.88,405.78,0.631,0.039,-0.1465,72.64,59.7675,55.42,-1.26,9.125,0.84775,0.01325,0.0805,238.935,51.865,242.775,300.5925,114.125,386.9675,38.97,70.29,-2.32,71.27,2.9975,-2.78,72.6825,2.785,-3.76,79.5725,2.2825,10.34,1.675,-3.59,-2.5075,-2.3475,-0.77075,-0.117
1,9.25,399.79,400.03,400.0025,400.0925,399.91,400.38,401.62,403.36,0.609,0,-0.1525,121.675,112.68,55.1175,-1.26,8.4625,0.8735,0,0.08325,323.655,56.59,238.4175,303.8275,181.535,542.34,46.81,70.3,-1.85,70.18,3.16,-2.03,71.44,3.1,-3.135,78.02,2.48,10.195,1.65,-3.33,-2.4225,-2.1875,-0.77625,-0.11625
1,9.75,401.1,401.2525,401.1675,401.54,401.2975,402.2175,404.765,405.88,0.628,0,-0.157,165.3,154.955,66.55,-1.26,8.2625,0.69775,0,0.0675,401.73,59.895,239.25,307.295,246.33,683.15,52.175,70.33,-1.51,69.64,3.24,-1.34,69.22,3.31,-2.4425,75.86,2.7475,9.98,1.6525,-3.17,-2.1075,-2.0475,-0.781,-0.1145
1,10.25,399.5175,399.765,399.92,399.9875,399.7675,400.3175,401.47,403.09,0.669,0.00175,-0.19025,206.985,183.86,68.555,-1.26,7.14,0.7455,0,0.08925,465.995,63.54,241.9675,308.865,301.79,800.78,56.6975,70.35,-1.25,69.42,3.43,-0.99,67.4875,3.595,-1.595,73.5825,3.125,10.2475,1.685,-2.86,-1.765,-1.8025,-0.7775,-0.115
1,10.75,401.12,401.39,401.66,401.775,401.36,402.09,403.8075,405.575,0.65475,0.065,-0.2045,238.6975,216.37,74.0225,-1.26,5.8,0.847,0,0.0915,516.255,67.665,242.94,310.34,346.08,893.98,58.825,70.34,-1.05,69.17,3.41,-0.796,67.54,3.705,-1.03,72.3175,3.3675,9.79,1.67,-2.53,-1.51,-1.6925,-0.78,-0.1135
1,11.25,399.705,399.9325,400.035,400.0525,400.15,400.5975,401.41,403.11,0.706,0.044,-0.24425,255.61,232.7775,72.82,-1.26,5.205,0.7915,0,0.05825,555.785,70.1225,242.92,311.4,378.345,967.075,58.855,70.32,-0.785,68.71,3.53,-0.454,66.975,3.78,-0.707,72.22,3.51,9.735,1.61,-2.18,-1.2175,-1.4975,-0.785,-0.112
1,11.75,401.2225,401.4825,401.6225,401.6475,401.5825,402.0425,404.13,405.4525,0.6785,0.042,-0.272,274.78,245.455,67.7,-1.26,4.415,0.802,0,0.08325,579.42,71.2775,245.7,312.92,398.185,1010.2325,57.7,70.29,-0.62025,67.25,3.6425,-0.185,66.355,3.92,-0.521,71.3925,3.67,9.695,1.63,-1.835,-0.9485,-1.0475,-0.782,-0.11275
1,12.25,399.475,399.7025,399.6425,399.88,399.8275,400.1575,401.1575,402.79,0.70025,0.126,-0.26525,278.6775,254.8475,75.4425,-1.26,3.15,0.702,0.0555,0.07825,583.75,72.26,243.19,314.02,403.335,1021.165,55.015,70.27,-0.51,66.36,3.655,-0.064,66.4,3.99,-0.361,69.99,3.75,9.735,1.64,-1.55,-0.62425,-0.945,-0.783,-0.1105
1,12.75,401.24,401.42,401.39,401.76,401.435,401.945,403.805,405.5625,0.69525,0.15,-0.286,285.5625,252.64,72.425,-1.26,2.73,0.774,0.0715,0.09125,577.92,72.17,241.97,313.66,396.66,1011.1725,52.115,70.25,-0.619,67.0225,3.6925,-0.10275,65.125,3.98,-0.5005,69.605,3.7525,9.835,1.64,-1.19,-0.41425,-0.496,-0.78,-0.1105
1,13.25,399.4,399.6325,399.7,399.73,399.6925,400.1225,401.065,402.4875,0.656,0.163,-0.3015,265.8825,240.4775,70.6975,-1.26,1.805,0.801,0.1775,0.06025,557.08,70.03,241.81,314.13,371.905,966.4,47.065,70.23,-0.584,66.74,3.695,-0.0965,65.0925,3.94,-0.509,69.22,3.76,10.075,1.6625,-0.9585,-0.22875,-0.55025,-0.78,-0.111
1,13.75,401.285,401.535,401.6325,401.72,401.505,402.015,403.14,405.075,0.7245,0.181,-0.297,245.05,216.27,68.91,-1.27,0.802,0.79575,0.07575,0.0745,514.7,67.18,242.96,313.32,333.66,893.03,46.605,70.22,-0.4355,67.42,3.81,-0.2255,65.94,4.06,-0.59,69.0675,3.7375,10.32,1.675,-0.86875,-0.09375,-0.45625,-0.782,-0.10975
1,14.25,399.63,399.86,399.94,399.8625,399.87,400.305,401.365,402.64,0.71,0.27825,-0.256,212.715,183.295,58.4525,-1.27,0,0.77775,0.07175,0.05575,456.04,63.9,242.75,313.38,283.445,791.9525,50.305,70.21,-0.419,66.6275,3.675,-0.17925,65.55,3.935,-0.699,70.2425,3.69,10.175,1.63,-0.80425,-0.0575,-0.301,-0.78,-0.1115
