DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA_1_1_1,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1,TA_1_1_2,SW_OUT,LW_IN,LW_OUT,CO2
1,0.25,1.704,-0.395,12.226275,0.438,2.87275,-8.215,0,0,2.71875,97.925,1.7125,90.82575,-0.92525,1.62625,0.9815,3.3812,2.554,218.455,283.58,433.971
1,0.75,1.294,-0.7075,0.605,0.455,2.7205,-7.2475,0,0,2.70775,97.275,1.8575,90.82575,-0.92375,1.67625,0.9835,3.09253,2.947445,213.4355,280.229,433.94975
1,1.25,1.898,3.6175,1.21,0.435,2.77025,-7.9575,0,0,2.75575,97.1375,1.7775,90.82575,-0.92525,1.63925,0.993,3.470275,2.6705025,219.6435,280.503,435.056
1,1.75,2.502,1.3075,9.08785,0.45725,2.31325,-6.58525,0,0,2.78425,98,1.73,90.801,-0.92225,1.6705,0.983,3.00817,2.66114,208.78,279.041,436.35475
1,2.25,1.332,-1.235,12.517225,0.3295,2.3995,-6.892,0,0,2.4935,97.775,1.59,90.801,-0.9115,1.67625,0.969,2.75383,2.50195,227.669,278.09,435.14175
1,2.75,0.5265,0.395,3.34,0.39,2.3095,-7.315,0,0,2.8,98.0975,1.6,90.801,-0.906,1.66425,0.993,2.7916075,2.688495,215.871,276.826,437.461
1,3.25,0.274,1.23,2.27,0.4655,2.33875,-7.53,0,0,2.826,97.85,1.68,90.7505,-0.903,1.69575,0.98175,2.6673575,2.4999,207.193,275.787,438.962
1,3.75,1.262,1.895,4.03,0.43825,2.306,-5.973,0,0,2.625,97.96,1.75,90.801,-0.90075,1.645,0.97575,2.805155,2.54435,215.80275,279.7145,437.932
1,4.25,1.197,1.09,2.99,0.41675,2.3395,-6.31525,0,0,2.771,97.775,1.7075,90.801,-0.89025,1.64575,0.9685,2.55727,2.25681,216.939,278.443,436.82275
1,4.75,0.84775,-0.3425,16.9356,0.3305,2.14875,-5.8145,0,0,2.93425,96.875,1.63,90.801,-0.89,1.62525,0.95425,2.27873,2.02998,210.619,276.997,440.50675
1,5.25,1.1355,-3.66,3.46,0.34475,2.069,-5.619,0,0,2.7425,97.325,1.62,90.8,-0.8945,1.6245,0.95475,2.22463,2.1999125,210.485,275.76575,443.001
1,5.75,3.62375,1.36,3.21,0.36575,2.20125,-5.574,0,0,2.5175,97.825,1.6075,90.801,-0.89525,1.68125,0.95025,2.535515,2.751095,217.6515,276.5635,440.57075
1,6.25,1.6235,1.62,4.754255,0.429,2.3145,-5.884,0,0,2.69125,97.9,1.7125,90.801,-0.88975,1.6555,0.965,2.6804975,3.0523575,223.5605,278.09875,437.801
1,6.75,2.67,9.73,5.96,0.3575,2.296,-5.599,0,0,2.5875,97.60825,1.5875,90.801,-0.896,1.64975,0.9685,2.6233175,4.49509,215.118,278.25075,439.758
1,7.25,0.44125,9.2325,10.1,0.357,2.16275,-4.976,1.0665,0,2.615,98.075,1.565,90.801,-0.88875,1.72625,0.99675,2.44747,8.41936,201.448,277.846,441.176
1,7.75,-0.04275,20.53,20.8925,0.359,1.76925,-1.426,17.2125,7.34775,2.52375,97.875,1.58,90.801,-0.89225,1.70525,1.0005,2.565265,11.99415,205.2465,279.3115,437.845
1,8.25,-0.046,48.24,40.6875,0.42425,2.1375,7.2,64.035,30.921,2.50175,97.625,1.6525,90.9,-0.89225,1.52425,0.9945,3.2067825,34.7189,212.02,286.75075,436.361
1,8.75,-0.2535,103.72,30.5775,0.461,2.272,25.96,121.2,66.79875,2.66,97.05,1.675,90.95,-0.8945,1.446,0.94825,4.236225,54.2251,222.79725,291.31225,434.917
1,9.25,-0.6385,64.401,30.9875,0.435,2.367,49.60975,194.35,96.29825,2.75325,97.175,1.825,91,-0.895,1.364,0.93325,5.556015,61.23025,226.0295,299.297,432.1625
1,9.75,-0.017,83.31,56.7358,0.403,2.5145,119.9175,393.24,206.3725,3.6785,94.975,2.11,90.95,-0.8565,1.343,0.89925,6.295815,70.1571,228.3085,304.1985,429.42625
1,10.25,0.16025,141.8225,43.225,0.4585,2.289,174.0375,561.975,305.745,4.3625,95.05,2.415,90.9005,-0.897,1.36675,0.80525,7.66197,73.8342,228.095,307.518,428.088
1,10.75,-0.297,148.79,58.23,0.557,2.6495,210.95,651.625,329.925,4.9075,92.50125,2.6225,90.9005,-0.8855,1.4155,0.70275,8.37372,77.994075,233.514,315.303,426.9635
1,11.25,0.53,149.68,49.43,0.60475,2.77475,220.2525,711.25,266.975,5.3075,90.375,3.08,91,-0.901,1.453,0.65925,9.01,83.8735,228.488,318.5695,427.0315
