DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_2_1_1,G_3_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,TS_1_1_1,TS_2_1_1,TS_3_1_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
1,0.25,411.34775,2046.4525,0.53669025,0.27883175,13.895575,-8.4522525,-15.1443,-39.578625,-4.88762,99.717825,79.5479,-24.7005,-18.75425,0.214777204136304,212.766,237.52275,0,0,-45.9795,0,-6.31999999999999,-6.69999999999999,-7.04699999999997,-0.1749145,0.668619431408376,0.453823779150074,0.248902112116445,0.2250235,5.02011
1,0.75,411.666,2049.1,0.556699,0.27883175,16.9,-8.56875,-15.0181,-37.2266,-2.4364675,99.6265,79.49215,-24.443,-19.1545,0.202033334452327,212.8145,236.562,0,6.50733061728117e-19,-48.295475,0,-6.30199999999996,-6.69999999999999,-7.01799999999997,-0.196185,0.737640156173727,0.474674625401443,0.302833782791815,0.248601,5.48334
1,1.25,411.66325,2052.56,0.53850775,0.27883175,18.401925,-8.3508725,-14.912425,-35.0755,-2.58784,99.6695,79.700925,-24.73325,-18.963,0.2075129934622,208.01575,237.16425,0,0,-44.1512,0,-6.29999999999995,-6.71499999999997,-7.00299999999999,-0.17992225,0.731581256948172,0.430132097268077,0.28024593417159,0.24481975,5.0325475
1,1.75,412.0675,2048.12,0.53021925,0.27883175,12.41915,-8.30508,-14.31565,-36.92935,-1.343575,99.652,79.0918,-24.832,-19.0995,0.209498456037027,206.5895,235.591,0,0.02134945,-40.70535,0,-6.37499999999995,-6.7695,-7.05,-0.18222925,0.685324944433706,0.556537798318479,0.305908317407788,0.25684875,5.45092
1,2.25,411.691,2050.6025,0.5237195,0.27883175,17.741625,-8.18485,-15.338,-47.3866,-2.691055,99.634325,79.3364,-24.8225,-17.443,0.19399819680407,207.925,242.556,0,0,-45.3069,0,-6.27749999999996,-6.76899999999998,-6.975,-0.22999,0.730043528889503,0.587296590993709,0.33659858570474,0.3038325,4.6209
1,2.75,407.0665,2050.2428125,1.5095025,0.27883175,17.0852097916667,-8.08782,-15.6947,-30.863625,-2.018495,99.933325,80.6848,-14.08875,-17.087,0.189529733412454,209.543,243.198,0,3.3881317890172e-21,-42.6119,-1.65436122510606e-24,-6.28874999999996,-6.77499999999996,-6.975,-0.13103775,0.574593175716038,0.399714406386094,0.194224046063408,0.1684885,4.3112875
1,3.25,406.671375,2049.883125,1.4805425,0.280049041666667,16.4287945833333,-8.04136,-14.8826,-30.35375,-2.21398,99.9158,80.6908,-14.58075,-16.817,0.191426178757476,214.887,244.498,0,0,-32.2695,0,-6.29874999999995,-6.77499999999996,-6.975,-0.13356675,0.544264700090806,0.39271712315667,0.196299047042441,0.17320575,4.03057
1,3.75,406.27625,2049.5234375,1.44102,0.281266333333333,15.772379375,-8.654025,-15.29095,-33.67115,-1.93139,100.003,80.4983,-14.847,-15.394,0.243647358471879,234.3445,251.961,0,0,-26.88265,0,-6.29999999999995,-6.72499999999998,-6.92499999999998,-0.169108,0.659565008168262,0.444161006843239,0.178753461504945,0.179828,3.80384
1,4.25,405.881125,2049.16375,1.405065,0.282483625,15.1159641666667,-8.648565,-15.023475,-32.5179,-2.660975,99.9066,80.995125,-14.683,-14.7035,0.24143710343937,233.67575,254.49175,0,0,-32.793075,0,-6.09999999999997,-6.54999999999998,-6.80349999999999,-0.1191345,0.526845380928034,0.458520047329155,0.19789221585246,0.169588,3.66201
1,4.75,405.486,2048.8040625,1.64359,0.283700916666667,14.4595489583333,-8.363015,-14.317925,-35.70225,0.400783,99.9217,81.1085,-11.478,-14.57275,0.238179208072557,234.73175,254.51625,0,0,-35.47335,0,-6.09999999999997,-6.54999999999998,-6.81999999999999,-0.346932,0.775426334347757,0.579579157665284,0.34444593189643,0.2968,6.11175
1,5.25,406.723,2048.444375,1.3957875,0.284918208333333,13.80313375,-8.2688475,-13.8008,-33.14425,-1.88063,99.89555,80.351075,-14.942,-14.4275,0.242427837496551,236.19025,254.67875,0,0,-27.458525,0,-6.09999999999997,-6.54999999999998,-6.84149999999999,-0.14926375,0.500636892549405,0.380431495661145,0.222318482175261,0.1749685,4.3083425
1,5.75,407.96,2048.0846875,1.3845975,0.2861355,13.1467185416667,-7.493,-13.1939,-32.78355,-2.464765,99.987275,82.3982,-15.11625,-13.933,0.243617429878136,252.754,256.031,0,0.0116162,-17.1589,0,-5.82499999999998,-6.37499999999997,-6.62499999999999,-0.1535725,0.541858049761565,0.407048996456801,0.212513091214221,0.1784745,3.9531325
1,6.25,407.2201875,2047.725,1.371575,0.26420692625,12.4903033333333,-6.9699,-12.5751,-34.078275,-2.1654475,99.97615,82.53985,-15.248,-13.072,0.260812672701902,254.104,259.75925,0,0,-16.706775,0,-5.59999999999997,-6.29999999999995,-6.39999999999998,-0.15591175,0.510634081470409,0.441309658068406,0.218082144418656,0.1684605,3.53498
1,6.75,406.480375,2047.3653125,1.34862,0.2422783525,11.833888125,-6.925745,-12.50095,-34.458375,-1.9745225,99.980025,82.2683,-15.5935,-13.05125,0.261052857143975,249.70675,260.21075,0,0,-19.812,0,-5.59999999999997,-6.29999999999995,-6.39999999999998,-0.152212,0.53844692786662,0.422536639199595,0.243888410850469,0.197925,4.22828
1,7.25,405.7405625,2047.005625,1.34597,0.22034977875,11.1774729166667,-6.81634,-12.2719,-38.3605,-2.21267,100.047,82.812025,-15.372,-13.05675,0.262120769751846,246.2025,259.17875,0,0,-20.87655,0,-5.61699999999996,-6.29999999999995,-6.39999999999998,-0.145953,0.588428415357382,0.390311414129795,0.237612289244475,0.193029,4.05901
1,7.75,405.00075,2046.6459375,1.86952,0.198421205,10.5210577083333,-7.06041,-12.5679,-14.467895,1.0792371,99.76345,82.40715,-12.70025,-13.2475,0.257638116560028,245.414,258.12,0,0,-18.5501,0,-5.39074999999995,-6.07499999999999,-6.39999999999998,-0.30314,0.750785340005695,0.509546653410394,0.319539606052294,0.284071,6.7328025
1,8.25,404.952958333333,2046.28625,1.3567925,0.17649263125,9.8646425,-7.03324,-12.46675,-34.389425,-0.765471,100.017375,81.9748,-15.3475,-13.141,0.259254969617983,247.4285,258.7025,0,3.68628738645072e-18,-16.493,0.001341625,-5.39824999999996,-6.07499999999999,-6.39999999999998,-0.177088,0.63487964338363,0.478923784710725,0.269209282126266,0.20783975,5.0547575
1,8.75,404.905166666667,2045.9265625,2.51803,0.1545640575,9.20822729166667,-6.30371,-12.7579,-30.2619,0.294805,100.0945,81.779225,-9.66299999999999,-12.6059999999999,0.251319247668372,249.01525,260.49675,0.07872975,0.30689675,-14.795,0.175135,-5.40595508118864,-6.0756765189741,-6.39410103885308,-0.142607,0.619636315765331,0.451825183056657,0.252035137919862,0.2237335,5.16111
