DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1
1,0.25,0.022825,0.500275,-0.411425,-63.94095,-2.730575
1,0.75,0.04,0.4942,-2.18765,-67.18805,-7.3958
1,1.25,0.0288,0.466,-0.6822,-71.905,-7.1866
1,1.75,0.0252,0.4122,-1.0896,-73.0032,-7.8998
1,2.25,0.02825,0.45725,-0.638,-64.55325,-12.17225
1,2.75,0.031,0.4382,-0.7528,-50.1316,-4.652
1,3.25,0.0338,0.552625,-0.72365,-60.4009,-5.584175
1,3.75,0.051575,0.5455,-0.81515,-67.736775,-11.87485
1,4.25,0.0453,0.5008,-0.8544,-59.6923,-8.73525
1,4.75,0.0287,0.4774,-0.8179,-52.6678,-7.9301
1,5.25,0.053075,0.609725,-1.148025,-50.155075,-6.912475
1,5.75,0.028,0.503875,-0.97975,-58.579375,-11.484625
1,6.25,0.0311,0.6059,-1.6016,-55.7538,-5.0399
1,6.75,0.0386,0.680225,-1.424125,-52.610425,-6.3241
1,7.25,0.0443,0.44985,-1.064925,-51.953375,-9.260925
1,7.75,0.0406,0.3932,-1.625,-53.4344,-5.9215
1,8.25,0.0269,0.293,-2.793,-42.6261,-0.0517
1,8.75,0.051,0.349125,-4.66275,-27.582375,-0.310875
1,9.25,0.0559,0.478,-5.866125,-43.349325,-0.3136
1,9.75,0.111,0.64825,-7.85875,-43.13375,3.213875
1,10.25,0.1725,0.75625,-9.396,-37.00125,8.413
1,10.75,0.2269,0.6575,-10.0308,-8.126625,10.842425
1,11.25,0.2825,0.8355,-12.1942,8.915125,11.52
1,11.75,0.32275,1.00275,-13.1225,11.5184,20.95375
1,12.25,0.254225,0.773375,-13.81025,11.868725,27.22065
1,12.75,0.239225,0.8418,-15.32475,8.2029,25.49165
1,13.25,0.2293,0.8844,-14.2631,4.5149,20.7127
1,13.75,0.2678,0.6784,-15.10775,7.4308,25.3387
1,14.25,0.253,0.6632,-14.199275,8.514,12.9751
1,14.75,0.29675,1.00275,-13.18725,5.87325,28.60125
1,15.25,0.291375,0.94425,-13.6612,-9.577125,30.03985
1,15.75,0.15555,0.7218,-13.50135,-16.8225,17.42595
1,16.25,0.0977,0.46865,-11.93655,-41.07275,10.2954
1,16.75,0.082825,0.597425,-12.37545,-55.21585,7.60885
1,17.25,0.0326,0.4785,-9.29845,-71.107025,-0.10405
1,17.75,0.05365,0.626325,-7.763425,-64.196475,-1.0173
1,18.25,0.0375,0.4508,-5.5311,-80.1857,-1.2288
1,18.75,0.03655,0.565975,-2.294925,-60.4366,-2.57845
1,19.25,0.02775,0.354975,-0.503,-63.860275,-0.563275
1,19.75,0.03965,0.4411,-0.274175,-74.56595,-1.273125
1,20.25,0.025625,0.49645,-0.261675,-62.427125,-3.701825
1,20.75,0.033,0.4443,-0.59755,-71.239675,-5.854075
1,21.25,0.0351,0.5718,-0.51225,-66.194125,-3.25715
1,21.75,0.032,0.3824,-0.2207,-63.99,-2.6516
1,22.25,0.0479,0.5189,-0.2758,-55.3644,-4.7234
1,22.75,0.0662,0.4854,-0.1869,-70.1741,-2.2881
1,23.25,0.04055,0.630625,-0.399925,-63.62575,-5.693925
1,23.75,0.0312,0.5028,-0.6735,-70.1622,-6.2532
2,0.25,0.054,0.4315,-0.865375,-67.364625,-12.76875
2,0.75,0.039975,0.445675,-0.175225,-69.713225,-18.025825
2,1.25,0.0368,0.5224,-0.63915,-72.0058,-18.2684
2,1.75,0.0506,0.458,-0.2436,-74.318,-12.022
2,2.25,0.05775,0.5346,-0.7955,-88.05005,-8.90645
2,2.75,0.0196,0.5002,-0.5844,-74.7056,-8.414
2,3.25,0.042,0.5308,-0.339875,-56.0888,-9.526
2,3.75,0.047725,0.43845,-0.305925,-64.561075,-12.9175
2,4.25,0.038,0.397,-0.347,-67.5887,-8.21215
2,4.75,0.032625,0.485375,-0.417025,-60.627275,-11.886275
2,5.25,0.0396,0.4763,-0.561675,-62.361125,-12.724675
2,5.75,0.04065,0.478025,-1.088725,-66.810675,-10.349125
2,6.25,0.0656,0.5042,-1.0082,-71.342,-16.5802
2,6.75,0.04,0.43825,-0.884125,-69.39785,-9.55675
2,7.25,0.027825,0.586525,-1.4222,-63.64325,-7.819375
2,7.75,0.0509,0.48405,-3.3629,-35.294,-4.574
