DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,0.25,432.562627,8.523502,2581.11127,1.444613,26.010866,-18.0425355,-0.314275,0.760038,0.100843,0.308879,0.092635,102.2265,92.2,5.6996,0.728614,13.237417,0.288007,7.22,7.544,7.450333,7.515333,8.246667,11.5405,-20.98634,0,0,-1.956522,1.076923,315.889747,335.358518,-0.007825
1,0.75,431.0616955,8.5288185,2598.5457865,0.803603,26.567258,-13.540635,-1.054967,0.728979,0.095839,0.306655,0.091809,102.218,92.5,5.472,0.712213,13.117693,0.282249,7.221667,7.545667,7.449,7.492333,8.234667,11.5405,-20.44733,0,0,-1.73913,1.076923,316.408857,334.410244,-0.006554
1,1.25,430.121216,8.441228,2672.867962,1.2333845,26.286218,-16.493611,-1.3250205,0.736929,0.100054,0.298605,0.094574,102.207,92.4,5.325,0.667715,13.196675,0.290341,7.229,7.544,7.458667,7.485,8.238333,11.5405,-19.734102,0,0,-1.594203,1.076923,316.101261,335.80952,-0.008148
1,1.75,429.388608,8.334873,2639.156903,1.537835,28.9193085,-16.9709375,-1.991732,0.743825,0.101705,0.306939,0.101086,102.2195,92.7,5.389,0.643391,12.92618,0.281525,7.225,7.542333,7.439667,7.491,8.24,11.5405,-19.408664,0,0,-1.666667,1,316.551108,335.718191,-0.009277
1,2.25,428.820299,8.240696,2650.454796,1.1454305,32.831972,-14.369096,-0.3949995,0.697836,0.090605,0.298833,0.098262,102.228,93.3,5.2327,0.576328,13.043752,0.281213,7.211667,7.544,7.419667,7.497,8.24,11.5405,-16.985029,0,0,-1.594203,1,316.767712,334.294774,-0.00715
1,2.75,428.260165,8.587883,2700.7628365,0.626165,27.094897,-9.481653,0.484881,0.750042,0.097834,0.288163,0.098828,102.2205,93.552,4.814,0.555834,12.801904,0.276202,7.211,7.525333,7.421,7.491667,8.24,11.528,-16.9534,0,0,-1.594203,0.923077,318.01036,334.602187,-0.007884
1,3.25,432.240032,8.4355625,2624.2072485,0.993694,22.685067,-13.833437,-0.2420885,0.699707,0.090631,0.2936,0.096285,102.217,94,4.635,0.506478,12.404852,0.2627305,7.212,7.519,7.436333,7.468667,8.236667,11.5405,-16.369895,0,0,-1.449275,0.923077,318.182104,333.709729,-0.005905
1,3.75,427.436883,8.411925,2684.945417,1.168237,26.54179,-12.445199,-0.729665,0.681387,0.09111,0.306973,0.093061,102.2155,94.1,4.564,0.467039,12.244866,0.275223,7.167,7.518333,7.446333,7.451,8.231333,11.5405,-15.230235,0,0,-1.304348,0.846154,319.279991,332.681806,-0.007616
1,4.25,429.2612475,8.441796,2776.133475,1.393413,32.799958,-17.3158615,-0.122351,0.711557,0.099457,0.310462,0.104743,102.21,94.8,4.435,0.439818,12.106584,0.272785,7.167,7.506,7.423,7.444,8.239,11.528,-15.216948,0,0,-1.231884,0.923077,319.490899,333.606683,-0.009653
1,4.75,428.526705,8.553282,2710.957474,1.431948,32.2462935,-13.748631,-0.05268,0.729657,0.099728,0.292956,0.096283,102.207,94.8,4.3675,0.413309,11.839102,0.252121,7.167,7.501333,7.431333,7.436,8.236667,11.5405,-14.277182,0,0,-1.449275,0.923077,318.050504,333.753717,-0.0082735
1,5.25,435.13909,8.500878,2673.806248,1.211053,18.4663865,-15.006757,-0.3603985,0.713716,0.093156,0.32059,0.095152,102.206,94.7,4.256,0.420289,11.808564,0.260369,7.167,7.494,7.437333,7.438333,8.230667,11.528,-13.8446,0,0,-1.376812,0.923077,318.956759,333.425768,-0.007605
1,5.75,429.110306,8.444781,2692.865008,1.128174,13.78197,-8.5732975,-0.732206,0.734103,0.102861,0.304231,0.095161,102.2265,94.7,4.128,0.415519,11.97638,0.258743,7.142,7.492333,7.436667,7.449333,8.233,11.5405,-14.1013,0,0,-1.376812,1,319.500826,332.967083,-0.009289
1,6.25,429.3924385,8.2207105,2644.853654,1.2225,27.576532,-4.07752,-0.3956555,0.717856,0.094314,0.303861,0.092094,102.227,94.9,4.03,0.392425,11.832628,0.27171,7.119333,7.494,7.426667,7.462667,8.236667,11.528,-12.561224,0,0,-1.304348,0.846154,319.14379,332.91896,-0.006429
1,6.75,428.84242,8.436551,2692.6697645,0.682535,25.478761,-9.27319,-1.7842615,0.7081425,0.094152,0.3101635,0.0987905,102.2425,95.1,4.0402,0.377495,11.5184365,0.250336,7.116,7.486667,7.389,7.462667,8.217667,11.528,-12.06396,0,0,-1.15942,0.923077,319.65808,332.373131,-0.007554
1,7.25,430.783016,8.333859,2733.7101425,1.322436,24.0999945,-8.6726565,0.377885,0.7512125,0.0919725,0.2905075,0.104278,102.257,95.2,3.871,0.3789355,11.3563595,0.257727,7.0911665,7.4681665,7.3815,7.4516665,8.223,11.528,-9.132117,5.416667,0.425532,1.086957,1.153846,317.7541955,331.6312095,-0.007329
1,7.75,433.4632065,7.918944,2698.810231,1.38893,25.0429655,-7.8298395,2.783106,0.7679965,0.1125075,0.3048395,0.1220755,102.2725,94.8,4.15045,0.401492,11.3694535,0.261664,7.1035,7.4465,7.3648335,7.4508335,8.225,11.528,6.1106465,44.375,2.6152,20.7971015,3.5769235,319.083412,333.177988,-0.012872
1,8.25,433.680131,8.120079,2623.446507,1.187167,40.190664,-1.6419755,13.020284,0.829453,0.131726,0.321051,0.1492825,102.305,93.6,4.892,0.516982,11.8497055,0.324768,7.1035,7.444,7.343,7.426,8.1861665,11.528,32.606551,116.25,7.021277,60.398551,8.846154,323.4203265,338.2523655,-0.02161
1,8.75,435.7458965,8.623082,2542.01501,1.889457,40.685861,12.039432,30.683052,0.9639675,0.1603905,0.36591,0.181886,102.325,90.4,6.372,0.868488,12.794758,0.350695,7.116,7.444,7.346667,7.465,8.193333,11.516,83.092,234.895833,11.914894,125.71,14.153846,327.474303,344.777759,-0.033171
1,9.25,430.431267,8.98522,2419.38115,1.443939,32.6835475,35.345138,51.081391,1.207377,0.2020945,0.4289155,0.22704,102.342,86.5,7.595,1.324597,13.519532,0.424483,7.116,7.459,7.357333,7.445,8.22,11.516,141.1682,381.0416665,18.723404,201.014493,20.230769,329.565577,351.587409,-0.0552835
1,9.75,429.391133,9.2104995,2384.3143365,1.588783,38.712872,59.7149135,58.752076,1.210125,0.209799,0.454491,0.250241,102.371,82,8.33,2.010479,14.342175,0.45372,7.130333,7.469,7.367333,7.395667,8.23,11.516,192.2575,518.2291665,27.446809,268.478261,26.692308,330.162739,357.213028,-0.056138
1,10.25,425.850814,9.327265,2306.4037755,2.001823,43.34871,94.693683,65.947749,1.317526,0.226921,0.507244,0.267102,102.382,77.22,9.38,2.688628,14.99052,0.480733,7.167,7.469,7.351333,7.384,8.237,11.516,229.0877,608.125,36.382979,327.753623,33.230769,324.803238,363.929427,-0.065668
1,10.75,423.657955,9.442865,2279.548059,1.772794,36.5806615,116.989116,69.3782075,1.382206,0.23607,0.538407,0.27759,102.4,74.04,9.96,3.194327,15.894663,0.517143,7.186333,7.469,7.378,7.435,8.233333,11.516,259.2841,692.5,45.957447,367.608696,41.153846,325.965798,370.716066,-0.0700985
1,11.25,421.086017,9.482037,2254.2135835,2.074818,40.643076,131.15029,70.910929,1.392644,0.24676,0.573508,0.290042,102.37,69.57,10.59,4.006503,16.875436,0.580942,7.222,7.494,7.367667,7.493333,8.24,11.516,284.490979,770.3125,55.531915,393.115942,49.615385,324.406437,376.949812,-0.077597
1,11.75,419.128142,9.47003,2206.268412,1.828077,41.386949,156.132774,68.789359,1.395191,0.253205,0.601121,0.291545,102.318,66.596,11.15,4.540146,17.50409,0.60544,7.244667,7.494,7.323667,7.490333,8.241333,11.516,298.8068,807.3958335,62.553191,426.449275,56.692308,325.402838,381.538785,-0.0781625
1,12.25,416.272192,9.654889,2174.019736,2.2364695,38.78842,164.1792515,64.7003545,1.425347,0.25167,0.612018,0.303776,102.283,63.23,12.06,5.102567,17.972603,0.619937,7.283,7.519,7.296333,7.443,8.223333,11.516,299.762098,815.1041665,67.87234,436.086957,59.384615,327.877659,385.913562,-0.0800585
1,12.75,414.574514,9.735719,2139.671026,2.008312,39.397132,148.99371,61.6578045,1.437444,0.253214,0.623569,0.305131,102.2365,61.1,12.52,5.589099,18.620933,0.628168,7.324,7.519,7.327667,7.446667,8.236667,11.516,286.061589,816.84,68.917,429.74,61.923077,325.219758,389.383655,-0.077075
1,13.25,413.986417,9.788483,2111.9224105,1.698687,41.6549295,178.718992,50.837347,1.385476,0.263282,0.62527,0.314412,102.206,59.68,12.72,5.900515,18.99471,0.6245455,7.353667,7.544,7.368667,7.436333,8.263333,11.516,275.914,823.025,72.553191,436.014493,63.230769,326.93021,390.647494,-0.081736
1,13.75,412.733294,9.606086,2101.4590345,2.0645165,39.287527,157.902936,51.315532,1.423802,0.263008,0.634327,0.303793,102.177,58.25,12.98,6.270964,19.368251,0.574764,7.386,7.544,7.391667,7.492667,8.26,11.516,242.034878,751.1458335,69.361702,395.52,62.307692,325.036738,389.863937,-0.082912
1,14.25,411.6948065,9.6401905,2098.017324,1.948555,39.11618,135.51795,52.753026,1.486989,0.259187,0.607423,0.304272,102.166,57.97,12.98,6.333099,19.717063,0.496802,7.424667,7.544,7.416,7.505667,8.27,11.516,206.846552,678.6216665,65.106383,358.66,55.230769,325.838629,389.505444,-0.079879
1,14.75,411.599806,9.5782595,2092.134879,1.35814,35.454804,111.9743115,32.552088,1.455689,0.247524,0.580088,0.284393,102.155,57.71,13.18,6.527196,19.869448,0.4481895,7.492333,7.56,7.441,7.514,8.28,11.516,163.297158,593.0083335,59.361702,305,50.461538,326.090534,388.550666,-0.071372
1,15.25,411.922177,9.669157,2079.234559,1.7169635,42.887699,67.359739,34.439083,1.408633,0.232545,0.533509,0.268824,102.1505,58.01,13.3,6.603137,19.881399,0.33702,7.503333,7.566667,7.482667,7.520667,8.293333,11.516,108.416081,461.3966665,48.510638,235.362319,42.153846,320.713051,385.033565,-0.066063
1,15.75,411.579742,9.6075785,2092.7442125,1.720242,37.3376995,25.8173565,24.286558,1.276053,0.212948,0.449148,0.241328,102.135,58.08,13.14,6.310971,19.547284,0.2549625,7.523333,7.569,7.535667,7.522,8.293333,11.516,55.0196,315.208333,33.617021,158.478261,29.307692,318.936536,381.253785,-0.054916
1,16.25,412.667098,9.8184725,2110.944562,1.106743,28.8142925,-0.808058,9.373353,1.041203,0.171103,0.362927,0.188317,102.116,59.63,12.55,5.963566,19.434245,0.22336,7.558333,7.594,7.542667,7.53,8.293333,11.516,11.987782,174.545,19.148936,89.637681,17.615385,315.502925,375.937294,-0.0355425
1,16.75,413.743344,9.850711,2149.407398,1.2496285,23.159036,-8.9790275,0.915617,0.896666,0.114802,0.285994,0.131169,102.108,64.21,11.72,4.785426,18.663814,0.301455,7.580333,7.612,7.56,7.562333,8.3,11.516,-20.082258,60.3125,5.319149,27.342,4.692308,313.562714,367.603173,-0.015809
1,17.25,415.022195,9.8914905,2226.688639,0.6865735,19.059515,-9.6166435,-0.579882,0.762026,0.084852,0.245622,0.094012,102.122,70.33,10.53,3.557966,17.850833,0.339857,7.587333,7.623,7.569333,7.596,8.316667,11.516,-46.082861,6.9048,0.638298,0.289855,0.615385,309.974627,356.845089,-0.007433
