DOY2,HR2,FC,H,LE,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,0.097111,-22.41655,10.108275,0.227567,-7.15875,97.82515,97.673825,0,2.72778,0.543747233912043,0.401332779623095,0.316870636064625
1,0.75,-0.00956,-22.02995,3.518295,0.186917,-7.54499999999996,97.839,100,0,2.24172,0.546774176420211,0.448617983711593,0.260528190247872
1,1.25,0.064023,-26.7023,4.8081975,0.180286,-7.03699999999998,97.7711,100,0,2.15876,0.569314642075736,0.420360559520039,0.239675289546149
1,1.75,0.019675,-31.8524,8.84594,0.20546575,-7.65499999999997,97.7798,100,0,2.1125475,0.520140365670652,0.414244363572541,0.284485530999732
1,2.25,0.0179,-29.4857,6.9865375,0.2090695,-7.97599999999994,97.7073,100,0,2.171235,0.588830002097678,0.43205555198377,0.271616083119127
1,2.75,-0.05845,-32.467175,9.41987,0.2144425,-7.79049999999995,97.6096,100,0,2.69827,0.595143680131109,0.407579006017386,0.290104048743037
1,3.25,-0.123864,-34.509425,5.92175,0.2403455,-8.13899999999995,97.6702,97.84795,0,2.732195,0.628415352175079,0.487358357464534,0.309798124168702
1,3.75,0.020675,-28.5672,1.2532875,0.1904835,-8.44499999999999,97.6238,100,0,2.236745,0.538161937605695,0.43771695680781,0.260473942049816
1,4.25,0.020875,-25.0995,6.19824,0.18845675,-8.67499999999995,97.6017,100,0,2.3753175,0.540498872408001,0.439453864932909,0.271516222943274
1,4.75,-0.0983084999999999,-22.37495,4.18448,0.2105975,-8.60299999999998,97.570425,100,0,2.465395,0.563774777725999,0.430382770208265,0.2798890227639
1,5.25,-0.057175,-22.35545,6.82924,0.20214925,-9.13574999999996,97.585275,100,0,2.5104275,0.550972365317891,0.405907518085173,0.284779969439701
1,5.75,-0.0559,-21.21295,3.881305,0.204354,-9.50599999999997,97.5853,100,0,2.60778,0.537579432307457,0.415901813071733,0.267581763205193
1,6.25,0.0827,-20.494925,5.2958,0.18747975,-9.13299999999998,97.5832,100,0,2.269485,0.494959594310485,0.432879739862618,0.278477616367498
1,6.75,0.103305,-27.9419,8.56585,0.21094775,-9.09124999999997,97.63125,98.822925,0,2.3819725,0.6115516039522,0.437881571864757,0.259770756793652
1,7.25,-0.14776,-30.9479,2.32331,0.18912725,-9.17899999999997,97.6411,99.573575,0,2.2634125,0.507445563582932,0.415986313485517,0.246779253585061
1,7.75,0.1239145,-19.772075,3.13189,0.196326,-9.08799999999997,97.61945,99.9963,0,2.30031,0.534700850943778,0.361139020895984,0.250599281722833
1,8.25,-0.11421185,-11.62045,5.5151075,0.182747,-9.03549999999998,97.60005,100,0,2.28843,0.506824059305672,0.394239774756429,0.239687228260664
1,8.75,-0.387484,-3.3431625,10.9976,0.180318,-8.48949999999996,97.6192,99.672075,0,2.13863,0.544810505230681,0.456617631792194,0.231516738055804
1,9.25,-0.55638,8.5748,21.11935,0.211243,-7.60399999999998,97.6267,90.99265,0,2.14884,0.580000889692275,0.502381809167845,0.250199920063936
1,9.75,-0.88863875,18.0166,24.35815,0.209267,-6.41524999999999,97.686,85.59035,0,2.42379,0.605588772055878,0.595480071451038,0.251594912508182
