DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
4,17.25,-9.435375,93.3975,6.24435,101.3,648.59,583.4,61.005,326.5925,225.1875,239.1325,266.5425,0.415855,-8.91635,-8.8642,-8.822525,-8.792525,-8.7608,-0.8077375,0.1902825
4,17.75,-9.846425,94.07,6.055025,101.34,545.15,502.7225,49.02225,276.87,193.645,237.715,268.1775,0.391545,-8.7171,-8.872475,-8.83165,-8.80585,-8.769975,-0.785895,0.18328
4,18.25,-10.13135,95.273,6.02305,101.32,428.42,402.62,32.6015,218.7225,152.885,242.135,265.1025,0.36214,-9.8641,-8.88,-8.83335,-8.80835,-8.76665,-0.8016,0.2292725
4,18.75,-9.88525,96.14225,5.6337,101.465,328.4725,312.88,23.5945,168.6875,120.085,244.15,263.2325,0.3768,-10.5,-8.88085,-8.83085,-8.8133,-8.7733,-0.83039,0.2409825
4,19.25,-10.29975,96.94975,5.366325,101.49,226.625,226.1475,9.8289,126.52,87.70475,241.985,263.1125,0.32916,-11.32525,-8.8808,-8.85,-8.82,-8.7767,-0.78685,0.18926
4,19.75,-9.8715,98.226,5.7598,101.515,159.36,153.68,-0.45531075,85.3125,60.79825,241.4525,261.64,0.270465,-11.59475,-8.87585,-8.819175,-8.8058,-8.759975,-0.7933875,0.2059425
4,20.25,-10.376,99.0585,5.7266,101.5,104.855,100.7105,-5.032775,56.707,39.241,240.515,258.89,0.3344525,-11.947,-8.8783,-8.81835,-8.7983,-8.75665,-0.805775,0.231455
4,20.75,-10.635,99.975,5.55715,101.5,59.323,58.282,-6.670525,29.17925,22.39675,237.03,256.435,0.346365,-12.7615,-8.86915,-8.8167,-8.7908,-8.754175,-0.815175,0.18865
4,21.25,-11.0965,100,5.50895,101.4,27.323,26.3825,-9.7222,15.45275,11.6725,231.5475,254.6575,0.344335,-13.12625,-8.872525,-8.8167,-8.79165,-8.754175,-0.8147,0.1898
4,21.75,-11.472,100,5.43615,101.4,9.1125,8.71505,-8.347575,5.224675,5.32935,234.01,256.9875,0.3122575,-13.39375,-8.8817,-8.81835,-8.8,-8.75835,-0.81671,0.153335
4,22.25,-12.0025,100,5.5113,101.4,2.49925,2.40505,-7.8717,1.505725,2.8095,238.2225,254.7775,0.3164075,-13.46575,-8.88165,-8.815,-8.7983,-8.76,-0.79828,0.185455
4,22.75,-11.986,100,5.518775,101.4,0.664165,0.6665525,-7.0581,0,1.2264,239.09,254.595,0.331405,-12.992,-8.8933,-8.816675,-8.807475,-8.76415,-0.805525,0.152055
4,23.25,-12.51725,100,5.38005,101.4,0.2845,0.2508875,-5.808875,0,0.195715,237.535,255.4125,0.3098675,-13.1935,-8.887475,-8.8142,-8.802525,-8.767525,-0.8210375,0.15174
4,23.75,-12.6315,100,5.40745,101.4,0,0.054,-6.093375,0,0.0602785,236.745,254.6925,0.31144,-13.40175,-8.882525,-8.8142,-8.799975,-8.7625,-0.79163,0.15237
5,0.25,-1.594,99.75275,5.243325,102.1,19.29125,17.36775,-0.33384,9.58555,7.217,290.965,303.4125,0.4746675,-1.7688,-0.40442,-0.558335,-0.9694975,-1.6945,2.41815,0.12949
5,0.75,-1.6665,99.79,5.143275,102.05,17.4575,15.2595,-1.263025,7.816275,7.214525,290.4925,305.2825,0.453965,-1.895775,-0.40508,-0.556915,-0.9632475,-1.68645,2.427925,0.11753
5,1.25,-1.920375,100,5.463675,102.1,17.74925,15.71025,-0.29144525,7.864075,7.2146,291.465,304.405,0.42573,-2.08375,-0.4059975,-0.556165,-0.96,-1.68445,2.4007,0.1325425
5,1.75,-2.133875,100,5.35655,102.125,20.179,17.707,-0.070716,10.437,7.288,290.5075,302.995,0.4332475,-2.0694,-0.4066675,-0.5547525,-0.9579975,-1.67885,2.4117,0.140405
5,2.25,-2.064625,100,5.3369,102.05,26.4635,23.48175,0.2843925,13.65075,10.67975,290.43,302.86,0.431515,-2.20765,-0.4075,-0.55433,-0.95658,-1.672975,2.361225,0.139405
5,2.75,-2.1713,100,5.271325,102.05,39.11375,34.067,0.877705,19.91725,14.93375,290.405,302.415,0.42993,-2.243675,-0.408085,-0.55525,-0.955165,-1.670025,2.319575,0.1170675
5,3.25,-2.3528,100,5.123175,102,58.7685,52.09425,1.263025,25.7165,20.69025,290.4925,302.5125,0.444285,-2.239725,-0.4087475,-0.555415,-0.95133,-1.6663,2.318675,0.116235
5,3.75,-2.354975,100,5.1245,101.9,84.8675,77.09625,3.6297,36.59175,28.26675,289.1575,302.3175,0.45023,-2.1426,-0.4091675,-0.554,-0.9499975,-1.663675,2.37285,0.09086675
5,4.25,-2.100425,100,5.31125,101.925,117.45,107.25,6.4788,52.877,37.05725,289.8825,302.06,0.4759375,-2.079525,-0.409415,-0.5551675,-0.9477475,-1.65975,2.399225,0.1242475
5,4.75,-2.0271,100,5.344475,102,166.205,149.9875,11.15025,75.96175,54.53375,288.5625,302.57,0.518135,-1.94945,-0.4150825,-0.56442,-0.94558,-1.6516,2.44255,0.116065
5,5.25,-1.8685,100,5.47625,101.925,218.37,202.3975,18.36875,101.9925,71.986,289.905,302.47,0.5563375,-1.8965,-0.4268325,-0.57092,-0.9435025,-1.648575,2.487375,0.111057
5,5.75,-1.3365,100,5.3545,101.925,270.8275,253.2875,23.27525,132.3725,95.545,290.2475,303.4625,0.625515,-1.61855,-0.4380825,-0.57675,-0.94217,-1.6467,2.517775,0.10964225
5,6.25,-1.160975,99.67075,5.303,101.9,358.06,330.9925,31.3175,170.9575,127.3875,289.9625,304.0175,0.65906,-1.2747,-0.44092,-0.5801675,-0.9407475,-1.641325,2.538175,0.11965
5,6.75,-1.147,99.223,5.0025,101.9,439.29,394.29,43.61425,200.3375,150.91,290.2,304.6925,0.65512,-0.961235,-0.435,-0.57633,-0.93167,-1.613,2.4999,0.078738
5,7.25,-0.444375,98.6725,4.9888,101.9,552.725,492.93,53.6275,247.44,193.41,290.0825,304.805,0.67161,-0.596205,-0.451,-0.57467,-0.93,-1.6093,2.4362,0.11742
5,7.75,-0.232,98.049,5.085,101.9,638.25,585.28,62.14775,291.45,222.065,288.6025,306.5025,0.83432,-0.00163885,-0.47067,-0.57167,-0.928,-1.606,2.3774,0.11811
5,8.25,0.061,97.323,4.9868,101.9,738.78,680.2,81.20075,362.2675,262.215,288.5975,305.8425,0.8994,1.1577425,-0.469,-0.56667,-0.927,-1.5987,2.3732,0.11724
5,8.75,0.73263,96.212,4.756,101.925,854.79,780.05,86.559,404.9025,312.5175,289.64,307.4975,1.0843,1.678425,-0.46667,-0.56333,-0.92467,-1.5923,2.369,0.11695
5,9.25,1.083,96.163,4.949,101.925,945,860,96.52025,430.1525,326.9225,292.7325,309.8,1.2054,2.467975,-0.43133,-0.56,-0.92333,-1.5923,2.3858,0.11652
5,9.75,1.420875,94.8545,5.01795,101.85,1066.5,964.17,111.715,495.59,359.91,291.8825,309.0375,1.34245,3.028675,-0.4134175,-0.5535825,-0.92683,-1.687725,2.5445,0.123685
5,10.25,1.4575,94.19525,5.40385,101.9,1127.6,1035.925,126.1925,530.2775,389.0125,292.6925,310.0375,1.4762,4.094,-0.41183,-0.55,-0.9253325,-1.683925,2.5835,0.1518
