DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
1,0.25,2.1865,0.259,-2.5475,0,23.9,95.6,0.094,394.268,400.128,406.01,418.8,426.2,433.7305,99.488,0,419.908,443.357,-26.654,0,1.75
1,0.75,2.545,0.3935,-2.6785,0,23.795,95.7,0.097,395.631,401.5,408.3,421.024,427.4885,435.1,99.4605,0,419.672,442.734,-25.372,0,1.686
1,1.25,2.263,0.175,-2.622,0,23.7,96,0.097,396.897,404.15,409.9365,423.5,429.4,438.156,99.433,0,419.5,442.5,-24.29,0,1.658
1,1.75,2.8475,0.1535,-2.331,0,23.54,96.467,0.09,398.6,405.25,412.2,423.85,431.264,438.859,99.411,0,419.756,441.53,-24.58,0,1.5985
1,2.25,3.088,0.486,-2.351,0,23.5,96.8,0.092,400.6,406.849,413.678,424.8635,432.251,439.4795,99.4,0,419.8315,441.052,-25.3405,0,1.65
1,2.75,3.731,0.138,-2.28,0,23.4175,97.15,0.095,401.5,408.7735,414.85,426.2,433.6,440.8,99.4,0,419.71,440.668,-24.3525,0,1.635
1,3.25,3.55,0.162,-2.053,0,23.34,97.5,0.097,403.2675,410,418.4,428.432,435.866,442.823,99.391,0,421.167,440.1805,-22.72,0,1.678
1,3.75,3.361,0.2445,-2.584,0,23.31,97.69,0.095,404.6,410.936,418.5,429.9,436.6,444.783,99.385,0,421.127,439.8105,-21.045,0,1.6425
1,4.25,3.718,0.304,-2.497,0,23.297,97.66,0.095,405.95,412.741,418.672,429.2,436.75,444.537,99.38,0,420.896,439.426,-20.649,0,1.671
1,4.75,3.822,0.088,-2.034,0,23.238,97.8,0.1,406.649,414.2,420,431.1,438.348,445.2435,99.396,0,421.4015,439.1745,-20.8,0,1.694
1,5.25,4.0105,0.075,-2.369,0,23.18,98,0.104,408.1,415.452,422.33,431.867,438.071,446.333,99.4065,0,421.6,439.059,-20.233,0,1.69
1,5.75,3.5275,0.174,-3.0475,0,23.14,98,0.102,408.4,414.5,420.7,430.7,437.275,445,99.438,0,421.239,438.734,-18.028,0.475,1.628
