DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,G_1_1_1,G_3_1_1,G_2_1_1,NETRAD,PPFD_BC_IN_2_1_1,T_CANOPY_2_4_1,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,H2O_1_6_2,H2O_1_6_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3
1,0.25,5.23313357476434,14.8840682788199,1.26242715843466,4.29014208875256,1.3087010516965,2.64940882459763,85.8601520228724,26.3263296823006,0.53092659030471,-2.8538923758828,10.3333919551779,1.50549439878622,4.47225,2.64375,1.06525,0.791,0.7715,13.850395,13.689,13.2590275,12.9592975,12.4671425,12.41955,11.811855,83.7657435,99.43,10.25396,13.5315,13.2435,14.2915,13.628,1.7,0.0580000000000001,2.7,-0.3085,2.905,396.77,387.805,402.6125,397.0275,-0.41,0.09,0.17525,0.1,0.12,0.27525,0.244,0.14925,1.1705,1.25,2.056675,1.3152,17.184,-0.14,13.5665,17.16975927312,20.270051572906,18.411818891523,20.3784339376765,17.9000174698182,20.3464143381454,17.5338779914407,20.4128620942637,17.2759146635579,20.4320279834915,17.2720006085628,20.1551765458486,17.1838826629458,416.002294870386,444.062045827645,419.548815284738,444.793188444487,421.506117692818,445.951123813449,423.961464864833,448.712182678897,428.123825557208,458.019190152122,431.992655017623,474.031838891271,441.459965495341
1,0.75,5.70653276729015,14.3531844576572,2.35322682577441,3.73126819064238,3.07389877022134,3.86469806818934,49.0594617780119,60.2006163746437,0.678770211067607,89.777534053178,15.3837364972398,1.24094388620712,4.42625,2.80425,1.091,0.81,0.72675,13.8828225,14.1164,13.28127,13.02185,12.506515,12.489755,11.772185,83.756749,99.2065,9.755685,13.56525,13.2735,14.37875,13.6865,3.04,-0.024,3.83,-0.28,2.64125,396.62,388.0525,402.8725,397.8325,-0.42,0.09,0.17525,0.10525,0.12,0.28525,0.244,0.15,1.15575,1.0032,1.77165,0.9739,16.882,-0.14,13.62975,17.2303951618566,20.1307011166288,18.148667827006,20.4608902596459,18.2178197913003,20.4221352737823,17.5130365942102,20.375337242892,16.959594848002,20.4205409079307,17.7077374662679,20.2383260588175,17.615060324168,414.191373535019,445.517800100809,419.903118582684,446.572592811179,416.677704889605,447.118408294562,418.585930112569,448.405536468378,428.009494131158,456.012265118585,440.812528458706,473.018451478197,464.234222455225
1,1.25,5.61117331344342,14.2483375153281,1.4609558861884,3.0929953682148,2.79675588867986,5.39332313313278,76.6406843364264,53.3536343291688,0.606728506969294,0.244433876414001,20.6573389751664,1.28394066174902,4.35325,2.57775,1.0105,0.81,0.70575,13.2673125,13.2674,12.976025,12.880755,12.27605,12.21671,11.803445,83.7488835,99.42125,15.5125125,13.38425,13.132,14.3715,13.54025,1.9625,-0.02,2.7575,-0.40125,2.995,396.24,387.0075,402.9775,396.9625,-0.41,0.09,0.17525,0.11,0.12,0.3015,0.317,0.15,1.161,0.872349999999999,1.19395,0.704699999999999,15.1365,-0.13,13.52675,17.3755795674228,21.4795297003551,16.8858901414256,20.7167989431568,17.1401010272472,20.3684277334742,17.1040047798544,20.4612809485801,17.2939259318192,20.5441158365878,17.1143034783497,20.4313809043298,16.968107159082,414.651426479862,443.897699513011,418.405767893206,444.495773673184,420.113183969816,446.157820736342,420.393866629429,447.705485401694,425.595102060822,458.377672818779,430.820971355532,479.846580112239,450.599394993303
1,1.75,5.63356614459743,14.4412999998519,1.2453886688732,3.58061582082091,1.6626185870409,3.02244974984926,80.1224016436213,34.6249331743521,0.640449408814525,-2.54573780446646,12.5681230652057,1.58586602456883,4.5505,2.524,1.05725,0.8015,0.711,13.2928975,13.4148,12.8672275,12.4988125,12.3997525,12.3265475,11.764355,83.72653725,99.32625,6.7271,13.4585,13.08775,14.19775,13.55975,2.005,-0.05425,2.7525,-0.3955,2.9325,396.0675,387.55,401.7525,396.8375,-0.41,0.09,0.17525,0.11,0.12,0.29625,0.234,0.15,1.1705,0.792900000000001,0.80795,0.23875,15.7725,-0.14,13.4945,17.7343201505751,20.0170125548091,17.8098942004285,20.2700957695721,17.983531046841,20.2871391949114,17.8343430084849,20.0525577193067,16.9778399194082,20.2731717495535,17.7310882942926,20.2414661180028,17.6360003136235,423.857970648117,444.826153693422,415.100662593353,445.055928733159,414.980128981811,446.11575771949,415.163739770997,447.07192419393,430.178616336605,454.131256194898,440.153353472162,488.760145651156,473.319412077053
1,2.25,5.1219022181821,13.6510485058731,1.0395842501793,2.00363989547321,1.85295257930784,2.48462392025318,114.62290037755,44.1313747811337,0.630957670344303,4.69371020818381,8.73678742782884,1.29340831316054,4.18,2.55,0.9655,0.7375,0.6565,12.88856,12.844375,12.471365,12.267375,12.32096,12.1469,11.67277,83.7099215,99.6045,7.05392,13.368,13.0265,13.9235,13.2645,2.12,0.000999999999999944,2.975,-0.306,1.94,395.61,386.89,401.53,388.73,-0.4145,0.09,0.18,0.1155,0.12,0.271,0.227,0.14,1.1995,0.00339999999999981,0.415,0.00699999999999909,13.6085,-0.137,13.2215,18.0167818085346,19.9465564805975,16.8480341463467,20.1390713672883,16.8443282919846,20.2014144257472,17.1832432760608,20.1228151067205,17.0103634064101,20.1126721948632,17.0857378882782,19.9861336430361,16.9860352171425,424.535492075441,430.44964377482,416.135631367603,428.798752135808,416.601375738981,429.849288517474,417.487238912972,435.345279009192,422.498513132926,457.14374795218,437.860639429094,476.249267845689,450.000359370696
1,2.75,5.37992881157891,13.7283352033866,0.969026110799324,2.74070764279302,1.54776144024257,3.71885962283337,45.1857511539599,18.8920734507601,0.631388932804034,48.1921569370744,10.1178946939169,1.42356137895648,4.35,2.87175,1.0295,0.8075,0.651,12.64356,12.792125,12.4447,12.283885,12.338495,12.21635,11.77581,83.67869525,99.592,6.1134625,13.4435,13.0795,13.918,13.322,1.485,-0.032,2.43,-0.354,2.8985,394.07,387.12,400.94,388.52,-0.41,0.09,0.17,0.12,0.12,0.26,0.275,0.15,1.206,0.443600000000001,0.46265,0.379650000000001,12.592,-0.14,13.3,17.7623373183853,20.3161399427101,17.7282550673497,20.3465125044971,17.7897174269836,20.3743844151846,16.7990007172557,20.1907649788955,16.6488077027235,20.3976330712891,17.8537499121308,20.1678510730493,17.6934080139276,420.744937567732,422.782480450932,415.161861635647,423.865959282671,415.341019820323,423.998508549523,415.863283065771,429.710500813071,420.729497075938,443.005079340007,454.242643740022,455.991784458232,479.078605753186
1,3.25,5.65462750135868,13.9567286142269,1.03799433021463,3.29925582518908,0.805377555937244,3.31499143613001,39.1945119466069,30.6439206809445,0.60603897644486,2.06684675619794,10.2020537992033,1.35079930712269,4.663,2.9075,1.0655,0.8275,0.6655,12.65651,12.695,12.4165,12.2574625,12.309685,12.246005,11.612005,83.66581025,99.687,7.91202,13.37175,12.913,13.8485,13.385,1.655,-0.0327500000000001,2.61,-0.384,2.5245,391.83,386.93,401.065,389.1,-0.4145,0.09,0.17575,0.121,0.12,0.271,0.268,0.14975,1.1905,-0.0249999999999999,0.6256,0.25825,12.06425,-0.14,13.309,17.667899077598,19.9871214137077,16.8251923838567,20.0483238875103,16.9165271865385,20.265936872971,17.3062741885695,20.2329744698103,16.8463819180494,20.2663555232978,17.2277143842024,20.0455368550813,17.2034354612027,415.034125986602,427.519149476848,414.802852823677,431.192560212053,414.753980784261,433.274919891632,415.464649551371,437.99717850125,417.9401334187,443.569736698812,438.475479192948,478.87972214187,451.090782997821
1,3.75,5.70901286900659,14.0688946844198,1.00212613814468,4.14757665351617,2.30646960381396,4.29672907529473,29.9133111992873,37.5139041516061,0.695351440096649,-6.88685052844652,10.7686753770511,1.22874528125152,4.557,3.1145,1.0655,0.76,0.6765,12.68495,12.822625,12.351065,12.164555,12.261405,12.18072,11.7191875,83.66652075,99.77725,8.7857,13.349,13.017,13.709,13.371,1.055,-0.0135000000000001,2,-0.208,3.19,391.045,386.535,400.82,388.26,-0.41,0.09,0.17,0.121,0.12,0.2755,0.254,0.14975,1.186,0.372799999999998,0.2544,0.2754,12.669,-0.14,13.3305,17.6996939144258,20.2089360185739,17.6628261658641,19.8327354270798,17.7438978217812,19.8544290639755,17.3631613552891,19.8127645255898,16.5138464364996,19.7971120021967,17.83106290908,19.846540529945,17.6770836005207,414.952327272942,430.554420698101,417.063408012582,431.868657986542,418.419806380112,434.416899131471,415.446466211345,436.001975573962,426.894230395517,451.47920170973,448.868860831366,465.608442773075,478.051808617097
1,4.25,5.64326187123166,14.4324513652961,0.854981288882064,2.28017896620579,1.84862907447928,2.70465604821167,56.5199916471106,55.5973660753594,0.66994567401277,44.7734796590317,12.2200471943056,1.35302859579181,4.668,2.9905,1.1555,0.7555,0.691,13.49726,13.468625,12.978205,12.482905,12.320335,12.25266,11.82686,83.67546175,99.31225,11.21958,13.479,13.1155,13.6095,13.3855,2.41,-0.0285000000000001,3.41,-0.36,2.744,392.305,386.785,401.05,389.28,-0.42,0.09,0.18,0.1155,0.1255,0.2655,0.237,0.15,1.195,0.36725,0.043,-0.08225,14.04025,-0.14,13.361,17.6398579406515,20.0898789599847,17.0877888039872,20.6242685567549,17.60947702911,19.7687308926505,17.8313916282308,20.0549494222632,17.244651546773,20.169083623706,17.2473751670758,20.0412985459161,17.001627091439,414.23747041437,426.248708554476,413.995326002384,426.457575334536,414.734843729705,426.747593008973,414.896128715689,431.671758952229,421.609783337989,447.839692327458,442.048041187653,468.242144188877,449.010553660804
1,4.75,5.08617001311312,14.3068667997102,1.23644165422519,4.1004645063326,1.52045687321155,3.71638501845364,115.577209317122,48.6972780666549,0.566805704009123,-4.618980023335,10.8061044095068,1.36935543122321,4.3075,2.67975,1.1255,0.7785,0.69,13.44713,13.347375,12.787615,12.606795,12.57464,12.479575,12.04949,83.68271575,99.33025,11.2193,13.7265,13.3025,13.72,13.536,2,0.07575,2.91,-0.332,2.024,394.185,388.095,401.775,390.605,-0.41,0.09,0.1755,0.1155,0.12,0.271,0.307,0.14,1.206,-0.3728,-0.225800000000001,-0.182200000000001,14.48625,-0.14,13.5205,17.7940593804806,20.562138261998,18.507322645366,21.0556439822837,18.5053342831691,20.7076741056788,18.5524851698059,20.2848764358568,16.485859541841,20.2866398160033,17.9033333098764,20.1673173058511,17.8069940125518,414.21712337634,428.646693558876,415.990891446702,429.840312242622,418.860405668135,429.522667744362,414.828396748974,432.368018191372,420.854207534698,452.005568372075,472.420560791303,475.466612747788,477.463254676543
