DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,G_2_2_1,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,WS_1_1_1,WS_2_1_1
1,5.25,-0.0837085,390.927263725,-61.364741075,-1.18048,-7.6234,-8.3075,-9.32125,0.033008075,0.1365927,0.145252175,0.028603825,98.199997,64.43799845,-37.057250275,-27.227056525,0.049365025,-6.878,-2.236,-1.616,-1.0264,0.797,2.1822,-0.3352,-0.0872,0.1732,0.5544,1.5858,2.7964,0,0,127.895144875,162.406992725,0.119462,2003.736963,-7.301781,-0.052335275,-0.044356,-0.09054515,-10.27325,-4.88918375,-3.4973816,-0.698239325,-0.606526825,0.9590075,0.868954175
1,5.75,-0.245196,390.902693,-69.67347305,-1.70028,-7.6228,-8.334,-9.29275,0.04236965,0.2398434,0.1830408,0.03432125,98.199997,64.610252,-37.1542509,-27.30719095,0.0407914,-6.86575,-2.2265,-1.6112,-1.0222,0.797125,2.182625,-0.335625,-0.0884,0.173875,0.554625,1.585375,2.79625,0,0,125.507033675,162.039354625,0.1139287,2005.2620242,-3.60719425,-0.0981159,-0.0573941,-0.142922,-10.29625,-4.366658,-3.189003225,-0.9276936,-0.581017125,0.8762325,0.7080783
1,6.25,-0.09351975,390.73652915,-69.068543975,-0.891041575,-7.6197,-8.322,-9.2785,0.0620055,0.23772905,0.174010525,0.0690694,98.199997,64.6264999,-36.875499,-27.187377525,0.0473457,-6.857375,-2.2205,-1.604875,-1.0165,0.797125,2.182625,-0.335625,-0.0894,0.173875,0.554,1.585,2.79525,0,0,126.4308983,161.297830625,0.107650175,2008.870996,-12.05907,-0.1363656,-0.07009485,-0.07935635,-10.0985,-5.601189,-3.35324785,-0.8978606,-0.72212375,1.04156,1.0401535
1,6.75,-0.3055627,390.5585615,-66.437663,-1.125164,-7.6319,-8.32475,-9.2205,0.040147,0.2161297,0.18100865,0.05407975,98.199997,64.933251625,-36.842749725,-27.3276241,0.0431458,-6.863875,-2.214875,-1.599125,-1.01275,0.796125,2.182625,-0.3365,-0.0888,0.1745,0.554,1.584375,2.794875,0,0,126.5199728,162.0605577,0.1047851,2010.3219727,-37.368929275,-0.12939535,-0.0818466,-0.1709893,-10.04825,-5.4406415,-3.23706715,-0.78075275,-0.5424646,0.9567,0.877184
1,7.25,-0.2030813,390.493377625,-57.380681025,-1.9538725,-7.6063,-8.365,-9.21225,0.062515375,0.18768475,0.20494925,0.05463475,98.199997,65.035248825,-36.94274955,-27.2279,0.0545908,-6.8465,-2.20925,-1.594125,-1.0138,0.796125,2.18225,-0.336125,-0.0898,0.175125,0.554,1.584,2.794875,0,0,127.0232394,161.654014175,0.10132825,2008.098999,-9.2501225,-0.104468875,-0.0550932,-0.2014736,-10.00075,-6.2612525,-3.74302935,-1.09755075,-0.718228375,0.9085725,1.116888
1,7.75,-0.1716195,390.415874625,-67.6869353,-0.6903676,-7.5515,-8.3995,-9.185,0.054537125,0.18234675,0.172529125,0.0526735,98.199997,64.472249275,-37.005750175,-27.22542575,0.06281575,-6.826,-2.2088,-1.5908,-1.0132,0.796,2.1812,-0.3362,-0.0888,0.1758,0.5534,1.5838,2.794,0,0,127.88449545,161.420847,0.096236275,2005.6029905,-19.78964325,-0.0823724,-0.049824725,-0.132567,-10.00075,-5.8541585,-3.49505435,-0.8144855,-0.65393975,0.77383,0.845195
1,8.25,-0.119912875,390.1845003,-63.535469,-0.427373625,-7.4929,-8.42775,-9.157,0.0518568,0.2398518,0.2023178,0.0551901,98.199997,63.641001725,-37.104000175,-27.3071299,0.05486445,-6.8228,-2.2044,-1.5856,-1.013,0.796,2.1812,-0.3362,-0.0888,0.1762,0.5538,1.5832,2.7936,0,0.1356779,128.7023266,162.2390978,0.0952559,2011.1189943,-4.2192875,-0.1274015,-0.06005715,-0.1133394,-10.07325,-6.0202045,-3.3633529,-0.77882745,-0.71099235,0.92928,1.0380185
1,8.75,-0.207268675,390.230789,-82.820299,-0.870872625,-7.369,-8.466,-9.117,0.0812712,0.2525655,0.2168059,0.0835182,98.29750285,63.31875045,-37.31474945,-27.3360692,0.0615649,-6.8108,-2.2002,-1.5802,-1.0128,0.7956,2.1808,-0.3364,-0.0888,0.1756,0.5538,1.5832,2.7936,2.121330775,2.043597275,128.4341827,160.6918557,0.0999116,2013.8410525,-15.74671,-0.142449,-0.0680813,-0.2017244,-10.1265,-5.39157125,-3.116362875,-0.653890125,-0.60299135,1.03571,0.8861995
1,9.25,-0.1980468,390.346148275,-87.416176,-1.039496,-7.346125,-8.5215,-9.08675,0.07669685,0.24533825,0.2608954,0.0915634,98.199997,63.979001725,-36.436001175,-27.8326525,0.046860375,-6.7532,-2.1958,-1.5748,-1.0118,0.7956,2.1802,-0.336,-0.089,0.1756,0.5538,1.5832,2.7938,11.3820043,9.27265955,129.26189415,162.714579775,0.10395325,2013.8380008,-11.524159,-0.0917735,-0.06698365,-0.189838,-10.26725,-4.586455,-2.13050515,-0.439837625,-0.4767321,0.944845,1.03040125
1,9.75,-0.4315912,390.496002,-65.540030325,-1.47677,-7.321925,-8.57975,-9.04725,0.08741685,0.275301,0.265646,0.115044,98.199997,63.596749725,-35.720249,-28.484699,0.05189085,-6.7216,-2.1916,-1.5688,-1.0088,0.795,2.1798,-0.3354,-0.0884,0.1756,0.5528,1.5836,2.7946,25.25863315,20.35933545,130.1455889,166.7705199,0.106849,2010.4409913,-4.415106,-0.203040675,-0.165340075,-0.3566752,-10.5045,-4.33497275,-1.78793665,-0.44287995,-0.42262835,0.84212,1.15838525
1,10.25,-0.2089548,390.556342125,-65.5948964,-1.56434925,-7.304875,-8.6205,-9.05625,0.118138,0.32594585,0.262599,0.145247025,98.199997,62.636,-34.57599855,-28.73026405,0.042424,-6.744,-2.188,-1.563,-0.9988,0.7946,2.1802,-0.3344,-0.0878,0.1752,0.5528,1.5834,2.7946,37.7483471,29.089472325,130.496382625,172.439430225,0.1200511,2005.9270141,-8.500377,-0.387689,-0.192173375,-0.3122282,-10.691,-3.53969,-1.310141,-0.237419,-0.3827788,0.81961,1.119868
1,10.75,-0.276079,390.6406613,-43.656203,-1.09374575,-7.292325,-8.65025,-9.09475,0.132394,0.292782475,0.2162415,0.12520355,98.199997,61.68125,-33.916999725,-28.731484975,0.047899,-6.7784,-2.1856,-1.5576,-0.9902,0.7946,2.1792,-0.3344,-0.0874,0.1752,0.5522,1.5834,2.7944,50.630818125,41.037363075,128.6382409,176.094316425,0.134073725,2004.325711125,-6.893159,-0.326313,-0.1359206,-0.294115,-10.72275,-2.68944375,-1.232093025,-0.170928475,-0.472173375,1.0433325,1.0834695
1,11.25,-0.20964495,390.6348128,-45.155102,-0.648044175,-7.294325,-8.68825,-9.13325,0.095992,0.29328105,0.2708453,0.1432038,98.199997,60.522001,-33.102752,-28.09572505,0.068308,-6.8318,-2.194,-1.559475,-0.983,0.7952,2.1786,-0.3334,-0.0872,0.1752,0.5528,1.5838,2.7952,65.057676725,51.948107925,129.7703117,179.9918949,0.146032,2007.4640074,-5.278942825,-0.201760825,-0.132360275,-0.2610802,-10.72525,-1.649389,-1.40544395,-0.220183225,-0.48772645,0.8609575,1.402892
1,11.75,-0.12926,390.6413383,-44.343201,-0.928710175,-7.6531,-8.68225,-9.15225,0.073897625,0.2497826,0.31044465,0.124873425,98.29250255,59.44424945,-32.275750725,-28.338785925,0.06555075,-6.8762,-2.202,-1.5648,-0.984275,0.7946,2.1784,-0.3328,-0.0872,0.1742,0.5522,1.5832,2.795,71.17893475,59.289690325,129.9189267,183.0276422,0.1565796,2007.136730825,-4.229397,-0.1958035,-0.1188817,-0.18571865,-10.727,-1.8684645,-1.19123245,-0.20829575,-0.42916035,0.8636925,0.9603797
1,12.25,-0.3102278,390.7254002,-33.9097315,-0.61012955,-7.6833,-8.679,-9.181,0.1050735,0.3279005,0.2828896,0.1478857,98.199997,59.057000275,-31.508251,-27.9594009,0.0746725,-6.92965,-2.213925,-1.57055,-0.9845,0.79445,2.17805,-0.33185,-0.08735,0.174025,0.552025,1.583575,2.79615,79.476594225,65.1906233,130.0322042,185.1273772,0.1801663,2006.68396625,-5.07061075,-0.184631275,-0.10536015,-0.287526,-10.728,-2.97536125,-1.6032761,-0.389843375,-0.5690185,0.8964,0.8727154
1,12.75,-0.17685395,390.7940922,-76.408447,-2.29095595,-7.6525,-8.663,-9.20025,0.084903225,0.3661965,0.2907724,0.1585527,98.199997,58.69849945,-30.983749275,-27.1376391,0.060427675,-6.9539,-2.220975,-1.575875,-0.9832,0.794025,2.178475,-0.3307,-0.0879,0.1743,0.5533,1.583575,2.795575,81.689213825,68.30254165,128.69038715,187.89311155,0.1696746,2007.99951825,-7.017967,-0.172273,-0.093577,-0.15814985,-10.72825,-2.51546,-1.3167479,-0.5801523,-0.6256558,1.0787425,1.348819
1,13.25,-0.2153745,390.6830931,-51.48446745,-1.15336895,-7.5616,-8.59625,-9.19125,0.1324279,0.3481701,0.3824599,0.1647968,98.29750285,57.29924955,-30.486249275,-26.8566809,0.0774263,-6.91405,-2.228025,-1.581625,-0.98365,0.79345,2.178475,-0.329125,-0.08795,0.1743,0.552875,1.583575,2.794575,76.039684425,62.380816475,127.5730639,189.3571987,0.1723422,2009.56347635,-3.65957025,-0.1066476,-0.0605987,-0.2069752,-10.71825,-3.386248,-1.857731025,-1.2280321,-0.6933126,1.2573625,1.318143
