DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
1,0.25,1.5843,417.565336,2.289407,-0.17908,8.165858,0.0798,-13.334,11.6215,0.404215,1.2036,0.1172,0.133888,0.374246,0.348898,6.40225,1.00555,89.142,100.15,8.5317,9.0024,9.7247,10.502,11.22,-12.834,-33.4155,0,0,0,0,0,305.02,339.195,0.676,-0.01350415,9.34,9.765,10.5,11.32,12.07,9.085,9.45,10.24,11.235,11.95,9.605,10.07,10.675,11.425,12.08,-9.56666,-14.32835,-12.4623,-2.227,-2.225,-1.426,-0.647,-0.5655,-47.93
1,0.75,1.33255,417.122811,2.4097075,0.0651721,8.0966405,0.08450035,-13.347,11.507,0.399474,1.24775,0.115665,0.1356495,0.3693035,0.360389,6.28155,0.971625,89.828,100.14,8.48235,8.9244,9.67305,10.461,11.224,-12.773,-31.186,0,0,0,0,0,305.24,339,0.676,-0.01249895,9.32,9.73,10.455,11.275,12.075,8.95,9.39,10.185,11.195,11.945,9.535,10.02,10.635,11.41,12.075,-9.56666,-14.8095,-12.1638,-2.3055,-2.2325,-1.491,-0.672,-0.6,-48.23
1,1.25,1.4311,417.722585,2.25677,-0.101696,8.067518,0.07706,-13.65145,11.287,0.381143,1.21755,0.116005,0.133424,0.3632435,0.348554,6.163,0.98396,89.6165,100.15,8.44045,8.8441,9.635,10.4555,11.2405,-13.051,-31.935,0,0,0,0,0,307,338.485,0.676,-0.0120561,9.23,9.685,10.415,11.255,12.07,8.915,9.32,10.16,11.175,11.945,9.445,9.935,10.585,11.38,12.075,-9.56666,-14.7606,-12.24055,-2.2995,-2.24,-1.493,-0.6795,-0.611,-45.02
1,1.75,1.4261,418.144174,2.309842,0.15681,8.1257885,0.076325,-13.3485,11.2665,0.390597,1.2316,0.1167,0.135772,0.357211,0.352746,6.0897,0.950895,89.2655,100.16,8.33455,8.77495,9.5847,10.438,11.243,-12.911,-30.337,0,0,0,0,0,306.44,338.26,0.676,-0.0142961,9.16,9.61,10.37,11.225,12.075,8.875,9.27,10.09,11.14,11.955,9.355,9.855,10.53,11.36,12.08,-9.56666,-14.7687,-12.49645,-2.182,-2.236,-1.536,-0.711,-0.611,-49.8
1,2.25,1.58665,417.859,2.09855,0.35171,8.004112,0.077506,-14.099,11.276,0.389166,1.220465,0.11807,0.1376915,0.365123,0.35144,5.999,0.97168,89.065,100.16,8.26815,8.74175,9.5349,10.413,11.231,-12.808,-29.17,0,0,0,0,0,307.4,338.315,0.676,-0.01412985,9.105,9.565,10.33,11.195,12.07,8.865,9.195,10.035,11.105,11.95,9.24,9.79,10.49,11.335,12.07,-9.79878,-14.6464,-13.17885,-2.141,-2.2455,-1.562,-0.746,-0.635,-39.21
1,2.75,1.4644,417.991864,2.216135,0.4906,7.794035,0.076524,-13.457,11.207,0.3917965,1.2299,0.11819,0.136206,0.374192,0.351483,6.0315,0.94427,89.74,100.16,8.2333,8.6946,9.4946,10.389,11.226,-12.668,-31.4485,0,0,0,0,0,307.005,336.98,0.676,-0.0140696,9.075,9.535,10.275,11.165,12.07,8.805,9.15,10.01,11.07,11.94,9.135,9.695,10.415,11.305,12.07,-10.03918,-14.32835,-13.3239,-2.127,-2.2655,-1.5865,-0.747,-0.6755,-43.35
1,3.25,1.346825,417.99083,2.18332,0.767225,7.725698,0.077302,-13.43265,10.983,0.392052,1.24375,0.11699,0.133396,0.3570315,0.3529375,5.8155,0.99184,89,100.145,8.1652,8.60365,9.4627,10.3665,11.226,-12.866,-30.571,0,0,0,0,0,308.305,337.05,0.676,-0.0162885,9.085,9.51,10.235,11.125,12.07,8.735,9.07,9.99,11.045,11.94,9.06,9.635,10.355,11.28,12.07,-10.2216,-14.9563,-12.9827,-2.1885,-2.252,-1.5865,-0.7485,-0.679,-39.95
1,3.75,1.40515,418.026566,1.99672,0.50915,7.77956,0.075902,-13.116,10.875,0.3840985,1.2408,0.1162,0.135584,0.358064,0.350727,5.689,0.99599,88.5,100.13,8.1293,8.57,9.4153,10.352,11.213,-12.6115,-28.859,0,0,0,0,0,309.085,337.41,0.676,-0.011297,9.05,9.48,10.2,11.105,12.065,8.665,9.015,9.98,11.02,11.94,9.005,9.605,10.305,11.26,12.075,-10.6029,-15.12755,-13.3239,-2.234,-2.2435,-1.5815,-0.769,-0.679,-39.855
1,4.25,1.3619,418.5355775,2.191779,1.007,7.775631,0.077373,-14.035,10.8475,0.3976055,1.26115,0.118185,0.1342165,0.3591265,0.3505555,5.58695,1.0345,88.375,100.12,8.1311,8.5433,9.36,10.311,11.203,-12.68,-30.4515,0,0,0,0,0,308.405,336.36,0.676,-0.0156056,8.96,9.435,10.175,11.1,12.06,8.605,8.955,9.925,11.01,11.945,9.06,9.58,10.26,11.24,12.065,-10.47855,-15.20095,-13.3239,-2.2485,-2.252,-1.6235,-0.7805,-0.679,-45.465
1,4.75,1.319,417.768564,2.25659,0.789545,7.74963,0.077539,-13.439,10.743,0.3981135,1.241635,0.11395,0.133699,0.358985,0.346735,5.5402,1.0374,88.5205,100.12,8.0849,8.5267,9.3057,10.264,11.203,-13.002,-28.845,0,0,0,0,0,308.13,335.96,0.676,-0.01803365,8.86,9.335,10.12,11.06,12.05,8.605,8.95,9.87,10.97,11.94,9.015,9.495,10.21,11.23,12.075,-10.6941,-15.33955,-13.52005,-2.387,-2.306,-1.649,-0.798,-0.7,-42.265
