DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.265,4.15,1.885,0.523,-12,7,-19,89.5,101.301,0.93,-39.5,0,0,0,2,288.5,323.5
1,0.75,0.2575,4.2,1.735,0.637,-13,5.5,-20.5,89.2,101.301,1.015,-43.5,0,0,0,2,284.5,326.5
1,1.25,0.237,4.15,1.63,0.455,-9.5,3,-22,89.05,101.301,0.985,-41.5,0,0,0,1.5,280,325
1,1.75,0.226,3.95,1.725,0.41,-12,2,-24.5,89.6,101.2505,0.98,-34.5,0,0,0,1,280,325.5
1,2.25,0.224,3.75,1.735,0.387,-11.5,3.5,-24,88.05,101.301,1.04,-33,0,0,0,1,288.5,323.5
1,2.75,0.2105,4,1.795,0.5235,-13,3,-24,87.75,101.301,1.01,-30.5,0,0,0,1,290,322
1,3.25,0.212,4,1.81,0.5005,-9.5,2,-24,88.5,101.2,0.96,-27,0,0,0,1,289.5,321
1,3.75,0.215,3.55,1.79,0.364,-9,4,-24,90.2,101.2,0.88,-28.5,0,0,0,1,284.5,320
1,4.25,0.229,3.3,1.825,0.5,-10,1,-24.5,90.2,101.2,0.86,-32.5,0,0,0,1,282,320
1,4.75,0.228,3.45,1.695,0.33,-11,0,-24.5,89.7,101.2,0.875,-29.5,0,0,0,1,284,320.5
1,5.25,0.23,3.35,1.795,0.5,-10,2,-25,90.65,101.2,0.72,-27,0,0,0,1,288.5,321
1,5.75,0.2205,3.2,1.745,0.637,-10,1,-24,91.05,101.301,0.785,-29,0,0,0,1,281.5,320
1,6.25,0.2165,2.85,1.685,0.671,-10,2,-23.5,92.05,101.301,0.655,-33,0,0,0,1,285,319
1,6.75,0.208,2.85,1.7,0.455,-10,2,-25,92.9,101.301,0.665,-29.5,1,0,0,1,287,318.5
1,7.25,0.209,2.7,1.66,0.614,-9,1.5,-23.5,92.05,101.301,0.64,-21.5,20,10,3,4,287,318
1,7.75,0.2485,3.25,1.785,0.432,-5,9,-21.5,90.8,101.301,0.735,-2.5,84.5,52.5,11.5,14.5,291,324
1,8.25,0.258,4.25,2.185,0,6,23.5,-18,86.55,101.4,1.025,20,180.5,109,22,26,287.5,331
1,8.75,0.297,4.8,2.635,-0.1925,18,41,-12.5,82.75,101.4,1.455,63,316,193,42.5,49.5,277.5,337
1,9.25,0.3155,5.2,2.89,-0.488,35,43.5,-7.5,79.3,101.45,1.855,111.5,393,255.5,59,58,278.5,345.5
1,9.75,0.33,6.45,2.98,-0.818,59,46,1,74.25,101.4,2.315,161.5,511.5,333.5,71.5,71.5,276,348.5
