DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,NEE
1,0.25,0.22388,394.96,-0.0061,-4.2352,0.06574,1.0572,-1.7567,0.03785,-2.3446,-3.53785,-2.8674,-5.70875,2.3644,0.16356,0.67411,0.31241,98.348,70.735,78.7425,0.39654,-19.335,-20.144,-21.173,-17.68,-5.22935,-4.19995,-2.0797,-1.58435,-1.10735,-0.797215,-0.817715,-0.55079,-0.639855,-0.388645,-5.72705,-4.2761,-3.1615,-2.09755,-1.45145,0.105285,-0.51864,-0.47836,0,0,230.325,229.01,-0.004,-0.001,0.5443
1,0.75,0.23892,394.89,-0.0748,-1.8311,0.49504,1.0532,-1.7911,0.16582,-2.3459,-3.53505,-2.8656,-5.72635,2.2071,0.13834,0.51316,0.31161,98.401,70.66,78.566,0.39691,-19.065,-20.27,-20.7275,-17.65,-5.21955,-4.237,-2.0743,-1.60935,-1.14405,-0.80764,-0.826645,-0.55914,-0.648215,-0.38007,-5.7173,-4.28425,-3.1663,-2.07285,-1.4277,0.090143,-0.52757,-0.46779,0,0,230.67,228.245,-0.004,0,0.131821
1,1.25,0.18739,395.9,-0.04065,-2.132,0.590805,1.0867,-1.32895,-0.07145,-2.3444,-3.53415,-2.86405,-5.72355,2.2752,0.15632,0.55577,0.29917,98.095,70.57,78.7315,0.4175,-19.22,-20.2645,-20.9765,-17.61,-5.2042,-4.2257,-2.0479,-1.61505,-1.18285,-0.801855,-0.81893,-0.579285,-0.65707,-0.39657,-5.71385,-4.3103,-3.1424,-2.0922,-1.4544,0.110855,-0.51743,-0.468145,0,0,229.47,228.05,-0.0055,0,0.209405
1,1.75,0.25393,397.76,0.13583,-0.69203,0.47663,1.0725,-0.853645,-0.24857,-2.34195,-3.53265,-2.8624,-5.71975,2.3909,0.17463,0.50282,0.34595,97.994,70.79,79.1815,0.40549,-19.37,-20.1705,-20.981,-17.65,-5.20675,-4.20235,-2.0454,-1.654,-1.1562,-0.80743,-0.8225,-0.567645,-0.6585,-0.38757,-5.7267,-4.30475,-3.14915,-2.1042,-1.45565,0.099858,-0.52871,-0.480785,0,0,229.54,230.31,-0.004,-5e-04,0.158755
1,2.25,0.13989,394.69,0.013,-2.4725,0.84722,1.0931,-0.22306,0.02654,-2.34065,-3.53125,-2.86105,-5.7169,2.7606,0.23851,0.5071,0.33646,97.995,70.645,79.3245,0.39591,-19.48,-20.213,-20.653,-17.69,-5.16675,-4.20435,-2.0311,-1.6399,-1.16275,-0.80614,-0.81643,-0.57014,-0.657215,-0.394785,-5.72815,-4.29865,-3.1408,-2.13135,-1.4629,0.0967855,-0.51257,-0.46807,0,0,229.435,230.68,-0.0045,-0.001,0.28089
1,2.75,0.1412,394.48,-0.0669,-1.5581,0.72797,1.1047,-1.4763,0.043,-2.3387,-3.52975,-2.86055,-5.7135,2.6353,0.15777,0.51138,0.32697,97.993,70.68,79.569,0.3927,-19.45,-20.2195,-20.467,-17.6,-5.1717,-4.18905,-2.0486,-1.673,-1.17945,-0.79843,-0.82143,-0.575785,-0.65243,-0.404785,-5.73925,-4.28195,-3.13255,-2.14215,-1.46415,0.10993,-0.517785,-0.47507,0,0,230.28,230.8,-0.004,-0.001,0.1547
1,3.25,0.104904,395.03,0.000805,-1.15485,0.77772,1.20795,-0.12588,-0.0531,-2.336,-3.5275,-2.85925,-5.71025,2.4802,0.150745,0.435375,0.341665,97.9685,70.725,79.2685,0.40093,-19.48,-20.3085,-20.2675,-16.79,-5.16405,-4.19295,-2.0603,-1.66935,-1.1728,-0.810145,-0.81207,-0.574355,-0.664575,-0.39671,-5.74405,-4.264,-3.15395,-2.1387,-1.4616,0.082143,-0.51936,-0.477425,0,0.110975,230.38,230.97,-0.004,-0.002,0.1200555
1,3.75,0.1281,395.51,0.06915,0.0684,0.69556,1.1259,0.14562,0.0315,-2.3339,-3.52645,-2.8572,-5.7074,2.6566,0.18299,0.46415,0.33848,98.023,70.86,79.212,0.40864,-19.38,-20.317,-20.4075,-17.19,-5.2222,-4.2018,-2.0433,-1.67895,-1.2009,-0.80143,-0.824215,-0.56686,-0.6605,-0.407215,-5.71415,-4.28115,-3.15825,-2.137,-1.4508,0.0760715,-0.508215,-0.485285,0,0,230.19,230.99,-0.003,0,0.106525
1,4.25,0.098671,397.79,-0.00165,-3.4881,0.54943,1.1381,0.0729,0.11426,-2.3323,-3.5262,-2.85175,-5.70555,2.5555,0.22276,0.52721,0.37457,97.991,70.79,79.44,0.41228,-19.36,-20.5735,-20.673,-16.95,-5.28615,-4.20635,-2.044,-1.69415,-1.22525,-0.810215,-0.818075,-0.56079,-0.67014,-0.40057,-5.70875,-4.29625,-3.16655,-2.11885,-1.44395,0.0660715,-0.51536,-0.483645,0,0,230.095,230.81,-0.0045,-0.001,0.12746
1,4.75,0.128225,398.955,0.04085,-3.155,0.131155,1.226,-0.528285,0.0935,-2.33115,-3.52405,-2.85155,-5.70375,2.88445,0.220805,0.756285,0.51111,97.9445,70.52,79.0205,0.415565,-19.42,-20.3515,-20.492,-16.47,-5.2895,-4.2407,-2.0729,-1.6983,-1.2156,-0.809645,-0.81936,-0.56857,-0.654715,-0.40107,-5.7029,-4.2709,-3.15315,-2.1292,-1.4103,0.0797145,-0.520855,-0.47514,0,0,230.23,228.66,-0.004,-0.002,0.1433
1,5.25,0.098131,399.32,0.05695,-4.363,0.243085,1.23545,-0.306105,0.21114,-2.32965,-3.52495,-2.85395,-5.6938,3.1526,0.22307,0.67945,0.477008,97.9555,70.7,78.793,0.41466,-19.305,-20.3635,-20.401,-16.36,-5.3615,-4.2403,-2.0719,-1.7087,-1.221,-0.811,-0.829785,-0.56914,-0.656715,-0.400715,-5.71145,-4.26735,-3.162,-2.1088,-1.41175,0.0855,-0.50793,-0.468,0,0.16228,230.02,228.36,-0.003,0,0.24728
1,5.75,0.085117,397.955,-0.03605,-4.63265,0.19323,1.2309,-0.76738,-0.00277,-2.32915,-3.52405,-2.8662,-5.68945,3.3651,0.28768,0.626055,0.42619,97.9625,70.895,78.844,0.420575,-19.26,-20.5395,-20.2975,-16.355,-5.38255,-4.25515,-2.035,-1.7575,-1.23835,-0.79536,-0.83693,-0.56457,-0.647215,-0.38914,-5.7115,-4.29395,-3.14615,-2.0797,-1.3997,0.09,-0.511215,-0.48264,0,0,230.145,228.75,-0.004,-0.001,0.13457
1,6.25,0.106645,396.105,-0.03045,-6.87535,0.20726,1.22885,0.08905,0.0303,-2.32805,-3.52395,-2.878,-5.6842,3.3109,0.247925,0.685723,0.45891,97.955,70.76,79.0805,0.43138,-19.56,-20.513,-20.373,-16.28,-5.3802,-4.25855,-2.0121,-1.7387,-1.22635,-0.788145,-0.851215,-0.552355,-0.647,-0.38864,-5.6922,-4.2911,-3.16865,-2.0962,-1.3627,0.0960715,-0.52136,-0.47879,0,0,229.805,228.03,-0.0045,-0.001,0.24087
