DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
1,0.25,0.3438721,4.6316685,1.21229321325,0.215698227,0.320385125,0,0.540023825,0.46939325,437.930575,0.03275,286.31015,290.32175,-1.2044165,-5.381775,94.860005,2.576228,2093.06625,5.67504375,0.0311404325,0.041166955,0.08401372,0.1174834,96.3997725
1,0.75,0.64,5.5994,1.143644739,0.202671175,0.312178,0,0.466937425,0.411219275,436.3289,0.046583335,287.7095,291.40315,-0.9616666,-5.3545335,94.741665,2.56210075,2087.547,5.080455,0.06309388,0.08707803,0.13007005,0.196926825,96.4018325
1,1.25,0.349166,3.2972015,1.0649476425,0.24045385,0.3187714,0,0.389700975,0.413155875,437.6962,0.0575833275,289.296825,292.495725,-1.041375,-5.211725,94.835005,2.69402,2086.567,5.10273875,0.01665656,0.1407116675,0.085945495,0.130766275,96.44669
1,1.75,0.4387674,4.33130775,1.33547975,0.2591856,0.3637209,0,0.2339196,0.2055646,437.02175,0.07224999,289.04,293.618,-1.023,-5.0213,95.12498,2.6605765,2077.4165,5.41946875,0.0287659625,0.09766816,0.17504945,0.1713777,96.47499
1,2.25,0.943118725,3.865072,1.241563,0.2362877555,0.3310541,0,0.506608275,0.46019825,442.984925,0.06,289.9556,294.196,-1.0975,-4.771124,95.02084,2.657626,2078.36725,6.94553875,0.0454014725,0.10332058,0.186323925,0.138975,96.4947825
1,2.75,0.76114125,3.528038,1.20176975,0.22145315,0.3196762,0,0.47351205,0.5246606,442.72745,0.05391666,289.2043,293.9232,-1.1305,-4.901549,95.07333,2.5984415,2078.935,5.536361,0.02376714,0.0914044025,0.283933375,0.12153805,96.4973575
1,3.25,-0.3399783,1.224261,1.08948133825,0.2094091,0.35605725,0,0.5032566,0.6922169,442.3735,0.04833333,289.1313,293.858825,-0.9615,-4.809134,94.9574975,2.592425,2086.827,6.9328925,0.006217761,0.118696625,0.2195097,0.1537726,96.49564
1,3.75,-0.3864411,2.936366,1.18250125,0.2068372,0.343602425,0,0.6125716,0.585412975,440.9757,0.051833335,287.39755,293.2049,-1.0363751,-5.013683,94.565,2.603733,2091.66475,4.67068625,0.006620386,0.066959825,0.20281725,0.21677,96.47045
1,4.25,0.44508545,3.98333,1.184460375,0.2304008,0.342719775,0,0.3675379,0.3714235,442.0045,0.040875,288.24875,294.0385,-1.0550415,-5.064183,95.215825,2.641613,2101.33875,5.0920475,0.060595865,0.0519139075,0.2732287,0.1256072,96.47902
1,4.75,-0.669031125,3.266458,1.10308658225,0.1931070275,0.336241575,0,0.5070118395,0.440544875,444.12266685,0.039500005,289.5369,294.0516,-0.5834583,-4.62725,95.56997,2.684672,2082.429,5.81887,0.0432243475,0.0674274,0.17501545,0.13308225,96.4765675
1,5.25,0.1759179675,4.3550835,0.904611275,0.2030653285,0.30989575,0,0.3367254,0.4516622,443.92755,0.04208333,287.8297,292.8435,-0.7830834,-4.843733,95.42,2.674754,2078.138,4.04493,0.0339783,0.0597806975,0.16706305,0.094447355,96.416075
1,5.75,0.09181983,2.767632,0.9257057,0.1829915,0.3086876,0,0.3323777,0.34985455,443.65338965,0.0563653875,287.88785,293.874075,-0.918749925,-4.7831875,95.3558375,2.6624905,2083.1745,5.5824215,0.0216810975,0.04968681,0.126666825,0.1285904,96.47935
