DOY2,HR2,USTAR,TA_1_2_1,WS,NEE,FC,SC,H,LE,RH,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD,PPFD_IN,H2O_1_2_1
1,0.5,0.299,25.519,2.5325,9.95,9.08975,2.9265,-4.741,10.9965,94.7,97.75625,396.577,400.807,4.455,-15.6245,0,29.0345
1,1.5,0.32225,25.19025,2.5565,8.9735,9.4325,2.69,-4.592,10.1185,95.4,97.71175,397.267,401.164,3.915,-13.546,0,28.922
1,2.5,0.3215,24.875,2.539,10.253,9.33775,3.068,-5.823,7.355,96.2,97.68225,399.624,403.617,3.39,-12.66525,0,28.793
1,3.5,0.33075,24.53875,2.559,11.003,10.71875,2.836,-5.788,10.1535,97,97.68675,403.5235,406.468,2.795,-12.14675,0,28.886
1,4.5,0.343,24.30125,2.513,10.14,10.39475,2.351,-6.8345,7.433,97.625,97.70925,405.142,409.727,2.3075,-12.50275,0,28.713
1,5.5,0.3465,24.042,2.53775,9.91825,9.86,2.065,-6.8435,6.5315,97.825,97.76075,408.067,411.8555,1.905,-8.647,13.688,28.552
1,6.5,0.3945,24.16,2.48225,4.3285,8.901,-1.683,-1.1345,19.587,97.4,97.81125,407.3935,410.494,2.0225,58.75375,239.8435,28.689
1,7.5,0.5235,25.09525,2.705,-1.1155,6.02075,-4.54325,30.785,77.635,97.125,97.89625,401.1585,402.2405,3.0325,197.56375,596.754,29.148
1,8.5,0.626,26.181,3.0895,-9.49825,-2.727,-3.55575,68.8925,182.6505,94.4,97.952,396.76,396.84,5.2625,350.106,974.215,29.425
1,9.5,0.675,27.02775,3.065,-11.55025,-6.8945,-2.26425,96.375,239.515,90.02525,97.969,389.86,390.479,7.4575,457.29475,1268.028,29.236
1,10.5,0.657,27.815,3.126,-12.864,-10.681,-0.673,106.448,271.398,85.25,97.94475,384.1055,384.927,9.6575,509.5135,1409.758,28.862
1,11.5,0.653,28.4535,2.96475,-11.697,-11.358,0.27,118.679,282.5715,83.625,97.90325,381.317,380.93775,11.2475,561.458,1576.979,29.055
1,12.5,0.607,28.986,2.784,-10.3845,-10.2155,0.198,126.1095,297.532,82.525,97.832,378.98,379.89925,12.6525,548.61,1545.3325,29.063
1,13.5,0.57175,29.22225,2.556,-9.1995,-8.986,0.889,112.627,281.9195,82.75,97.75975,378.79225,379.40275,13.3125,519.072,1447.298,29.232
1,14.5,0.533,29.47275,2.395,-5.712,-6.254,1.0175,83.2335,248.635,83.625,97.636,378.51275,379.57,13.855,425.9395,1229.52575,29.196
