DOY2,HR2,CO2,H2O,FC,NEE,CH4,FCH4,H,LE,G_1_1_1,G_2_1_1,WS,USTAR,W_SIGMA,V_SIGMA,U_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,TS_1_1_1,TS_2_1_1,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,395.219751244151,3.70121141767904,0.807166236605049,0.807166236605049,2158.678,0.7919674775,-4.849365,7.0949994815318,-5.3590745,-3.712624,3.46035,0.23237,0.28591,0.56748,0.64834,-1.56162,0.15879,100.222,80.1709366,-4.12345,-0.097988755,0.9047689,-13.553865,0,0,0,282.57145,295.55995
1,0.75,395.439009245612,3.66700664618372,0.706046931111116,0.706046931111116,2175.1,1.163189572325,-5.293745,6.36158450337748,-5.4071925,-4.033017,3.03428,0.21239,0.27197,0.58558,0.651195,-2.165995,0.15381,100.159,79.12221415,-4.2572435,-0.104457715,0.90259755,-14.490855,0,0,0,282.8851,295.1734
1,1.25,394.418340670134,3.9457848982957,0.655873533640674,0.655873533640674,2191.522,1.53441166715,-7.33086,9.87423901030472,-5.5552325,-4.307525,3.09245,0.218485,0.3001,0.662035,0.741465,-1.305115,0.160365,100.2095,78.86843275,-4.3429145,-0.11082544,0.92876995,-13.575575,0,0,0,282.76245,295.2466
1,1.75,394.057560029393,3.48216345725239,0.948976397915267,0.948976397915267,2190.528,0.591539676,-5.22867,10.0071418724007,-5.74453,-4.216561,2.82271,0.218125,0.290405,0.63975,0.686575,-1.322795,0.11798,100.206,79.616275,-4.3519965,-0.11712418,0.92468185,-13.60276,0,0,0,281.01515,294.694
1,2.25,393.959421577535,3.36779643727228,0.796484915025856,0.796484915025856,2204.8575,1.2783546978,-4.00951,10.9837286135069,-5.770065,-4.2613395,3.058205,0.229655,0.286205,0.612415,0.67927,-2.643045,0.13896,100.309,79.67741945,-4.2837195,-0.11564528,0.9205592,-14.151165,0,0,0,281.9098,295.4411
1,2.75,394.62637399534,3.92717806620253,0.605806694481579,0.605806694481579,2219.187,1.9651697196,-6.75523,8.28039954619779,-5.8658005,-4.513905,3.068205,0.20587,0.295705,0.617675,0.69631,-1.64878,0.15133,100.253,79.4003629,-4.304507,-0.114114385,0.91068485,-13.72671,0,0,0,280.7565,295.0872
1,3.25,394.401990229313,3.79749440331145,0.89913725802955,0.89913725802955,2170.674,-2.016375823,-5.52066,9.94300839390985,-5.911941,-5.0163715,2.96664,0.22375,0.27999,0.62345,0.65753,-2.48602,0.16901,100.179,79.17287,-4.204755,-0.121994515,0.900835,-13.682375,0,0,0,280.9644,295.27615
1,3.75,394.992909776441,4.05863985150112,0.76760640132522,0.76760640132522,2174.482,0.55125269855,-7.782925,9.68485113652875,-6.1037925,-4.99506,2.805895,0.18862,0.27731,0.575555,0.56984,-3.72108,0.14442,100.115,80.3480888,-4.2414915,-0.13448355,0.88838335,-13.30813,0,0,0,281.1529,294.62045
1,4.25,394.286565115491,3.79448688584753,0.837128488124269,0.837128488124269,2234.129,2.5894799712,-5.595585,8.25946286940818,-6.0310825,-5.0868765,3.21485,0.2228,0.27492,0.61001,0.67025,-3.8258,0.16824,100.186,80.35030805,-4.219678,-0.14718205,0.87838225,-14.900035,0,0,0,279.9034,294.7299
1,4.75,391.71450219288,3.7557226498418,0.859225065961516,0.859225065961516,2194.221,0.93778860985,-7.80186,7.32755117187911,-6.030084,-4.9489265,3.22036,0.22244,0.28952,0.64005,0.78889,-3.6846,0.14689,100.12,80.4537663,-4.1558395,-0.15963345,0.86884845,-14.774675,0,0,0,278.77175,293.31275
1,5.25,394.44493461613,3.68672162832303,0.813271566043114,0.813271566043114,2195.3115,2.4253354835,-7.617825,8.16110330129475,-6.0556965,-4.7653175,3.35851,0.21312,0.27644,0.60196,0.77414,-3.52888,0.152,100.109,80.63312495,-4.315408,-0.16574125,0.863603,-12.607535,0,0,0,280.44905,292.84965
1,5.75,392.62766715543,3.79787543581317,0.843067188360749,0.843067188360749,2187.297,1.3284375846,-5.35672,5.50126774318643,-5.888159,-4.696562,3.27894,0.19504,0.29668,0.56887,0.71554,-3.68409,0.1963,100.112,81.2619155,-4.262052,-0.1630234,0.85854095,-12.376095,0,0,0,279.2694,293.66335
1,6.25,393.031569840558,3.84866328049315,0.808041121598147,0.808041121598147,2209.0695,3.3113143092,-6.4744,5.4814540955534,-5.860625,-4.581835,3.32695,0.22665,0.2986,0.60459,0.70391,-3.38575,0.16834,100.099,81.1643505,-3.920722,-0.1619663,0.85376035,-12.37391,0,0,0,281.0756,294.55275
1,6.75,393.251187612878,3.68480710123458,0.803208199108617,0.803208199108617,2200.448,2.7131360256,-5.51949,6.5563745866,-6.054322,-4.193987,3.63659,0.23705,0.34324,0.63005,0.66579,-3.60372,0.16478,99.9477,81.26426445,-4.0226395,-0.16594285,0.8495287,-10.554179,0,0,0,279.5156,295.54825
1,7.25,396.212147565316,3.50802055717137,0.818804599215765,0.818804599215765,2236.817,2.26532454995,-4.06001,4.5516381941676,-6.0542795,-3.6215315,3.56822,0.201215,0.294125,0.63943,0.76144,-4.603225,0.15,100.078,81.08739945,-4.207268,-0.1700405,0.84781505,-11.166775,0,0,0,280.7323,294.15685
1,7.75,394.430880010067,3.36811777770567,0.742394555064754,0.742394555064754,2217.58,3.4956295902,-7.25759,4.31962505909086,-6.1259145,-3.644539,3.29234,0.20941,0.31052,0.63423,0.68942,-5.07801,0.15285,100.08,81.466225,-4.297609,-0.17174805,0.847958,-11.224355,0,0,0,276.8312,293.5763
1,8.25,393.255453232381,3.3083504567107,0.877018785667922,0.877018785667922,2211.189,2.5751516656,-5.847605,5.32472477096397,-5.815669,-4.1710615,3.10347,0.21895,0.30901,0.62238,0.70998,-4.31311,0.17577,100.226,82.2097464,-4.310816,-0.1754321,0.84858635,-4.7040635,31.3801972362801,11.370405,5.9443665,276.43485,293.44555
1,8.75,394.658603681162,3.40196931797451,0.793483175717913,0.793483175717913,2178.491,3.2203138637,-3.35958,6.39850954389819,-6.008865,-4.01084,3.3562,0.2158,0.28881,0.62472,0.6896,-4.62787,0.1634,100.206,81.2027729,-4.2494905,-0.18737615,0.84847125,7.211656,100.45514591137,42.43311,15.74044,277.3354,295.0156
1,9.25,394.377535719332,3.30659612792908,0.718371507942149,0.718371507942149,2187.4215,1.19495323085,2.73413,12.7648570338092,-5.9360445,-3.597872,3.5848,0.23174,0.30124,0.66486,0.73603,-4.35283,0.2008,100.212,79.48944,-4.1568485,-0.19769155,0.8490337,25.537425,202.128039792203,86.656555,31.65259,277.8761,297.7715
