DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,427.041675,8.574486,2373.4536675,1.229978,16.786307,-6.6130795,1.816303,1.091378,0.139963,-0.023262,0.4243495,0.16905,12.543841,0.280469,102.02,90.6,6.536,0.900064,9.405,9.575,9.403333,9.82,10.4,-50.28169,0,0
1,0.75,429.508787,8.346577,2409.6889455,0.933196,15.809812,-4.961258,1.555334,1.113945,0.127221,-0.0231075,0.405058,0.166903,12.184028,0.275083,102,91.2,6.38,0.830952,9.4,9.58,9.395,9.815,10.39,-47.00435,0,0
1,1.25,431.49625,8.188845,2413.4238085,1.0374865,17.141919,-5.472697,1.5219475,1.043641,0.117038,-0.017513,0.409665,0.1459645,12.130071,0.263412,102,91.555,6.219,0.802017,9.393333,9.59,9.3958335,9.82,10.395,-45.363084,0,0
1,1.75,427.616689,8.432405,2431.024104,0.803554,16.966726,-4.245324,1.221832,1.126701,0.129558,-0.02083,0.3833535,0.159269,12.153632,0.2803085,102.02,91.525,6.1495,0.759924,9.376667,9.56,9.3883335,9.82,10.395,-47.253521,0,0
1,2.25,428.582137,8.257958,2412.731965,0.917045,16.83157,-4.700679,1.98562,1.071285,0.136023,-0.024119,0.4347215,0.1585685,12.172977,0.26976,102.03,91.79,5.973,0.726675,9.366667,9.56,9.39,9.82,10.4,-40.985915,0,0
1,2.75,425.101806,8.155017,2405.49157,0.9904065,15.741971,-4.223994,1.7278945,1.062109,0.1405395,-0.026344,0.398637,0.167037,12.1226145,0.265945,102.03,91.7,5.81,0.719791,9.343333,9.54,9.3841665,9.82,10.4,-38.838028,0,0
1,3.25,430.232695,7.9316545,2436.191163,1.1237275,15.59457,-4.645524,1.448189,1.050496,0.1348895,-0.0225305,0.4143065,0.1673305,11.8425265,0.254556,102.03,92.11,5.7875,0.7084035,9.31,9.51,9.383333,9.82,10.41,-37.464789,0,0
1,3.75,427.855567,8.1454245,2431.5615685,1.488335,17.175185,-4.0365345,3.284245,1.044437,0.133633,-0.023964,0.402804,0.162122,11.6782425,0.258722,102.03,92.4,5.811,0.688078,9.2666665,9.51,9.3866665,9.815,10.41,-37.9577465,0,0
1,4.25,429.544259,8.138173,2460.812943,1.2133865,17.480495,-2.736278,2.562149,1.046493,0.139907,-0.024328,0.395077,0.158491,11.532171,0.258545,102.03,92.5,5.576,0.684794,9.2433335,9.485,9.386667,9.805,10.4,-37.697183,0,0
1,4.75,430.2137095,8.1792455,2484.990109,1.1053225,14.8595925,-4.574812,2.1733365,1.0378285,0.128699,-0.022181,0.399746,0.1612965,11.488695,0.2554235,102.025,92.7,5.484,0.643895,9.2,9.44,9.383333,9.78,10.39,-36.971831,0,0
1,5.25,430.853396,7.8630685,2462.688809,0.997011,14.113172,-3.695427,2.741118,1.001406,0.124433,-0.01893,0.409344,0.171766,11.0196375,0.253652,102.02,92.9,5.3595,0.6339115,9.14,9.42,9.39,9.785,10.39,-35.2527235,0,0
1,5.75,428.447329,8.035375,2435.0534405,1.0548275,16.099563,-3.913982,2.924411,1.052044,0.127455,-0.0205975,0.393672,0.173801,10.983492,0.2815465,102.02,92.98,5.32,0.604033,9.14,9.41,9.395,9.8,10.405,-35.7788675,0,0
1,6.25,428.469521,7.927763,2420.460659,0.928711,15.5964935,-2.810691,1.888124,1.0188005,0.132358,-0.023256,0.422683,0.163602,10.9642395,0.263214,102.03,93.2,5.2495,0.587022,9.136667,9.39,9.395,9.79,10.42,-32.948371,0,0
1,6.75,428.256339,8.0669515,2439.6639595,0.956075,14.838469,-2.429906,2.470271,1.101478,0.134825,-0.0243875,0.41167,0.169567,10.844062,0.260501,102.05,93.2,5.2325,0.569482,9.13,9.39,9.396667,9.77,10.42,-36.821494,0,0
1,7.25,429.133739,7.997432,2449.7480385,0.981777,15.000505,-3.152495,2.351092,1.043477,0.132868,-0.02393,0.4134265,0.173389,11.000759,0.267822,102.06,92.87,5.14,0.567773,9.133333,9.37,9.406667,9.8,10.43,-36.7908355,7.590133,0.56391
1,7.75,432.236718,7.902555,2471.950592,0.8217485,16.638084,-1.929727,4.49971,1.113412,0.139791,-0.0269975,0.405668,0.174555,10.785363,0.2578925,102.07,92.83,5.3395,0.5989485,9.1233335,9.35,9.3925,9.8025,10.44,-14.7682595,61.18068,5.545113
1,8.25,432.08834,8.336069,2414.7933725,1.1358475,16.9700385,2.7165915,10.331021,1.149607,0.154371,-0.031658,0.4262455,0.203054,10.906708,0.2494355,102.1,92.33,5.635,0.684565,9.136667,9.38,9.38,9.8,10.43,12.8534665,166.3187855,19.736842
1,8.75,431.770794,8.814209,2281.136718,0.9075695,18.28637,9.0393435,15.389648,1.251444,0.1723725,-0.043692,0.4668205,0.2280905,11.41928,0.290977,102.11,90.5,6.494,0.909481,9.133333,9.41,9.3641665,9.815,10.42,49.761625,297.0588235,35.9962405
1,9.25,427.200432,9.266995,2259.19114,0.874184,21.163152,16.495319,24.479383,1.425485,0.194829,-0.055264,0.524078,0.261474,12.121101,0.309222,102.13,88.3,7.3205,1.243541,9.165,9.42,9.3466665,9.81,10.45,105.479907,430.929791,36.654135
1,9.75,422.917136,9.6170955,2206.5476015,0.761818,18.580619,23.7247455,29.506375,1.645557,0.210543,-0.071735,0.549001,0.280501,12.652944,0.314844,102.15,85.5,8.03,1.572268,9.22,9.44,9.34,9.82,10.45,155.633803,548.956357,46.804511
1,10.25,419.4186155,9.8975295,2191.460857,0.8496185,20.6227735,25.823382,35.636886,1.680228,0.232868,-0.0687025,0.5957005,0.295866,13.292238,0.372245,102.15,83.7,8.805,1.950697,9.276667,9.46,9.366667,9.835,10.46,206.1600345,692.59962,54.229323
1,10.75,417.687174,9.773355,2174.019471,0.835949,21.527956,35.4417105,37.5715685,1.82131,0.244453,-0.071638,0.621705,0.3161995,13.852913,0.397897,102.14,80.8,9.5,2.5125525,9.3966665,9.525,9.386667,9.84,10.47,250.1760565,777.0398485,58.646617
1,11.25,415.8475135,9.823786,2151.48141,0.839536,23.5744405,41.31075,36.925138,1.7863355,0.2459475,-0.077622,0.679552,0.321937,14.818468,0.389627,102.105,76.37,10.045,3.0681215,9.4283335,9.49,9.326667,9.785,10.45,283.450704,852.1385435,60.902256
1,11.75,413.178394,9.961091,2129.795661,0.839824,21.741914,49.085235,38.081889,1.8417685,0.2500215,-0.07654,0.710596,0.321432,15.3656795,0.416988,102.085,73.57,10.78,3.462989,9.51,9.61,9.346667,9.785,10.475,302.112676,904.8387095,64.473684
1,12.25,413.097058,9.742913,2131.8128595,0.936756,24.564513,45.6365,38.593226,1.882813,0.262084,-0.0831175,0.712044,0.337697,15.911024,0.412822,102.05,71.35,11.275,3.966416,9.586667,9.655,9.36,9.83,10.48,302.3239435,919.354839,61.654135
1,12.75,412.891171,9.7213975,2108.8695575,0.693522,22.0489785,51.493553,39.323433,1.9622305,0.270896,-0.089436,0.7262385,0.345245,16.35565,0.4035525,102.01,69.31,11.67,4.336382,9.6316665,9.675,9.35,9.82,10.5,298.028169,920.683112,58.270677
1,13.25,411.7625275,9.9789525,2088.561597,0.8634435,22.921821,49.7957235,35.951243,1.9731605,0.2652695,-0.088486,0.739394,0.343096,16.931621,0.3943765,101.99,67.08,12.105,4.629992,9.636667,9.69,9.356667,9.8175,10.4825,282.042254,883.852807,55.357143
1,13.75,410.725102,10.014718,2089.421459,0.709079,19.3640265,40.873131,32.744879,1.869512,0.260457,-0.080693,0.713068,0.3283345,17.261315,0.378571,101.94,66.585,12.47,5.063907,9.663333,9.71,9.3666665,9.82,10.515,240.56338,814.990512,50.37594
1,14.25,410.643711,10.091795,2072.315634,0.656364,19.539899,35.087235,31.304176,1.9295415,0.260958,-0.082638,0.7106455,0.332239,17.680391,0.331716,101.93,65.91,12.64,5.355928,9.68,9.75,9.373333,9.8375,10.495,211.338028,733.776091,46.3345865
1,14.75,410.471463,10.177615,2062.94488,0.5330005,18.639621,27.27485,27.800762,1.859307,0.244068,-0.072164,0.681494,0.304958,17.934418,0.30851,101.925,65.02,12.78,5.3968885,9.776667,9.79,9.395,9.85,10.5075,159.7913715,620.683112,40.789474
1,15.25,411.093514,10.070023,2069.3206475,0.5017355,15.290856,19.719151,22.6480955,1.896375,0.2401315,-0.0732255,0.628149,0.302583,18.113473,0.245743,101.92,64.2,12.97,5.637171,9.766667,9.79,9.4016665,9.84,10.49,104.507042,487.298748,33.646617
