DOY2,HR2,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_3,H2O_1_1_3,CO2_1_2_3,H2O_1_2_3,CO2_1_3_3,H2O_1_3_3,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,NETRAD
1,0.25,0.0382276768646069,-48.1576540448932,0.166436019111719,400.90186997522,0.138763317601503,412.009909072201,0.263708417633521,412.205017263512,0.215806134544939,412.04690213432,0.181722725969182,412.049185562524,0.283348671704755,0.630801427380526,-29.3433107686844,0.0485014477949793,0.57525,0.472,-27.47894,-33.569625,-29.631175,-31.61944,99.30480225,72.08,0.15064,-32.5625,-30.6205,-21.36025,0,-3.18025,0.2,-1.99225,134.0775,172.4775,201.875,211.4875,-0.39,0.03,0.52,-0.58,-0.26,-0.47,-0.22,-0.31225,-13.547125,-12.658425,-10.074325,-10.220875,-9.671025,-9.00105,-7.7896,-7.58625,-14.635675,-13.3513,-9.1769,-8.3547,-7.54635,-5.4848,-11.836975,-11.4688,-10.819125,-10.624325,-10.017525,-9.32415,-8.29255,-7.063975,-5.884675,-13.299575,-12.42245,-11.720225,-11.556675,-10.68895,-9.96245,-8.378625,-7.895875,-15.699325,-14.05185,-12.294,-11.352775,-10.8011,-9.3375,-8.09285,-7.02,-9.64365,-3.8473,-62.06725
1,0.75,0.0453506972075066,-44.8945113343939,0.162938669227971,400.899229920227,0.138095631405582,412.018020714723,0.244759159658843,411.995718985984,0.209689874701734,412.110267473877,0.172181703888481,412.070339177125,0.272618731285305,0.751310664016742,-29.4788765113829,0.0473161653237016,0.3795,0.51,-27.9463,-33.74165,-29.6419875,-31.09064,99.33438575,71.98625,0.14388,-32.81,-30.39925,-21.40475,0,-3.31825,0.3,-1.738,134.5325,173.7075,201.775,211.41,-0.38,0.03,0.52,-0.58,-0.26,-0.46,-0.22,-0.31,-13.55395,-12.655025,-10.072975,-10.2251,-9.67075,-9.003275,-7.7906,-7.58725,-14.61795,-13.360225,-9.175175,-8.354675,-7.553475,-5.485975,-11.8367,-11.4701,-10.818575,-10.6255,-10.018475,-9.324925,-8.2931,-7.06325,-5.88645,-13.30245,-12.422375,-11.719,-11.558225,-10.6895,-9.961675,-8.379625,-7.896875,-15.70405,-14.061425,-12.296575,-11.351725,-10.7805,-9.33595,-8.09485,-7.021,-9.49335,-3.84675,-58.3615
1,1.25,0.03496486484218,-43.1753772252658,0.189949495259473,400.901046711586,0.135118177965827,412.04203654071,0.304364535476756,411.795359318739,0.21336541893109,412.118331311094,0.201288112849969,411.957539558616,0.267071834435027,0.712391172988528,-29.5963500073927,0.0446230557031263,0.359,0.4995,-27.88358,-33.44905,-30.47194,-31.40176,99.33985175,72.43,0.1437,-32.8925,-30.89325,-21.43925,0,-3.4225,0.3,-1.7425,134.7,172.4,201.6975,211.3325,-0.39,0.03,0.495,-0.58,-0.26,-0.47,-0.22,-0.31,-13.55735,-12.64895,-10.07235,-10.229325,-9.669475,-9.005275,-7.7916,-7.588475,-14.6041,-13.3563,-9.175525,-8.354675,-7.55795,-5.487975,-11.83365,-11.4735,-10.81875,-10.625225,-10.0204,-9.3257,-8.29365,-7.06525,-5.88975,-13.301475,-12.421375,-11.717775,-11.558125,-10.69105,-9.96035,-8.38085,-7.89865,-15.69815,-14.07785,-12.29815,-11.35065,-10.7795,-9.3354,-8.096625,-7.023,-9.5934,-3.7761,-58.35
1,1.75,0.0401607681325222,-50.716893970379,0.138083163940317,400.900611882459,0.126118797191213,411.815533982221,0.225501577693319,412.061685145421,0.142302544507772,411.916192850167,0.147395066955239,411.945468211893,0.280993727626664,0.86676127125789,-29.4760780544315,0.0311023869658687,0.447,0.44725,-27.629975,-33.6838,-30.5173425,-31.04282,99.35438725,72.194,0.145825,-32.9275,-31.23675,-21.486,0,-3.17525,0.2775,-2.1525,135.9625,172.91,201.675,211.155,-0.38425,0.04,0.5325,-0.58,-0.26,-0.46,-0.22,-0.31,-13.5502,-12.6432,-10.07245,-10.2341,-9.6727,-9.0065,-7.792825,-7.589475,-14.58825,-13.352375,-9.174875,-8.3557,-7.5583,-5.489975,-11.82905,-11.475675,-10.821225,-10.625675,-10.02135,-9.3257,-8.294425,-7.064525,-5.89175,-13.3036,-12.4215,-11.717325,-11.558025,-10.691825,-9.959575,-8.381625,-7.899875,-15.7,-14.093025,-12.2985,-11.349575,-10.779,-9.33385,-8.097625,-7.024225,-9.5246,-3.811775,-64.237
1,2.25,0.0362923114122196,-40.0591874787415,0.141023371792545,400.907173138825,0.124627736654671,412.01197012096,0.254781923599484,411.990538764598,0.158617102605281,412.071284855989,0.178634292124607,411.981028055026,0.29682832132073,0.664838075579564,-29.6429827973711,0.0448150531754472,0.449,0.61925,-27.85548,-33.2832,-33.8947,-31.44336,99.3397645,72.64,0.14498,-32.65,-31.437,-21.52275,0,-3.37575,0,-2.29125,135.42,171.965,201.575,211.0775,-0.38,0.03775,0.505,-0.57325,-0.27,-0.464,-0.22,-0.31,-13.564425,-12.63545,-10.071825,-10.2391,-9.675925,-9.008725,-7.793825,-7.590475,-14.571175,-13.3459,-9.175225,-8.35605,-7.55965,-5.491975,-11.825775,-11.47015,-10.82425,-10.626125,-10.0223,-9.326475,-8.29475,-7.0663,-5.89375,-13.3137,-12.420625,-11.7161,-11.5587,-10.692375,-9.959025,-8.383625,-7.90165,-15.701525,-14.10685,-12.2994,-11.34855,-10.7952,-9.3333,-8.09885,-7.026,-9.457,-3.8281,-62.73725
1,2.75,0.0291329054642021,-36.8762099512334,0.138880933518363,400.931369508521,0.181162196804109,411.922465780487,0.282764904658149,411.993552526554,0.182765685184261,411.898873989256,0.218883942467705,412.007906743339,0.22463803882161,0.457100695854369,-29.7136792405386,0.044157609420468,0.4385,0.556,-27.61506,-33.444475,-30.3999125,-31.44928,99.328303,71.833,0.14566,-32.63,-31.058,-21.5595,0,-2.8725,0.0775,-1.9225,135.01,172.9525,201.53,210.9775,-0.39,0.03775,0.505,-0.58,-0.26,-0.46,-0.22,-0.31,-13.584525,-12.62825,-10.070475,-10.2431,-9.67915,-9.010725,-7.794825,-7.591475,-14.5696,-13.338875,-9.1753,-8.357075,-7.56165,-5.492975,-11.82405,-11.4622,-10.827275,-10.6263,-10.024225,-9.32725,-8.294525,-7.067525,-5.89345,-13.323575,-12.4188,-11.714875,-11.5586,-10.693925,-9.9577,-8.3854,-7.90365,-15.70515,-14.121575,-12.2993,-11.3467,-10.79475,-9.33175,-8.100625,-7.028,-9.383625,-3.838625,-60.9475
1,3.25,0.0287382551864757,-49.6143206590412,0.13348579357249,400.957637523817,0.17512477879725,411.992719523669,0.262451449801881,412.179689413526,0.170407559599904,412.14227452086,0.183575893192427,411.989828606456,0.24583687628264,0.470565597385534,-29.3943903159026,0.060014423690771,0.4995,0.517,-28.00468,-33.1595,-30.3945025,-30.629,99.28124825,71.71425,0.14638,-32.765,-31.4345,-21.5885,0,-2.875,0.3,-2.4145,135.875,173.265,201.485,210.8775,-0.38,0.03,0.5,-0.58,-0.26425,-0.46,-0.22,-0.31,-13.598925,-12.62205,-10.069125,-10.2481,-9.68315,-9.01295,-7.79605,-7.592475,-14.579325,-13.3304,-9.175375,-8.3581,-7.56365,-5.494975,-11.822325,-11.45425,-10.829575,-10.62675,-10.025175,-9.32725,-8.295075,-7.0693,-5.89545,-13.333675,-12.41795,-11.71365,-11.558275,-10.694475,-9.956925,-8.385625,-7.90465,-15.71155,-14.13775,-12.29965,-11.3458,-10.7943,-9.33275,-8.101625,-7.03,-9.614,-3.8422,-61.0475
1,3.75,0.0365931631069088,-42.1569671589337,0.107468700965993,400.971615338773,0.15188093763723,411.932480192369,0.267097963313276,412.060531726213,0.187593343366836,411.874589245296,0.172548924467357,412.092097318284,0.241829572259203,0.452135876464219,-29.4424036978721,0.0578496478366943,0.39,0.5325,-28.3738625,-33.1678,-30.85588,-31.76158,99.251546,71.8225,0.14378,-32.859,-31.56,-21.618,0,-2.8235,0.18,-2.056,135.26,172.52,201.56,210.98,-0.38,0.028,0.4955,-0.583,-0.264,-0.46,-0.22,-0.31,-13.607,-12.6098,-10.068,-10.2472,-9.6818,-9.0116,-7.7956,-7.593475,-14.5882,-13.3156,-9.174,-8.358775,-7.565,-5.49615,-11.878,-11.5058,-10.9147,-10.6798,-10.03175,-9.3278,-8.295,-7.0686,-5.8944,-13.3606,-12.5169,-11.7798,-11.5802,-10.695,-9.9552,-8.386,-7.9048,-15.7178,-14.1556,-12.292,-11.344925,-10.792,-9.3328,-8.102,-7.029,-9.62105,-3.83465,-61.14525
1,4.25,0.0352043873346784,-40.9492288640466,0.107027626873563,400.962689857615,0.147727366133076,411.994196716506,0.266096081717678,411.975673188565,0.197037737053376,412.051093813625,0.177163270904111,411.977887399629,0.363062513045021,0.532684412905125,-29.1992619620343,0.052893918611333,0.6895,0.51575,-28.38118,-33.3666,-30.4548,-31.29067,99.2163975,71.878,0.1432025,-32.825,-31.40525,-21.6575,0,-2.8975,0.2,-1.97,135.3875,173.7425,201.665,210.8,-0.38,0.03775,0.4925,-0.58,-0.26,-0.47,-0.22,-0.31,-13.6082,-12.61905,-10.067875,-10.2571,-9.689375,-9.016175,-7.798275,-7.594475,-14.6012,-13.310575,-9.175075,-8.359125,-7.567,-5.49815,-11.814775,-11.459725,-10.835625,-10.62665,-10.027075,-9.328025,-8.296175,-7.0723,-5.89845,-13.349575,-12.4247,-11.711975,-11.558625,-10.6958,-9.95505,-8.38885,-7.907875,-15.735975,-14.174125,-12.2998,-11.343075,-10.793175,-9.334525,-8.104625,-7.033,-9.6411,-3.820375,-61.7775
1,4.75,0.0201403106897005,-50.2325989395526,0.10932483406138,400.975791587827,0.146933099049664,411.994719193701,0.233127070436804,411.973728832178,0.198660166734423,411.987248971778,0.203041028276437,411.98472352391,0.342932744491657,0.806408577773333,-29.2417258886737,0.0390796179798165,0.486,0.36,-28.62936,-32.743,-30.98838,-31.16142,99.20126,72.21475,0.14112,-32.5895,-30.299,-20.8375,0,-2.572,0.2,-1.865,137.525,174.95,204.2,215.95,-0.39,0.03,0.4945,-0.5835,-0.26,-0.46375,-0.22,-0.31,-13.61125,-12.636,-10.0675,-10.26775,-9.697,-9.021,-7.80075,-7.59675,-14.6125,-13.3055,-9.1765,-8.3606,-7.5692,-5.5006,-11.77125,-11.434,-10.82,-10.62725,-10.029,-9.329,-8.29725,-7.075,-5.9025,-13.28575,-12.429,-11.7125,-11.55925,-10.6975,-9.95475,-8.392,-7.9115,-15.7485,-14.18225,-12.3085,-11.345,-10.79425,-9.336,-8.108,-7.037,-9.6551,-3.9208,-61.4535
