DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_1_2_1,TS_2_2_1,TS_3_2_1,TS_1_3_1,TS_2_3_1,TS_3_3_1,TS_1_4_1,TS_2_4_1,TS_3_4_1,TS_1_5_1,TS_2_5_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,419.7841,4.051603,2029.958,-2.850838,-30.77494,-141.426,-11.740195,0.2719111,0.02560687,-0.99764855,0.1646813,0.02494547,6.927757,0.178753275,100.498,47.4655,2.87985,0.10645,6.1847,4.52025,5.14255,6.44145,5.0681,5.603,6.78465,6.04025,6.2034,7.132,6.7853,6.6307,7.89545,7.569,7.4271,-23.393545,-17.326085,-20.16017,-93.361,-0.55761,-0.11905,-0.12346,-0.35715,-4.17928,0.061149,246.47975,305.1075
1,0.75,421.32235,3.9693545,2037.185,-4.374514,-41.53789,-140.537,-9.83604675,0.2751279,0.02733336,-1.0272525,0.1484061,0.02322268,6.649584,0.1895086,100.48975,47.06125,2.49705,0.0917,6.0776,4.5738,5.0754,6.3725,5.0828,5.5386,6.78875,5.99395,6.17145,7.13525,6.79305,6.6152,7.88985,7.56365,7.4312,-23.570125,-17.67083,-20.53115,-93.26475,-0.18587,-0.01488125,-0.12346,-0.35715,-4.350929,0,247.2745,306.22
1,1.25,420.130125,4.504401,2016.73125,-2.202617,-19.720815,-127.90385,-6.9698,0.2430044,0.02789409,-1.03967505,0.1294133,0.02688967,5.902808,0.1305218,100.48725,45.606,2.45205,0.11175,6.109,4.44795,5.02065,6.35295,5.04405,5.4748,6.79675,5.95945,6.133,7.142,6.81385,6.6521,7.8864,7.56055,7.42805,-24.130495,-18.356245,-21.15667,-93.4875,-0.18587,-0.11905,-0.141979,-0.35715,-4.201669,-0.021582,245.4685,305.323
1,1.75,419.8357,4.297432,2024.47,-0.8808907,-53.958625,-122.472525,-8.67889,0.2051883,0.02295051,-0.9800643,0.1317377,0.02354838,5.034371,0.14998495,100.492,44.48,1.3862,0.0942,6.1052,4.8825,4.96235,6.3485,5.0619,5.41695,6.7963,5.90955,6.09865,7.1406,6.8231,6.6508,7.88595,7.55985,7.43125,-24.58563,-19.210365,-21.683035,-93.47375,-0.37174,0,-0.12346,-0.35715,-4.7128845,0.061149,245.6185,303.941
1,2.25,422.2348,3.929204,2036.616,-1.4802125,-41.335905,-150.064,-6.266117,0.384531,0.02575328,-0.9414788,0.1317362,0.02737265,4.382085,0.10679,100.5205,45.8625,1.30295,0.055,6.11075,4.9819,4.9077,6.3322,5.0782,5.36475,6.79695,5.88455,6.05795,7.1393,6.8224,6.63985,7.88265,7.5564,7.4121,-25.244745,-19.373365,-22.341145,-93.67225,-0.7759765,-0.11905,-0.12346,-0.35715,-4.7128845,0,244.99375,304.3495
1,2.75,422.08905,3.7849125,2035.72375,-1.366439225,-14.80545,-117.60962,-6.499374,0.339205,0.02251343,-0.730543,0.1453138,0.02441708,5.188942,0.1645746,100.5325,45.22875,1.49175,0.057625,6.09595,4.9175,4.865,6.35,5.0377,5.30765,6.7836,5.8714,6.01445,7.13315,6.8118,6.5647,7.87675,7.54945,7.3696,-26.189745,-18.60156,-22.6804,-92.9485,-0.37174,-0.11905,-0.12346,-0.35715,-4.127039,-0.07194,242.725,305.1045
1,3.25,421.654,3.843326,2036.03,-2.827816,-23.5340925,-114.928125,-5.2926865,0.246538,0.02352339,-0.838535075,0.1552809,0.02452599,5.458597,0.16963375,100.55225,45.505,1.4792,0.04755,6.1061,5.0545,4.8233,6.3642,5.19065,5.2615,6.7678,5.92115,5.97555,7.13005,6.80185,6.5563,7.87265,7.5438,7.3834,-28.123825,-19.022915,-22.677095,-92.581,-0.859176,0,-0.12346,-0.35715,-4.4889945,0,243.12525,305.5025
1,3.75,421.978,3.53310125,2029.81325,-0.8770713,-25.8623075,-109.009175,-4.655954,0.2493436,0.0243404,-0.668874775,0.1491748,0.02724501,5.067601,0.159401825,100.5485,46.32875,1.2948,0.03125,6.07325,4.939,4.85005,6.34725,5.1296,5.23765,6.75945,5.9233,5.93955,7.1301,6.80635,6.57255,7.87555,7.545,7.3864,-27.979585,-19.322835,-22.76338,-92.1,-2.09722475,0,-0.24692,-0.35715,-4.1158445,0,242.874,305.242
1,4.25,421.362375,3.5594025,2020.945,-0.664754475,-28.8711075,-101.20766,-5.38564025,0.164932125,0.0318757375,-0.854594,0.175490375,0.0274031375,4.35539375,0.19996385,100.54275,47.042,0.89705,0.035825,6.05235,4.8432,4.79855,6.32195,5.0646,5.1874,6.7447,5.89935,5.90595,7.13805,6.80585,6.6022,7.88285,7.55105,7.4136,-28.593905,-18.23807,-22.52502,-92.456,-0.58689,0,-0.24692,-0.35715,-4.350929,-0.014388,242.662,305.1195
1,4.75,423.087875,3.42902,2026.136,-2.0423914,-25.33177,-119.05965,-2.8326065,0.2991255,0.0244659125,-0.884954125,0.15358375,0.026222375,3.3299675,0.149329375,100.538,46.364,0.76345,0.0141,6.03845,4.7792,4.7548,6.3008,4.99985,5.14235,6.7524,5.867,5.87085,7.1483,6.8079,6.59485,7.88385,7.55235,7.41955,-28.018545,-18.2886,-22.791005,-92.444,-0.18587,0,-0.12346,-0.35715,-4.2651045,0,243.474,305.605
