DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,0.25,0.06,8.255,0.745,1.7475,0.876,-0.10025,-38.44,-2.422,-20.6175,81.4,101.8,381.757,1.1025,-41.065,-0.67,0,7.938
1,0.75,0.07,8.232,0.795,1.534,1.175,-0.11425,-35.6555,-2.5025,-20.0875,82.6,101.7,382.42375,1.0825,-39.84,-0.79675,0,7.9375
1,1.25,0.072,7.915,0.815,1.623,1.507,-0.0705,-41.117,-3.41,-20.5425,83.25,101.75,382.345,1.06,-42.095,-0.69,0,7.925
1,1.75,0.06075,7.622,0.8155,1.648,1.0565,-0.0535,-37.911,-2.75,-20.365,82.8,101.7,383.38,0.9425,-39.81,-0.854,0,7.9
1,2.25,0.061,7.5575,0.683,1.723,0.83575,-0.0685,-44.5595,-2.748,-20.3125,83.7,101.7,383.06,0.975,-37.96,-0.653,0,8.115
1,2.75,0.07,7.365,0.7755,1.7705,0.655,-0.0695,-39.9875,-2.18075,-20.1775,84.95,101.7,383.773,0.9,-36.485,-0.686,0,7.889
1,3.25,0.065,7.1725,0.746,1.5845,0.824,-0.129,-36.3255,-2.973,-20.34,84.7,101.7,383.8455,0.8,-36.16,-0.94,0,7.651
1,3.75,0.07,7.1155,0.784,1.695,0.94,-0.27925,-38.88375,-2.72675,-20.6075,85.35,101.7,384.113,0.765,-37.89,-0.779,0,7.798
1,4.25,0.0645,6.9875,0.757,1.589,0.876,-0.157,-37.2805,-2.0315,-20.9575,84.95,101.7,383.94,0.7,-34.11,-0.908,0.001,7.78775
1,4.75,0.074,6.725,0.698,1.499,1.25775,-0.09575,-34.252,-1.7645,-21.3825,86.1,101.7,383.483,0.6925,-33.84,-0.986,0,7.704
1,5.25,0.0605,6.5725,0.63325,1.7085,0.5805,-0.074,-35.448,-1.8315,-21.7775,85.65,101.7,384.77975,0.685,-31.4585,-0.8635,0,7.93
1,5.75,0.0695,6.473,0.664,1.5945,0.55575,-0.1205,-32.676,-2.016,-21.745,85.65,101.7,383.94,0.65,-31.538,-0.9415,0,7.6275
1,6.25,0.06375,6.2425,0.62325,1.71225,1.398,-0.073,-39.8635,-2.162,-21.685,84.5,101.7,384.72,0.6275,-31.4025,-0.7815,0,7.475
1,6.75,0.07,6.361,0.621,1.6155,0.602,-0.0875,-40.62125,-1.82725,-22.21,85.5,101.8,384.33,0.6325,-28.73,-0.9,0.008,7.5785
1,7.25,0.08225,6.4005,0.702,1.4745,1.002,-0.519,-35.067,-1.4495,-22.8975,85.8,101.8,384.52925,0.6,-22.945,6.2615,4.129,7.516
1,7.75,0.087,6.877,0.69825,0.479,-0.0795,-0.32175,-29.36025,1.48925,-20.7925,85,101.8,383.8955,0.6575,4.406,80.35,34.41,8.1125
1,8.25,0.143,8.97,0.805,-1.67,-1.564,-0.65625,-12.301,6.52,-17.8025,79.825,101.8,382.85925,0.87,43.0625,211.274,89.3,8.76825
1,8.75,0.19125,10.66375,1.177,-3.705,-4.088,-1.82925,10.27625,13.61,-13.52,73.75,101.9,380.07,1.25,100.6,382.65,167.7,9.535
1,9.25,0.23375,12.664,1.5145,-6.2515,-6.40825,-1.62775,30.915,20.152,-10.1225,65.975,101.9,377.52275,2.4,152.475,516.652,212.5,8.946
1,9.75,0.29,13.54,1.864,-7.91025,-7.598,-0.60475,56.4345,43.93,-7.43,60.14,101.9,375.89825,3.8,216.4,666.44,322.025,9.491
1,10.25,0.31,14.53,1.913,-8.78,-8.84875,-0.316,76.673,58.42225,-3.77575,57.275,101.9,374.91,4.89,265.1,848.947,373.725,9.828
1,10.75,0.30925,15.285,2.019,-9.63175,-9.916,-0.2115,99.497,75.631,-2.256,54.92,101.9,374.1125,5.685,292.7,893.672,430.2,9.815
1,11.25,0.34525,15.64,2.109,-10.16875,-10.2335,-0.143,105.5395,93.001,-0.4365,54.085,101.9,373.28725,6.24,312.85,888,436.1,9.819
1,11.75,0.33625,15.731,2.094,-10.109,-10.3275,-0.0575,100.562,92.1185,0.504,52.84,101.9,372.9825,6.84,330.5,963,448.4,9.69075
1,12.25,0.342,15.835,2.14325,-10.4655,-10.691,-0.063,106.0605,90.645,1.72075,51.7225,101.8,373.058,7.1,307.975,890,416.475,9.955
1,12.75,0.351,16.0555,2.167,-10.26925,-10.33,-0.06725,92.144,92.06875,2.45125,51.59,101.8,372.8025,7.3,279.65,811,366.975,9.8635
1,13.25,0.33575,16.2405,2.128,-10.31725,-10.1895,-0.04825,89.65075,94.415,2.7485,48.95,101.7,372.5,7.96,298.475,843,403,9.67475
1,13.75,0.352,16.4725,2.174,-9.9655,-10.097,-0.023,102.3,89.84,3.037,48.89,101.7,372.652,7.84,284.8735,759.742,436.4,9.474
1,14.25,0.338,16.405,2.14125,-8.963,-9.46725,-0.048,83.76475,85.85825,1.99,49.045,101.7,372.59825,7.35,238.794,670,346,9.19075
1,14.75,0.33675,16.267,2.083,-8.013,-8.24975,-0.031,48.94975,69.49375,0.693,47.5775,101.7,372.8245,7,194.1,557.1335,287.25,9.074
1,15.25,0.329,16.1885,2.05325,-6.797,-7.00375,-0.0135,45.131,60.585,-2.24175,49.265,101.7,372.6685,7.1,145.73,426.575,246.875,9.345
1,15.75,0.309,15.7225,1.99625,-5.478,-6.0595,-0.02,22.25,47.27325,-4.21225,49.995,101.675,372.77675,6.8,103.175,328.90875,208.4,9.56925
1,16.25,0.281,15.33425,1.797,-4.18,-4.44725,-0.0155,3.254,33.6435,-6.216,51.98,101.7,373.137,6.15,55.83,190.95025,161.4,9.5945
1,16.75,0.232,14.41,1.56975,-2.35375,-2.518,0.002,-13.147,16.012,-8.215,54.775,101.7,373.5025,5.5225,13.15525,103.75,81.725,9.38875
1,17.25,0.1635,13.245,1.242,-0.657,-0.728,0.024,-30.446,4.836,-10.6675,60,101.7,374.687,4.66,-26.6045,40.2585,30.795,9.345
1,17.75,0.1,11.83,0.961,1.0575,0.612,0.085,-35.427,-1.355,-14.315,67.2525,101.7,376.62,3.385,-51.1225,0.284,1.7195,9.625
1,18.25,0.05,11.235,0.777,1.89525,1.474,0.067,-38.189,-3.9555,-16.835,70.275,101.7,378.184,2.64,-50.7225,-3.751,0.007,9.22
1,18.75,0.0535,10.285,0.884,1.885,1.578,-0.028,-37.54575,-3.884,-18.72,73.575,101.7,378.758,2.27,-48.63,-3.981,0,8.96
1,19.25,0.061,10.0225,0.7745,1.778,1.31575,-0.034,-39.72,-3.41,-19.73,75.425,101.7,379.7665,1.96,-47.4175,-1.0135,0,8.804
1,19.75,0.0595,9.98,0.8535,1.8455,1.4685,-0.03825,-41.286,-3.471,-20.5125,75.4,101.7,379.97,1.8,-46.19,-1.004,0,8.7215
1,20.25,0.074,9.9575,0.803,1.787,0.99925,-0.04075,-37.64725,-2.9315,-20.575,76.675,101.7,380.575,1.75,-47.7775,-0.912,0,8.7115
1,20.75,0.06825,9.78625,0.8695,1.9305,1.447,-0.03075,-39.444,-2.8225,-20.75,78.325,101.7,380.9075,1.54,-47.385,-0.866,0.001,8.683
1,21.25,0.0765,9.32,0.8405,1.931,1.448,-0.1545,-43.565,-2.9185,-20.85,78.825,101.775,380.807,1.4,-46.99,-0.982,0,8.644
1,21.75,0.081,9.265,1.0125,1.76575,1.596,-0.07825,-45.024,-3.157,-20.935,78.175,101.8,380.688,1.35,-46.725,-0.9805,0,8.107
1,22.25,0.07875,9.1775,0.8655,1.8385,1.6735,-0.0735,-40.72175,-3.341,-20.4025,79.275,101.8,380.7395,1.38,-46.54,-0.8345,0,8.035
1,22.75,0.08525,8.9025,0.84,1.63975,1.63375,-0.109,-44.45175,-2.18,-20.13,79.85,101.8,381.097,1.215,-45.2,-0.74775,0,8.1375
1,23.25,0.075,8.65,0.894,1.756,1.567,-0.06,-43.19375,-2.595,-19.66,81.05,101.8,381.58,1.2125,-45.925,-0.7645,0,8.148
1,23.75,0.0785,8.4735,0.79875,1.75925,1.316,-0.0185,-42.9015,-2.78775,-19.65,80.75,101.8,381.623,1.17,-42.59,-0.818,0,8.056
2,0.25,0.073,12.16,0.851,2.0485,1.014,-0.098,-41.695,-2.4375,-17.15,81.7,101.775,384.779,1.03,-38.49,-0.971,0,9.79275
2,0.75,0.079,11.905,0.801,1.99125,1.493,-0.193,-41.72425,-3.4895,-17.17,83.1,101.7,385.83825,0.92,-38.94,-0.98575,0,9.66
2,1.25,0.068,11.3025,0.7735,1.98225,1.08675,-0.1455,-38.511,-2.716,-16.915,83.8,101.7,385.19225,0.93,-36.7025,-0.9745,0,9.5955
2,1.75,0.0615,11.361,0.712,1.9225,0.72,-0.0595,-37.7005,-2.721,-17.86,84.3,101.7,385.924,0.9175,-35.895,-0.99575,0,9.8755
2,2.25,0.06325,11.21,0.7545,2.0415,1.483,-0.079,-40.03,-3.749,-17.35,83.7,101.7,385.435,0.88,-35.455,-0.976,0,9.68225
2,2.75,0.06775,11.0025,0.73625,2.093,1.172,-0.083,-38.3645,-3.4835,-17.8225,84.1,101.7,386.435,0.85,-34.9975,-0.945,0,9.183
2,3.25,0.05,11.025,0.7385,2.1525,1.8145,-0.20575,-38.66,-2.72,-17.0325,85.4,101.6,385.7745,0.81,-31.67225,-1.326,0,9.12
