DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,TS_1,RH_1_1_1,CO2_1_1_1,PPFD_IN_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,VPD_1_1_1,TA_1_1_2,PPFD_OUT_2_1_1,PPFD_IN_2_1_1,PPFD_IN_2_3_1,NETRAD_2_1_1,SW_OUT_2_1_1,SW_IN_2_1_1,LW_OUT_2_1_1,LW_IN_2_1_1,TA_2_2_1,RH_2_2_1,TA_2_3_1,RH_2_3_1,TA_2_4_1,WS_2_1_1,CO2_2_1_1,H2O_2_1_1,WS_2_2_1,USTAR_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,T_SONIC_2_1_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,PPFD_IN_2_2_1,TA_2_1_2
1,0.25,0.0875,-18.8,0.6785,-0.42,-74.76025,-3.985,0.0745,46.7985,387.5,0,0.8,-18.32,0,-18.065,-0.7685,-0.3,-0.381,-107.96,-0.1305,-4.57625,235.437,146,-19.267,50.885,-19.11925,53.4475,-17.32,0.197,408.415,0.8535,0.80025,0.098,-105.84,-5.4915,-0.5503,-18.7,-18.9605,48.2175,0,-0.712,-11.8125
1,0.75,0.09975,-19.24,0.68875,-0.2,-78.875,-4.64,0.1,47.986,387.4525,0,0.8,-18.315,0,-18.2715,-0.9575,-0.3,-0.4,-108.18,-0.181,-4.6505,236.30875,144.425,-19.11575,50.385,-18.921,53.5,-17.3,0.26425,408.575,0.8545,0.784,0.09146975,-99.1995,-8.0457,-0.29613,-18.44,-18.7955,47.3275,0,-0.68,-11.4325
1,1.25,0.1,-19.3,0.7165,-0.3,-84.79925,-5.2125,0.1,49.144,387.3,0,0.8,-18.63,0,-18.35,-1.115,-0.5,-0.4,-107.94,-0.18575,-4.69525,235.8425,143.9,-19.15725,49.875,-19.00475,51.89,-16.583,0.07375,408.76,0.8445,0.7125,0.070155,-97.412,-7.17185,-0.3648725,-18.4525,-18.61,48.785,0,-0.66575,-11.725
1,1.75,0.08,-19.56,0.61025,-0.32426,-77.5155,-5.8,0.0925,49.49725,387.4,0,0.78575,-18.905,0,-18.4755,-0.91,-0.37625,-0.33675,-107.86,-0.2105,-4.51,235.475,143.95,-19.28325,49.9425,-19.13075,52.67,-17.13,0.079,409,0.8635,0.716,0.077921,-89.131,-9.794425,-0.64088,-18.48,-18.61,48.6475,0,-0.65575,-11.3525
1,2.25,0.0305,-19.7375,0.412,-0.37875,-76.134,-3.78,0.055,50.0025,387.21,0,0.73675,-18.625,0,-18.462,-0.8575,-0.4105,-0.3525,-107.06,-0.2,-4.55575,235.02875,145.475,-19.42525,49.2625,-19.2095,54.0175,-17.119,0.12,409.12,0.87,0.80425,0.10332,-90.264,-6.861,-0.31795,-18.5525,-18.705,47.2375,0,-0.681,-11.3075
1,2.75,0.06,-19.8775,0.52,-0.715,-78.61125,-3.6475,0.1,51.5315,386.925,0,0.73675,-18.54,0,-18.468,-0.76,-0.38575,-0.3525,-107.14,-0.21575,-4.45525,235.95,146.5825,-19.32,52.7,-19.29875,55.09,-17.23,0.31,409.5525,0.8605,0.8465,0.09975,-92.552,-3.876,-0.534925,-18.47,-18.61,47.0025,0,-0.681,-11.465
1,3.25,0,-20.025,0.5,-0.436,-81.386,-5.55,0.0862500000000001,52.185,387.2575,0,0.7315,-18.5225,0,-18.6645,-0.8725,-0.3,-0.4,-106.64,-0.17525,-4.442,236,146.114,-19.21,55.385,-19.45125,57.715,-17.69875,0.2055,408.9575,0.867,0.7155,0.080472,-114.88,-10.44955,-0.4735625,-18.12,-18.477,51.405,0,-0.64,-11.6725
1,3.75,0,-19.864,0.55825,-0.506,-85.4025,-5.9,0.0390000000000001,52.389,387.1675,0,0.7,-18.9525,0,-18.8125,-0.944,-0.3,-0.4,-106.52,-0.17625,-4.4525,237.425,145.23025,-18.615,54.985,-18.4675,59.6325,-16.69025,0.1195,408.835,0.85375,0.41075,0.0995,-91.288,-7.068225,-0.8704975,-18.0575,-18.42,49.2975,0,-0.63525,-12.2325
1,4.25,0.0095,-19.7865,0.619,-0.409,-85.8625,-3.2275,0.0835000000000001,52.3225,387.1,0,0.7,-19.2125,0,-19.415,-1.315,-0.2525,-0.4,-104.78,-0.17625,-4.181,237.475,145.4085,-18.7575,57.295,-18.805,59.02,-16.7805,0.24,408.8675,0.82,0.536,0.11453,-90.28775,-6.721,-0.8184,-18.3,-18.4625,52.21,0,-0.6615,-12.325
1,4.75,0,-20.1975,0.519,-0.5335,-91.2752,-7.8975,0.0835000000000001,52.919,387.6,0,0.718,-18.98,0,-19.331,-0.755,-0.3,-0.4,-105.4,-0.09525,-4.3,237,145.27075,-18.8,58.9025,-18.6525,60.0225,-16.6185,0.148,408.96,0.8165,0.674,0.106575,-92.2325,-7.273,-0.662285,-18.615,-18.6525,54.565,0,-0.661,-12.335
