DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,PA,T_SONIC_1_1_1,T_SONIC_1_2_1,T_SONIC_1_3_1,T_SONIC_1_4_1,T_SONIC_1_5_1,T_SONIC_1_6_1,T_SONIC_SIGMA_1_1_1,APAR,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU_1_1_1,USTAR_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1
1,0.5,682.322775,0.481735556818182,4.25660774443784,0.0658922822260891,-4.755316,-2.944003,-6.1992615,-12.871555,-6.063321,-1.4706249055918,93.3326525,1.2922761,0.31712236,-0.15243121,-0.18496429,-0.51534277,-0.614971435,0.30134525,0,257.17185,310.534675,-52.19906,0,1.6371625,-0.052864595,0.209339975,0.502297937882896,0.344214121993654,0.313822598816906,0.295289714686115,0.262153363313534
1,1.5,681.76046,0.636286045454545,4.16372756690837,0.0580590074251044,-4.822235,-2.9610145,-6.3357065,-12.847195,-6.96937875,-0.3442192280966,93.327192,0.88470539,0.13112909,-0.58471193,-0.318586425,-0.503500365,-0.13472176,0.27267025,0,263.944225,309.63095,-44.4090725,0,1.54250625,-0.039016931,0.1748202,0.402646921242507,0.289687035981327,0.266000234740298,0.248557231632578,0.211940822139852
1,2.5,681.52118,0.342587613636364,4.20782613614,0.0740931226726611,-4.847406,-2.980165,-6.451491,-12.82342,-7.43015275,-0.885462923179284,93.326844,0.3677365,0.1784079,-0.11338074,-0.1079075685,-0.35731697,-0.24285737,0.27256545,0,257.776475,307.1169,-45.0755025,0,1.64115275,-0.0481455325,0.19704175,0.396568095255535,0.286948017498119,0.263573156258835,0.240623816967681,0.205699828215664
1,3.5,682.76743,0.425180568181818,4.14175046358819,0.0949205434529869,-4.6081175,-3.041917,-6.351084,-12.7697,-7.15476825,-0.660525137258598,93.321955,0.053497059,-0.54784715,-0.924198085,-0.793051485,-0.91480398,-0.75036934,0.2948141,0,258.338875,305.6338,-51.1415075,0,1.60435875,-0.0341823375,0.1729924,0.380600190788972,0.285313655502329,0.24734897191914,0.223647771103019,0.207081400914238
1,4.5,682.09943,0.440206568181818,4.01051411612782,0.0327891238327132,-4.5112255,-3.0636745,-6.4746965,-13.051325,-5.9094235,-0.848805963612168,93.312535,0.17329551,-0.39030957,-1.3105325,-1.1945679,-1.0698901,-1.052702105,0.256575,0,256.31175,307.0719,-48.23711,0,1.57578675,-0.025923735,0.1478682,0.417403405282014,0.286075194318676,0.245212447210759,0.229195327276254,0.200618284807969
1,5.5,681.89363,0.768321113636364,4.15729096477589,0.040432521146961,-4.413874,-3.0360405,-6.568932,-13.90344,-5.3603845,0.371235454594562,93.340778,-0.31424252,-1.0401966,-1.4670908,-1.5178847,-1.74821655,-1.220328795,0.2550553,0,259.343775,305.26705,-45.637135,0,1.47954215,-0.0310111325,0.15493463,0.35845130865851,0.260816669828407,0.21621477751689,0.22207422873917,0.192686446266578
1,6.5,682.70292,0.486251022727273,3.91504630547217,0.0500651846495503,-4.72692525,-3.0724115,-6.6139805,-13.907455,-6.15544125,-0.734730004432441,93.348572,-0.77602837,-1.40033,-2.1317142,-1.71783475,-1.7160601,-1.3448153,0.28927795,0,259.12935,304.534575,-49.0869025,0,1.71671775,-0.0261175625,0.13735945,0.349196723759963,0.236732650576243,0.209221474903049,0.202832904099491,0.180391823488677
1,7.5,686.93402,0.501561181818182,4.01538073809433,7.118974479849e-05,-4.6403855,-3.091491,-6.743097,-14.127845,-5.89728975,-0.712688484637774,93.376968,-0.69269718,-1.2676968,-1.61319725,-1.4192455,-1.6381915,-1.3960266,0.2790137,8.2812037,253.822275,304.69185,-45.4593775,1.08356655,2.17887125,-0.033603495,0.167408,0.326167306721708,0.248455434054177,0.2040410979027,0.212349467159268,0.178891770814436
1,8.5,684.15707,0.420075056818182,4.14874719348356,-0.357774252855532,-4.7059785,-3.0856895,-6.8140915,-13.657885,-5.19376625,-0.216807260916975,93.419637,-0.52667955,-0.78336673,-1.3566034,-1.2530627,-1.34664975,-0.98668968,0.29485865,48.578676,256.761,306.860325,-3.9706212,25.267975,4.779843,-0.0300447375,0.15854425,0.302996230146334,0.230700195834529,0.198735540977174,0.193461596867168,0.176444789614773
1,9.5,684.12534,0.274087761363636,4.5839852237005,-0.314836185421788,-4.826921,-3.0657275,-6.7785515,-13.51635,0.800495,10.9759997824193,93.439957,0.66861014,0.216359855,-0.271547805,-0.1172910305,-0.17763521,-0.095347114,0.34069185,287.24055,262.01975,314.2832,84.453155,147.192945,17.0286525,-0.07539447,0.247317725,0.316014117346558,0.254846684625037,0.273919671771559,0.295869597022773,0.273212004538068
1,10.5,680.57091,0.764584068181819,4.66893249644946,-0.221532611326266,-4.911972,-3.1743985,-6.811377,-12.103695,33.961733,19.6084444782469,93.45957,3.194553,2.1546876,1.883102,1.9528758,1.6241198,1.4876461,0.32527565,843.19666,270.00705,327.78135,316.262275,436.96275,46.05972,-0.1527808,0.34904235,0.592965506119566,0.400980737703107,0.343665548385222,0.428495657208282,0.385465640515348
1,11.5,668.44769,-0.118107940454545,4.603110508332,-0.167746951755698,-4.7295745,-3.342813,-6.287752,-9.990185,56.50515,34.3029888062333,93.416146,5.1667031,3.64389015,3.4134655,3.78494315,3.8691479,4.2594703,0.36007555,1018.9741,275.3591,337.2184,404.22375,532.396,59.1222825,-0.21253065,0.41751805,0.852962180663432,0.549814216388825,0.467590373849384,0.42358477110875,0.367154336642149
1,12.5,659.16881,0.316519318181818,4.1181624028273,-0.188834675025363,-3.9667945,-3.5971355,-5.33121,-5.4774675,87.478165,30.4938965387591,93.319723,6.55038,5.21693845,4.945802,5.0886821,5.2182041,5.6183325,0.37404055,1063.8829,280.495675,346.333375,418.3719,557.654025,62.1419925,-0.23210415,0.43926855,0.913152959223347,0.605847847818186,0.463147298589698,0.438280714986303,0.376668904870798
1,13.5,648.61213,0.202802463636364,4.21926534450165,-0.10474785952112,-3.191916,-3.618884,-4.73518,-1.3530135,110.237375,27.6838947517398,93.2536225,7.0888356,6.71024545,6.4837533,6.8869615,6.646622,7.01343435,0.34763965,1063.87685,283.242825,349.086725,419.98925,570.414625,65.452555,-0.2610297,0.470071525,0.989429459469815,0.670601802392558,0.507616011579202,0.419997468717033,0.346039179613124
