DOY2,HR2,USTAR,TA_1,WS,FC,H,LE,G_1_2_1,RH_1,PA,VPD,NETRAD,PPFD_IN,H2O_1
1,0.25,0.079,-0.1045,0.8215,-0.07975,-32.629,-0.4775,-4.97275,42.20575,86.5345,2.06,-60.8155,-0.083,4.0345
1,0.75,0.082,0.0525,0.8035,0.004,-35.226,-0.658,-5.0645,42.01825,86.528,2.2625,-60.949,-0.063,3.99375
1,1.25,0.07775,0.0885,0.8415,0.002,-35.1275,-0.60925,-5.1135,42.0375,86.5375,2.21,-60.61,-0.065,3.97775
1,1.75,0.085,-0.04,0.82675,-0.027,-36.11075,-0.79575,-5.11275,43.2945,86.5685,2.31,-59.7745,-0.096,3.818
1,2.25,0.0795,0.0115,0.9355,0.016,-29.678,-0.672,-5.1235,41.774,86.5865,2.36,-60.3725,-0.08575,3.72325
1,2.75,0.092,0.03175,0.90575,0.006,-34.2535,-0.4145,-5.11925,41.125,86.5865,2.3475,-61.4825,-0.12575,3.71625
1,3.25,0.087,0.14925,0.781,0.0625,-37.05025,-0.3445,-5.192,40.706,86.5945,2.51,-60.9795,-0.1255,3.56925
1,3.75,0.0825,0.05625,0.82,-0.018,-39.232,-0.487,-5.187,41.893,86.5745,2.53,-59.444,-0.09375,3.596
1,4.25,0.089,-0.11875,0.82875,-0.01725,-34.28125,-0.262,-5.201,40.4175,86.549,2.5,-59.338,-0.08875,3.623
1,4.75,0.087,-0.30825,0.8605,-0.03825,-39.024,-0.3355,-5.282,42.63725,86.5355,2.195,-59.4345,-0.11625,3.57675
1,5.25,0.084,-0.51275,0.87575,-0.03675,-38.597,-0.1505,-5.3175,40.83925,86.517,2.36,-58.766,-0.098,3.4845
1,5.75,0.0765,-0.49775,0.8525,-0.0355,-39.3075,-0.3445,-5.327,40.305,86.523,2.295,-59.0105,-0.07975,3.499
1,6.25,0.0895,-0.37275,0.91,-0.016,-35.62725,-0.232,-5.3035,40.08775,86.5165,2.47,-58.3975,-0.07775,3.47725
1,6.75,0.09325,-0.50125,0.9125,-0.037,-34.182,-0.391,-5.30275,40.03775,86.527,2.28,-58.0965,0,3.45575
1,7.25,0.084,-0.41875,0.87975,-0.029,-33.7595,-1.069,-5.29375,38.69075,86.529,2.29,-54.0385,4.6095,3.41875
1,7.75,0.088,-0.45225,0.789,-0.034,-37.447,-0.30325,-5.32125,37.527,86.548,2.465,-36.3955,28.67,3.47525
1,8.25,0.09375,0.14475,0.981,-0.4435,-33.31975,-0.144,-5.349,36.72075,86.562,2.8825,5.7915,86.429,3.5725
1,8.75,0.14025,0.424,0.84025,-1.56625,-23.377,1.5065,-5.333,37.1735,86.5945,2.8,37.0535,156.5525,3.7555
1,9.25,0.167,1.157,0.68725,-3.188,-11.878,6.272,-5.34925,37.26525,86.628,2.85,51.049,199.54,4.038
1,9.75,0.1985,1.83625,0.7285,-5.616,3.7035,12.77125,-5.2415,35.083,86.6525,3.2025,72.048,254.32775,4.1115
1,10.25,0.22075,2.17,0.822,-6.459,14.09,14.49,-5.113,31.34,86.67275,3.12,86.2505,319.21,4.152
1,10.75,0.236,2.3895,1.001,-6.68225,21.8165,24.924,-4.9985,29.0495,86.645,3.34,115.8325,371.655,4.1745
1,11.25,0.258,2.9115,1.048,-6.729,27.0955,21.24025,-4.836,27.92,86.62575,3.14,116.93,363.635,4.0695
1,11.75,0.24275,3.1955,1.119,-7.08675,31.819,24.763,-4.722,28.313,86.61,3.4525,121.0025,368.355,4.0505
1,12.25,0.267,3.15525,1.182,-7.3835,40.93725,29.2585,-4.66425,30.14275,86.587,3.79,133.96,362.9675,4.2865
1,12.75,0.275,3.3525,1.238,-7.2975,40.93625,23.903,-4.63075,30.34975,86.563,3.775,116.72,371.5525,4.50325
1,13.25,0.283,3.5415,1.31925,-7.2105,37.6855,21.64175,-4.63025,31.18675,86.522,3.5625,106.26,337.3675,4.62425
1,13.75,0.27525,3.49325,1.34225,-7.1195,25.295,22.9925,-4.56075,32.001,86.534,3.66,95.408,325.5025,4.76425
1,14.25,0.2745,3.22275,1.2895,-6.799,20.299,15.133,-4.58625,34.3065,86.5055,3.47,70.6445,261.99325,4.9315
1,14.75,0.25675,3.25225,1.1945,-5.84775,10.359,13.841,-4.5925,36.591,86.512,3.15,53.5575,211.0175,5.221
1,15.25,0.2355,3.111,1.02275,-5.0725,3.062,11.683,-4.5865,39.9915,86.50825,3.065,36.85325,158.51,5.3465
1,15.75,0.182,2.935,0.883,-3.371,-3.4115,5.1845,-4.5655,42.6625,86.52725,2.7125,15.92875,118.76,5.489
1,16.25,0.11625,2.85675,0.718,-1.804,-8.673,1.601,-4.5055,47.4795,86.529,2.3875,-15.5915,64.71725,5.80475
1,16.75,0.084,2.2785,0.6265,-0.52175,-13.25975,-0.38,-4.49575,51.67975,86.523,2.16,-56.258,16.65825,5.769
1,17.25,0.067,1.698,0.645,-0.117,-17.93375,-1.41075,-4.47175,54.717,86.527,1.805,-64.716,0.823,5.896
1,17.75,0.06,1.211,0.6555,-0.112,-19.70475,-0.91025,-4.44075,56.301,86.5315,1.5,-64.1015,-0.0875,5.66125
1,18.25,0.064,1.01675,0.63575,-0.066,-21.74175,-0.6415,-4.44,55.1605,86.5425,1.38,-62.2315,-0.1755,5.67425
1,18.75,0.064,1.0475,0.723,-0.085,-30.2305,-0.498,-4.4725,53.67225,86.5585,1.37,-61.9215,-0.18,5.576
1,19.25,0.076,0.59775,0.678,-0.08675,-24.789,-0.943,-4.44,53.53275,86.571,1.34,-61.285,-0.17275,5.37225
1,19.75,0.075,0.6735,0.7155,-0.066,-25.03,-0.85975,-4.439,52.1095,86.59425,1.41,-62.475,-0.188,5.178
1,20.25,0.075,0.605,0.711,-0.0735,-27.375,-0.693,-4.491,51.20325,86.568,1.57,-62.2695,-0.1295,5.07525
1,20.75,0.081,0.40025,0.732,-0.0265,-29.4155,-0.7705,-4.57375,49.73425,86.5665,1.5525,-61.577,-0.09625,4.72825
1,21.25,0.0805,0.31575,0.746,-0.054,-30.981,-0.6085,-4.68875,48.47025,86.575,1.795,-61.991,-0.10025,4.735
1,21.75,0.09,0.3555,0.7765,-0.024,-30.1865,-0.4885,-4.7135,45.72625,86.581,2.0225,-62.018,-0.09775,4.63
1,22.25,0.0795,0.264,0.84375,-0.0225,-30.402,-0.465,-4.7815,45.1105,86.582,1.935,-60.7855,-0.0805,4.46825
1,22.75,0.074,0.258,0.787,-0.027,-28.65925,-0.4015,-4.842,44.48,86.593,2.055,-60.9995,-0.05425,4.2965
1,23.25,0.0745,0.12275,0.731,-0.06275,-30.3305,-0.461,-4.83375,44.675,86.58,2.1525,-60.9165,-0.061,4.23125
1,23.75,0.082,-0.21175,0.8175,-0.006,-29.2075,-0.7055,-4.87425,43.44725,86.576,2.1,-61.515,-0.079,4.11725
2,0.25,0.083,0.2125,0.692,0.071,-29.58875,-0.34,-4.30875,46.6325,86.301,1.24,-59.5835,-0.0765,4.7125
2,0.75,0.079,-0.028,0.67375,0.032,-28.101,-0.2905,-4.4195,48.138,86.305,1.3225,-58.57725,-0.086,4.56475
2,1.25,0.0845,-0.07075,0.76675,-0.016,-31.1065,-0.4415,-4.505,47.43475,86.286,1.415,-58.70625,-0.0825,4.44725
2,1.75,0.08775,-0.1445,0.772,0.03675,-34.9815,-0.3855,-4.7845,46.67425,86.274,1.4175,-58.2015,-0.0965,4.333
2,2.25,0.0865,-0.1835,0.67125,-0.034,-41.783,-0.522,-5.2375,47.50475,86.257,1.44,-58.07275,-0.0605,4.17175
2,2.75,0.094,-0.29075,0.72125,0.00525,-34.12675,-0.41425,-5.455,47.442,86.245,1.55,-58.639,-0.0635,4.0855
2,3.25,0.085,-0.279,0.797,0.00425,-38.47975,-0.4275,-5.535,45.754,86.231,1.5725,-57.811,-0.054,3.985
2,3.75,0.091,-0.35775,0.79875,0.01175,-40.429,-0.48125,-5.635,44.3405,86.227,1.5325,-57.285,-0.0615,3.932
2,4.25,0.087,-0.359,0.734,0.051,-40.66175,-0.2485,-5.71,43.535,86.19775,1.555,-57.322,-0.05825,3.893
2,4.75,0.093,-0.336,0.775,0.0075,-36.5015,-0.527,-5.737,42.558,86.20425,1.48,-56.438,-0.06025,3.857
2,5.25,0.095,-0.353,0.818,0.00475,-35.674,-0.7625,-5.7455,41.665,86.1985,1.57,-56.256,-0.084,3.83
2,5.75,0.086,-0.283,0.892,0.05125,-36.25625,-0.2235,-5.8975,42.517,86.2035,1.5325,-57.21,-0.06425,3.774
2,6.25,0.087,-0.424,0.805,0.014,-37.32075,-0.2115,-6.0155,40.586,86.211,1.645,-56.685,-0.0115,3.652
2,6.75,0.088,-0.421,0.813,-0.01,-35.1995,-0.504,-6.147,39.484,86.2365,1.72,-55.608,1.20775,3.63
2,7.25,0.0945,-0.353,0.8915,-0.01,-33.7115,-0.468,-6.265,39.59575,86.25775,1.75,-39.316,19.0955,3.6055
2,7.75,0.1,-0.0405,0.95775,-0.203,-32.853,-0.0865,-6.3225,38.80325,86.28,1.815,1.071,73.7425,3.69225
2,8.25,0.1495,0.32175,0.949,-1.001,-21.621,1.065,-6.2765,37.497,86.29,1.77,28.221,136.97,3.8845
2,8.75,0.18275,1.177,0.8795,-3.119,-9.58175,6.586,-6.03275,36.2285,86.31575,1.96,48.338,194.745,4.03
2,9.25,0.2245,2.03475,0.9035,-5.0245,6.55275,15.438,-5.54825,34.8565,86.33975,2.07,69.327,268.985,4.142
2,9.75,0.237,2.32675,0.979,-6.74775,24.8165,23.998,-5.23825,32.714,86.34275,2.3975,99.512,364.805,4.0545
2,10.25,0.2525,2.856,1.2185,-7.38175,44.958,24.36875,-4.5075,30.099,86.36325,2.745,133.49,511.3135,4.0395
2,10.75,0.28375,3.383,1.212,-7.84575,55.8035,24.618,-4.295,29.7645,86.387,2.9675,147.5175,492.485,3.9275
2,11.25,0.29,3.614,1.3425,-8.562,61.866,29.4525,-4.374,27.863,86.384,3.19,139.3125,489.235,4.014
2,11.75,0.32325,3.767,1.404,-8.52725,66.378,27.7245,-4.11475,29.3715,86.366,3.42,148.7875,531.014,4.145
2,12.25,0.3195,3.9295,1.51475,-8.376,69.3865,32.01,-3.98225,28.16175,86.328,3.37,151.36,469.96,4.29475
