DOY2,HR2,USTAR_1_1_1,USTAR_1_2_1,WS_1_3_1,WS_1_9_1,FC_1_1_1,FC_1_2_1,H_1_1_1,H_1_2_1,LE_1_1_1,LE_1_2_1,SH_1_1_1,SH_1_2_1,SLE_1_1_1,SLE_1_2_1,SC_1_1_1,SC_1_2_1,CO2_1_1_1,H2O_1_1_1,CO2_1_2_1,H2O_1_2_1,TA_1_9_1,TA_1_7_1,TA_1_6_1,TA_1_3_1,TA_1_2_1,TA_1_1_1,TA_1_5_1,TA_1_4_1,TA_1_8_1,RH_1_9_1,RH_1_7_1,RH_1_6_1,RH_1_3_1,RH_1_2_1,RH_1_1_1,RH_1_5_1,RH_1_4_1,RH_1_8_1,WS_1_10_1,WS_1_8_1,WS_1_7_1,WS_1_6_1,WS_1_5_1,WS_1_4_1,WS_1_2_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_BC_IN,LW_OUT,LW_BC_OUT,PPFD_IN,PPFD_BC_IN,PPFD_OUT,PA,G_1_1_1,G_1_1_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,0.1492365,0.0886,1.903668,0.412766,0.133803,0.110121,-3.6281815,-0.006745,0.115154,0.0735,0.0363,-0.003295,0,-0.00506,0,0.0021,398.374536,1.516492,395.009108,1.228465,-17.8283335,-17.8583335,-17.6183335,-16.6483335,-16.5933335,-16.0733335,-16.7233335,-16.0133335,-15.016667,76.603333,76.503333,76.303333,77.083333,74.613333,74.573333,74.553333,73.683333,80.6,0.4,0.5333335,0.6723335,0.9121665,1.103,1.149667,1.32,1.5335,-2.765246,-1.9532935,217.567269,212.160783,240.729853,233.6314775,0,0,0,98.5,-13.0183335,-14.555,-1.4295,-1.12,-0.7035,-0.3055,-0.0925,-0.2805
1,0.75,0.12893,0.09495,1.522972,0.2913295,0.17503,0.107149,-3.851227,-0.1048155,0.0557,0.0796,-0.0079,-0.00703,0,-0.0108,0,0.0047,397.751068,1.299198,396.177911,1.197245,-18.405,-18.18,-17.315,-16.643333,-16.6116665,-16.3133335,-17.1483335,-16.4733335,-14.606667,76.503333,76.663333,76.536667,76.716667,74.08,74.4,73.93,73.583333,80.533333,0.413,0.54,0.5956665,0.833,1.053333,1.028667,1.4228335,1.592167,-2.7433905,-1.9213485,215.9574805,212.1243785,240.2288,232.169719,0,0,0,98.5,-12.9816665,-14.6483335,-1.4385,-1.1195,-0.702,-0.307,-0.0935,-0.2805
1,1.25,0.137093,0.094,1.5028165,0.318008,0.159071,0.10365,-2.516294,-0.00498,0.089475,0.0075835,0.00556,-0.0019105,0,-0.00427,0.00168,0.002955,399.805082,1.396916,396.51988,1.1408195,-18.6816665,-17.8616665,-17.155,-16.895,-16.7183335,-16.3116665,-16.871667,-16.66,-14.775,76.616667,76.34,76.816667,76.8,75.17,75.153333,74.26,74.916667,80.243333,0.398667,0.5281665,0.6358335,0.8341665,0.992667,1.029333,1.273,1.557167,-2.63555,-1.883748,220.0937475,216.1159275,238.4918055,234.2625655,0,0,0,98.5,-13.043333,-14.6783335,-1.4395,-1.119,-0.714,-0.3085,-0.093,-0.281
1,1.75,0.142009,0.0969,1.902279,0.417942,0.169221,0.109944,-3.716441,-0.00423,0.083923,0.0346,0.00657,0.00199,0.0554,0.00165,0,0.0013,400.046357,1.674407,395.291283,1.209167,-18.5366665,-18.1433335,-17.67,-16.77,-16.8216665,-16.8683335,-16.9183335,-16.17,-14.5366665,75.706667,75.853333,76.51,77.25,75.166667,75.656667,75.243333,74.38,80.656667,0.395333,0.5171665,0.576,0.8161665,0.982,1.026333,1.3676665,1.533,-2.6906615,-1.8930765,222.17377,217.1688505,238.905567,233.9305495,0,0,0,98.5,-13.105,-14.62,-1.443,-1.113,-0.718,-0.307,-0.0925,-0.282
1,2.25,0.1437095,0.0878,1.68498,0.302925,0.147003,0.045,-4.715932,-0.066764,0.000115,0.037921,0.074533,0.006695,0,-0.00334,0,0.00266,399.1951225,1.452037,396.110875,1.072185,-18.705,-18.4033335,-17.5383335,-16.6266665,-16.6983335,-16.86,-16.6,-15.818333,-14.115,76.31,75.856667,76.35,77.383333,75.43,75.98,74.906667,74.643333,80.9,0.411333,0.56,0.596,0.8903335,0.993667,1.032333,1.3645,1.623167,-2.761907,-2.027501,220.7243745,217.533396,238.794088,235.349746,0,0,0,98.5,-13.1633335,-14.5533335,-1.436,-1.1105,-0.719,-0.308,-0.094,-0.282
1,2.75,0.1409155,0.0862,1.607419,0.3344505,0.189512,0.099915,-3.248565,-0.00611,0.00803,0.03755,-0.017915,0.00326,0,-0.00225,0,0.004505,400.493613,1.661781,396.902799,1.196418,-18.84,-18.39,-17.706667,-16.695,-16.74,-16.866667,-15.9433335,-15.13,-13.933333,76.066667,75.533333,75.763333,77.08,74.96,74.673333,73.81,74.256667,80.633333,0.415,0.5513335,0.6153335,0.836667,0.976667,1.028667,1.278667,1.4008335,-2.738146,-1.812589,219.3123845,215.101189,238.683141,232.344506,0,0,0,98.5,-13.205,-14.4983335,-1.4335,-1.109,-0.7175,-0.3105,-0.0925,-0.281
1,3.25,0.1347445,0.0746,1.558752,0.322664,0.127762,0.0591,-4.6457085,-0.00762,0.005605,0.058139,0.00537,-0.000874,0,-0.00402,0,0.0012265,400.119787,1.6241825,397.0420905,1.070426,-18.663333,-18.5233335,-17.27,-16.746667,-16.7466665,-16.87,-16.03,-15.305,-14.6833335,75.893333,75.47,75.553333,75.966667,73.756667,74.066667,73.963333,73.89,80.236667,0.421667,0.574,0.6768335,0.918167,1.070333,1.145,1.4201665,1.5871665,-2.6418035,-1.9883355,219.3634775,215.1859515,237.564426,232.572349,0,0,0,98.5,-13.2,-14.455,-1.43,-1.108,-0.714,-0.303,-0.091,-0.2815
1,3.75,0.138592,0.0837,1.66417,0.273671,0.127322,0.0883,-2.534605,-0.8421055,0.0963,0.025897,-0.0049,-0.000232,0,-0.001455,0,-0.000484,398.531773,1.686775,396.049762,1.053747,-18.8816665,-18.405,-17.2416665,-16.4783335,-16.51,-16.24,-16.286667,-15.6083335,-14.93,76.266667,76.083333,75.48,76.326667,74.2,74.356667,74.493333,73.773333,80.766667,0.435,0.6018335,0.7318335,1.025667,1.134667,1.115,1.3426665,1.4805,-2.7033535,-2.064516,219.947096,218.991643,237.098054,232.8138045,0,0,0,98.5,-13.1233335,-14.4316665,-1.4305,-1.1035,-0.7125,-0.3065,-0.0915,-0.281
1,4.25,0.1259245,0.08585,1.761716,0.386441,0.120297,0.06005,-3.331404,-0.00502,0.0471945,0.138871,0.004205,-0.0018,0,0.0007215,0,0.00218,403.118353,1.379522,396.081891,1.054564,-19.0033335,-18.313333,-17.5483335,-16.385,-16.3166665,-16.3966665,-16.588333,-15.5516665,-14.76,76.266667,76.396667,76.29,75.9,73.616667,73.81,74.366667,74.01,81,0.442,0.6336665,0.6868335,1.025833,1.148,1.158333,1.5123335,1.656,-2.76373,-2.0116045,218.24204,213.6270805,237.395191,232.4272365,0,0,0,98.5,-13.0966665,-14.448333,-1.4285,-1.1005,-0.711,-0.309,-0.092,-0.2805
1,4.75,0.138134,0.08375,1.926913,0.441475,0.137358,0.0682,-5.177915,-0.3634825,0.047997,0.020295,-0.0147,-9.99999999999997e-07,0,-0.001205,0,0.0004685,400.614199,1.4036165,395.1121165,1.115526,-19.4133335,-18.6583335,-17.8383335,-16.4033335,-15.955,-15.971667,-17.2916665,-15.998333,-14.8033335,77.186667,76.36,75.76,76.25,73.903333,74.103333,74.366667,73.93,80.476667,0.426667,0.5898335,0.7048335,1.018667,1.093667,1.158333,1.445167,1.597,-2.7435555,-1.9137485,218.04825,213.3496535,236.746744,233.2931575,0,0,0,98.5,-13.1,-14.493333,-1.4275,-1.0985,-0.711,-0.3085,-0.0915,-0.2815
