DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1
1,0.25,0.1485,1.06225,0.2595,-35.16325,-0.50925
1,0.75,0.13225,0.9545,0.169,-35.79825,-0.528
1,1.25,0.133,0.945,0.282,-38.927,-1.024
1,1.75,0.178,0.883,0.205,-39.961,-1.198
1,2.25,0.133,0.899,0.223,-36.527,-0.906
1,2.75,0.126,0.906,0.258,-34.393,-0.54
1,3.25,0.1405,0.84825,0.15725,-36.69725,-0.72325
1,3.75,0.141,0.8345,0.18575,-37.38325,-1.7665
1,4.25,0.1105,0.8005,0.0985,-41.0115,-0.822
1,4.75,0.14,0.873,0.122,-35.986,-1.42
1,5.25,0.14425,0.8985,0.16475,-33.89175,-0.42525
1,5.75,0.115,0.83625,0.12025,-34.1845,-0.91775
1,6.25,0.134,0.937,0.178,-33.773,-0.561
1,6.75,0.1375,0.873,0.09,-32.5025,-1.11325
1,7.25,0.15225,0.8505,-0.06425,-28.40925,-1.04575
1,7.75,0.1375,0.8355,-0.153,-29.0745,-0.2205
1,8.25,0.125,0.783,-1.091,-14.051,0.884
1,8.75,0.14775,0.812,-2.85375,-2.15025,3.7195
1,9.25,0.233,0.8605,-3.3685,6.779,8.06125
1,9.75,0.27425,0.9315,-4.67075,12.573,12.43525
1,10.25,0.357,1.0915,-6.5715,27.717,24.962
1,10.75,0.39975,1.2375,-7.123,58.54925,30.086
1,11.25,0.505,1.5205,-8.74875,77.1145,43.2815
1,11.75,0.475,1.377,-9.95925,107.03675,46.6505
1,12.25,0.4735,1.48675,-10.095,103.24125,56.601
1,12.75,0.4375,1.38525,-10.799,88.7415,68.237
1,13.25,0.477,1.724,-10.694,80.243,62.593
1,13.75,0.506,1.583,-10.916,82.084,68.568
1,14.25,0.441,1.391,-10.202,63.495,66.766
1,14.75,0.441,1.388,-9.392,65.582,60.914
1,15.25,0.4645,1.49225,-9.10075,48.75375,64.8455
1,15.75,0.451,1.292,-8.86,10.304,57.7635
1,16.25,0.3845,1.3275,-6.859,-14.939,46.765
1,16.75,0.2985,1.1045,-4.93575,-23.5,33.1485
1,17.25,0.21,0.93575,-1.91425,-34.04925,14.67325
1,17.75,0.15275,0.9105,-0.5705,-33.0215,4.3515
1,18.25,0.128,0.996,-0.134,-34.972,3.22
1,18.75,0.16125,1.00325,-0.11375,-34.89775,1.7585
1,19.25,0.13275,0.972,-0.05675,-34.1975,1.98525
1,19.75,0.14375,1.01375,0.07,-34.33675,0.85375
1,20.25,0.13225,0.981,0.1135,-35.70325,0.67875
1,20.75,0.12825,0.83875,0.1025,-39.9855,0.167
1,21.25,0.11975,0.946,0.15725,-37.11675,-0.29475
1,21.75,0.156,0.95,0.131,-38.64,0.158
1,22.25,0.125,0.912,0.175,-29.562,-0.186
1,22.75,0.111,0.953,0.141,-33.425,-0.201
1,23.25,0.14525,1.00975,0.28,-36.42,-0.5785
1,23.75,0.16,1.005,0.329,-37.884,-0.766
2,0.25,0.194,1.072,0.2285,-38.38275,-1.52875
2,0.75,0.1845,1.07125,0.22675,-40.52325,-1.731
2,1.25,0.163,1.043,0.205,-42.9575,-1.013
2,1.75,0.182,1.074,0.316,-40.546,-1.751
2,2.25,0.1645,0.937,0.0465,-40.283,-1.801
2,2.75,0.173,1,0.14,-38.721,-1.624
2,3.25,0.155,0.98,0.14475,-39.48,-1.296
2,3.75,0.134,0.937,0.2,-40.798,-2.17725
2,4.25,0.128,0.971,0.142,-32.943,-1.74725
2,4.75,0.1155,0.85775,0.188,-34.998,-1.15425
2,5.25,0.1385,0.86575,0.0765,-33.9165,-2.5815
2,5.75,0.11725,0.80525,0.2,-31.0975,-2.9455
2,6.25,0.168,0.909,0.169,-33.288,-2.624
2,6.75,0.1445,0.9265,-0.01375,-39.6195,-2.077
2,7.25,0.1765,0.9115,-0.09125,-35.88125,-1.27075
2,7.75,0.2305,0.8635,-1.1,-20.2095,0.178
2,8.25,0.26025,1.0295,-2.802,-7.758,3.818
2,8.75,0.312,1.0845,-5.182,10.1985,10.322
2,9.25,0.35675,1.1115,-7.0935,23.68975,25.15275
2,9.75,0.4095,1.151,-9.735,50.3455,32.492
2,10.25,0.4195,1.3425,-12.241,59.5475,46.39775
2,10.75,0.455,1.437,-13.28775,75.359,64.27575
2,11.25,0.464,1.34075,-12.099,102.873,71.19575
2,11.75,0.463,1.3775,-13.1105,118.093,81.0625
2,12.25,0.48,1.37675,-13.08975,128.53175,95.84625
2,12.75,0.48425,1.4425,-12.616,126.9555,97.92325
2,13.25,0.483,1.486,-12.645,132.817,108.245
2,13.75,0.48775,1.49275,-12.858,101.09575,96.35425
2,14.25,0.44675,1.3925,-12.083,120.814,110.1385
2,14.75,0.443,1.3815,-10.502,94.5995,99.851
2,15.25,0.426,1.251,-10.03475,83.7975,93.9015
2,15.75,0.4065,1.4985,-8.952,33.8055,80.1015
2,16.25,0.38625,1.24675,-7.13575,11.88125,68.287
2,16.75,0.387,1.18575,-6.114,-0.7635,60.34775
2,17.25,0.29,1.0255,-3.667,-22.0055,37.941
2,17.75,0.215,1.0105,-1.34525,-43.07725,19.15
2,18.25,0.125,0.966,-0.114,-46.5985,6.4855
2,18.75,0.13875,0.99175,0.02575,-39.5685,3.51425
2,19.25,0.1215,0.965,0.0605,-40.22,1.6535
2,19.75,0.1065,0.89575,0.102,-43.7245,1.032
2,20.25,0.08625,0.83475,0.098,-41.265,0.38575
2,20.75,0.09625,0.8985,0.0815,-41.85875,0.171
2,21.25,0.09975,0.92725,0.11225,-40.21175,-0.278
2,21.75,0.1195,0.947,0.135,-39.371,0.109
2,22.25,0.12775,0.99475,0.0755,-36.91875,-0.23025
2,22.75,0.1435,1.122,0.1575,-36.4145,-1.3135
2,23.25,0.16625,1.077,0.3015,-34.48725,-0.929
