DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,0.137,-31.128,2.314,-0.005,-34.801,-0.057,70.7545,376.48725,0.13,-9.915,-0.05625,-2.0755,-0.246,-0.15375,0.543
1,0.75,0.141,-31.3,2.273,0.011,-32.42775,-0.178,70.5295,376.48425,0.13,-11.9755,-0.059,-2.02075,-0.2065,-0.14425,0.512
1,1.25,0.118,-31.4935,2.179,-5e-04,-35.991,-0.277,70.7985,376.5545,0.13,-13.417,-0.058,-2.0735,-0.2385,-0.10125,0.524
1,1.75,0.116,-31.625,2.238,-0.006,-36.7555,-0.234,70.5015,376.60025,0.13,-12.37525,-0.0505,-2.05625,-0.21,-0.12675,0.484
1,2.25,0.11,-31.9395,2.207,0.016,-36.461,-0.365,70.353,376.644,0.12,-11.7355,-0.0585,-1.981,-0.226,-0.107,0.50625
1,2.75,0.1145,-31.9875,2.3025,0.0135,-33.426,-0.304,70.648,376.8255,0.12,-9.41125,-0.06725,-1.9825,-0.204,-0.0705,0.49675
1,3.25,0.155,-32.2065,2.219,-0.004,-32.391,-0.13975,70.6065,376.8465,0.12,-7.069,-14.7295,-1.884,-0.191,-0.1285,0.49375
1,3.75,0.136,-32.294,2.0755,-0.0225,-34.4285,-0.218,70.6255,376.87925,0.12,-7.486,-14.6985,-1.9235,-0.2105,-0.077,0.503
1,4.25,0.1595,-32.21575,2.0845,-0.0015,-33.109,-0.283,70.30325,377.038,0.12,-10.46725,-14.5115,-1.879,-0.212,-0.08075,0.46075
1,4.75,0.12325,-32.43975,1.96875,0.0065,-28.289,-0.17775,70.2285,377.106,0.12,-9.42675,-13.199,-1.832,-0.235,-0.1105,0.46325
1,5.25,0.151,-32.56575,2.18025,0,-38.6405,-0.21575,70.30525,377.214,0.1175,-9.97225,-13.059,-1.777,-0.2155,-0.19275,0.5075
1,5.75,0.13725,-32.86675,2.1075,-0.013,-31.97,-0.376,70.20775,377.281,0.11,-10.43325,-11.606,-1.7285,-0.241,-0.063,0.509
1,6.25,0.147,-33.15025,2.196,-0.05125,-30.451,-0.014,69.77975,377.298,0.11,-10.3105,-12.5395,-1.72975,-0.2095,-0.12825,0.529
1,6.75,0.155,-33.46,2.008,0.021,-33.252,-0.215,69.433,377.5095,0.11,-7.81175,-12.473,-1.781,-0.2,-0.111,0.533
1,7.25,0.155,-33.437,2.148,-0.032,-29.8935,-0.24,69.2465,377.4085,0.11,-9.0255,-12.52725,-1.726,-0.212,-0.13425,0.55625
1,7.75,0.157,-33.84625,2.143,0.0015,-29.24725,-0.10175,68.79825,377.418,0.11,-10.2,-12.2795,-1.5495,-0.195,-0.11825,0.4395
1,8.25,0.139,-33.73575,2.108,0.0485,-23.827,-0.3345,68.47,377.558,0.11,-7.4145,-12.0305,-1.50375,-0.1695,-0.109,0.444
1,8.75,0.158,-33.817,2.033,0.007,-31.552,-0.124,68.33275,377.34925,0.11,-7.113,-5.98175,0.18575,0.178,0.037,0.5105
1,9.25,0.132,-33.7045,2.003,-0.006,-14.894,-0.3325,68.39125,377.4585,0.11,-1.18525,7.8385,4.4305,2.1405,1.428,0.45525
1,9.75,0.164,-33.19325,1.977,0.071,-12.21,-0.1565,68.533,377.391,0.12,3.7295,38.32,15.448,7.179,4.11375,0.45725
1,10.25,0.236,-32.63325,1.657,0.094,-4.85275,-0.348,68.65425,377.25775,0.13,9.36925,64.374,27.88,13.0625,8.19975,0.47875
1,10.75,0.275,-31.4295,1.696,0.097,9.053,-0.948,68.31725,377.19175,0.14,17.0655,92.85225,42.236,19.3275,11.02675,0.506
1,11.25,0.298,-30.577,1.456,0.065,27.298,-0.394,68.5595,376.94675,0.15,23.39775,131.49175,53.88,25.3805,15.591,0.5395
1,11.75,0.301,-29.716,1.656,0.023,45.163,-0.372,68.38,376.417,0.16,28.61875,144.285,55.688,26.9405,17.19425,0.6025
1,12.25,0.32675,-29.127,1.6645,-0.026,52.227,-0.6315,67.2835,375.7195,0.17,30.182,158.686,62.929,30.255,17.856,0.669
1,12.75,0.324,-28.09825,1.646,-0.073,56.484,-0.24,66.7125,375.4785,0.1875,35.903,185.26725,77.81075,32.851,19.74125,0.6575
1,13.25,0.357,-27.3765,1.73,0.07,51.469,-1.1385,66.64475,375.194,0.19,37.9385,185.7135,78.54775,31.0435,18.77675,0.6925
1,13.75,0.348,-26.97825,1.841,-0.067,36.405,-0.6325,66.08525,375.00625,0.2,29.8815,149.29075,66.13725,27.899,15.32575,0.7125
1,14.25,0.359,-26.60125,2.038,-0.035,35.049,-0.0735,65.4985,374.79275,0.21,27.13075,134.74475,65.845,24.02825,14.46125,0.729
1,14.75,0.344,-26.55225,1.832,0.027,28.523,-0.0425,65.45,374.8,0.21,17.5165,97.47575,48.33775,18.2055,12.041,0.737
1,15.25,0.294,-26.49375,1.783,0.08,19.013,-0.8715,65.5395,374.996,0.21,11.4675,63.29725,29.01075,13.793,7.11325,0.73
1,15.75,0.26975,-26.5905,1.79575,-0.081,3.18725,-0.7185,66.05575,375.13475,0.21,3.6095,37.108,16.96675,7.73125,4.15125,0.7185
1,16.25,0.2055,-26.9205,1.77025,-0.116,-11.5455,-0.2815,67.14825,375.0395,0.2,-1.052,14.25675,5.792,2.61725,1.4625,0.6875
1,16.75,0.1585,-27.43125,1.861,0,-27.196,-0.363,68.144,375.20525,0.19,-13.057,-4.733,0.2285,0.32375,-0.00325,0.661
1,17.25,0.1455,-28.05525,2.059,-0.062,-27.60675,-0.566,69.4255,375.18675,0.18,-25.145,-11.33825,-2.08875,-0.10625,-0.22375,0.633
1,17.75,0.1485,-28.52225,2.0665,-0.006,-30.34775,-0.657,70.31525,375.225,0.17,-24.2425,-10.764,-2.74225,-0.202,-0.3,0.624
1,18.25,0.133,-28.6615,2.0595,-0.03,-27.71275,-0.3055,71.00075,375.56275,0.16,-23.9915,-10.613,-2.56375,-0.206,-0.29275,0.61
1,18.75,0.171,-28.7725,2.158,-0.016,-27.525,-0.112,70.822,375.58625,0.1575,-23.26825,-11.5755,-2.56525,-0.1985,-0.216,0.567
1,19.25,0.138,-28.991,2.1565,-0.036,-34.04625,-0.342,70.946,375.433,0.15,-19.59325,-11.66375,-2.44875,-0.21975,-0.2935,0.5515
1,19.75,0.1545,-29.55575,2.1195,-0.001,-29.98675,-0.3225,70.80475,375.585,0.15,-22.17675,-12.092,-2.42625,-0.26325,-0.35925,0.576
1,20.25,0.1575,-29.80675,2.355,-0.048,-33.546,-0.172,71.06325,375.756,0.14,-23.69725,-11.6345,-2.41275,-0.21425,-0.277,0.514
1,20.75,0.1535,-30.01825,2.2595,-0.022,-30.4615,-0.197,71.569,375.85,0.14,-21.07275,-12.4715,-2.37925,-0.20725,-0.208,0.53
1,21.25,0.12,-30.05,2.2055,0.003,-33.03775,-0.0865,71.3885,375.775,0.14,-17.349,-13.237,-2.391,-0.1985,-0.25175,0.5225
1,21.75,0.132,-30.2095,2.3155,-0.023,-32.31375,-0.202,70.88925,375.949,0.14,-17.74625,-13.574,-2.2695,-0.24825,-0.24625,0.55125
1,22.25,0.133,-30.17425,2.24225,-0.01125,-34.469,-0.16275,71.28725,376.017,0.1375,-12.4655,-0.06975,-2.18,-0.251,-0.1685,0.539
1,22.75,0.143,-30.0745,2.364,-0.00425,-41.962,-0.2835,70.99125,376.153,0.14,-13.16825,-0.0775,-2.188,-0.239,-0.13875,0.5525
1,23.25,0.1475,-30.5825,2.32575,-0.023,-35.126,-0.33175,70.999,376.252,0.14,-13.1565,-1.325,-2.1915,-0.24025,-0.14925,0.55825
1,23.75,0.14725,-30.9815,2.3175,-0.01875,-28.68,-0.516,70.9135,376.426,0.13,-11.5045,-0.0645,-2.208,-0.2505,-0.336,0.54775
