DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.413584083417287,-0.369060722146028,0.188799758037717,-24.4998987427256,-9.68285517312806,0.483643954133673,423.560881176099,4.56628264796463,424.20013419005,3.62114041508086,420.742047373399,2.70338416543326,424.297496227781,3.63750664209298,421.173550828025,2.89746631675718,424.391147474786,3.64507643546041,420.784147962733,2.87568801371786,424.53924682686,3.64827784823464,423.158555888889,2.26051763699098,428.325286675306,3.77561895476541,422.241469761942,3.0340453782038,2.11432283235058,0.22848642075968,0.100820747402307,1.54,1.14,0.44,0.3975,0.29,0.48865,-0.00475,0.467675,1.77195,0.526625,-0.423275,-0.797625,97.58311,51.79,1.4423,2.235,0.66,0.0275,0.5375,0.9325,0.6,-3.41,2.15,-1.3925,-0.0475,240.425,316.3,281.925,311.25,-0.2025,0.01,0.11,-0.0175,0.1675,-0.19,-0.1425,-0.1775,0.07,-0.1275,3.8725,4.8225,5.88425,6.91,7.9765,8.7845,9.9135,11.0495,11.847,3.472,4.28875,5.84775,6.6665,8.01175,9.05,9.9925,11.1385,11.8145,3.84275,4.4755,5.84875,6.87425,8.21575,8.91825,10.1715,10.96375,11.83775,4.059,5.18825,6.41925,7.16375,8.401,9.3565,10.45175,11.21825,11.729,3.10575,4.42225,6.0815,6.6795,8.07275,8.7525,10.17175,11.209,11.79175,-4.1665,-6.745,1.84325,-69.12
1,0.75,0.373961920668471,-0.251044528936339,0.182141640470807,-25.7525531358413,-6.6770584736297,0.499445226622334,424.283263676532,4.6054051287217,424.521098650209,3.63251425900558,422.611653556962,2.57974146721501,424.556021388451,3.60763022831381,422.222625625,3.18527486653813,424.634917599375,3.62502821678228,421.120546892717,2.64756514441997,424.642630966004,3.62720098473148,422.007909266965,2.41523953512234,428.848629648022,3.80867807249009,424.274369185415,2.39582597981081,1.97278490347992,0.100875366366949,0.0918326349727601,1.5,1.0625,0.4125,0.3775,0.28,0.264225,-0.1445,0.287725,1.721,0.390375,-0.4488,-0.6934,97.581795,52.265,1.362175,2.235,0.1875,-0.1925,0.3525,0.685,0.5,-3.68,2.025,-1.39,-0.075,244.225,315.65,281.875,310.7,-0.205,0.01,0.11,-0.0175,0.16,-0.19,-0.145,-0.1625,0.0775,-0.125,3.86375,4.7245,5.826,6.876,7.9695,8.7795,9.9135,11.063,11.846,3.347,4.279,5.82475,6.6125,8.0125,9.0495,9.9915,11.1365,11.813,3.71125,4.374,5.765,6.835,8.2275,8.91825,10.16725,10.9615,11.84625,4.03225,5.09675,6.3945,7.15425,8.39425,9.354,10.45075,11.217,11.72725,3.002,4.3905,6.0735,6.638,8.07825,8.7505,10.1675,11.20775,11.79,-4.23675,-6.85775,2.844,-79.13
1,1.25,0.517508369210462,-0.409731165434466,0.197118611634116,-28.2113370440918,-9.19192109833313,0.466516390552994,424.255724367954,4.91582636302502,424.668874834721,3.67148116281198,420.777657719256,2.76735746860744,425.113313146176,3.67922714505177,421.902524513214,2.99319437153118,425.155712905839,3.66520829179841,421.620353066879,2.55019675613411,425.411620200872,3.61857998259153,421.364759236301,2.34437218186907,429.94050896607,3.93742805011916,419.792184837417,3.79460063953775,2.03325203318338,0.162707849385541,0.100236198704018,1.4275,1.0775,0.41,0.37,0.28,0.11045,-0.30925,0.1127,1.4558,0.028475,-0.548425,-0.69555,97.5672075,54.19,1.3104,2.025,0.2475,-0.43,0.2125,0.5725,0.475,-3.3725,1.875,-1.3825,-0.0625,243.25,315.5,281.25,310.2,-0.2025,0.01,0.11,-0.01,0.16,-0.19,-0.1425,-0.17,0.07,-0.1325,3.7825,4.629,5.76625,6.853,7.966,8.775,9.9135,11.06125,11.8445,3.21475,4.1785,5.8155,6.589,8.01675,9.04875,9.98975,11.1355,11.81925,3.63925,4.29,5.75275,6.789,8.22125,8.919,10.16325,10.9595,11.84375,3.97975,5.008,6.36125,7.1435,8.3925,9.35125,10.449,11.2155,11.726,2.988,4.33975,6.004,6.592,8.08625,8.74775,10.16275,11.20825,11.78725,-4.3075,-7.00925,1.946,-76.6525
1,1.75,0.338314570465643,-0.973031533413497,0.1972710310813,-25.6356090184014,-6.05034031251378,0.485373033286715,424.346937707186,4.97338020302672,424.351634412474,3.74005469396245,421.41258284466,2.59166994208732,424.988052059424,3.72278252205929,421.857409598109,2.78202390294176,425.170871254104,3.73223682944965,421.729075791667,3.29466542315327,424.983587590995,3.72259746054298,421.379751378392,2.42012944091362,431.670329350726,3.55258564422707,424.962050484351,2.55053928808674,1.93769580282012,0.149273679243862,0.0901822775060738,1.47,1.1075,0.41,0.35,0.2775,0.068775,-0.3845,-0.0305,1.283825,-0.106225,-0.575575,-0.68535,97.56549,56.715,1.2411,2.1525,0.24,-0.2925,0.2875,0.5825,0.5,-3.395,1.9,-1.42,0,242.8,314.55,283.6,310.05,-0.2075,0.01,0.11,-0.01,0.1575,-0.2,-0.145,-0.1725,0.07,-0.13,3.74925,4.63,5.7485,6.8345,7.9625,8.77,9.9135,11.06,11.83125,3.18425,4.10475,5.783,6.5675,8.018,9.04775,9.98875,11.13375,11.81,3.5975,4.21625,5.72775,6.74375,8.2125,8.916,10.16,10.9585,11.8375,3.8615,5.006,6.31025,7.12225,8.37975,9.3485,10.44725,11.21425,11.72425,2.986,4.19875,6.006,6.543,8.09625,8.745,10.159,11.208,11.7855,-4.2255,-6.844,1.52275,-74.6475
1,2.25,0.42770484828949,0.053527942836315,0.180124656159975,-23.4923971108222,-7.66492402387288,0.460231385521556,424.789621737018,4.94182975602341,425.192089546026,3.75209640524627,421.713149125806,3.2404685811269,425.164574232367,3.74870583237912,422.703588491093,4.28957188927806,425.483281744819,3.74143442449954,421.956101773886,3.28027996548437,425.091092370094,3.80556552359828,423.321432455516,2.332618352169,431.712973260782,3.78010624365748,420.401304035294,3.31187896735644,1.86300982832431,0.0765468894194328,0.0870899628610777,1.4075,1.03,0.4025,0.375,0.2675,-0.138725,-0.4825,-0.18605,1.177825,-0.209525,-0.549225,-0.768975,97.566595,56.99,1.2003,2.1775,0.29,0.165,0.5925,0.7825,0.6,-3.425,2.1,-1.3225,-0.065,243.325,313.775,285.775,310.375,-0.2,0.01,0.11,-0.01,0.1575,-0.2,-0.14,-0.1725,0.08,-0.125,3.73175,4.607,5.7285,6.818,7.9595,8.7655,9.9135,11.0425,11.83025,3.1465,3.99725,5.75825,6.547,8.03375,9.046,9.98775,11.13275,11.809,3.47625,4.13125,5.6655,6.69875,8.194,8.913,10.156,10.9575,11.83225,3.77,4.9775,6.2655,7.11675,8.369,9.34575,10.44575,11.213,11.7225,2.92225,4.07075,5.945,6.4965,8.10575,8.74225,10.154,11.207,11.78375,-4.356,-6.9815,2.886,-68.32
1,2.75,0.502846658243674,-0.571616690497531,0.158682655144497,-26.9883273305683,-9.05789897413897,0.444689346519555,424.292828001593,4.89512082777316,425.266624325013,3.73636453282608,422.805681106045,2.53137998695058,425.373217758999,3.85226812214151,422.929859074919,2.7262217398431,425.575533200706,3.73306444872915,422.905440356602,2.70643651400658,425.793935781601,3.74012208985086,423.345650310811,2.27457428014859,432.278237108014,3.90025376604944,423.666668499142,2.37966057557315,1.86834594049799,-0.408353633743061,0.100168128163896,1.3675,0.9575,0.3875,0.3775,0.26,-0.154775,-0.48275,-0.16565,0.791275,-0.113,-0.653175,-0.5936,97.55411,58.16,1.1189,1.925,0.2425,0.005,0.53,0.785,0.675,-3.13,2.075,-1.265,-0.18,242.1,313.575,286.05,311.65,-0.23,0.01,0.11,-0.01,0.1575,-0.19,-0.25,-0.17,0.0775,-0.125,3.67525,4.55875,5.6995,6.804,7.9555,8.7505,9.9135,11.0565,11.82925,3.12025,3.90225,5.73375,6.527,8.02725,9.0445,9.986,11.13025,11.8075,3.41125,4.03725,5.6245,6.6655,8.19,8.91,10.152,10.957,11.83025,3.69025,4.96975,6.2675,7.11575,8.3625,9.343,10.44475,11.2115,11.7205,2.9085,3.97525,5.887,6.45,8.11425,8.73925,10.14925,11.2065,11.7815,-4.39,-7.153,3.273,-73.11
1,3.25,0.535716299798883,0.572432245832291,0.154669160421658,-26.2497226809388,-5.57489534334544,0.428457252743765,424.561939759179,4.89066336870196,426.031803213737,3.79583785508983,422.200336167377,2.89190533834083,425.809901052892,3.81529979474619,422.196533639423,3.19001443861242,425.88854709901,3.81659940535094,421.807788697224,2.98733863889939,426.018753223412,3.80509630957623,422.764009170213,2.35211292981092,430.940186992937,4.00372046440148,421.642717403846,2.91985754127052,2.03010361211896,-0.469758419321024,0.0916364592523654,1.485,1.0975,0.4275,0.4,0.2675,-0.0833,-0.54975,-0.178175,0.5476,-0.1247,-0.720375,-0.72415,97.53941,58.295,1.1099,2.1325,0.1025,-0.2225,0.4275,0.6975,0.6,-3.0425,2.175,-1.265,-0.0625,244.075,314.075,287.8,310.95,-0.205,0.01,0.11,-0.01,0.1575,-0.2,-0.265,-0.1725,0.08,-0.1275,3.61025,4.50825,5.63525,6.7945,7.952,8.74675,9.9135,11.048,11.8405,3.06375,3.8155,5.7085,6.50025,8.016,9.046,9.985,11.1285,11.806,3.37225,3.98525,5.5645,6.6385,8.186,8.907,10.14875,10.95725,11.8295,3.6095,4.95,6.2595,7.1175,8.3665,9.34025,10.44325,11.21025,11.7195,2.9105,3.87775,5.83125,6.411,8.11525,8.7365,10.145,11.20625,11.77975,-4.4615,-7.325,1.6065,-68.11
1,3.75,0.635229470969557,0.239987286686208,0.176468736123124,-31.4741487792709,-5.58232053376971,0.443098605135838,424.130637653258,4.91123557096114,425.445140215725,3.89771160735722,423.033473018574,2.62688911838687,425.70790714581,3.89407006390325,423.061050051557,2.83223224105491,425.937476749536,3.89534318806292,422.677977406452,2.79750154730298,426.171520999187,3.90678281916215,423.036797682241,2.32539667262184,431.618553641372,3.95304216343193,425.090506158823,2.5168286610655,1.80766487549078,-0.317113571743107,0.0943764604236605,1.3775,0.99,0.42,0.385,0.2475,-0.21225,-0.65175,-0.179575,0.5141,-0.1167,-0.74195,-0.8497,97.5196025,59.65,1.0382,1.715,0.035,-0.1175,0.3425,0.64,0.475,-3.34,2.075,-1.315,-0.085,243.05,314.2,285.6,310.35,-0.2,0.01,0.11,-0.02,0.1625,-0.19,-0.145,-0.165,0.07,-0.125,3.53675,4.4825,5.586,6.788,7.9485,8.742,9.913,11.046,11.839,2.99925,3.7345,5.68,6.47125,8.00525,9.04575,9.98325,11.115,11.80925,3.32925,3.95175,5.5145,6.61975,8.18475,8.90375,10.14475,10.95725,11.83,3.52725,4.88975,6.23075,7.118,8.37025,9.3375,10.4425,11.209,11.7175,2.79225,3.8155,5.78,6.374,8.1065,8.73425,10.14025,11.206,11.77825,-4.33,-7.026,1.7845,-80.16
1,4.25,0.463968827224842,-1.62326213071547,0.198577904113073,-26.5044694513448,-6.53035857925579,0.46247952305793,424.789754479486,4.98192249653259,426.792904190494,3.77111463683252,422.827293362791,2.94321002485623,426.06613992189,3.78201111061709,423.62986482542,3.22853157178255,426.130518811816,3.69750304419861,423.546362012945,3.5792279375595,426.92341851215,3.78885113927872,423.604823325598,2.26807733995465,431.586250740376,3.35890248837531,423.194323525132,3.26482907695367,1.83437499608273,-0.59214157149242,0.096398961907903,1.325,1.05,0.42,0.37,0.2675,-0.322625,-0.75075,-0.28005,0.281225,-0.2628,-0.80165,-0.821425,97.497005,59.14,1.0889,1.47,-0.12,-0.285,0.105,0.375,0.4,-3.15,2.1,-1.335,-0.12,242.85,313.775,285.775,310.3,-0.2475,0.01,0.11,-0.01,0.155,-0.2,-0.15,-0.17,0.07,-0.1225,3.43375,4.464,5.57175,6.7805,7.9445,8.7465,9.913,11.02975,11.8385,2.942,3.64475,5.64975,6.4255,7.9995,9.0455,9.98225,11.113,11.809,3.268,3.89925,5.43825,6.599,8.182,8.89975,10.14075,10.95725,11.8285,3.51325,4.83675,6.2065,7.1045,8.37275,9.33475,10.44075,11.20775,11.7155,2.6855,3.7345,5.73075,6.336,8.09725,8.73225,10.13525,11.20575,11.77575,-4.666,-7.559,1.9505,-73.055
1,4.75,0.656922142691102,-0.631570500340136,0.160216532036082,-20.0010661727309,-9.0511410819052,0.420048273161868,425.236960142628,5.03163235227396,426.814838241858,3.8559944438435,423.454013374194,2.61956041029713,426.806342294792,3.82178989862116,423.360257132075,2.87778780707546,426.629787232492,3.82926675076778,423.257471518808,2.86926633069916,427.187483274076,3.86818543933957,423.614327406542,2.24514170003486,432.913279773928,3.72855944490533,425.977675295677,2.37175165906198,1.82905100020692,-0.659194060901271,0.0947902895443204,1.295,0.9925,0.375,0.36,0.25,-0.4509,-0.8225,-0.4391,0.383425,-0.576,-0.905875,-1.0403,97.503875,59.4875,1.0273,1.285,-0.1,-0.325,0.08,0.35,0.5,-3.34,2.1,-1.285,-0.1475,240.725,312.975,286.075,311.65,-0.205,0.01,0.11,-0.01,0.1525,-0.2,-0.1525,-0.2025,0.0775,-0.125,3.34675,4.4245,5.554,6.77,7.945,8.7415,9.9125,11.033,11.8375,2.9065,3.56875,5.6245,6.381,7.99625,9.045,9.9805,11.10125,11.801,3.24225,3.85675,5.397,6.5765,8.1785,8.89675,10.1275,10.9575,11.8265,3.5435,4.78125,6.1655,7.0775,8.37375,9.333,10.44,11.207,11.7145,2.6195,3.66875,5.681,6.296,8.087,8.73025,10.131,11.20525,11.77425,-4.6615,-8.0185,1.52,-73.38
