DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS,RH,CO2,VPD,NETRAD,H2O
1,0.25,0.343,20.8705,2.928,5.441,5.432,0.0165,-44.826,-0.162,22.3415,-0.688,-8.1065,21.8115,66.6545,334.789,8.365,-48.856,15.6545
1,0.75,0.3415,20.591,2.9675,5.4615,5.725,-0.03,-48.6365,-0.115,21.58,-0.356,-8.0895,21.802,66.7515,336.603,8.13,-47.221,15.903
1,1.25,0.3315,20.7625,3.0135,5.5725,5.5,-0.025,-51.748,-0.156,22.5225,-0.7055,-8.33,21.7895,66.549,335.881,8.065,-47.815,15.6295
1,1.75,0.3615,20.6175,2.977,5.381,5.309,0.028,-49.42,-0.339,20.952,-0.983,-8.329,21.7645,66.56,332.942,7.99,-47.578,15.484
1,2.25,0.316,20.3305,2.4235,5.918,6.017,0.032,-52.387,-0.4735,19.476,-0.446,-8.6055,21.728,67.5845,336.754,7.79,-48.774,15.287
1,2.75,0.3315,20.507,2.5585,5.402,5.58,-0.036,-44.59,-0.236,22.089,0.364,-8.7385,21.711,68.2275,333.913,7.605,-49.682,14.792
1,3.25,0.329,20.407,2.802,5.292,5.422,-0.023,-51.8115,-0.333,19.487,-0.55,-9.7525,21.66,65.81,331.815,7.86,-50.4505,14.695
1,3.75,0.294,20.1985,2.577,5.67,5.484,0.053,-47.485,-0.5585,19.318,-0.686,-9.2755,21.648,67.7305,332.906,7.765,-48.4365,14.867
1,4.25,0.3535,20.2605,2.612,5.871,5.916,0.01,-47.878,-0.08,18.117,-0.496,-9.169,21.636,66.3875,333.182,8.265,-48.0075,14.864
1,4.75,0.312,20.16,2.5255,5.621,5.315,0.05,-44.1845,-0.125,18.035,-0.411,-9.4725,21.6125,66.886,336.306,7.555,-46.475,15.157
1,5.25,0.2815,19.9205,2.5035,4.824,4.793,0.039,-43.013,-0.228,14.8025,0.227,-9.571,21.6035,68.1485,340.26,7.37,-47.077,14.826
1,5.75,0.297,19.823,2.3985,5.052,5.089,0.027,-41.653,-0.053,13.549,-0.452,-10.093,21.586,67.721,342.3645,7.03,-47.2805,14.286
1,6.25,0.2435,19.4545,2.092,5.301,5.611,0.0595,-35.275,-0.0735,13.397,-0.681,-9.8165,21.5605,65.9945,336.3065,7.37,-47.2855,14.4295
