DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1
1,16.75,0.088375,-8.5905,0.541525,-0.585975,-0.5996,-0.40775,-78.54715,-7.25465,-7.98325,-0.20525,28.745,99.6975,386.958375,0.26,-78.0825,0
1,17.25,0.0553,-9.13475,0.5598,0.4616,-0.1404,-0.358825,-94.34575,-8.4067,-7.89975,-0.21,31.016,99.6975,389.109,0.25725,-85.8825,-0.2
1,17.75,0.0451,-9.58775,0.49135,0.491175,-0.2526,-0.5902,-89.83875,-6.033725,-7.8,-0.21,30.848,99.6975,391.3632,0.2445,-87.2275,-0.5
1,18.25,0.0425,-9.89925,0.5894,0.4639,-0.36105,-0.48585,-74.201,-5.82975,-7.5985,-0.21,32.15075,99.6975,392.0678,0.2345,-86.1275,-0.5
1,18.75,0.0578,-10.01925,0.428075,0.35175,0.0257,-0.7275,-76.78725,-5.4855,-7.662,-0.21,31.85975,99.6975,392.1194,0.21725,-85.155,-0.5
1,19.25,0.056275,-10.24175,0.4386,0.096,-0.22255,-0.69475,-78.4302,-3.87585,-7.721,-0.22525,32.678725,99.795,392.08075,0.21,-85.02,-0.5
1,19.75,0.0561,-10.4755,0.46225,0.2571,-0.084325,-0.80625,-76.03275,-3.751375,-7.8255,-0.23575,34.156,99.6975,392.1565,0.18725,-85.455,-0.5
1,20.25,0.061825,-10.95575,0.4258,0.149475,-0.258125,-0.804375,-73.03275,-7.0094,-7.93275,-0.241,35.0965,99.6975,392.4954,0.17725,-84.5825,-0.5
1,20.75,0.0481,-11.076,0.469725,0.1474,-0.290375,-0.820125,-75.439,-6.49595,-8.02375,-0.26625,36.53175,99.6975,392.789225,0.16,-84.9475,-0.5
1,21.25,0.041,-11.09275,0.5516,0.23815,-0.348975,-0.7818,-72.8718,-3.47075,-8.122,-0.27575,37.6225,99.6,392.610575,0.15,-84.7825,-0.5
1,21.75,0.047,-11.062,0.417625,0.1057,-0.3302,-1.03705,-87.4701,-9.9695,-8.19,-0.28525,38.27,99.6,392.51715,0.15,-85.0275,-0.5
1,22.25,0.04575,-11.19475,0.5353,-0.335575,-0.5232,-0.999,-83.33475,-4.1671,-8.25275,-0.30525,40.68475,99.5975,392.1605,0.15,-84.655,-0.5
1,22.75,0.04,-11.635,0.54845,0.250975,-0.351,-0.7658,-85.219625,-10.7217,-8.33275,-0.3305,41.26425,99.5975,392.1591,0.15,-84.2275,-0.5
1,23.25,0.0433,-11.8655,0.45475,0.1705,-0.232125,-0.8538,-83.9295,-6.8158,-8.3955,-0.3505,40.8075,99.5,393.60615,0.15725,-83.955,-0.4699
1,23.75,0.044625,-11.81575,0.5034,-0.13495,-0.3589,-1.10775,-84.318225,-5.753875,-8.51275,-0.37525,41.20875,99.5975,392.500125,0.15,-84.22,-0.5
2,0.25,0.0414,-9.87925,0.588125,0.1466,-0.13275,-0.8916,-98.72855,-21.2662,-7.13,0.00475000000000001,35.078,99.395,392.08915,0.13725,-86.065,-0.5
2,0.75,0.05335,-10.393,0.6628,-0.44665,-0.42225,-1.1758,-93.4886,-5.963,-7.13025,0.00475000000000001,34.59375,99.2975,391.62595,0.1545,-85.61,-0.5
2,1.25,0.049,-10.57525,0.5459,-0.8148,-0.27155,-1.68315,-109.28285,-8.7606,-7.23275,-0.00049999999999999,35.2935,99.3,392.16885,0.15175,-85.41,-0.5
2,1.75,0.047175,-10.39975,0.605575,0.141375,-0.2985,-0.91515,-91.941,-11.67025,-7.3455,-0.00049999999999999,36.73775,99.3975,391.74075,0.1445,-85.7375,-0.5
2,2.25,0.0483,-10.529,0.6729,-0.024775,-0.2462,-1.354,-91.97185,-12.8438,-7.48825,-0.00049999999999999,37.8305,99.3975,391.12465,0.14175,-85.275,-0.5
2,2.75,0.0396,-11.24025,0.544725,-0.268575,-0.19,-1.1583,-94.9288,-17.551875,-7.56275,-0.00525,38.1975,99.3,391.1192,0.12725,-85.31,-0.5
2,3.25,0.0525,-11.592,0.5729,-0.3838,-0.2719,-1.656875,-83.8,-11.28145,-7.5875,-0.0105,38.64625,99.2975,391.6695,0.13,-83.855,-0.5
2,3.75,0.04,-11.56375,0.64955,-0.5185,-0.2157,-1.300725,-83.996,-12.952,-7.61225,-0.01575,39.8125,99.3,392.789625,0.12725,-83.61,-0.5
2,4.25,0.042375,-12.0155,0.676925,-0.1995,-0.3781,-1.427,-82.8371,-16.50195,-7.78925,-0.0205,40.317,99.3,393.130525,0.13,-82.3575,-0.5
2,4.75,0.042075,-12.04475,0.64725,-0.2049,-0.1034,-1.1705,-89.130425,-7.479825,-7.891,-0.01525,40.7595,99.3,393.220625,0.12725,-82.71,-0.5
2,5.25,0.02705,-12.29825,0.66105,-0.53795,-0.09095,-1.181875,-94.155575,-9.39285,-7.9465,-0.01575,41.60625,99.3,393.39625,0.12725,-84.8375,-0.5
2,5.75,0.04245,-12.44475,0.67645,0.0285,-0.110125,-0.85345,-77.10185,-14.6669,-8.09275,-0.031,42.4475,99.3,393.435,0.11725,-84.2825,-0.5
2,6.25,0.0461,-12.386,0.5886,-0.322625,-0.6147,-0.950025,-75.8128,-9.5269,-8.14925,-0.03625,40.244,99.3,393.28965,0.13175,-83.4025,-0.5
2,6.75,0.0539,-12.43275,0.524625,-1.4254,-1.046875,-1.541,-72.952825,-10.695175,-8.2065,-0.031,43.2745,99.4,393.04475,0.1345,-79.285,-2.36
2,7.25,0.0687,-12.02025,0.40015,-1.221125,-1.0487,-2.099075,-68.289025,-6.384175,-8.2575,-0.02575,41.884,99.4,392.62625,0.14,-64.313525,0
2,7.75,0.0767,-11.5055,0.615525,-1.87775,-1.123725,-2.23795,-43.597225,-10.2235,-8.3375,-0.0205,37.51025,99.3975,392.6394,0.14,-28.27225,4.89
2,8.25,0.146625,-10.5885,0.67155,-3.99145,-2.4965,-3.897,-28.94075,-20.60715,-8.35475,-0.01575,35.072,99.3975,391.45825,0.14,-25.73825,10.758
2,8.75,0.1783,-9.26775,0.715125,-4.48065,-3.00675,-3.1111,-28.813,-10.4413,-8.324,-0.0105,34.1325,99.3975,389.2955,0.15725,-15.28975,16.23875
2,9.25,0.180625,-8.6225,0.70135,-4.91695,-3.4773,-3.1615,-35.381875,-7.6505,-8.3385,0.00475000000000001,32.0715,99.3975,388.05675,0.16725,-9.26029999999999,24.8075
2,9.75,0.206675,-8.0995,0.809475,-4.995375,-3.629,-2.41795,-13.967,-5.92,-8.3275,0.0295,29.56625,99.3975,386.672275,0.17,5,28.1175
2,10.25,0.2538,-7.43775,0.958625,-5.47965,-4.154925,-2.8593,-17.97205,-5.1167,-8.2655,0.05,27.93025,99.4975,385.840825,0.1745,10.86275,33.37
2,10.75,0.25675,-6.917325,1.17355,-5.223275,-4.15705,-2.2113,-18.850425,-28.847225,-8.19,0.099,26.524,99.4975,385.76225,0.19,-0.783774999999998,36.60275
2,11.25,0.2388,-6.439775,1.082225,-5.2194,-4.60505,-2.240875,-19.9777,-6.06855,-8.071,0.124275,25.2005,99.495,386.35415,0.19725,8.853125,38.1
2,11.75,0.253075,-5.910175,0.968375,-5.238125,-4.54575,-1.9305,-17.83365,-17.93415,-7.91375,0.1469,24.7325,99.3975,385.509975,0.20725,13.86525,40.6315
2,12.25,0.2889,-5.693225,1.210525,-5.41175,-5.27215,-1.32195,-11.059525,-9.055325,-7.701,0.20425,23.25175,99.3975,385.203875,0.2145,12.65075,37.905
2,12.75,0.215,-5.538325,1.1169,-5.8042,-5.34,-1.498,-11.801625,-2.078,-7.46825,0.219,23.36625,99.2975,385.6883,0.22,9.2375,39.561
2,13.25,0.273825,-5.186675,0.942275,-5.3732,-4.669375,-1.4831,-11.19875,-2.906,-7.45075,0.19425,22.0905,99.2,386.02395,0.21725,8.72775,48.933
2,13.75,0.22715,-5.19855,1.233675,-4.874675,-5.065,-1.18155,-8.25285,-3.656,-7.4005,0.23,21.90275,99.1975,384.9659,0.22725,14.90425,43.7375
2,14.25,0.236525,-5.21615,1.167675,-4.2984,-4.02,-1.274275,-8.656625,-16.297,-7.13675,0.16475,21.60675,99.295,384.1059,0.2245,9.5441,36.98
2,14.75,0.220925,-4.724875,1.133825,-3.8646,-3.49,-1.112925,-16.40375,-7.663975,-7.0054,0.15475,21.88775,99.295,384.37435,0.22175,7.334175,30.35775
2,15.25,0.2341,-4.69045,1.024525,-3.751,-3.529,-0.871,-28.5195,-8.0088,-6.936425,0.17475,21.956,99.295,384.23145,0.22175,-0.59695,29.165
2,15.75,0.1672,-4.697875,1.03025,-3.0785,-3.083,-0.80455,-36.897225,-23.401875,-6.869625,0.16,22.43025,99.2975,384.9019,0.21,-0.85385,22.38675
2,16.25,0.132125,-4.87495,0.8718,-2.400125,-2.22945,-0.56705,-47.1842,-14.08,-6.771675,0.1195,23.54175,99.2975,385.025275,0.21,-12.34425,11.0625
2,16.75,0.10625,-4.95225,0.762725,-0.4521,-1.04175,-0.84415,-68.399625,-9.01035,-6.7129,0.079,24.759,99.2,385.940525,0.2145,-47.63475,3.3425
2,17.25,0.0906,-5.352,0.769975,-0.11645,-0.686,-0.6405,-75.315825,-10.03535,-6.6114,0.05375,26.38925,99.3,387.085,0.2045,-77.2375,0
2,17.75,0.0485,-5.99775,0.70655,0.092775,-0.22775,-0.3914,-78.70545,-18.124775,-6.5137,0.04425,28.61325,99.4,388.7082,0.18725,-87.2,-1.06
2,18.25,0.05525,-7.0245,0.7323,0.503325,-0.184875,-0.4268,-76.562825,-12.77655,-6.41025,0.0395,29.8515,99.3975,389.598,0.1845,-87.5825,-0.5
2,18.75,0.0465,-7.53675,0.73415,0.3852,0.00735,-0.5852,-78.0674,-16.017075,-6.335175,0.0395,30.829,99.495,389.573225,0.1945,-86.5825,-0.5
2,19.25,0.0453,-7.892,0.687675,0.128025,-0.150825,-0.7836,-80.3398,-7.2792,-6.306075,0.03475,31.378,99.4925,389.146875,0.19725,-87.3275,-0.5
2,19.75,0.04375,-8.28575,0.676625,0.2746,-0.2145,-0.929025,-82.314,-29.0276,-6.239275,0.03475,31.95325,99.4975,389.53035,0.18725,-86.0275,-0.5
2,20.25,0.0636,-8.589,0.74985,0.3337,-0.0075,-0.80625,-92.1464,-9.3841,-6.244625,0.03,31.934,99.5,389.2839,0.17725,-86.0275,-0.5
2,20.75,0.04875,-8.4225,0.757325,0.342425,-0.29585,-0.64445,-100.6434,-13.28305,-6.259325,0.04,32.402475,99.5,390.9724,0.16725,-86.31,-0.5
2,21.25,0.051125,-8.50375,0.76715,0.343,-0.1762,-0.9412,-89.0936,-11.1448,-6.3023,0.04,32.219725,99.595,390.9712,0.16725,-86.5,-0.5
2,21.75,0.0604,-8.85775,0.71275,0.114125,-0.096275,-1.094725,-95.94625,-8.593375,-6.304325,0.03475,31.13575,99.5,393.00905,0.1645,-86.365,-0.5
2,22.25,0.0302,-9.06025,0.7583,-0.027,-0.08545,-0.695875,-87.18325,-9.76975,-6.508775,0.02475,31.8245,99.5,392.260475,0.15725,-87.155,-0.5
2,22.75,0.0405,-9.199,0.594975,-0.02905,-0.090475,-0.8204,-87.2358,-8.7547,-6.7878,0.02475,31.38625,99.4975,392.687475,0.1545,-87.3375,-0.5
2,23.25,0.033875,-9.5775,0.588075,0.216825,-0.0951,-0.922,-94.415075,-9.86,-6.89635,0.02,32.539975,99.4975,393.431625,0.1545,-86.9275,-0.5
2,23.75,0.02985,-9.614,0.49,0.1959,0.00275,-0.86695,-83.3127,-9.74635,-6.975075,0.02,33.89825,99.4975,391.804475,0.14725,-86.4275,-0.5
3,0.25,0.0395,-5.762825,0.750175,0.17655,-0.06175,-0.645625,-77.80305,-15.15035,-7.3165,0.795575,30.47175,99.6975,390.678725,0.16725,-84.9825,-0.5
3,0.75,0.045625,-5.91525,0.645375,0.124,-0.05325,-0.795,-69.50445,-8.43475,-7.471,0.79295,30.28025,99.7,390.69195,0.16,-86.175,-0.5
3,1.25,0.0487,-6.606,0.711975,0.0723000000000001,-0.1793,-0.796825,-75.74215,-17.472425,-7.6665,0.78805,30.99975,99.6975,390.873975,0.16,-86.455,-0.5
3,1.75,0.0643,-7.2165,0.693575,0.298625,-0.157175,-0.643825,-72.7298,-6.1178,-7.82975,0.779775,31.660475,99.6,391.471725,0.15,-86.5025,-0.5
3,2.25,0.06465,-7.77675,0.52705,-0.0800000000000001,-0.05325,-1.216825,-69.499125,-5.3378,-7.92775,0.777575,32.0985,99.6,391.60625,0.1645,-85.2275,-0.5
3,2.75,0.0588,-7.57975,0.577775,0.3318,-0.1074,-0.7455,-66.731,-5.6523,-8.06825,0.774425,32.956525,99.6,391.640525,0.1645,-85.2375,-0.5
3,3.25,0.04985,-7.56875,0.605775,0.16075,-0.032125,-0.7312,-74.607775,-6.36115,-8.16875,0.769625,34.2745,99.6975,391.8853,0.15,-85.11,-0.5
3,3.75,0.063825,-7.835,0.568425,0.1682,-0.0615,-1.137125,-67.572325,-8.3076,-8.252,0.767725,34.856,99.7,392.7506,0.15,-83.8275,-0.5
3,4.25,0.049125,-8.15625,0.632825,-0.025,-0.1057,-1.446,-62.975025,-12.3048,-8.36925,0.767725,34.9085,99.7,393.346525,0.15725,-83.23,-0.5
