DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
1,0.25,0.29730152,18.376166665,1.656622068,2.055,2.1325,0.076,-24.291,9.482,-7.9885,19.821166665,19.174166665,88.72333333,101.875,384.375,3.08,-62.28,0,1.837933333,350.96166665,402.92,15.23985,-0.133977,-0.0759,-2.76784,-4.72352,4.145,24.54,2078.18
1,0.75,0.300789,18.2335,1.68,1.907,2.2025,0.0415,-24.7283,7.461075,-7.9715,19.8795,19.154333335,88.67333333,101.85927045,383.97,3.06,-62.016,0,1.8315,348.66,402.685,14.959,-0.140182,-4.1458005,-3.24077,-1.92798,0.563,24.295,2077.812296
1,1.25,0.315,18.1595,1.71693,2.1225,2.03252,0.124,-23.69465,7.041495,-7.2465,19.894,19.162333335,89.21333333,101.8353589,384.64,3,-60.712,0,1.8005,351.6933333,402.56,14.902,-0.1514335,-5.285,-1.710275,-4.928985,-1.405,24.457,2077.362067
1,1.75,0.325,18.039,1.701,2.0135,1.98806,0.169,-24.1985,9.303325,-6.944,19.9105,19.1735,89.146,101.806805,385.14,2.93,-57.674,0,1.727,352.04,401.8533333,14.813603095,-0.150025,-1.1295405,-1.06782,-3.83959,-0.253,24.63,2085.126789
1,2.25,0.321219,17.977,1.635,1.731,1.9395,0.169,-22.597,7.758,-6.548,19.893,19.18783333,89.350666665,101.8,385.2805,2.70806341,-59.0175,0,1.7559,352.07,401.765,14.8992,-0.1331575,-8.14,-1.91927,-3.35118,0.112,24.397,2076.4
1,2.75,0.319,17.867,1.66891,1.797,1.814,0.1715,-21.40675,8.313,-6.588,19.9415,19.2125,89.745,101.8,386.225,2.607809963,-60.213,0,1.746133333,352.57,401.235,14.868,-0.125388,3.18,-2.4256997285,-4.149461418,-2.626522,23.483,2100.44
1,3.25,0.325,17.88866667,1.663,2.062,1.969,0.149,-20.933,7.38766,-6.1625,19.9545,19.198333335,90.30333333,101.8,386.24,2.505,-59.874,0,1.7713,350.95166665,400.12833335,14.1985,-0.129485,-1.39,-2.792005,-4.30207,1.025,23.443,2098.5195015
1,3.75,0.313,17.794,1.66119,2.0175,1.9774,0.0215,-20.931,8.373395,-5.809,19.94,19.20033333,90.697,101.8,386.75,2.570368143,-55.065,0,1.769866667,352.37666665,399.73833335,14.23135,-0.144848,-3.34,-2.92243,-5.04551,7.57,23.538,2103.76
1,4.25,0.300527333,17.809,1.62867,1.8205,2.177,0.036600467,-21.878,6.748,-4.887,19.9385,19.168,90.713,101.8,387.484,2.51,-56.022,0,1.6988166665,350.92,399.76333335,14.203,-0.1543735,-4.086274,-2.28767,-2.67166,-1.82118,23.018,2085.05
1,4.75,0.307082443,17.742,1.687,2.1165,2.285,0.0476,-21.0985,7.583,-6.1665,19.912,19.14,90.825,101.8,386.03,2.44,-53.377,0,1.686933333,352.3966667,399.67,13.849,-0.140063,2.3745,-1.78265,-3.233105,-2.11,23.645,2087.3812265
1,5.25,0.299,17.694,1.697,2.0075,2.182,0.07785,-21.0628,5.8715,-6.651,19.895,19.102,90.966833335,101.81,386.54,2.44988,-49.435,0,1.659,355.12,398.4,13.653,-0.156378,-2.63,-2.102435,-3.66038,-0.47565,23.21,2089.65
1,5.75,0.31,17.462,1.7244,1.862,2.031425,0.166,-23.412,4.79997,-7.8115,19.849,19.0525,91.43,101.81635285,388.41,2.415,-47.214,0,1.624,357.12,397.7833333,13.6945,-0.173134,-5.3485305,-1.399215,-3.10511,-1.94,22.594,2079.6774875
