DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
1,0.25,87.0125,-2.477775,1.182575,1.026125,293.0675,293.95,0.0562382514999999,0.304625125
1,0.75,89.4125,-1.97102500000001,1.182575,1.071,288.475,293.895,0.0890780914999998,0.2525963675
1,1.25,89.49,-1.28905000000002,1.182575,1.028825,294.6575,296.605,0.04075092575,0.23491048
1,1.75,89.2,-1.39717500000001,1.182575,1.027125,300.0275,298.5475,0.0655307702499999,0.1926211425
1,2.25,87.125,-1.37265000000001,1.182575,1.18415,298.245,298.565,0.0373983797499999,0.23286911
1,2.75,88.8075,-3.06715,1.182575,1.05455,293.2375,294.175,0.04748546075,0.212091845
1,3.25,89.72,-1.34235000000001,0.810175,1.0234,294.2975,298.06,0.0599410565,0.205844665
1,3.75,87.7675,0.259974999999976,0.437775,0.82975,290.895,301.92,0.0586693102499999,0.1976464
1,4.25,87.0325,0.642899999999976,0.7335475,1.260875,293.745,303.405,0.0587007882499999,0.28441608
1,4.75,88.45,-0.489775000000018,1.02932,1.1225,289.925,304.205,0.0563088049999999,0.2471406
1,5.25,85.385,0.692499999999977,1.3250925,1.16465,288.5775,305.225,0.06796135775,0.252817465
1,5.75,88.47,0.876724999999979,1.620865,1.4705,288.6375,305.7475,0.06664660875,0.25459163
1,6.25,89.9775,0.102199999999981,1.9166375,1.439,288.66,307.245,0.10399573475,0.250540275
1,6.75,88.8825,-0.404500000000016,2.21241,1.0564,291.6275,307.745,0.227896326499999,0.1968994475
1,7.25,88.97,0.611674999999981,2.5081825,1.250675,293.7725,305.91,0.424272919999999,0.20057024
1,7.75,89.11,0.548974999999981,2.803955,1.506375,290.0675,303.305,0.529498807499998,0.24435286
1,8.25,85.9125,0.0504499999999773,3.0997275,1.69075,288.5425,303.305,0.525177929999999,0.2885148
1,8.75,85.755,-0.493075000000022,3.3955,1.218,288.8375,303.66,0.2884966775,0.2443784
1,9.25,84.92,-0.47327500000002,18.332,1.6083,286.47,301.85,0.159896419,0.2474460175
1,9.75,83.7475,-1.17050000000001,44.57125,1.5475,271.63,295.45,0.087048102,0.31151461
1,10.25,87.525,-0.763525000000014,73.48125,1.81265,271.085,296.3325,0.583485697499999,0.7433891
1,10.75,87.4125,0.0457749999999816,1.3232,2.7608,274.62,301.8975,3.578327875,3.79797575
1,11.25,87.67,0.0406499999999774,5.49185,6.055375,279.565,304.0125,11.416563,11.8402775
1,11.75,87.805,0.123899999999985,29.0235,25.96775,271.535,302.485,23.93498,28.11569125
1,12.25,88.0175,-0.876775000000012,42.7085,42.2075,279.85,297.785,41.753325,48.436535
1,12.75,87.6875,-2.37617500000002,57.74,55.47875,282.4525,292.725,56.545052,70.714359
1,13.25,87.94,-2.20977500000001,64.5812499999999,64.3035,277.77,291.555,67.27184025,76.5859315
