DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_2_1,RH_1_2_1,WS_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_A,TS_2_2_A,TS_2_3_A,TS_2_4_A,TS_2_5_A,TS_2_6_A
1,0.25,-96.7,-42.5361431875,-0.5296701587,-19.359280305,-0.0613729355,0.0945550625,382.225646075,3.943479999,4.8479155,84.80952,3.307,27.49012718,1.576,4.47625,24.60293127,1.73796984475,-2.40075,0,230.35,319.09871705,0.48274999835,0,-0.9408,4.49992025525,6.8998883575,8,4.58875,5.5524583335,7.30441666675,7.98691666675,9.46458333325,11.2362499975
1,0.75,-96,-41.56805232,-0.33014959975,-20.467210485,-0.065640344565,0.09312162,382.3017512,3.910076864,4.88912275,84.79067,3.2535,27.460101145,1.5745,4.611433,24.7738626,1.722797918,-2.3045,0,230.35,318.425,0.333,0,-0.9408,4.23471654725,6.8,8,4.44834821425,5.46986607175,7.3139613095,8.00561607175,9.468958333,11.2314285725
1,1.25,-95.8,-39.83666175,-0.4114496634,-21.01225904,-0.0587844096825,0.0971937425,382.00671335,3.858113164,4.76784975,84.78484,3.145,27.71642983,1.583,4.48175,25.1344565825,1.67202588425,-2.286,0,230.6,317.6,0.175,0,-0.9408,4,6.69,8,4.32160416675,5.38075000025,7.310395833,8.0045922615,9.471607143,11.2275
1,1.75,-95.55,-39.42910274,-0.3741510999,-20.25921466,-0.06659232662,0.0907644725,382.338095675,3.9136671285,4.74634175,84.781085,3.131999999,27.91649144,1.601,4.4005,25.4957996275,1.58963176425,-2.331,0,229,317,-0.033,0,-0.9408,3.78,6.4998803825,8,4.17529166675,5.26597916675,7.30928571425,8.01889285725,9.4675,11.2327083325
1,2.25,-94.6,-39.47320384,-0.4944415114,-21.3514415775,-0.06176967727,0.09261058,382.357041825,3.900677781,4.641434,84.792105,3.087,28.07160875,1.5695,4.22675,25.30131196,1.5846,-2.259,0,229.4,316.1,-0.247,0,-0.9408,3.67,6.4,8,4.082,5.1603958335,7.29718750025,8.0295625,9.46250000025,11.2321428575
1,2.75,-94.55,-38.5361104,-0.5045248599,-19.82311368,-0.065972806785,0.0891713,381.91309845,3.899053897,4.668871,84.79813,2.977,27.26213041,1.569,4.2805,25.0858836325,1.63376473075,-2.342,0,228.3722682,315.3,-0.483,0,-0.9408,3.5,6.3,7.95,3.921125,5.03037500025,7.299261905,8.0281041665,9.465238095,11.2364583325
1,3.25,-94.588,-38.44635642,-0.5612264222,-19.459616485,-0.054499075355,0.10243625,381.76792515,3.9074762555,4.35197475,84.785515,2.745,27.90531006,1.631,4.03175,26.01918098,1.72565005075,-2.254,0,228.6,314.3,-0.621,0,-0.9408,3.3999601275,6.199920255,7.9,3.82083333325,4.89612499975,7.300270833,8.04287500025,9.46482142825,11.2306845225
1,3.75,-94.2,-38.17221125,-0.4846122988,-18.6408136825,-0.0726886887775,0.09381941,382.1428178,3.89088672,4.12707375,84.76955,2.438000001,28.59398862,1.655,3.78375,26.5058216625,1.6948653545,-2.324,0,227.5,313.7,-0.782,0,-0.9408,3.30015949,6.1000398725,7.9,3.711479167,4.7770892855,7.2955416665,8.05079166675,9.4704166665,11.2368750025
1,4.25,-94,-37.20357004,-0.71988807265,-17.418884365,-0.0652516526175,0.0934866575,381.819736525,3.90744317675,4.013327,84.76763,2.301,29.33927657,1.601,3.517,26.5254425525,1.59855817675,-2.293,0,227.3,313.1,-0.937,0,-0.9408,3.1,5.9575,7.9,3.59441666675,4.668083333,7.2923571425,8.05654464275,9.46312500025,11.2323214275
1,4.75,-93.95,-36.73768059,-0.456476136725,-16.99714952,-0.06919712211,0.09283363,381.7892886,3.92726414725,4.106026,84.76206975,2.448,29.43471789,1.531,3.75975,26.751786275,1.66477213,-2.207,0,227.3,313.2,-0.884,0,-0.9408,2.97722188975,5.865,7.899920255,3.50345833325,4.5855416665,7.2730625,8.057270833,9.464791667,11.227678575
