DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
1,0.25,72.45,-25.14,0.3365,0.3825,201.5,211.55,-0.02578622,0.027093105
1,0.75,73.1,-25.27,0.3365,0.3455,205.25,212.4,-0.02728626,0.03049686
1,1.25,73.1,-24.955,0.3365,0.346,204.45,212.15,-0.02266598,0.02716188
1,1.75,73.35,-24.62,0.3365,0.369,203.25,212.8,-0.026498825,0.0611365
1,2.25,73.05,-24.245,0.3365,0.346,201.5,215.2,-0.02190276,0.04756515
1,2.75,73.2,-23.435,0.3365,0.328,203,216.9,-0.02487555,0.02706581
1,3.25,73.5,-23.605,0.24075,0.328,202.65,217.5,-0.016593735,0.06110641
1,3.75,73.75,-23.785,0.145,0.34,201.8,214.95,-0.02040214,0.040759115
1,4.25,73.4,-23.735,0.216,0.3135,200.45,214.7,-0.02042237,0.08147033
1,4.75,73.45,-23.645,0.287,0.3065,198.7,215.1,-0.023138345,0.08814658
1,5.25,73.05,-23.235,0.358,0.321,201.4,216.95,-0.018825905,0.07460072
1,5.75,72.4,-22.965,0.429,0.324,200.7,217.5,-0.019973735,0.03377719
1,6.25,72.8,-22.67,0.5,0.419,198.05,219.1,-0.013537245,0.05428066
1,6.75,72.85,-22.845,0.571,0.387,202.2,218.55,-0.021996315,0.040668865
1,7.25,72.9,-23.515,0.642,0.2575,203.5,216.45,-0.01617156,0.02704918
1,7.75,72.65,-24.11,0.713,0.2995,198.15,213.5,-0.02711597,0.04747142
1,8.25,73,-23.51,0.784,0.3685,195.25,213.8,-0.022469675,0.02702571
1,8.75,72.8,-24.07,0.855,0.314,192.3,211.35,-0.02597443,0.02036916
1,9.25,72.8,-23.565,2.638,0.317,192.5,211.65,-0.014120005,0.03393876
1,9.75,72.8,-24.03,8.65,0.355,192.65,212.85,-0.020425155,0.03390291
1,10.25,73.05,-24.255,14.225,0.473,192.35,213.15,0.0041000195,0.06116643
1,10.75,73.65,-24.06,0.399,0.542,192.45,211.1,0.078003375,0.1685333
1,11.25,72.7,-24.71,0.6875,0.8315,193.6,210,0.59873255,0.6407565
1,11.75,72.65,-24.195,1.259,1.463,193.05,209.5,2.424383,2.403263
1,12.25,72.95,-24.67,2.7965,2.961,194.15,210.25,5.6580645,5.588897
1,12.75,72.15,-24.56,3.9025,4.2775,192.55,212.55,9.425823,9.4263005
1,13.25,72.85,-24.825,4.835,5.8175,192.15,211.7,12.38782,12.144085
1,13.75,73.2,-24.725,5.2825,5.7645,193.35,210.8,13.092985,13.3264
1,14.25,72.55,-24.71,4.7165,5.449,195.85,211.15,11.75687,11.728665
1,14.75,72.45,-24.875,3.5345,3.9465,191.8,211.05,8.6181635,8.3705735
1,15.25,73.3,-24.905,3.268,2.293,190.5,210,5.016195,4.957917
1,15.75,73.8,-26.42,1.835,1.52,191.35,208.4,1.768847,1.726047
1,16.25,73.85,-23.865,0.844,0.9135,192.1,209.55,0.4029776,0.43620835
1,16.75,73.8,-23.215,0.915,0.7085,193.4,210.7,0.058291385,0.1809072
1,17.25,73.45,-25.85,15.27,0.467,192.5,209.3,-1.899395e-05,0.0746057
1,17.75,73.2,-24.795,5.906,0.39,196.6,208.7,-0.02292157,0.04771642
1,18.25,74.5,-25.035,1.8365,0.445,202.65,208.65,-0.019068365,0.0204078
1,18.75,74.3,-25.045,0.675,0.393,200.05,208.65,-0.027008995,0.05433013
1,19.25,74.15,-25.03,0.533,0.26,198.5,208.1,-0.02033793,0.06782116
1,19.75,73.7,-24.61,0.391,0.3775,195.35,209.45,-0.02475812,0.06110648
1,20.25,73.9,-24.685,0.249,0.4455,195.8,210.2,-0.01929405,0.03729634
1,20.75,73.1,-24.12,0.1015,0.384,198.35,212.6,-0.027123305,0.03736267
1,21.25,73.55,-24.16,0.130666666666667,0.415,202.45,214.9,-0.02044213,0.02714882
1,21.75,72.85,-23.75,0.159833333333333,0.48,201.75,214.35,-0.02114922,0.044065725
1,22.25,73.4,-24.09,0.189,0.375,202.4,212.4,-0.0135795,0.03380838
1,22.75,73.3,-24.14,0.189,0.4545,203.2,212.2,-0.02711728,0.02719732
1,23.25,73.8,-23.1,0.189,0.408,204,213.8,-0.02317715,0.050905505
1,23.75,73.2,-24.44,0.189,0.396,203.5,213.2,-0.0245387,0.033917775
2,0.25,73.3,-25.94,0.122,0.355,202.65,212.7,-0.003373065,0.02725178
2,0.75,72.85,-27.085,0.122,0.311,200.1,209.5,-0.02025156,0.03392655
2,1.25,71.95,-27.325,0.122,0.285,199.9,209.25,-0.006804814,0.04060132
2,1.75,73.05,-27.94,0.122,0.377,203.45,207.45,-0.0101619675,0.010234484
2,2.25,73.35,-27.435,0.122,0.374,204.75,206.6,-0.016967025,0.020355105
