DOY2,HR2,USTAR,H,LE,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,G_1_1_7,G_1_1_8,G_1_1_9,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1
1,0.25,0.5523335148,7.3467077648,6.1207873276,1.4061968,1.2772473,0.5829616,1.4750459,3.1608483,-6.0445325,-8.66687875,95.55584625,96.06558625,99.862784,-2.92773570175,-1.843152935875,-1.640071568125,0.394073301375,-2.792792999125,-1.609496834,-2.4962567135,-3.17109111025,-1.93178995375,0.0016202365,0.36496226375,4.990538208625,0.005327739,1.594919825,-4.360700125,-4.0786955,-3.65292775,-3.44092475,-2.518417375
1,0.75,0.626965467975,10.19429313275,7.8709761782,1.338300025,1.253442225,0.553032625,1.615246975,3.8012714,-6.77979375,-7.4139725,94.992905,97.9437325,99.858605,-2.943811906125,-1.853160398625,-1.650494436625,0.37889833525,-2.809171701375,-1.605263256,-2.50563171575,-3.183665893875,-1.942228329125,0.1934560625,-0.187870059875,6.39504313175,-0.00209976525,1.594093175,-4.35092425,-4.070839625,-3.639289,-3.434244,-2.51436375
1,1.25,0.7373439136,9.28163775175,2.50345257575,1.336242375,1.198832275,0.5037119,1.3347069,4.135274,-7.19084,-7.76637,95.21288,95.74607625,99.851609,-2.9591684365,-1.863068883125,-1.658867010125,0.36896943525,-2.822297255875,-1.615945372625,-2.51555563625,-3.198714815375,-1.950379358,-0.23685202425,-0.092525760375,3.60734447875,0.01484833625,1.616546875,-4.344544875,-4.068674875,-3.636307,-3.429408375,-2.51304625
1,1.75,0.7170023646,13.17784722775,5.74571423625,1.36285975,1.11292875,0.47285625,1.502298875,4.3156651,-7.6015175,-7.8373225,94.77283875,96.1031475,99.855353,-2.9686946005,-1.870745487875,-1.670148660375,0.354145878,-2.834270451125,-1.625966149875,-2.525152637125,-3.21238827025,-1.959225944125,0.057955920125,-0.069236986125,7.35409,0.00602554975,1.5878684,-4.34139075,-4.065796625,-3.631591125,-3.429444625,-2.513026375
1,2.25,0.680295673875,10.15604300145,7.0103001984,1.284333875,1.239010075,0.52631425,1.83768905,4.15591355,-7.5517125,-7.7151575,94.295565,96.7878225,99.855764,-2.977314713625,-1.876978771,-1.682695679375,0.395662991,-2.846736716625,-1.644577782125,-2.5388052755,-3.225801391375,-1.9659812425,0.0960790375,-0.152279961,7.1529056745,0.0137417485,1.613599125,-4.348950875,-4.07554,-3.642657125,-3.438067125,-2.52452425
1,2.75,0.673789842975,7.447053241575,2.737453974,1.3385928,1.198051,0.5499866,1.5246962,4.25108495,-7.196045,-7.8625375,93.63630125,95.61948125,99.850667,-2.989394548,-1.88489769175,-1.702983598125,0.37765150325,-2.854638065,-1.682092517625,-2.545915217625,-3.23515011325,-1.970807262,0.13881930375,-0.32538284475,7.32915426375,0.022420385,1.59807885,-4.357601125,-4.08230425,-3.652177625,-3.450767375,-2.53624375
1,3.25,0.6426247316,14.6688016297,8.50399698265,1.292708825,1.252578825,0.547698725,1.6080722,3.9884274,-7.33955375,-7.93557875,94.18519375,95.28508,99.852353,-2.994939726125,-1.88982684375,-1.719770456625,0.344320248625,-2.862084405625,-1.692239876875,-2.55266158325,-3.24466727,-1.97728991475,0.24831354,-0.27301943275,5.3934793605,0.0058828865,1.628289175,-4.3534465,-4.0827435,-3.645165,-3.447212875,-2.53708275
1,3.75,0.5622613481,11.228687609675,6.4306053498,1.4123786,1.2463782,0.530832,2.1748764,3.2998884,-7.36357625,-7.62383,93.93671,94.62401875,99.84488,-3.004599214625,-1.898750136375,-1.71294994975,0.351052365875,-2.868829378375,-1.700051836,-2.55489017325,-3.25796243125,-1.979857074875,0.553539454125,-0.191949825625,11.07408886625,0.00406492575,1.608423925,-4.360297375,-4.0950415,-3.65098725,-3.455671875,-2.54930225
1,4.25,0.55158324545,14.399577844975,6.988087884,1.48227605,1.40556925,0.6242321,1.17533715,3.18980275,-7.7265675,-7.9711825,94.309435,94.725825,99.821561,-3.00926398025,-1.902291580625,-1.697272924625,0.35103614125,-2.87037546125,-1.705902326125,-2.558065670625,-3.267853493875,-1.984501722625,0.4107865765,-0.161385497,6.931363371375,0.0037827515,1.6138901,-4.368508375,-4.10363025,-3.65931325,-3.468034,-2.557737
1,4.75,0.56978692,13.90574288325,6.95664295355,1.557112225,1.429018025,0.66591685,1.27320965,3.272012375,-7.772515,-8.08972375,94.367055,94.981825,99.802925,-3.012946565625,-1.908528194,-1.68290077075,0.369390927,-2.83571561525,-1.71325611025,-2.56071226175,-3.27416351725,-1.986014062,0.476152470125,-0.345352444125,9.30738143,0.014703216,1.616961625,-4.408199875,-4.148273125,-3.697788625,-3.510988125,-2.551987375
1,5.25,0.617887986775,15.98983881915,3.139641675975,1.452631075,1.42380535,0.60102385,1.67549965,3.396043275,-7.69009875,-7.96815875,94.21173,93.99226875,99.794639,-2.986305018,-1.89247804375,-1.66176337475,0.363213825125,-2.79458963275,-1.7196903495,-2.5596774525,-3.283639525625,-1.99147254525,0.689394760125,-0.2394755135,14.7375577125,0.01008713525,1.6158364,-4.47313225,-4.21814075,-3.7603375,-3.513924375,-2.5519455
1,5.75,0.619497043025,14.41910183305,2.663514472675,1.4732194,1.325161375,0.634297025,1.6949027,3.463403925,-7.9343425,-8.1043375,94.3980175,94.7152775,99.771392,-2.949231648625,-1.874531798875,-1.640288004125,0.373903511,-2.763057571375,-1.724016515,-2.560227866375,-3.288699176125,-1.993549991,0.65444038625,-0.135581362,14.42426988375,0.01428711625,1.595135625,-4.505518625,-4.233684,-3.78945925,-3.537768625,-2.547628
1,6.25,0.5653519489,11.5220289175,3.475322096225,1.3855896,1.21828,0.5599218,1.3009158,3.0831612,-7.92696,-8.06348875,95.07356625,95.32029375,99.77243,-2.913275165,-1.849854046375,-1.61691884825,0.380868243875,-2.731420226125,-1.71101354475,-2.561565469875,-3.2957290285,-1.995798406375,0.6741581505,0.064447703,11.9261063925,0.003781844,1.592890025,-4.513099625,-4.24276625,-3.808385625,-3.59254125,-2.56609375
1,6.75,0.5634314856,11.9475233772,3.1333269679875,1.6356944,1.355317175,0.565805125,1.1461711,3.178569225,-8.68430875,-8.94474375,94.1834525,94.50642,99.781262,-2.879943153875,-1.829665737125,-1.5952683405,0.363984438125,-2.7039319005,-1.68798579625,-2.565330096125,-3.301555966,-1.997152816,0.570790494125,-0.223350996,7.874518168625,0.01709254025,1.607308175,-4.529280125,-4.249638125,-3.815501125,-3.61718775,-2.5810895
