DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,H,LE,G,TS_1_1_1,TS_2_2_1,RH_1_1_1,PA,CO2,VPD_1_1_1,NETRAD,SW_IN,SW_OUT
1,0.5,0.1245,-2.415,1.04,0.0015,0.0015,-4.9645,0.061,-8.5525,0.6375,0.315,80,85.55,391.855,0.885,-41.155,0,0
1,1.5,0.122,-2.67,1.035,0.009,0.009,-4.645,0.461,-8.595,0.4945,0.25,82.75,85.549,393.255,0.805,-40,0,0
1,2.5,0.125,-2.735,1.015,0.036,0.036,-5.99,0.185,-8.66,0.3485,0.21,83.1,85.55,394.64,0.77,-38.755,0,0
1,3.5,0.1235,-3.725,0.985,0.01,0.01,-4.88,0.277,-9.585,0.301,0.11,84,85.564,394.55,0.685,-36.525,0,0
1,4.5,0.1175,-3.735,0.965,0.0165,0.0165,-6.8235,0.1595,-9.525,0.2155,0.015,86.1,85.5,395.8,0.64,-40.155,0,0
1,5.5,0.1135,-4.09,0.905,0.0025,0.0025,-6.039,0.017,-9.5,0.099,-0.07,84.6,85.51,389.54,0.59,-38.505,0,0
1,6.5,0.118,-4.095,0.88,0.004,0.004,-5.5455,0.1685,-10.0325,0.0755,-0.13,84.7,85.55,395.5,0.62,-38.425,0,0
1,7.5,0.118,-3.935,0.89,-0.01,-0.01,-6.976,0.19,-10.575,0.069,-0.225,85.05,85.6,391.4,0.665,-33.107,6.6,2
1,8.5,0.1175,-0.83,0.755,-0.0095,-0.0095,5.236,4.2225,-10.7905,-0.191,-0.295,72.6,85.633,396.525,1.535,2.332,125.7,37.4
1,9.5,0.138,1.35,0.975,-0.042,-0.042,32.891,11.501,-7.776,-0.5665,-0.25,62.56,85.65,392.44,2.435,61.588,287.05,73.1
1,10.5,0.181,2.59,1.36,-0.066,-0.066,70.35,15.199,-3.177,-0.548,-0.195,57.625,85.616,394.7,3.03,173.565,423.75,103.7
1,11.5,0.212,3.685,1.83,-0.0895,-0.0895,104.815,18.3825,2.555,0.011,-0.125,54.905,85.5,392.3,3.44,227.8,511.5,121.2
1,12.5,0.228,4.175,2.065,-0.072,-0.072,123.51,20.024,13.005,1.4025,0.17,52.17,85.48,394.105,3.795,247.09,538.9,126.4
1,13.5,0.2395,4.635,2.115,-0.0505,-0.0505,114.91,18.756,21.36,3.585,1.07,48.89,85.4,389.63,4.245,228.99,502,120.2
1,14.5,0.218,5.24,2.1,-0.107,-0.107,91.153,15.1565,24.005,5.316,2.325,47.665,85.3965,392.64,4.535,167.86,406.1,100.9
1,15.5,0.196,5.14,1.82,-0.058,-0.058,50.741,9.071,23.865,6.409,3.17,47.78,85.362,388.51,4.595,89.3225,272.6,70.8
1,16.5,0.149,3.63,1.58,-0.027,-0.027,7.9645,3.7505,18.185,6.5345,3.34,51.23,85.4,389.565,4.01,1.71,107.4,30
1,17.5,0.099,1.705,1.495,0.003,0.003,-4.495,0.414,8.02,6.111,2.685,59.97,85.4215,388.28,2.795,-47.3575,5.8,1.4
