DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,G_3_1_1,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,TAU,PA,RH,VPD,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,0.365103249999999,411.90576474,2.9652902,0.850231549999999,-1.235275,-1.403625,-1.887,-1.958975,10.87425,0.5978394,1.690318,1.298714,0.719723,-0.00249659999999999,101.599998,92.26499715,0.5884555,-6.112025,9.8469356,0.347856399999999,-1.309125,-0.399625,-0.2119,0.115175,1.67505,3.22785,-0.016975,0.58915,0.564275,1.874375,2.26975,3.6479,0.3507713,0.888223825,286.341982,286.227652525
1,0.75,0.2750405,412.30641177,2.249147475,1.0607545,-1.2314,-1.4036,-1.887975,-1.96095,10.3205,0.56931665,1.502503,1.229496,0.710935,-0.00175025,101.5049999,93.342502925,0.588723,-5.931775,9.96426375,0.5578418,-1.311025,-0.39865,-0.211975,0.1142,1.67405,3.226875,-0.016975,0.588175,0.564275,1.874375,2.26875,3.6469,0.312686699999999,0.852102925,284.5489597,286.773863275
1,1.25,0.4236114,412.31918414,16.5348675,1.194230625,-1.23135,-1.400625,-1.88995,-1.960975,10.461,0.5822012,1.631953,1.160194,0.672595,-0.001997,101.599998,94.602497975,0.5945725,-5.797025,9.9731388,0.520086,-1.312925,-0.39765,-0.212975,0.114175,1.67305,3.225875,-0.016975,0.58915,0.564275,1.8734,2.26875,3.646875,0.381401199999999,0.94686915,287.42915465,287.427226675
1,1.75,0.30628395,412.16404568,8.55777107499999,0.8055095,-1.23045,-1.397625,-1.890925,-1.960925,9.49475,0.604589050000001,1.520073,1.180233,0.69418,-0.00100775,101.599998,94.614997975,0.59383275,-5.68350000000001,10.062043125,0.544721024999999,-1.314875,-0.397625,-0.21495,0.1132,1.67205,3.224875,-0.016975,0.58915,0.564275,1.8734,2.26775,3.6459,0.258434249999999,0.935560725,287.854521775,287.786255175
1,2.25,0.3104313,412.388879385,1.5979421,1.108885275,-1.225625,-1.395625,-1.88995,-1.960975,9.61075,0.52260435,1.424524,1.357658,0.704332,-0.0011845,101.599998,94.407501875,0.57873025,-5.62795000000001,10.1478345,0.3462322,-1.317875,-0.39565,-0.2169,0.113175,1.671075,3.22485,-0.016975,0.588175,0.56425,1.873375,2.266775,3.6449,0.41406475,0.84065425,286.139753475,287.359748275
1,2.75,0.405593675,412.78203125,4.221497875,0.98630915,-1.2227,-1.3927,-1.888,-1.962975,9.19799999999999,0.523836425,1.44194419999999,1.2120077,0.687680899999997,-0.00156425,101.599998,94.400002,0.5758485,-5.60737500000001,10.18669875,0.29213245,-1.32085,-0.39565,-0.219825,0.11315,1.670075,3.223875,-0.016975,0.588175,0.563275,1.8724,2.26675,3.643925,0.387125875,0.89121475,286.576205125,287.1903275
1,3.25,0.387167225,412.83544765,2.98943689999999,0.9301255,-1.21885,-1.387825,-1.887925,-1.962975,9.322,0.5605872,1.53420905,1.24707015,0.67893655,-0.0011055,101.60499795,94.31000285,0.53203375,-5.62010000000002,10.15654725,0.38659325,-1.322875,-0.395625,-0.2218,0.112175,1.669075,3.222875,-0.016975,0.588175,0.563275,1.8724,2.265775,3.6439,0.377616725,0.843317675,286.73909375,287.29125455
1,3.75,0.391174,412.52228091,3.4184902,1.183091,-1.216975,-1.382925,-1.886925,-1.962925,9.0015,0.54583825,1.43578895,1.17243945,0.7081427,-0.0017343,101.699997,94.104998125,0.5108035,-5.70400000000002,10.3473387,0.3930874,-1.325875,-0.3956,-0.223775,0.11215,1.668075,3.22285,-0.017,0.588175,0.563275,1.8724,2.264775,3.6429,0.517289849999999,0.856845599999999,287.738665375,286.6175974
1,4.25,0.3589145,412.259326205,4.20302479999999,0.8446858,-1.21605,-1.379975,-1.887875,-1.962975,9.4975,0.560178875,1.4942467,1.1584325,0.730273249999999,-0.00213865,101.699997,94.10999805,0.526844,-5.35850000000001,10.540264675,0.15808605,-1.328875,-0.395575,-0.225725,0.11115,1.668075,3.22185,-0.017,0.588175,0.563275,1.8714,2.264775,3.641925,0.511518874999999,0.857616074999999,287.307819975,286.3923434
1,4.75,0.282818549999999,413.41340944,3.46711709999998,0.85638965,-1.21515,-1.378875,-1.884,-1.962975,9.468,0.570467399999999,1.502804825,1.081418875,0.67729155,-0.001771875,101.699997,94.127497975,0.52127775,-5.23347500000001,10.666866275,0.2985029,-1.33185,-0.39555,-0.228675,0.11115,1.667075,3.22185,-0.017,0.58815,0.5623,1.8714,2.263775,3.640925,0.358107024999998,0.88946255,288.111089775,287.416405625
