DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,H,LE,G,TS_1_1_1,TS_2_2_1,RH_1_1_1,PA,CO2,VPD_1_1_1,NETRAD,SW_IN,SW_OUT
1,0.5,0.10375,-4.725,0.76,-0.05825,-0.05825,-11.016,-0.902,-11.5525,0.15925,-0.13,68.69,85.0055,386.5125,0.3775,-50.8605,0,0
1,1.5,0.088,-5.1825,0.7725,-0.037,-0.037,-12.1605,-0.334,-11.89,-0.0015,-0.1875,70.35,84.994,387.155,0.3875,-48.373,0,-0.2
1,2.5,0.09275,-5.1925,0.795,-0.031,-0.031,-12.907,-0.42,-11.92,-0.0385,-0.35,70.9,85.001,388.04,0.315,-46.5425,0,-0.2
1,3.5,0.104,-5.8,0.74,-0.03425,-0.03425,-13.458,-0.277,-12.35,-0.3005,-0.56,73.65,85.022,388.22,0.2375,-48.3285,0,0
1,4.5,0.097,-5.69,0.6925,-0.037,-0.037,-14.68825,-0.6125,-12.26,-0.7025,-0.765,73.8,85.006,387.6675,0.2725,-46.772,0,0
1,5.5,0.09575,-6.2425,0.7,-0.04025,-0.04025,-12.912,-0.8015,-12.68375,-0.84025,-1,74,85.043,387.3,0.2425,-48.129,0,0
1,6.5,0.09175,-6.1275,0.68,-0.0385,-0.0385,-13.85275,-0.54275,-13.37625,-1.22625,-1.2475,73.3,85.092,385.89,0.25,-47.1675,0,-0.2
1,7.5,0.09375,-6.415,0.69,-0.045,-0.045,-13.7465,-0.3135,-14.16475,-1.4025,-1.4575,75.45,85.1,384.505,0.385,-42.2395,4.825,1.4
1,8.5,0.0965,-2.7175,0.52,-0.1015,-0.1015,-2.6625,1.5395,-14.19375,-1.598,-1.48,62.61,85.101,388.455,0.965,-18.264,73.575,21.25
1,9.5,0.089,-1.26,0.745,-0.122,-0.122,17.44325,5.85875,-9.715,-2.027,-1.15,51.975,85.1575,386.545,1.5875,39.4265,205,57.5
1,10.5,0.12225,0.0525,1.0075,-0.167,-0.167,48.854,11.1435,-7.2325,-1.467,-0.74,48.23,85.1665,387.28,1.9375,122.1375,336.45,85.2
1,11.5,0.161,0.61,1.2425,-0.19025,-0.19025,77.665,14.11825,-4.24125,-0.549,-0.5,45.175,85.09475,387.6825,2.23,173.63,403.1,103.5
1,12.5,0.187,1.2625,1.4925,-0.161,-0.161,77.21525,15.804,1.053,0.02,-0.3575,41.9625,84.9855,387.5225,2.58,165.85,429.05,105.65
1,13.5,0.204,1.8825,1.665,-0.15975,-0.15975,77.603,11.7355,14.5705,-0.021,-0.2,38.02,84.915,387.125,2.8625,165.7975,435.725,104.1
1,14.5,0.189,2.2825,1.58,-0.2215,-0.2215,60.562,10.03625,17.645,0.183,0.105,37.405,84.915,387.6875,3.075,105.2225,310.425,82.95
1,15.5,0.1635,2.2075,1.5325,-0.1615,-0.1615,22.51325,6.20025,13.368,0.428,0.365,36.79,84.927,387.09,2.915,47.01425,202.55,51.1
1,16.5,0.11375,1.14,1.2525,-0.115,-0.115,0.34225,1.77475,7.178,0.48725,0.3325,39.81,84.98375,387.3675,2.34,-15.386,64.45075,16.7
